HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,Opponent_シュート,uraw_シュート,Opponent_枠内シュート,uraw_枠内シュート,Opponent_PKによるシュート,uraw_PKによるシュート,Opponent_パス,uraw_パス,Opponent_クロス,uraw_クロス,Opponent_直接ＦＫ,uraw_直接ＦＫ,Opponent_間接ＦＫ,uraw_間接ＦＫ,Opponent_ＣＫ,uraw_ＣＫ,Opponent_スローイン,uraw_スローイン,Opponent_ドリブル,uraw_ドリブル,Opponent_タックル,uraw_タックル,Opponent_クリア,uraw_クリア,Opponent_インターセプト,uraw_インターセプト,Opponent_オフサイド,uraw_オフサイド,Opponent_警告,uraw_警告,Opponent_退場,uraw_退場,Opponent_３０ｍライン進入,uraw_３０ｍライン進入,Opponent_ペナルティエリア進入,uraw_ペナルティエリア進入,Opponent_総移動距離,uraw_総移動距離,Opponent_スプリント,uraw_スプリント,Opponent_攻撃回数,uraw_攻撃回数,Opponent_チャンス構築率,uraw_チャンス構築率,Opponent_ボール保持率,uraw_ボール保持率,URL
A,湘南,W,3,1,11,14,2,5,1,0,364,461,18,14,21,22,3,2,2,1,24,14,20,12,28,27,12,24,4,7,2,2,0,3,0,0,40,44,7,10,"113,385m","113,459m",172,147,154,137,7.1%,10.2%,45.3%,54.7%,https://www.football-lab.jp/uraw/report/?year=2015&month=03&date=07
H,山形,W,1,0,5,18,1,3,0,0,325,647,9,14,14,19,0,2,0,7,19,29,4,14,30,19,19,11,3,6,2,0,0,0,0,0,18,44,4,16,"114,483m","113,330m",153,156,123,143,4.1%,12.6%,33.5%,66.5%,https://www.football-lab.jp/uraw/report/?year=2015&month=03&date=14
A,広島,D,0,0,13,10,2,3,0,0,398,682,9,18,10,10,2,1,3,6,10,21,14,12,14,17,23,10,0,2,1,2,2,1,0,0,33,44,10,9,"108,218m","109,221m",154,174,106,109,12.3%,9.2%,40%,60%,https://www.football-lab.jp/uraw/report/?year=2015&month=03&date=22
H,松本,W,1,0,6,36,1,9,0,0,222,746,9,25,6,16,1,3,2,5,11,23,4,27,18,16,30,10,3,7,3,1,1,0,0,0,20,77,4,28,"118,526m","115,223m",178,156,106,126,5.7%,28.6%,27.4%,72.6%,https://www.football-lab.jp/uraw/report/?year=2015&month=04&date=04
A,川崎Ｆ,D,1,1,8,12,2,4,0,0,563,484,8,17,16,9,4,1,3,8,15,27,8,15,26,22,27,9,0,1,1,4,1,1,0,0,32,41,9,17,"111,634m","114,537m",139,161,113,112,7.1%,10.7%,52.3%,47.7%,https://www.football-lab.jp/uraw/report/?year=2015&month=04&date=12
H,横浜FM,W,2,1,8,15,4,5,0,0,456,561,8,26,14,15,4,2,4,2,29,15,6,13,23,23,20,17,2,1,2,4,2,1,0,0,25,47,9,24,"115,901m","115,131m",150,166,141,132,5.7%,11.4%,45.7%,54.3%,https://www.football-lab.jp/uraw/report/?year=2015&month=04&date=18
H,名古屋,W,2,1,5,21,2,8,0,0,334,596,11,25,16,16,2,3,3,8,27,17,11,11,20,26,29,28,4,3,3,2,1,1,0,0,32,51,10,24,"112,132m","116,242m",203,249,135,137,3.7%,15.3%,41%,59%,https://www.football-lab.jp/uraw/report/?year=2015&month=04&date=25
A,甲府,W,2,0,7,19,3,5,0,1,263,669,7,14,14,10,0,1,6,9,19,27,13,13,21,21,25,20,4,1,1,0,0,1,0,0,21,71,6,8,"113,363m","115,303m",142,168,127,131,5.5%,14.5%,35.4%,64.6%,https://www.football-lab.jp/uraw/report/?year=2015&month=04&date=29
H,Ｇ大阪,W,1,0,7,13,2,3,0,0,385,563,8,21,13,16,0,2,1,9,16,19,5,20,22,17,24,13,4,6,1,0,1,1,0,0,28,60,6,16,"108,825m","112,453m",161,158,122,134,5.7%,9.7%,41.2%,58.8%,https://www.football-lab.jp/uraw/report/?year=2015&month=05&date=02
A,仙台,D,4,4,15,21,6,8,0,0,247,715,11,23,14,14,1,1,2,8,8,24,9,19,22,15,50,17,4,3,1,0,0,1,0,0,30,68,10,20,"116,635m","114,617m",157,145,112,123,13.4%,17.1%,33.8%,66.2%,https://www.football-lab.jp/uraw/report/?year=2015&month=05&date=10
