HOME/AWAY,Opponent,勝敗,send_得点,send_失点,send_シュート,Opponent_シュート,send_枠内シュート,Opponent_枠内シュート,send_PKによるシュート,Opponent_PKによるシュート,send_パス,Opponent_パス,send_クロス,Opponent_クロス,send_直接ＦＫ,Opponent_直接ＦＫ,send_間接ＦＫ,Opponent_間接ＦＫ,send_ＣＫ,Opponent_ＣＫ,send_スローイン,Opponent_スローイン,send_ドリブル,Opponent_ドリブル,send_タックル,Opponent_タックル,send_クリア,Opponent_クリア,send_インターセプト,Opponent_インターセプト,send_オフサイド,Opponent_オフサイド,send_警告,Opponent_警告,send_退場,Opponent_退場,send_３０ｍライン進入,Opponent_３０ｍライン進入,send_ペナルティエリア進入,Opponent_ペナルティエリア進入,send_総移動距離,Opponent_総移動距離,send_スプリント,Opponent_スプリント,send_攻撃回数,Opponent_攻撃回数,send_チャンス構築率,Opponent_チャンス構築率,send_ボール保持率,Opponent_ボール保持率,URL
H,山形,W,2,0,10,13,2,3,0,0,377,466,9,19,17,14,3,3,4,8,22,24,11,8,18,28,31,22,3,2,3,3,2,2,1,0,38,45,8,5,"110,555m","114,223m",180,168,129,136,7.8%,9.6%,48.1%,51.9%,https://www.football-lab.jp/send/report/?year=2015&month=03&date=07
A,柏,D,1,1,7,17,3,2,0,0,237,806,11,14,13,20,1,7,5,4,17,24,9,15,21,17,30,16,7,3,7,1,3,1,1,0,23,77,8,17,"116,155m","117,340m",121,92,117,129,6.0%,13.2%,29.5%,70.5%,https://www.football-lab.jp/send/report/?year=2015&month=03&date=13
A,湘南,D,0,0,12,15,2,2,0,0,346,449,15,21,12,11,4,2,5,9,24,20,6,16,19,12,30,20,2,2,2,2,1,1,0,0,32,54,12,17,"111,444m","115,210m",156,188,133,130,9.0%,11.5%,46.9%,53.1%,https://www.football-lab.jp/send/report/?year=2015&month=03&date=22
H,清水,W,2,1,12,15,3,3,0,0,389,324,14,23,22,16,1,3,6,8,30,25,10,10,16,29,26,31,3,2,2,1,1,5,0,2,42,34,15,14,"112,530m","109,831m",150,169,144,147,8.3%,10.2%,53.8%,46.2%,https://www.football-lab.jp/send/report/?year=2015&month=04&date=04
A,横浜FM,D,1,1,10,15,1,5,0,0,389,566,10,9,18,19,1,1,5,7,13,26,11,11,23,25,29,25,4,3,1,1,2,2,0,0,40,36,13,14,"111,460m","113,340m",103,133,133,142,7.5%,10.6%,45.9%,54.1%,https://www.football-lab.jp/send/report/?year=2015&month=04&date=12
H,川崎Ｆ,L,2,3,22,24,8,10,0,0,294,807,15,22,8,4,4,2,5,7,30,16,10,12,19,26,22,28,4,4,2,4,1,1,0,0,41,61,19,28,"115,877m","114,190m",159,133,138,123,15.9%,19.5%,36.4%,63.6%,https://www.football-lab.jp/send/report/?year=2015&month=04&date=18
A,松本,L,0,1,13,9,2,3,0,0,434,282,20,15,14,13,5,3,6,2,30,29,9,5,15,16,24,44,1,5,3,5,1,1,0,0,39,30,14,8,"111,259m","114,788m",127,182,139,132,9.4%,6.8%,55.1%,44.9%,https://www.football-lab.jp/send/report/?year=2015&month=04&date=25
H,鹿島,L,1,2,15,15,4,6,0,0,410,435,21,13,16,14,3,8,6,4,31,18,10,10,13,12,13,32,3,4,8,2,2,1,0,0,43,37,13,14,"116,109m","112,811m",170,138,138,129,10.9%,11.6%,48.4%,51.6%,https://www.football-lab.jp/send/report/?year=2015&month=04&date=29
A,広島,L,0,2,9,16,1,5,0,0,562,474,13,14,10,9,1,0,5,5,23,23,5,15,19,19,18,22,2,5,0,1,2,0,0,0,45,47,12,10,"114,624m","110,665m",122,109,108,107,8.3%,15.0%,52.8%,47.2%,https://www.football-lab.jp/send/report/?year=2015&month=05&date=02
H,FC東京,L,2,3,14,12,4,6,1,1,382,366,16,13,11,18,5,9,4,6,34,23,10,9,20,20,26,41,0,0,8,5,1,3,0,0,40,33,18,14,"114,259m","114,578m",158,159,127,126,11.0%,9.5%,50.1%,49.9%,https://www.football-lab.jp/send/report/?year=2015&month=05&date=06
H,浦和,D,4,4,15,21,6,8,0,0,247,715,11,23,14,14,1,1,2,8,8,24,9,19,22,15,50,17,4,3,1,0,0,1,0,0,30,68,10,20,"116,635m","114,617m",157,145,112,123,13.4%,17.1%,33.8%,66.2%,https://www.football-lab.jp/send/report/?year=2015&month=05&date=10
A,新潟,W,3,0,23,13,7,1,0,0,365,422,12,15,19,10,0,3,4,3,20,25,9,13,21,21,30,24,2,1,3,0,3,5,0,0,47,43,22,14,"116,419m","110,513m",182,195,135,124,17.0%,10.5%,49.7%,50.3%,https://www.football-lab.jp/send/report/?year=2015&month=05&date=16
H,甲府,L,0,1,9,8,1,2,0,0,578,399,20,14,10,19,2,2,2,3,30,17,18,7,28,26,21,42,2,3,1,2,2,0,0,0,56,27,16,6,"119,722m","114,053m",125,100,131,123,6.9%,6.5%,57.3%,42.7%,https://www.football-lab.jp/send/report/?year=2015&month=05&date=23
A,神戸,W,1,0,12,24,3,5,0,0,256,576,8,27,18,9,3,6,3,10,18,28,10,32,36,21,59,21,2,1,6,3,0,2,0,0,30,61,10,21,"116,100m","109,680m",183,150,124,131,9.7%,18.3%,36.4%,63.6%,https://www.football-lab.jp/send/report/?year=2015&month=05&date=30
H,鳥栖,W,5,0,15,10,8,1,0,0,376,437,16,11,8,11,4,3,4,2,31,26,20,8,25,33,32,25,1,3,2,4,2,0,0,0,38,40,17,7,"115,721m","115,282m",164,132,158,140,9.5%,7.1%,47.6%,52.4%,https://www.football-lab.jp/send/report/?year=2015&month=06&date=07
A,Ｇ大阪,D,1,1,22,17,6,6,0,0,433,517,14,11,11,11,4,1,3,6,28,23,14,9,15,22,24,41,2,4,1,2,1,1,0,0,53,46,15,15,"114,953m","111,398m",170,170,133,135,16.5%,12.6%,47.6%,52.4%,https://www.football-lab.jp/send/report/?year=2015&month=06&date=20
H,名古屋,W,2,0,27,11,14,1,0,0,473,454,18,18,12,13,3,2,9,2,23,17,11,6,11,12,30,22,0,2,2,3,1,0,0,0,61,37,31,14,"120,970m","111,671m",189,174,139,123,19.4%,8.9%,52.6%,47.4%,https://www.football-lab.jp/send/report/?year=2015&month=06&date=27
H,広島,L,3,4,20,8,10,6,1,0,586,414,24,14,12,7,2,1,5,1,28,17,17,10,14,14,15,31,1,2,1,2,0,0,0,0,66,32,27,9,"119,745m","114,996m",178,120,114,103,17.5%,7.8%,56.8%,43.2%,https://www.football-lab.jp/send/report/?year=2015&month=07&date=11
A,甲府,D,0,0,7,8,1,1,0,0,483,421,6,16,10,16,2,2,1,3,26,23,4,9,13,17,25,29,1,6,1,2,0,0,0,0,28,33,5,11,"114,800m","110,868m",135,135,127,129,5.5%,6.2%,51.5%,48.5%,https://www.football-lab.jp/send/report/?year=2015&month=07&date=15
H,神戸,L,1,2,13,11,3,3,0,1,328,557,14,22,10,6,2,3,7,5,32,27,10,19,20,25,20,23,6,7,2,2,0,0,0,0,37,48,14,12,"115,608m","107,530m",145,126,126,120,10.3%,9.2%,40.8%,59.2%,https://www.football-lab.jp/send/report/?year=2015&month=07&date=19
H,柏,L,0,1,15,9,1,2,0,0,300,460,23,13,13,13,5,4,11,5,28,28,8,11,13,15,24,32,0,1,3,4,0,4,0,0,43,31,10,8,"109,056m","103,454m",116,93,132,127,11.4%,7.1%,41.6%,58.4%,https://www.football-lab.jp/send/report/?year=2015&month=07&date=25
A,FC東京,L,1,3,13,8,1,5,0,0,496,465,13,8,12,11,3,3,2,2,31,21,11,6,15,19,21,29,4,5,3,3,0,1,0,0,50,23,12,7,"111,083m","111,657m",130,120,126,116,10.3%,6.9%,52%,48%,https://www.football-lab.jp/send/report/?year=2015&month=07&date=29
H,松本,W,3,1,11,9,3,5,0,0,374,257,17,7,12,15,0,0,2,5,35,31,10,10,14,16,42,25,3,0,0,0,2,2,0,0,38,28,11,15,"107,560m","110,314m",140,156,133,139,8.3%,6.5%,59.2%,40.8%,https://www.football-lab.jp/send/report/?year=2015&month=08&date=12
A,鹿島,L,2,3,6,26,3,9,0,0,226,644,2,17,15,14,7,2,2,8,18,29,6,16,21,18,30,8,2,2,2,6,0,3,0,0,18,78,10,27,"103,982m","103,028m",151,152,123,143,4.9%,18.2%,32.5%,67.5%,https://www.football-lab.jp/send/report/?year=2015&month=08&date=16
A,浦和,L,1,3,10,16,3,5,0,0,309,630,14,10,14,16,2,2,4,3,18,15,5,7,8,9,14,14,1,3,1,1,2,1,0,0,30,39,12,11,"107,977m","107,596m",131,121,107,112,9.3%,14.3%,38.8%,61.2%,https://www.football-lab.jp/send/report/?year=2015&month=08&date=22
H,新潟,L,0,1,15,15,4,3,0,0,297,440,13,16,14,7,4,0,3,8,20,40,8,15,24,27,38,20,0,2,0,4,1,2,1,0,35,41,13,20,"111,292m","115,330m",170,178,137,134,10.9%,11.2%,45%,55%,https://www.football-lab.jp/send/report/?year=2015&month=08&date=29
A,名古屋,W,1,0,16,13,8,4,0,0,306,482,11,16,7,14,4,1,7,1,15,30,18,16,25,25,19,22,2,4,1,4,4,0,0,0,43,44,8,10,"110,908m","101,862m",161,139,112,117,14.3%,11.1%,44.6%,55.4%,https://www.football-lab.jp/send/report/?year=2015&month=09&date=12
H,湘南,D,1,1,10,14,4,3,1,0,306,355,11,14,17,10,2,2,7,6,29,24,10,13,22,16,27,22,1,1,2,1,2,4,0,0,28,35,11,8,"110,215m","111,828m",174,195,133,126,7.5%,11.1%,49%,51%,https://www.football-lab.jp/send/report/?year=2015&month=09&date=19
A,山形,D,1,1,15,15,5,3,0,0,321,357,7,19,15,14,4,5,4,4,21,25,16,8,14,17,27,10,3,2,4,4,1,3,0,0,35,44,16,13,"107,558m","108,143m",161,146,133,135,11.3%,11.1%,48.7%,51.3%,https://www.football-lab.jp/send/report/?year=2015&month=09&date=26
H,横浜FM,L,1,3,15,19,3,7,0,0,392,512,16,6,7,12,1,3,3,6,16,22,12,10,19,12,25,13,3,5,3,1,2,0,0,0,42,38,12,9,"110,569m","113,045m",138,111,115,121,13.0%,15.7%,45.5%,54.5%,https://www.football-lab.jp/send/report/?year=2015&month=10&date=03
A,清水,W,1,0,11,12,5,0,0,0,273,382,6,20,14,20,5,1,6,10,24,30,5,8,23,27,47,30,0,0,1,4,2,0,0,0,27,33,14,15,"113,175m","112,666m",163,178,153,152,7.2%,7.9%,47.2%,52.8%,https://www.football-lab.jp/send/report/?year=2015&month=10&date=17
H,Ｇ大阪,L,1,3,10,18,3,9,0,0,457,627,9,15,6,13,6,1,6,7,21,19,9,9,17,16,15,12,0,2,1,6,0,0,0,0,44,40,7,19,"119,260m","119,126m",181,190,128,133,7.8%,13.5%,44.8%,55.2%,https://www.football-lab.jp/send/report/?year=2015&month=10&date=25
A,鳥栖,L,0,1,21,12,4,3,0,0,532,338,14,7,19,6,3,0,5,4,21,23,12,9,24,16,16,20,1,1,0,3,1,0,0,0,50,33,19,13,"111,677m","111,045m",142,120,114,103,18.4%,11.7%,58.1%,41.9%,https://www.football-lab.jp/send/report/?year=2015&month=11&date=07
A,川崎Ｆ,L,0,1,5,14,1,6,0,0,400,739,13,21,11,13,6,1,1,8,18,19,14,16,27,17,20,25,5,3,0,6,1,1,0,0,40,53,7,23,"116,439m","113,053m",154,147,116,124,4.3%,11.3%,42%,58%,https://www.football-lab.jp/send/report/?year=2015&month=11&date=22
