HOME/AWAY,Opponent,勝敗,mats_得点,mats_失点,Opponent_シュート,mats_シュート,Opponent_枠内シュート,mats_枠内シュート,Opponent_PKによるシュート,mats_PKによるシュート,Opponent_パス,mats_パス,Opponent_クロス,mats_クロス,Opponent_直接ＦＫ,mats_直接ＦＫ,Opponent_間接ＦＫ,mats_間接ＦＫ,Opponent_ＣＫ,mats_ＣＫ,Opponent_スローイン,mats_スローイン,Opponent_ドリブル,mats_ドリブル,Opponent_タックル,mats_タックル,Opponent_クリア,mats_クリア,Opponent_インターセプト,mats_インターセプト,Opponent_オフサイド,mats_オフサイド,Opponent_警告,mats_警告,Opponent_退場,mats_退場,Opponent_３０ｍライン進入,mats_３０ｍライン進入,Opponent_ペナルティエリア進入,mats_ペナルティエリア進入,Opponent_総移動距離,mats_総移動距離,Opponent_スプリント,mats_スプリント,Opponent_攻撃回数,mats_攻撃回数,Opponent_チャンス構築率,mats_チャンス構築率,Opponent_ボール保持率,mats_ボール保持率,URL
A,仙台,L,1,3,11,9,3,5,0,0,374,257,17,7,12,15,0,0,2,5,35,31,10,10,14,16,42,25,3,0,0,0,2,2,0,0,38,28,11,15,"107,560m","110,314m",140,156,133,139,8.3%,6.5%,59.2%,40.8%,https://www.football-lab.jp/mats/report/?year=2015&month=08&date=12
H,名古屋,L,0,1,12,15,3,2,0,0,383,323,16,22,12,8,4,0,5,4,24,25,12,8,13,17,32,24,1,3,0,4,0,0,0,0,42,45,16,15,"105,844m","112,152m",142,153,135,127,8.9%,11.8%,52.3%,47.7%,https://www.football-lab.jp/mats/report/?year=2015&month=08&date=16
A,柏,L,0,2,18,12,5,2,0,0,656,349,16,20,5,12,1,0,4,5,21,35,14,8,21,27,35,28,2,4,0,1,1,1,0,0,51,45,15,16,"109,827m","115,642m",126,155,109,125,16.5%,9.6%,61.2%,38.8%,https://www.football-lab.jp/mats/report/?year=2015&month=08&date=20
A,湘南,D,1,1,16,11,3,2,0,0,553,246,24,16,14,8,4,2,3,4,31,19,13,3,16,30,25,45,3,4,2,4,1,4,0,0,61,30,13,8,"116,813m","116,878m",147,169,133,118,12.0%,9.3%,64.5%,35.5%,https://www.football-lab.jp/mats/report/?year=2015&month=09&date=12
H,Ｇ大阪,D,1,1,20,9,4,2,0,0,636,202,25,13,12,10,0,1,12,5,22,10,9,8,10,20,9,32,0,1,1,0,3,0,0,0,57,35,17,15,"110,955m","113,956m",140,170,116,103,17.2%,8.7%,66.8%,33.2%,https://www.football-lab.jp/mats/report/?year=2015&month=09&date=20
H,山形,D,2,2,9,17,2,2,1,0,363,273,10,13,12,16,3,1,6,6,27,20,5,10,17,25,37,26,2,2,1,3,2,3,0,0,30,37,11,17,"106,203m","108,594m",132,173,130,122,6.9%,13.9%,55.5%,44.5%,https://www.football-lab.jp/mats/report/?year=2015&month=09&date=23
A,FC東京,L,0,1,13,13,4,3,0,0,313,335,15,21,19,6,2,4,6,7,16,28,9,12,20,14,36,12,2,0,4,2,2,2,0,0,28,29,16,18,"103,558m","107,990m",123,169,131,127,9.9%,10.2%,53.7%,46.3%,https://www.football-lab.jp/mats/report/?year=2015&month=09&date=26
H,清水,W,1,0,7,14,2,3,0,0,376,257,20,9,13,13,5,0,2,7,33,44,11,8,22,24,45,30,1,4,0,5,1,2,0,0,49,28,12,8,"103,783m","109,608m",143,151,143,155,4.9%,9.0%,54.2%,45.8%,https://www.football-lab.jp/mats/report/?year=2015&month=10&date=03
A,新潟,L,0,2,12,12,3,2,0,0,401,303,9,13,13,15,1,4,5,4,24,21,13,17,20,22,26,18,0,7,4,1,1,1,0,0,30,30,13,11,"110,704m","111,225m",126,137,130,128,9.2%,9.4%,55.8%,44.2%,https://www.football-lab.jp/mats/report/?year=2015&month=10&date=17
H,鳥栖,L,1,2,13,11,5,4,0,1,406,302,16,8,15,9,0,3,5,2,31,20,14,8,16,22,30,30,1,2,3,0,1,1,0,0,49,30,14,8,"113,439m","111,639m",140,171,143,124,9.1%,8.9%,55.5%,44.5%,https://www.football-lab.jp/mats/report/?year=2015&month=10&date=24
A,神戸,L,1,2,24,20,6,6,1,0,546,307,20,18,7,8,0,3,6,6,28,17,20,11,16,32,19,31,3,3,3,0,0,1,0,0,64,39,23,20,"111,829m","120,951m",165,192,138,138,17.4%,14.5%,60.4%,39.6%,https://www.football-lab.jp/mats/report/?year=2015&month=11&date=07
A,横浜FM,D,0,0,17,7,3,2,0,0,598,321,15,8,12,8,1,1,8,2,33,21,18,13,25,34,17,32,7,5,1,1,1,0,0,0,58,22,12,3,"111,837m","117,383m",116,158,141,125,12.1%,5.6%,62.7%,37.3%,https://www.football-lab.jp/mats/report/?year=2015&month=11&date=22
