HOME/AWAY,Opponent,勝敗,fctk_得点,fctk_失点,Opponent_シュート,fctk_シュート,Opponent_枠内シュート,fctk_枠内シュート,Opponent_PKによるシュート,fctk_PKによるシュート,Opponent_パス,fctk_パス,Opponent_クロス,fctk_クロス,Opponent_直接ＦＫ,fctk_直接ＦＫ,Opponent_間接ＦＫ,fctk_間接ＦＫ,Opponent_ＣＫ,fctk_ＣＫ,Opponent_スローイン,fctk_スローイン,Opponent_ドリブル,fctk_ドリブル,Opponent_タックル,fctk_タックル,Opponent_クリア,fctk_クリア,Opponent_インターセプト,fctk_インターセプト,Opponent_オフサイド,fctk_オフサイド,Opponent_警告,fctk_警告,Opponent_退場,fctk_退場,Opponent_３０ｍライン進入,fctk_３０ｍライン進入,Opponent_ペナルティエリア進入,fctk_ペナルティエリア進入,Opponent_総移動距離,fctk_総移動距離,Opponent_スプリント,fctk_スプリント,Opponent_攻撃回数,fctk_攻撃回数,Opponent_チャンス構築率,fctk_チャンス構築率,Opponent_ボール保持率,fctk_ボール保持率,URL
A,Ｇ大阪,D,2,2,12,9,5,4,1,0,375,551,7,23,18,19,2,1,4,3,19,35,12,12,20,26,51,25,2,3,1,1,2,3,0,0,31,53,9,11,"115,007m","115,975m",189,168,132,141,9.1%,6.4%,44.9%,55.1%,https://www.football-lab.jp/fctk/report/?year=2015&month=03&date=07
H,横浜FM,D,0,0,11,4,4,0,0,0,484,546,17,30,11,12,1,1,5,11,32,27,15,18,26,41,31,23,2,9,1,1,0,0,0,0,36,44,12,14,"114,265m","115,946m",139,156,148,145,7.4%,2.8%,46.1%,53.9%,https://www.football-lab.jp/fctk/report/?year=2015&month=03&date=14
A,神戸,W,2,0,16,9,4,3,1,0,599,321,28,6,8,11,6,1,9,5,34,20,20,12,24,27,16,43,3,0,0,6,2,0,0,0,61,30,24,10,"119,284m","120,054m",195,163,144,133,11.1%,6.8%,62.6%,37.4%,https://www.football-lab.jp/fctk/report/?year=2015&month=03&date=22
H,甲府,W,1,0,7,14,1,2,0,1,490,391,13,14,19,19,2,1,4,7,24,26,8,16,29,34,24,22,3,3,0,2,4,1,0,0,33,42,7,9,"113,556m","114,417m",142,159,142,143,4.9%,9.8%,51.2%,48.8%,https://www.football-lab.jp/fctk/report/?year=2015&month=04&date=04
A,湘南,W,1,0,9,13,5,3,0,0,392,408,18,16,16,17,2,3,1,4,28,29,20,11,32,26,18,23,2,2,3,2,1,3,0,0,39,32,10,15,"116,389m","109,676m",194,167,142,145,6.3%,9.0%,46.3%,53.7%,https://www.football-lab.jp/fctk/report/?year=2015&month=04&date=12
H,広島,L,1,2,17,10,5,1,0,0,565,487,21,20,12,13,1,6,1,3,25,11,23,15,24,21,22,17,7,4,6,1,1,0,0,0,40,54,17,10,"117,844m","118,043m",144,170,126,119,13.5%,8.4%,52.5%,47.5%,https://www.football-lab.jp/fctk/report/?year=2015&month=04&date=18
A,山形,W,1,0,9,11,1,2,0,0,374,353,19,13,13,18,3,1,3,5,39,23,12,9,22,19,28,37,1,3,1,3,2,2,0,0,37,35,13,10,"114,642m","110,741m",209,203,146,148,6.2%,7.4%,47.9%,52.1%,https://www.football-lab.jp/fctk/report/?year=2015&month=04&date=25
A,新潟,W,1,0,15,8,2,2,0,0,444,439,13,12,14,11,0,3,3,2,32,17,18,5,15,16,12,36,0,2,3,0,2,3,0,0,51,39,13,11,"114,877m","111,255m",162,133,127,122,11.8%,6.6%,50.7%,49.3%,https://www.football-lab.jp/fctk/report/?year=2015&month=04&date=29
H,川崎Ｆ,W,2,1,17,14,3,5,0,0,603,343,4,14,16,14,4,2,2,5,21,23,19,8,26,33,32,22,2,2,1,4,3,4,1,0,45,28,16,15,"101,578m","108,963m",146,142,123,119,13.8%,11.8%,59.3%,40.7%,https://www.football-lab.jp/fctk/report/?year=2015&month=05&date=02
A,仙台,W,3,2,14,12,4,6,1,1,382,366,16,13,11,18,5,9,4,6,34,23,10,9,20,20,26,41,0,0,8,5,1,3,0,0,40,33,18,14,"114,259m","114,578m",158,159,127,126,11.0%,9.5%,50.1%,49.9%,https://www.football-lab.jp/fctk/report/?year=2015&month=05&date=06
