HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,Opponent_シュート,ka-f_シュート,Opponent_枠内シュート,ka-f_枠内シュート,Opponent_PKによるシュート,ka-f_PKによるシュート,Opponent_パス,ka-f_パス,Opponent_クロス,ka-f_クロス,Opponent_直接ＦＫ,ka-f_直接ＦＫ,Opponent_間接ＦＫ,ka-f_間接ＦＫ,Opponent_ＣＫ,ka-f_ＣＫ,Opponent_スローイン,ka-f_スローイン,Opponent_ドリブル,ka-f_ドリブル,Opponent_タックル,ka-f_タックル,Opponent_クリア,ka-f_クリア,Opponent_インターセプト,ka-f_インターセプト,Opponent_オフサイド,ka-f_オフサイド,Opponent_警告,ka-f_警告,Opponent_退場,ka-f_退場,Opponent_３０ｍライン進入,ka-f_３０ｍライン進入,Opponent_ペナルティエリア進入,ka-f_ペナルティエリア進入,Opponent_総移動距離,ka-f_総移動距離,Opponent_スプリント,ka-f_スプリント,Opponent_攻撃回数,ka-f_攻撃回数,Opponent_チャンス構築率,ka-f_チャンス構築率,Opponent_ボール保持率,ka-f_ボール保持率,URL
A,横浜FM,W,3,1,13,21,7,8,0,0,518,590,13,7,14,11,0,2,2,9,19,16,7,20,29,22,28,28,5,3,2,0,1,2,0,0,38,57,12,22,"120,379m","115,225m",148,136,120,122,10.8%,17.2%,49.7%,50.3%,https://www.football-lab.jp/ka-f/report/?year=2015&month=03&date=07
H,神戸,D,2,2,11,28,8,10,0,0,365,750,16,25,3,18,2,2,2,7,11,27,19,30,31,18,38,8,7,8,2,2,2,0,0,0,33,70,16,30,"112,072m","110,400m",182,173,111,136,9.9%,20.6%,40.5%,59.5%,https://www.football-lab.jp/ka-f/report/?year=2015&month=03&date=14
A,山形,L,0,1,18,13,3,1,0,0,388,589,24,5,4,7,1,3,6,5,17,37,14,16,30,20,36,25,2,2,3,1,0,0,0,0,48,48,9,12,"114,901m","106,942m",242,175,143,150,12.6%,8.7%,45%,55%,https://www.football-lab.jp/ka-f/report/?year=2015&month=03&date=22
H,新潟,W,4,1,12,6,4,4,0,0,458,555,28,6,11,14,2,4,7,3,21,21,22,20,35,25,24,31,3,5,5,2,1,3,0,0,71,40,17,10,"116,301m","114,599m",177,152,131,125,9.2%,4.8%,45.5%,54.5%,https://www.football-lab.jp/ka-f/report/?year=2015&month=04&date=04
H,浦和,D,1,1,12,8,4,2,0,0,484,563,17,8,9,16,1,4,8,3,27,15,15,8,22,26,9,27,1,0,4,1,1,1,0,0,41,32,17,9,"114,537m","111,634m",161,139,112,113,10.7%,7.1%,47.7%,52.3%,https://www.football-lab.jp/ka-f/report/?year=2015&month=04&date=12
A,仙台,W,3,2,22,24,8,10,0,0,294,807,15,22,8,4,4,2,5,7,30,16,10,12,19,26,22,28,4,4,2,4,1,1,0,0,41,61,19,28,"115,877m","114,190m",159,133,138,123,15.9%,19.5%,36.4%,63.6%,https://www.football-lab.jp/ka-f/report/?year=2015&month=04&date=18
H,甲府,W,3,0,9,21,1,8,0,0,384,930,8,8,8,8,1,2,5,2,17,16,9,16,32,18,17,9,2,4,2,0,0,0,0,0,32,98,7,14,"116,007m","113,761m",128,143,110,101,8.2%,20.8%,35.8%,64.2%,https://www.football-lab.jp/ka-f/report/?year=2015&month=04&date=25
H,柏,L,1,4,12,11,10,6,0,0,528,738,7,13,7,9,5,3,2,8,16,18,10,20,29,25,20,8,4,2,3,4,1,2,0,0,33,55,13,20,"112,256m","107,299m",121,136,112,122,10.7%,9.0%,43.9%,56.1%,https://www.football-lab.jp/ka-f/report/?year=2015&month=04&date=29
A,FC東京,L,1,2,14,17,5,3,0,0,343,603,14,4,14,16,2,4,5,2,23,21,8,19,33,26,22,32,2,2,4,1,4,3,0,1,28,45,15,16,"108,963m","101,578m",142,146,119,123,11.8%,13.8%,40.7%,59.3%,https://www.football-lab.jp/ka-f/report/?year=2015&month=05&date=02
H,広島,L,0,1,7,22,4,6,0,0,424,948,8,9,10,11,1,2,4,6,6,18,12,14,39,16,32,18,4,2,2,0,1,0,0,0,19,129,9,34,"109,379m","109,427m",105,120,105,110,6.7%,20.0%,37.6%,62.4%,https://www.football-lab.jp/ka-f/report/?year=2015&month=05&date=06
