HOME/AWAY,Opponent,勝敗,kasw_得点,kasw_失点,Opponent_シュート,kasw_シュート,Opponent_枠内シュート,kasw_枠内シュート,Opponent_PKによるシュート,kasw_PKによるシュート,Opponent_パス,kasw_パス,Opponent_クロス,kasw_クロス,Opponent_直接ＦＫ,kasw_直接ＦＫ,Opponent_間接ＦＫ,kasw_間接ＦＫ,Opponent_ＣＫ,kasw_ＣＫ,Opponent_スローイン,kasw_スローイン,Opponent_ドリブル,kasw_ドリブル,Opponent_タックル,kasw_タックル,Opponent_クリア,kasw_クリア,Opponent_インターセプト,kasw_インターセプト,Opponent_オフサイド,kasw_オフサイド,Opponent_警告,kasw_警告,Opponent_退場,kasw_退場,Opponent_３０ｍライン進入,kasw_３０ｍライン進入,Opponent_ペナルティエリア進入,kasw_ペナルティエリア進入,Opponent_総移動距離,kasw_総移動距離,Opponent_スプリント,kasw_スプリント,Opponent_攻撃回数,kasw_攻撃回数,Opponent_チャンス構築率,kasw_チャンス構築率,Opponent_ボール保持率,kasw_ボール保持率,URL
A,神戸,W,1,0,11,12,3,3,0,0,346,505,13,21,16,11,1,12,6,4,25,28,15,10,42,30,30,27,4,1,12,1,2,0,0,0,37,43,9,13,"109,724m","110,976m",166,162,141,150,7.8%,8.0%,45.5%,54.5%,https://www.football-lab.jp/kasw/report/?year=2015&month=03&date=07
H,仙台,D,1,1,7,17,3,2,0,0,237,806,11,14,13,20,1,7,5,4,17,24,9,15,21,17,30,16,7,3,7,1,3,1,1,0,23,77,8,17,"116,155m","117,340m",121,92,117,129,6.0%,13.2%,29.5%,70.5%,https://www.football-lab.jp/kasw/report/?year=2015&month=03&date=13
A,新潟,L,2,3,21,14,5,6,1,0,316,476,16,10,20,15,3,6,13,10,20,20,14,10,24,23,15,27,3,3,5,2,4,3,0,1,39,38,24,16,"110,269m","109,896m",194,163,145,144,14.5%,9.7%,41%,59%,https://www.football-lab.jp/kasw/report/?year=2015&month=03&date=22
H,横浜FM,L,1,2,14,15,4,4,0,0,544,564,13,16,17,17,1,5,4,5,21,19,12,16,29,24,23,17,6,3,4,1,1,1,0,0,35,55,10,12,"124,108m","122,084m",155,129,142,139,9.9%,10.8%,47.2%,52.8%,https://www.football-lab.jp/kasw/report/?year=2015&month=04&date=04
A,松本,W,3,1,17,15,3,5,0,0,303,631,18,8,9,14,2,4,9,4,31,15,9,12,22,19,22,35,3,4,4,1,1,0,0,0,38,57,18,23,"119,376m","110,474m",179,152,131,126,13.0%,11.9%,37%,63%,https://www.football-lab.jp/kasw/report/?year=2015&month=04&date=12
H,鹿島,L,1,3,17,19,10,10,0,0,295,625,12,17,9,17,6,1,8,8,19,25,13,14,20,22,40,21,2,1,1,6,2,1,0,0,35,50,12,22,"115,856m","115,578m",164,171,110,117,15.5%,16.2%,37.3%,62.7%,https://www.football-lab.jp/kasw/report/?year=2015&month=04&date=16
A,鳥栖,D,1,1,16,5,2,2,0,0,355,623,24,12,14,8,1,7,11,6,24,24,12,12,25,18,29,40,7,3,6,1,0,0,0,0,36,39,19,10,"119,019m","115,994m",179,142,143,129,11.2%,3.9%,39.5%,60.5%,https://www.football-lab.jp/kasw/report/?year=2015&month=04&date=25
A,川崎Ｆ,W,4,1,11,12,6,10,0,0,738,528,13,7,9,7,3,5,8,2,18,16,20,10,25,29,8,20,2,4,4,3,2,1,0,0,55,33,20,13,"107,299m","112,256m",136,121,122,112,9.0%,10.7%,56.1%,43.9%,https://www.football-lab.jp/kasw/report/?year=2015&month=04&date=29
H,清水,D,0,0,5,14,1,4,0,0,328,684,14,17,10,9,0,6,2,5,21,30,4,18,31,16,17,23,5,1,5,0,1,1,0,0,25,49,5,26,"110,057m","107,142m",135,133,136,139,3.7%,10.1%,35.2%,64.8%,https://www.football-lab.jp/kasw/report/?year=2015&month=05&date=02
A,山形,L,0,3,12,14,7,2,0,0,345,654,13,8,12,10,2,2,6,4,25,39,11,9,28,19,32,22,5,5,2,2,1,1,0,0,35,45,8,18,"115,630m","109,800m",170,143,139,144,8.6%,9.7%,37%,63%,https://www.football-lab.jp/kasw/report/?year=2015&month=05&date=10
