HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,kobe_シュート,Opponent_シュート,kobe_枠内シュート,Opponent_枠内シュート,kobe_PKによるシュート,Opponent_PKによるシュート,kobe_パス,Opponent_パス,kobe_クロス,Opponent_クロス,kobe_直接ＦＫ,Opponent_直接ＦＫ,kobe_間接ＦＫ,Opponent_間接ＦＫ,kobe_ＣＫ,Opponent_ＣＫ,kobe_スローイン,Opponent_スローイン,kobe_ドリブル,Opponent_ドリブル,kobe_タックル,Opponent_タックル,kobe_クリア,Opponent_クリア,kobe_インターセプト,Opponent_インターセプト,kobe_オフサイド,Opponent_オフサイド,kobe_警告,Opponent_警告,kobe_退場,Opponent_退場,kobe_３０ｍライン進入,Opponent_３０ｍライン進入,kobe_ペナルティエリア進入,Opponent_ペナルティエリア進入,kobe_総移動距離,Opponent_総移動距離,kobe_スプリント,Opponent_スプリント,kobe_攻撃回数,Opponent_攻撃回数,kobe_チャンス構築率,Opponent_チャンス構築率,kobe_ボール保持率,Opponent_ボール保持率,URL
H,柏,L,0,1,11,12,3,3,0,0,346,505,13,21,16,11,1,12,6,4,25,28,15,10,42,30,30,27,4,1,12,1,2,0,0,0,37,43,9,13,"109,724m","110,976m",166,162,141,150,7.8%,8.0%,45.5%,54.5%,https://www.football-lab.jp/kobe/report/?year=2015&month=03&date=07
A,川崎Ｆ,D,2,2,11,28,8,10,0,0,365,750,16,25,3,18,2,2,2,7,11,27,19,30,31,18,38,8,7,8,2,2,2,0,0,0,33,70,16,30,"112,072m","110,400m",182,173,111,136,9.9%,20.6%,40.5%,59.5%,https://www.football-lab.jp/kobe/report/?year=2015&month=03&date=14
H,FC東京,L,0,2,16,9,4,3,1,0,599,321,28,6,8,11,6,1,9,5,34,20,20,12,24,27,16,43,3,0,0,6,2,0,0,0,61,30,24,10,"119,284m","120,054m",195,163,144,133,11.1%,6.8%,62.6%,37.4%,https://www.football-lab.jp/kobe/report/?year=2015&month=03&date=22
A,広島,W,1,0,12,16,2,6,0,0,515,565,11,21,9,12,0,1,3,3,24,24,15,12,20,34,25,10,3,5,1,0,0,0,0,0,44,42,6,12,"116,397m","113,599m",162,143,128,128,9.4%,12.5%,50.4%,49.6%,https://www.football-lab.jp/kobe/report/?year=2015&month=04&date=04
H,甲府,W,4,1,22,8,11,3,0,0,598,486,15,11,14,15,1,3,4,4,17,19,12,7,28,27,21,18,4,5,2,1,0,0,0,0,33,42,15,13,"112,964m","114,230m",167,146,135,141,16.3%,5.7%,55.2%,44.8%,https://www.football-lab.jp/kobe/report/?year=2015&month=04&date=12
A,新潟,D,2,2,11,12,4,5,0,0,453,488,12,12,10,18,0,2,5,5,26,28,20,19,28,31,31,20,6,3,2,0,2,3,0,0,39,40,20,15,"113,348m","116,415m",199,187,138,143,8.0%,8.4%,50.2%,49.8%,https://www.football-lab.jp/kobe/report/?year=2015&month=04&date=18
A,鹿島,W,2,1,12,17,6,2,0,0,318,547,13,16,21,19,1,1,5,5,17,28,17,14,19,25,37,13,2,2,1,1,2,4,0,1,28,45,15,11,"114,163m","113,261m",157,150,129,143,9.3%,11.9%,42.3%,57.7%,https://www.football-lab.jp/kobe/report/?year=2015&month=04&date=25
H,名古屋,L,0,1,14,21,2,6,0,0,453,348,20,14,10,19,3,6,8,7,37,21,14,13,20,19,23,27,4,1,5,2,1,1,0,0,44,39,12,20,"105,334m","106,386m",134,175,139,137,10.1%,15.3%,54.2%,45.8%,https://www.football-lab.jp/kobe/report/?year=2015&month=04&date=29
A,鳥栖,D,1,1,15,10,2,2,0,0,605,283,17,12,6,19,2,2,5,5,24,20,11,11,19,19,17,22,0,0,2,2,0,0,0,0,50,33,15,9,"110,996m","113,576m",130,166,116,124,12.9%,8.1%,63.9%,36.1%,https://www.football-lab.jp/kobe/report/?year=2015&month=05&date=02
A,湘南,D,1,1,11,17,3,4,0,1,437,349,10,14,14,17,1,3,5,3,25,30,12,12,25,24,37,26,1,0,3,1,3,3,0,0,42,40,7,12,"108,682m","115,722m",158,175,132,142,8.3%,12.0%,55.1%,44.9%,https://www.football-lab.jp/kobe/report/?year=2015&month=05&date=06
