HOME/AWAY,Opponent,勝敗,niig_得点,niig_失点,Opponent_シュート,niig_シュート,Opponent_枠内シュート,niig_枠内シュート,Opponent_PKによるシュート,niig_PKによるシュート,Opponent_パス,niig_パス,Opponent_クロス,niig_クロス,Opponent_直接ＦＫ,niig_直接ＦＫ,Opponent_間接ＦＫ,niig_間接ＦＫ,Opponent_ＣＫ,niig_ＣＫ,Opponent_スローイン,niig_スローイン,Opponent_ドリブル,niig_ドリブル,Opponent_タックル,niig_タックル,Opponent_クリア,niig_クリア,Opponent_インターセプト,niig_インターセプト,Opponent_オフサイド,niig_オフサイド,Opponent_警告,niig_警告,Opponent_退場,niig_退場,Opponent_３０ｍライン進入,niig_３０ｍライン進入,Opponent_ペナルティエリア進入,niig_ペナルティエリア進入,Opponent_総移動距離,niig_総移動距離,Opponent_スプリント,niig_スプリント,Opponent_攻撃回数,niig_攻撃回数,Opponent_チャンス構築率,niig_チャンス構築率,Opponent_ボール保持率,niig_ボール保持率,URL
A,鳥栖,L,1,2,10,7,4,1,1,0,335,362,13,8,13,10,1,1,3,3,36,34,8,7,38,27,19,28,8,1,1,1,2,2,0,0,50,23,13,8,"107,810m","109,314m",134,139,147,141,6.8%,5.0%,49.1%,50.9%,https://www.football-lab.jp/niig/report/?year=2015&month=03&date=07
H,清水,D,0,0,8,15,2,3,0,0,365,541,16,31,14,13,1,1,1,12,26,32,5,15,22,36,29,19,7,4,1,1,2,2,0,0,40,70,14,26,"118,155m","119,804m",207,244,151,162,5.3%,9.3%,41.8%,58.2%,https://www.football-lab.jp/niig/report/?year=2015&month=03&date=14
H,柏,W,3,2,14,21,6,5,0,1,476,316,10,16,15,20,6,3,10,13,20,20,10,14,23,24,27,15,3,3,2,5,3,4,1,0,38,39,16,24,"109,896m","110,269m",163,194,144,145,9.7%,14.5%,59%,41%,https://www.football-lab.jp/niig/report/?year=2015&month=03&date=22
A,川崎Ｆ,L,1,4,6,12,4,4,0,0,555,458,6,28,14,11,4,2,3,7,21,21,20,22,25,35,31,24,5,3,2,5,3,1,0,0,40,71,10,17,"114,599m","116,301m",152,177,125,131,4.8%,9.2%,54.5%,45.5%,https://www.football-lab.jp/niig/report/?year=2015&month=04&date=04
A,鹿島,D,1,1,8,10,4,2,0,0,513,468,15,16,10,12,1,2,7,6,34,29,14,11,26,35,32,23,4,2,2,0,3,1,0,0,43,37,11,11,"116,640m","118,518m",197,178,151,148,5.3%,6.8%,52.6%,47.4%,https://www.football-lab.jp/niig/report/?year=2015&month=04&date=12
H,神戸,D,2,2,11,12,4,5,0,0,453,488,12,12,10,18,0,2,5,5,26,28,20,19,28,31,31,20,6,3,2,0,2,3,0,0,39,40,20,15,"113,348m","116,415m",199,187,138,143,8.0%,8.4%,50.2%,49.8%,https://www.football-lab.jp/niig/report/?year=2015&month=04&date=18
A,Ｇ大阪,L,1,2,9,15,5,3,0,0,463,392,9,11,19,10,2,2,4,3,22,20,16,14,27,30,18,24,3,3,1,1,1,3,0,0,38,37,10,13,"109,613m","108,404m",183,160,132,128,6.8%,11.7%,51.7%,48.3%,https://www.football-lab.jp/niig/report/?year=2015&month=04&date=26
H,FC東京,L,0,1,8,15,2,2,0,0,439,444,12,13,11,14,3,0,2,3,17,32,5,18,16,15,36,12,2,0,0,3,3,2,0,0,39,51,11,13,"111,255m","114,877m",133,162,122,127,6.6%,11.8%,49.3%,50.7%,https://www.football-lab.jp/niig/report/?year=2015&month=04&date=29
A,松本,W,2,1,17,15,5,4,0,1,250,325,10,25,11,15,2,1,3,7,24,40,6,24,28,20,31,23,3,0,1,2,1,2,0,0,28,47,22,21,"111,281m","109,342m",153,127,135,159,12.6%,9.4%,42.9%,57.1%,https://www.football-lab.jp/niig/report/?year=2015&month=05&date=02
H,山形,D,1,1,9,11,3,5,0,0,392,422,21,10,7,7,2,3,4,5,38,33,13,13,30,23,24,28,2,0,1,2,0,0,0,0,35,43,17,15,"109,905m","107,931m",169,143,163,161,5.5%,6.8%,48.5%,51.5%,https://www.football-lab.jp/niig/report/?year=2015&month=05&date=06
A,横浜FM,L,0,1,9,10,2,2,0,0,441,402,11,23,6,11,4,9,5,8,27,18,18,9,22,41,18,20,3,5,8,3,0,1,0,0,40,43,18,17,"113,246m","113,825m",150,176,139,137,6.5%,7.3%,50.5%,49.5%,https://www.football-lab.jp/niig/report/?year=2015&month=05&date=10
H,仙台,L,0,3,23,13,7,1,0,0,365,422,12,15,19,10,0,3,4,3,20,25,9,13,21,21,30,24,2,1,3,0,3,5,0,0,47,43,22,14,"116,419m","110,513m",182,195,135,124,17.0%,10.5%,49.7%,50.3%,https://www.football-lab.jp/niig/report/?year=2015&month=05&date=16
A,広島,L,2,4,16,9,5,5,0,0,562,449,20,18,8,4,1,0,7,9,34,20,17,8,14,27,16,18,2,4,0,1,1,1,0,0,45,29,23,9,"116,682m","116,385m",177,198,123,107,13.0%,8.4%,53%,47%,https://www.football-lab.jp/niig/report/?year=2015&month=05&date=23
H,甲府,L,0,2,7,12,4,3,0,0,470,526,4,15,15,16,6,3,1,4,21,27,8,13,25,32,29,22,5,1,2,4,0,0,0,0,38,34,9,15,"109,369m","108,372m",116,112,137,130,5.1%,9.2%,47.4%,52.6%,https://www.football-lab.jp/niig/report/?year=2015&month=05&date=30
H,名古屋,D,1,1,16,11,6,4,0,0,390,383,11,10,15,10,4,1,3,8,25,21,18,12,27,32,28,22,4,5,1,4,1,4,0,0,55,45,15,19,"108,868m","113,009m",207,173,147,151,10.9%,7.3%,49.9%,50.1%,https://www.football-lab.jp/niig/report/?year=2015&month=06&date=07
A,湘南,W,3,1,17,13,3,8,0,0,524,353,8,13,19,10,2,3,3,3,28,22,11,18,23,27,21,23,1,3,2,1,1,1,0,0,41,39,16,13,"120,303m","117,644m",187,185,149,153,11.4%,8.5%,53.7%,46.3%,https://www.football-lab.jp/niig/report/?year=2015&month=06&date=20
A,浦和,L,2,5,15,16,6,7,1,1,535,356,17,10,17,12,0,3,3,7,14,26,18,9,24,17,16,11,4,3,3,0,0,0,0,0,46,37,17,14,"111,237m","110,106m",160,173,131,129,11.5%,12.4%,58.4%,41.6%,https://www.football-lab.jp/niig/report/?year=2015&month=06&date=27
H,鹿島,L,2,3,9,17,5,6,0,0,421,406,16,11,15,14,1,4,6,6,23,34,18,14,22,26,17,12,1,3,4,1,0,1,0,0,42,45,17,19,"119,780m","122,196m",189,214,142,152,6.3%,11.2%,52.2%,47.8%,https://www.football-lab.jp/niig/report/?year=2015&month=07&date=11
A,FC東京,L,1,3,10,8,6,4,0,1,315,502,15,11,21,16,3,1,5,4,22,32,16,12,19,15,19,19,0,2,1,2,4,1,0,0,36,37,12,9,"109,569m","110,366m",114,130,127,135,7.9%,5.9%,41.1%,58.9%,https://www.football-lab.jp/niig/report/?year=2015&month=07&date=15
H,鳥栖,W,1,0,3,15,1,3,0,0,358,402,5,13,15,11,1,5,2,9,16,29,6,11,27,23,19,13,1,3,4,1,0,2,0,0,25,39,7,18,"111,330m","113,406m",147,187,131,155,2.3%,9.7%,48.3%,51.7%,https://www.football-lab.jp/niig/report/?year=2015&month=07&date=19
A,山形,W,3,1,12,15,5,5,0,1,411,395,11,17,11,12,2,1,5,6,27,29,12,11,22,20,18,17,4,3,1,2,2,2,0,0,33,34,10,23,"111,782m","114,762m",149,172,153,157,7.8%,9.6%,50.5%,49.5%,https://www.football-lab.jp/niig/report/?year=2015&month=07&date=25
H,Ｇ大阪,D,2,2,14,19,5,4,1,0,429,419,13,18,15,13,0,1,10,10,21,18,16,11,31,23,20,20,2,5,1,0,2,2,0,0,40,57,16,18,"108,778m","113,048m",136,151,137,133,10.2%,14.3%,50.3%,49.7%,https://www.football-lab.jp/niig/report/?year=2015&month=07&date=29
H,浦和,L,1,2,21,13,9,7,0,0,495,365,15,11,18,11,4,0,5,8,18,23,17,9,24,27,20,11,6,4,0,3,3,3,0,0,46,42,16,15,"110,885m","110,156m",153,150,131,127,16.0%,10.2%,57.2%,42.8%,https://www.football-lab.jp/niig/report/?year=2015&month=08&date=12
A,清水,D,1,1,14,8,6,4,1,0,390,434,18,14,13,10,3,0,7,7,26,23,21,17,25,22,22,22,2,1,0,3,2,2,0,0,40,44,20,10,"107,256m","110,158m",138,112,137,135,10.2%,5.9%,48%,52%,https://www.football-lab.jp/niig/report/?year=2015&month=08&date=16
H,広島,L,0,2,15,25,4,8,0,0,420,438,10,22,14,6,4,2,3,13,16,23,9,12,24,11,21,18,1,0,2,4,2,1,0,0,36,67,10,30,"110,528m","109,180m",141,168,116,119,12.9%,21.0%,50.2%,49.8%,https://www.football-lab.jp/niig/report/?year=2015&month=08&date=22
A,仙台,W,1,0,15,15,4,3,0,0,297,440,13,16,14,7,4,0,3,8,20,40,8,15,24,27,38,20,0,2,0,4,1,2,1,0,35,41,13,20,"111,292m","115,330m",170,178,137,134,10.9%,11.2%,45%,55%,https://www.football-lab.jp/niig/report/?year=2015&month=08&date=29
H,横浜FM,D,1,1,10,8,1,1,0,0,531,365,14,9,23,14,1,1,5,2,20,13,20,11,23,29,9,22,2,2,1,1,0,5,0,2,51,28,15,7,"113,205m","109,742m",137,127,128,114,7.8%,7.0%,55.7%,44.3%,https://www.football-lab.jp/niig/report/?year=2015&month=09&date=12
A,神戸,W,2,1,17,14,4,6,0,0,471,456,5,13,15,19,0,2,4,1,16,20,13,13,33,30,16,21,5,3,1,0,1,1,0,0,37,36,18,13,"113,002m","116,040m",179,168,143,142,11.9%,9.9%,49.9%,50.1%,https://www.football-lab.jp/niig/report/?year=2015&month=09&date=19
H,川崎Ｆ,L,1,2,11,10,2,3,0,0,535,365,9,10,19,13,1,0,7,5,19,22,17,13,14,21,26,21,3,4,0,1,1,2,0,0,45,33,23,15,"114,626m","113,048m",157,151,126,129,8.7%,7.8%,55.9%,44.1%,https://www.football-lab.jp/niig/report/?year=2015&month=09&date=26
A,甲府,D,0,0,8,8,2,3,0,0,340,583,11,19,12,11,3,1,3,4,30,28,10,11,11,17,22,21,4,2,1,3,0,1,0,0,30,45,11,11,"108,626m","110,224m",135,141,133,118,6.0%,6.8%,40%,60%,https://www.football-lab.jp/niig/report/?year=2015&month=10&date=03
H,松本,W,2,0,12,12,2,3,0,0,303,401,13,9,15,13,4,1,4,5,21,24,17,13,22,20,18,26,7,0,1,4,1,1,0,0,30,30,11,13,"111,225m","110,704m",137,126,128,130,9.4%,9.2%,44.2%,55.8%,https://www.football-lab.jp/niig/report/?year=2015&month=10&date=17
A,名古屋,L,2,4,16,17,6,5,1,0,411,420,17,8,16,9,1,2,4,5,21,26,9,13,21,14,20,21,4,6,2,1,0,2,0,0,45,39,16,18,"107,253m","109,480m",177,155,144,145,11.1%,11.7%,47.4%,52.6%,https://www.football-lab.jp/niig/report/?year=2015&month=10&date=24
H,湘南,L,0,2,20,11,7,3,0,0,384,566,17,20,10,9,4,0,2,3,27,39,17,16,34,26,29,21,1,3,0,4,0,0,0,0,29,40,14,12,"119,098m","123,267m",189,180,157,149,12.7%,7.4%,45.4%,54.6%,https://www.football-lab.jp/niig/report/?year=2015&month=11&date=07
A,柏,D,1,1,8,13,2,3,0,1,431,414,3,15,19,15,4,2,8,5,26,24,15,12,25,29,28,19,2,2,1,4,2,4,0,0,23,29,10,17,"114,218m","117,557m",146,169,136,126,5.9%,10.3%,51.5%,48.5%,https://www.football-lab.jp/niig/report/?year=2015&month=11&date=22
