HOME/AWAY,Opponent,勝敗,tosu_得点,tosu_失点,tosu_シュート,Opponent_シュート,tosu_枠内シュート,Opponent_枠内シュート,tosu_PKによるシュート,Opponent_PKによるシュート,tosu_パス,Opponent_パス,tosu_クロス,Opponent_クロス,tosu_直接ＦＫ,Opponent_直接ＦＫ,tosu_間接ＦＫ,Opponent_間接ＦＫ,tosu_ＣＫ,Opponent_ＣＫ,tosu_スローイン,Opponent_スローイン,tosu_ドリブル,Opponent_ドリブル,tosu_タックル,Opponent_タックル,tosu_クリア,Opponent_クリア,tosu_インターセプト,Opponent_インターセプト,tosu_オフサイド,Opponent_オフサイド,tosu_警告,Opponent_警告,tosu_退場,Opponent_退場,tosu_３０ｍライン進入,Opponent_３０ｍライン進入,tosu_ペナルティエリア進入,Opponent_ペナルティエリア進入,tosu_総移動距離,Opponent_総移動距離,tosu_スプリント,Opponent_スプリント,tosu_攻撃回数,Opponent_攻撃回数,tosu_チャンス構築率,Opponent_チャンス構築率,tosu_ボール保持率,Opponent_ボール保持率,URL
H,新潟,W,2,1,10,7,4,1,1,0,335,362,13,8,13,10,1,1,3,3,36,34,8,7,38,27,19,28,8,1,1,1,2,2,0,0,50,23,13,8,"107,810m","109,314m",134,139,147,141,6.8%,5.0%,49.1%,50.9%,https://www.football-lab.jp/tosu/report/?year=2015&month=03&date=07
H,Ｇ大阪,W,1,0,13,23,3,2,0,0,258,629,6,20,12,16,1,2,5,4,14,28,14,14,24,20,33,13,5,0,1,1,2,0,0,0,21,35,9,13,"110,909m","106,228m",130,145,115,121,11.3%,19.0%,36.7%,63.3%,https://www.football-lab.jp/tosu/report/?year=2015&month=03&date=14
A,横浜FM,L,0,1,9,11,3,4,0,0,307,461,10,9,16,22,2,3,5,4,27,23,4,10,27,16,44,34,1,0,2,2,2,1,0,0,34,33,10,12,"113,011m","112,558m",126,118,126,123,7.1%,8.9%,43.2%,56.8%,https://www.football-lab.jp/tosu/report/?year=2015&month=03&date=22
A,鹿島,L,1,3,7,20,2,7,0,1,200,442,9,14,21,22,0,5,4,7,13,34,7,17,27,15,23,16,7,2,5,0,4,2,0,0,21,53,4,8,"110,983m","111,418m",154,141,115,133,6.1%,15.0%,36.3%,63.7%,https://www.football-lab.jp/tosu/report/?year=2015&month=04&date=03
H,山形,W,1,0,12,17,2,5,0,0,331,358,18,16,17,14,4,1,3,6,23,19,8,6,20,23,34,23,3,1,1,4,1,1,0,0,33,35,15,13,"110,803m","115,278m",153,171,134,131,9.0%,13.0%,48.6%,51.4%,https://www.football-lab.jp/tosu/report/?year=2015&month=04&date=12
A,甲府,W,3,0,12,8,4,1,1,0,420,497,8,14,13,16,1,4,3,4,24,14,5,10,20,21,26,19,6,1,4,1,1,2,0,0,28,43,12,12,"115,996m","110,777m",156,134,143,133,8.4%,6.0%,47.9%,52.1%,https://www.football-lab.jp/tosu/report/?year=2015&month=04&date=18
H,柏,D,1,1,16,5,2,2,0,0,355,623,24,12,14,8,1,7,11,6,24,24,12,12,25,18,29,40,7,3,6,1,0,0,0,0,36,39,19,10,"119,019m","115,994m",179,142,143,129,11.2%,3.9%,39.5%,60.5%,https://www.football-lab.jp/tosu/report/?year=2015&month=04&date=25
A,湘南,L,2,4,14,14,4,6,0,0,430,366,16,14,14,14,4,2,2,2,31,16,7,10,24,18,24,34,6,2,1,4,2,2,0,0,39,36,20,15,"118,098m","120,564m",144,171,151,140,9.3%,10.0%,53.6%,46.4%,https://www.football-lab.jp/tosu/report/?year=2015&month=04&date=29
H,神戸,D,1,1,10,15,2,2,0,0,283,605,12,17,19,6,2,2,5,5,20,24,11,11,19,19,22,17,0,0,2,2,0,0,0,0,33,50,9,15,"113,576m","110,996m",166,130,124,116,8.1%,12.9%,36.1%,63.9%,https://www.football-lab.jp/tosu/report/?year=2015&month=05&date=02
A,清水,D,2,2,13,16,4,5,0,1,413,363,21,16,17,14,1,6,9,4,24,14,7,13,17,21,20,28,3,1,5,0,2,2,0,0,43,40,17,23,"114,495m","112,478m",171,138,145,132,9.0%,12.1%,52.5%,47.5%,https://www.football-lab.jp/tosu/report/?year=2015&month=05&date=06
