HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,Opponent_シュート,kasm_シュート,Opponent_枠内シュート,kasm_枠内シュート,Opponent_PKによるシュート,kasm_PKによるシュート,Opponent_パス,kasm_パス,Opponent_クロス,kasm_クロス,Opponent_直接ＦＫ,kasm_直接ＦＫ,Opponent_間接ＦＫ,kasm_間接ＦＫ,Opponent_ＣＫ,kasm_ＣＫ,Opponent_スローイン,kasm_スローイン,Opponent_ドリブル,kasm_ドリブル,Opponent_タックル,kasm_タックル,Opponent_クリア,kasm_クリア,Opponent_インターセプト,kasm_インターセプト,Opponent_オフサイド,kasm_オフサイド,Opponent_警告,kasm_警告,Opponent_退場,kasm_退場,Opponent_３０ｍライン進入,kasm_３０ｍライン進入,Opponent_ペナルティエリア進入,kasm_ペナルティエリア進入,Opponent_総移動距離,kasm_総移動距離,Opponent_スプリント,kasm_スプリント,Opponent_攻撃回数,kasm_攻撃回数,Opponent_チャンス構築率,kasm_チャンス構築率,Opponent_ボール保持率,kasm_ボール保持率,URL
A,清水,L,1,3,5,17,3,6,0,0,331,386,20,17,21,16,0,3,4,3,26,23,9,12,22,11,24,16,3,3,3,0,2,2,0,0,33,34,13,14,"112,013m","110,811m",156,147,143,135,3.5%,12.6%,46.2%,53.8%,https://www.football-lab.jp/kasm/report/?year=2015&month=03&date=08
H,湘南,L,1,2,9,20,2,5,1,0,383,516,18,24,18,17,5,2,6,4,22,21,8,10,29,25,31,26,6,3,2,5,3,1,1,0,43,44,13,21,"127,713m","123,021m",208,162,147,134,6.1%,14.9%,44.9%,55.1%,https://www.football-lab.jp/kasm/report/?year=2015&month=03&date=14
A,名古屋,D,1,1,12,16,4,3,0,0,433,425,25,18,27,11,3,3,2,5,28,27,10,8,19,15,22,27,3,3,3,3,1,4,0,0,43,40,19,14,"107,924m","111,824m",185,174,140,132,8.6%,12.1%,49.5%,50.5%,https://www.football-lab.jp/kasm/report/?year=2015&month=03&date=22
H,鳥栖,W,3,1,7,20,2,7,0,1,200,442,9,14,21,22,0,5,4,7,13,34,7,17,27,15,23,16,7,2,5,0,4,2,0,0,21,53,4,8,"110,983m","111,418m",154,141,115,133,6.1%,15.0%,36.3%,63.7%,https://www.football-lab.jp/kasm/report/?year=2015&month=04&date=03
H,新潟,D,1,1,10,8,2,4,0,0,468,513,16,15,12,10,2,1,6,7,29,34,11,14,35,26,23,32,2,4,0,2,1,3,0,0,37,43,11,11,"118,518m","116,640m",178,197,148,151,6.8%,5.3%,47.4%,52.6%,https://www.football-lab.jp/kasm/report/?year=2015&month=04&date=12
A,柏,W,3,1,19,17,10,10,0,0,625,295,17,12,17,9,1,6,8,8,25,19,14,13,22,20,21,40,1,2,6,1,1,2,0,0,50,35,22,12,"115,578m","115,856m",171,164,117,110,16.2%,15.5%,62.7%,37.3%,https://www.football-lab.jp/kasm/report/?year=2015&month=04&date=16
H,神戸,L,1,2,12,17,6,2,0,0,318,547,13,16,21,19,1,1,5,5,17,28,17,14,19,25,37,13,2,2,1,1,2,4,0,1,28,45,15,11,"114,163m","113,261m",157,150,129,143,9.3%,11.9%,42.3%,57.7%,https://www.football-lab.jp/kasm/report/?year=2015&month=04&date=25
A,仙台,W,2,1,15,15,4,6,0,0,410,435,21,13,16,14,3,8,6,4,31,18,10,10,13,12,13,32,3,4,8,2,2,1,0,0,43,37,13,14,"116,109m","112,811m",170,138,138,129,10.9%,11.6%,48.4%,51.6%,https://www.football-lab.jp/kasm/report/?year=2015&month=04&date=29
H,甲府,L,0,1,14,14,3,6,0,0,375,565,11,9,17,13,1,5,5,5,20,22,14,12,27,18,33,18,0,1,4,1,5,2,1,0,31,58,14,14,"113,098m","112,304m",128,124,131,123,10.7%,11.4%,44.3%,55.7%,https://www.football-lab.jp/kasm/report/?year=2015&month=05&date=02
A,FC東京,W,1,0,6,17,2,8,0,0,469,437,28,10,8,13,2,2,9,3,38,32,20,9,38,25,29,33,0,3,1,2,4,0,0,0,42,48,14,13,"117,520m","114,767m",183,151,140,140,4.3%,12.1%,50.4%,49.6%,https://www.football-lab.jp/kasm/report/?year=2015&month=05&date=10
