HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,g-os_シュート,Opponent_シュート,g-os_枠内シュート,Opponent_枠内シュート,g-os_PKによるシュート,Opponent_PKによるシュート,g-os_パス,Opponent_パス,g-os_クロス,Opponent_クロス,g-os_直接ＦＫ,Opponent_直接ＦＫ,g-os_間接ＦＫ,Opponent_間接ＦＫ,g-os_ＣＫ,Opponent_ＣＫ,g-os_スローイン,Opponent_スローイン,g-os_ドリブル,Opponent_ドリブル,g-os_タックル,Opponent_タックル,g-os_クリア,Opponent_クリア,g-os_インターセプト,Opponent_インターセプト,g-os_オフサイド,Opponent_オフサイド,g-os_警告,Opponent_警告,g-os_退場,Opponent_退場,g-os_３０ｍライン進入,Opponent_３０ｍライン進入,g-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,g-os_総移動距離,Opponent_総移動距離,g-os_スプリント,Opponent_スプリント,g-os_攻撃回数,Opponent_攻撃回数,g-os_チャンス構築率,Opponent_チャンス構築率,g-os_ボール保持率,Opponent_ボール保持率,URL
H,甲府,W,2,1,16,16,5,6,1,0,551,476,14,14,8,6,1,1,4,3,24,23,13,10,16,23,20,20,1,3,1,0,0,2,0,0,44,42,12,12,"110,968m","110,344m",160,140,118,120,13.6%,13.3%,51.2%,48.8%,https://www.football-lab.jp/g-os/report/?year=2015&month=07&date=11
A,名古屋,L,2,3,11,20,5,8,0,1,436,431,17,13,12,11,1,1,5,4,24,25,10,14,13,32,24,32,0,6,1,0,1,1,0,0,44,55,13,15,"106,072m","103,896m",155,159,124,113,8.9%,17.7%,49.6%,50.4%,https://www.football-lab.jp/g-os/report/?year=2015&month=07&date=15
H,横浜FM,D,2,2,12,13,5,2,0,0,377,580,3,13,18,21,0,3,2,2,20,18,10,7,19,12,18,13,1,3,3,0,1,2,0,0,19,53,6,10,"107,836m","111,493m",116,112,107,103,11.2%,12.6%,41.5%,58.5%,https://www.football-lab.jp/g-os/report/?year=2015&month=07&date=19
H,鳥栖,D,1,1,15,9,5,2,1,0,602,316,9,11,11,7,1,1,3,6,23,21,14,7,20,14,18,20,4,4,0,1,0,0,0,0,50,29,15,7,"106,914m","109,936m",119,111,106,114,14.2%,7.9%,61%,39%,https://www.football-lab.jp/g-os/report/?year=2015&month=07&date=22
A,神戸,W,2,1,16,13,5,3,0,0,590,358,9,19,16,7,2,2,3,7,23,22,15,13,24,36,27,16,0,4,2,2,0,1,0,1,54,38,16,12,"107,178m","99,441m",126,128,115,111,13.9%,11.7%,57.7%,42.3%,https://www.football-lab.jp/g-os/report/?year=2015&month=07&date=25
A,新潟,D,2,2,14,19,5,4,1,0,429,419,13,18,15,13,0,1,10,10,21,18,16,11,31,23,20,20,2,5,1,0,2,2,0,0,40,57,16,18,"108,778m","113,048m",136,151,137,133,10.2%,14.3%,50.3%,49.7%,https://www.football-lab.jp/g-os/report/?year=2015&month=07&date=29
A,FC東京,L,1,2,18,14,9,6,0,0,607,376,13,10,16,16,3,1,5,6,23,12,9,6,13,23,22,27,2,1,1,3,1,2,0,0,58,33,18,12,"110,860m","110,711m",121,122,117,111,15.4%,12.6%,59.1%,40.9%,https://www.football-lab.jp/g-os/report/?year=2015&month=08&date=16
H,清水,W,1,0,12,16,4,6,0,0,573,466,13,18,12,9,0,3,4,5,16,22,19,12,21,21,25,10,3,4,3,0,0,0,0,0,40,51,9,16,"116,186m","115,210m",165,175,129,133,9.3%,12.0%,54.6%,45.4%,https://www.football-lab.jp/g-os/report/?year=2015&month=08&date=22
H,湘南,W,1,0,20,16,4,6,0,0,424,526,11,21,13,9,0,2,6,7,18,28,6,12,26,13,28,28,4,4,2,0,2,0,0,0,32,52,8,15,"109,739m","114,178m",160,168,129,129,15.5%,12.4%,46.7%,53.3%,https://www.football-lab.jp/g-os/report/?year=2015&month=08&date=30
A,鹿島,W,2,1,9,18,3,3,0,0,371,589,6,19,11,15,1,3,3,5,25,35,15,22,38,19,33,14,5,3,3,1,2,1,0,0,29,62,11,11,"114,395m","115,222m",148,135,131,148,6.9%,12.2%,42.1%,57.9%,https://www.football-lab.jp/g-os/report/?year=2015&month=09&date=12
A,松本,D,1,1,20,9,4,2,0,0,636,202,25,13,12,10,0,1,12,5,22,10,9,8,10,20,9,32,0,1,1,0,3,0,0,0,57,35,17,15,"110,955m","113,956m",140,170,116,103,17.2%,8.7%,66.8%,33.2%,https://www.football-lab.jp/g-os/report/?year=2015&month=09&date=20
H,柏,W,3,1,14,13,5,4,0,1,483,659,13,13,9,7,1,1,2,2,12,23,14,8,32,22,25,15,2,2,1,0,0,3,0,0,47,56,14,10,"110,878m","113,129m",155,142,105,109,13.3%,11.9%,45.9%,54.1%,https://www.football-lab.jp/g-os/report/?year=2015&month=09&date=26
A,川崎Ｆ,L,3,5,11,24,5,11,0,1,540,588,13,14,11,15,2,1,1,3,10,12,11,15,21,22,19,19,5,4,1,2,4,0,0,0,50,55,13,18,"113,331m","114,647m",141,144,104,109,10.6%,22.0%,50.6%,49.4%,https://www.football-lab.jp/g-os/report/?year=2015&month=10&date=04
H,浦和,W,2,1,8,25,3,10,0,0,398,698,7,34,10,7,1,0,1,6,18,18,7,16,19,20,32,13,3,4,0,1,1,0,0,0,32,86,8,20,"116,224m","113,279m",145,148,115,113,7.0%,22.1%,40.8%,59.2%,https://www.football-lab.jp/g-os/report/?year=2015&month=10&date=17
A,仙台,W,3,1,18,10,9,3,0,0,627,457,15,9,13,6,1,6,7,6,19,21,9,9,16,17,12,15,2,0,6,1,0,0,0,0,40,44,19,7,"119,126m","119,260m",190,181,133,128,13.5%,7.8%,55.2%,44.8%,https://www.football-lab.jp/g-os/report/?year=2015&month=10&date=25
H,広島,L,0,2,18,18,4,6,0,0,647,433,11,16,10,13,0,1,3,1,21,14,11,13,13,18,18,24,7,8,1,0,4,1,1,0,59,40,16,11,"112,511m","109,072m",180,121,113,112,15.9%,16.1%,57%,43%,https://www.football-lab.jp/g-os/report/?year=2015&month=11&date=07
H,山形,W,4,0,15,18,7,3,0,0,586,394,14,12,11,8,2,3,4,4,23,18,13,14,11,21,27,23,6,1,3,2,0,0,0,0,64,42,15,9,"110,115m","108,821m",153,148,117,114,12.8%,15.8%,57.5%,42.5%,https://www.football-lab.jp/g-os/report/?year=2015&month=11&date=22
