HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,hiro_シュート,Opponent_シュート,hiro_枠内シュート,Opponent_枠内シュート,hiro_PKによるシュート,Opponent_PKによるシュート,hiro_パス,Opponent_パス,hiro_クロス,Opponent_クロス,hiro_直接ＦＫ,Opponent_直接ＦＫ,hiro_間接ＦＫ,Opponent_間接ＦＫ,hiro_ＣＫ,Opponent_ＣＫ,hiro_スローイン,Opponent_スローイン,hiro_ドリブル,Opponent_ドリブル,hiro_タックル,Opponent_タックル,hiro_クリア,Opponent_クリア,hiro_インターセプト,Opponent_インターセプト,hiro_オフサイド,Opponent_オフサイド,hiro_警告,Opponent_警告,hiro_退場,Opponent_退場,hiro_３０ｍライン進入,Opponent_３０ｍライン進入,hiro_ペナルティエリア進入,Opponent_ペナルティエリア進入,hiro_総移動距離,Opponent_総移動距離,hiro_スプリント,Opponent_スプリント,hiro_攻撃回数,Opponent_攻撃回数,hiro_チャンス構築率,Opponent_チャンス構築率,hiro_ボール保持率,Opponent_ボール保持率,URL
H,甲府,W,2,0,18,6,5,0,0,0,593,492,19,5,17,14,0,2,9,0,18,17,25,7,17,17,9,16,5,2,2,0,1,3,0,0,41,27,13,4,"113,445m","114,033m",130,143,115,113,15.7%,5.3%,53.2%,46.8%,https://www.football-lab.jp/hiro/report/?year=2015&month=03&date=07
A,松本,W,2,1,25,13,7,5,0,1,736,265,29,20,12,5,2,0,4,7,19,13,28,12,14,16,19,40,3,5,0,2,1,2,0,0,80,22,20,10,"110,756m","115,277m",130,141,110,106,22.7%,12.3%,68.5%,31.5%,https://www.football-lab.jp/hiro/report/?year=2015&month=03&date=14
H,浦和,D,0,0,13,10,2,3,0,0,398,682,9,18,10,10,2,1,3,6,10,21,14,12,14,17,23,10,0,2,1,2,2,1,0,0,33,44,10,9,"108,218m","109,221m",154,174,106,109,12.3%,9.2%,40%,60%,https://www.football-lab.jp/hiro/report/?year=2015&month=03&date=22
H,神戸,L,0,1,16,12,6,2,0,0,565,515,21,11,12,9,1,0,3,3,24,24,12,15,34,20,10,25,5,3,0,1,0,0,0,0,42,44,12,6,"113,599m","116,397m",143,162,128,128,12.5%,9.4%,49.6%,50.4%,https://www.football-lab.jp/hiro/report/?year=2015&month=04&date=04
A,名古屋,L,0,2,15,16,3,9,0,0,604,449,14,11,9,7,3,2,9,6,17,12,15,11,13,21,11,18,4,4,2,3,0,2,0,0,55,42,10,18,"109,556m","108,875m",175,196,124,111,12.1%,14.4%,54.9%,45.1%,https://www.football-lab.jp/hiro/report/?year=2015&month=04&date=12
A,FC東京,W,2,1,17,10,5,1,0,0,565,487,21,20,12,13,1,6,1,3,25,11,23,15,24,21,22,17,7,4,6,1,1,0,0,0,40,54,17,10,"117,844m","118,043m",144,170,126,119,13.5%,8.4%,52.5%,47.5%,https://www.football-lab.jp/hiro/report/?year=2015&month=04&date=18
H,清水,W,2,0,23,11,7,1,0,0,658,502,13,13,11,5,2,2,5,4,21,15,21,7,11,16,14,25,2,2,2,2,0,4,0,0,52,44,27,6,"112,430m","115,985m",134,186,119,111,19.3%,9.9%,56.8%,43.2%,https://www.football-lab.jp/hiro/report/?year=2015&month=04&date=25
A,横浜FM,W,2,1,21,8,8,3,0,0,554,602,19,9,9,9,0,1,8,5,13,16,22,6,21,10,21,21,4,3,1,0,0,0,0,0,51,37,12,8,"116,649m","119,187m",149,136,110,107,19.1%,7.5%,49.6%,50.4%,https://www.football-lab.jp/hiro/report/?year=2015&month=04&date=29
H,仙台,W,2,0,16,9,5,1,0,0,474,562,14,13,9,10,0,1,5,5,23,23,15,5,19,19,22,18,5,2,1,0,0,2,0,0,47,45,10,12,"110,665m","114,624m",109,122,107,108,15.0%,8.3%,47.2%,52.8%,https://www.football-lab.jp/hiro/report/?year=2015&month=05&date=02
A,川崎Ｆ,W,1,0,7,22,4,6,0,0,424,948,8,9,10,11,1,2,4,6,6,18,12,14,39,16,32,18,4,2,2,0,1,0,0,0,19,129,9,34,"109,379m","109,427m",105,120,105,110,6.7%,20.0%,37.6%,62.4%,https://www.football-lab.jp/hiro/report/?year=2015&month=05&date=06
H,Ｇ大阪,L,0,1,20,7,6,4,0,0,604,512,24,10,9,6,3,2,7,2,17,12,22,12,26,15,8,15,4,1,2,4,1,2,0,0,59,49,17,7,"115,011m","116,153m",137,181,112,102,17.9%,6.9%,54.2%,45.8%,https://www.football-lab.jp/hiro/report/?year=2015&month=05&date=10
