HOME/AWAY,Opponent,勝敗,fctk_得点,fctk_失点,Opponent_ゴール期待値,fctk_ゴール期待値,Opponent_シュート,fctk_シュート,Opponent_枠内シュート,fctk_枠内シュート,Opponent_PKによるシュート,fctk_PKによるシュート,Opponent_パス,fctk_パス,Opponent_クロス,fctk_クロス,Opponent_直接ＦＫ,fctk_直接ＦＫ,Opponent_間接ＦＫ,fctk_間接ＦＫ,Opponent_ＣＫ,fctk_ＣＫ,Opponent_スローイン,fctk_スローイン,Opponent_ドリブル,fctk_ドリブル,Opponent_タックル,fctk_タックル,Opponent_クリア,fctk_クリア,Opponent_インターセプト,fctk_インターセプト,Opponent_オフサイド,fctk_オフサイド,Opponent_警告,fctk_警告,Opponent_退場,fctk_退場,Opponent_３０ｍライン進入,fctk_３０ｍライン進入,Opponent_ペナルティエリア進入,fctk_ペナルティエリア進入,Opponent_総移動距離,fctk_総移動距離,Opponent_スプリント,fctk_スプリント,Opponent_攻撃回数,fctk_攻撃回数,Opponent_チャンス構築率,fctk_チャンス構築率,Opponent_ボール保持率,fctk_ボール保持率,URL
A,浦和,D,1,1,1.404,0.283,11,5,5,1,0,0,531,332,20,10,15,13,0,1,9,1,25,23,14,7,22,25,22,19,3,0,1,0,0,0,0,0,54,28,13,5,"114,029m","111,206m",196,216,128,120,8.6%,4.2%,58.7%,41.3%,https://www.football-lab.jp/fctk/report/?year=2021&month=02&date=27
H,Ｃ大阪,W,3,2,0.622,2.362,9,22,4,6,0,0,402,374,11,11,14,18,2,2,4,6,16,20,9,11,22,27,24,13,0,1,2,2,2,2,0,0,33,35,9,6,"111,488m","112,351m",168,197,123,131,7.3%,16.8%,51.9%,48.1%,https://www.football-lab.jp/fctk/report/?year=2021&month=03&date=06
H,神戸,L,2,3,1.664,1.459,11,18,6,9,0,0,609,407,13,13,8,9,1,2,0,6,25,32,5,12,29,17,27,14,0,0,1,1,1,1,0,0,35,33,9,12,"121,055m","116,295m",237,191,127,133,8.7%,13.5%,60.2%,39.8%,https://www.football-lab.jp/fctk/report/?year=2021&month=03&date=10
A,大分,D,1,1,1.089,0.826,10,11,1,3,0,0,627,423,12,19,5,8,1,0,4,6,22,28,6,10,15,12,30,15,0,0,0,1,0,0,0,0,21,36,8,16,"121,550m","120,572m",158,195,105,113,9.5%,9.7%,55.8%,44.2%,https://www.football-lab.jp/fctk/report/?year=2021&month=03&date=14
H,湘南,W,3,2,0.992,1.707,12,15,3,9,0,0,457,398,24,13,12,16,2,2,6,4,29,21,10,8,18,25,20,24,4,2,2,2,1,0,0,0,41,32,11,20,"116,708m","114,489m",190,217,121,114,9.9%,13.2%,53%,47%,https://www.football-lab.jp/fctk/report/?year=2021&month=03&date=17
H,仙台,W,2,1,0.919,1.964,11,16,3,3,0,0,461,333,16,10,10,16,0,1,4,5,26,24,7,11,22,20,13,24,0,1,1,0,5,1,0,0,36,34,6,13,"106,196m","106,532m",158,180,113,116,9.7%,13.8%,54%,46%,https://www.football-lab.jp/fctk/report/?year=2021&month=03&date=21
A,名古屋,D,0,0,0.244,0.574,8,9,1,3,0,0,609,461,12,13,7,10,1,1,2,6,30,16,10,13,22,19,20,18,0,4,1,1,2,1,0,0,40,41,8,7,"112,571m","111,474m",179,180,126,131,6.3%,6.9%,56.9%,43.1%,https://www.football-lab.jp/fctk/report/?year=2021&month=04&date=03
H,札幌,W,2,1,1.974,1.942,16,9,2,2,0,1,569,310,16,5,3,9,1,2,7,4,20,16,17,12,16,14,15,29,0,1,2,1,1,1,1,1,65,24,14,4,"108,292m","106,536m",153,154,99,111,16.2%,8.1%,57.9%,42.1%,https://www.football-lab.jp/fctk/report/?year=2021&month=04&date=07
H,川崎Ｆ,L,2,4,1.43,0.392,13,4,6,3,0,0,577,426,9,13,11,11,2,1,9,6,18,20,13,11,24,31,17,20,1,0,1,2,0,1,0,0,48,27,17,11,"112,029m","112,850m",200,201,126,122,10.3%,3.3%,54.7%,45.3%,https://www.football-lab.jp/fctk/report/?year=2021&month=04&date=11
A,福岡,L,0,1,2.506,0.772,17,8,3,2,0,0,311,397,13,14,14,16,3,1,3,6,18,24,4,7,18,8,40,23,0,1,0,3,1,2,0,0,32,28,11,9,"105,992m","106,355m",168,159,111,124,15.3%,6.5%,48.7%,51.3%,https://www.football-lab.jp/fctk/report/?year=2021&month=04&date=17
H,鳥栖,L,1,2,0.602,0.832,8,10,4,4,0,0,453,566,5,14,12,16,1,1,1,4,20,25,7,13,17,17,25,12,2,2,1,1,1,1,0,0,29,49,4,10,"125,407m","118,303m",144,188,115,114,7.0%,8.8%,44.7%,55.3%,https://www.football-lab.jp/fctk/report/?year=2021&month=04&date=24
H,横浜FM,L,0,3,2.684,0.922,17,14,8,4,0,0,623,401,13,10,5,16,1,2,3,8,22,28,8,15,23,19,25,14,4,1,2,1,0,2,0,0,56,32,16,11,"121,370m","117,713m",212,215,123,136,13.8%,10.3%,56.3%,43.7%,https://www.football-lab.jp/fctk/report/?year=2021&month=05&date=01
A,鹿島,L,0,3,2.303,0.233,20,2,6,0,0,0,598,294,17,7,10,14,1,2,12,1,29,18,6,3,16,10,11,33,1,2,2,1,0,0,0,0,64,15,18,3,"113,818m","108,942m",163,161,124,112,16.1%,1.8%,62.7%,37.3%,https://www.football-lab.jp/fctk/report/?year=2021&month=05&date=09
A,柏,W,4,0,1.243,1.663,18,8,5,6,0,0,445,351,26,6,9,19,4,1,12,4,34,22,21,13,24,22,10,28,0,2,1,3,0,3,0,0,45,18,16,12,"106,886m","109,228m",156,170,136,132,13.2%,6.1%,54.1%,45.9%,https://www.football-lab.jp/fctk/report/?year=2021&month=05&date=15
H,Ｇ大阪,W,1,0,1.057,2.134,13,13,3,3,0,0,492,455,16,11,13,14,2,1,4,3,20,25,17,7,20,19,19,25,1,1,1,2,1,0,0,0,46,32,11,10,"113,456m","111,563m",216,179,121,128,10.7%,10.2%,52.7%,47.3%,https://www.football-lab.jp/fctk/report/?year=2021&month=05&date=22
A,清水,L,0,3,1.708,0.718,20,9,6,2,0,0,261,591,6,14,5,6,0,1,5,11,25,36,12,7,19,21,44,17,1,0,1,0,0,1,0,0,27,53,9,11,"116,498m","111,948m",198,186,104,119,19.2%,7.6%,36.3%,63.7%,https://www.football-lab.jp/fctk/report/?year=2021&month=05&date=26
H,広島,D,0,0,1.783,0.289,23,4,4,1,0,0,561,463,26,5,12,4,0,2,9,4,16,14,19,8,27,16,9,27,3,0,2,0,0,1,0,0,62,39,22,6,"112,018m","113,818m",192,196,129,119,17.8%,3.4%,54.7%,45.3%,https://www.football-lab.jp/fctk/report/?year=2021&month=05&date=30
A,横浜FC,W,1,0,1.209,1.637,16,13,2,3,0,0,340,435,16,15,10,10,0,1,11,5,28,20,11,6,26,17,24,25,5,1,1,0,0,2,0,0,34,38,8,20,"108,965m","107,797m",183,238,120,111,13.3%,11.7%,47.1%,52.9%,https://www.football-lab.jp/fctk/report/?year=2021&month=06&date=19
A,徳島,W,1,0,0.843,0.899,8,9,1,2,0,0,598,283,8,8,14,14,1,1,4,3,30,17,8,11,14,17,16,17,2,1,1,1,2,1,0,0,40,21,6,5,"108,498m","108,259m",118,174,111,95,7.2%,9.5%,65.8%,34.2%,https://www.football-lab.jp/fctk/report/?year=2021&month=06&date=23
H,大分,W,3,0,0.615,1.575,5,18,2,3,0,0,530,517,9,18,9,9,3,1,4,7,18,21,7,14,18,13,24,9,1,0,1,3,0,0,1,0,31,45,3,24,"115,492m","113,981m",199,232,112,110,4.5%,16.4%,53.4%,46.6%,https://www.football-lab.jp/fctk/report/?year=2021&month=06&date=27
A,湘南,W,1,0,0.291,0.716,8,9,3,2,0,0,308,459,5,14,10,20,1,1,3,5,32,21,5,13,28,24,16,20,1,2,1,1,0,1,1,0,21,33,8,15,"112,471m","109,181m",182,206,139,141,5.8%,6.4%,44.8%,55.2%,https://www.football-lab.jp/fctk/report/?year=2021&month=07&date=11
