HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,hiro_ゴール期待値,Opponent_ゴール期待値,hiro_シュート,Opponent_シュート,hiro_枠内シュート,Opponent_枠内シュート,hiro_PKによるシュート,Opponent_PKによるシュート,hiro_パス,Opponent_パス,hiro_クロス,Opponent_クロス,hiro_直接ＦＫ,Opponent_直接ＦＫ,hiro_間接ＦＫ,Opponent_間接ＦＫ,hiro_ＣＫ,Opponent_ＣＫ,hiro_スローイン,Opponent_スローイン,hiro_ドリブル,Opponent_ドリブル,hiro_タックル,Opponent_タックル,hiro_クリア,Opponent_クリア,hiro_インターセプト,Opponent_インターセプト,hiro_オフサイド,Opponent_オフサイド,hiro_警告,Opponent_警告,hiro_退場,Opponent_退場,hiro_３０ｍライン進入,Opponent_３０ｍライン進入,hiro_ペナルティエリア進入,Opponent_ペナルティエリア進入,hiro_総移動距離,Opponent_総移動距離,hiro_スプリント,Opponent_スプリント,hiro_攻撃回数,Opponent_攻撃回数,hiro_チャンス構築率,Opponent_チャンス構築率,hiro_ボール保持率,Opponent_ボール保持率,URL
H,仙台,D,1,1,3.082,0.786,19,7,7,4,0,0,605,382,19,13,8,8,0,1,7,4,20,21,9,5,20,23,10,26,4,0,1,0,0,0,0,1,85,28,19,8,"114,175m","110,101m",164,183,108,114,17.6%,6.1%,57.6%,42.4%,https://www.football-lab.jp/hiro/report/?year=2021&month=02&date=27
A,横浜FM,D,3,3,2.58,1.886,11,14,7,5,2,0,266,804,11,32,13,11,1,2,6,8,17,18,22,8,19,15,36,17,4,1,2,1,0,3,0,0,24,86,7,20,"127,088m","129,125m",204,217,131,131,8.4%,10.7%,34.6%,65.4%,https://www.football-lab.jp/hiro/report/?year=2021&month=03&date=07
H,札幌,W,2,1,1.443,2.855,13,21,5,5,0,1,360,629,12,15,13,10,2,0,6,5,23,26,10,10,14,15,28,11,1,1,0,2,1,2,0,0,35,44,13,18,"119,716m","117,428m",197,178,116,118,11.2%,17.8%,39.8%,60.2%,https://www.football-lab.jp/hiro/report/?year=2021&month=03&date=10
A,鹿島,D,1,1,0.385,2.137,6,24,4,7,0,0,376,653,11,27,11,15,1,1,5,7,18,22,13,11,27,25,28,22,3,2,1,1,0,2,0,0,36,74,10,20,"124,897m","125,958m",183,158,129,140,4.7%,17.1%,40.7%,59.3%,https://www.football-lab.jp/hiro/report/?year=2021&month=03&date=13
H,清水,W,1,0,1.007,0.482,11,5,4,1,0,0,661,560,13,19,5,3,0,1,6,4,19,22,10,13,16,22,16,14,1,2,1,0,1,0,0,0,64,30,10,4,"123,541m","125,781m",149,181,101,99,10.9%,5.1%,52.8%,47.2%,https://www.football-lab.jp/hiro/report/?year=2021&month=03&date=17
A,大分,W,3,1,2.08,0.584,20,8,7,3,0,0,659,486,23,11,7,9,2,3,5,1,19,11,18,4,5,16,15,24,1,2,3,2,0,0,0,0,52,26,16,7,"122,369m","127,757m",191,183,104,99,19.2%,8.1%,56%,44%,https://www.football-lab.jp/hiro/report/?year=2021&month=03&date=21
H,Ｇ大阪,D,0,0,2.102,0.71,15,7,4,2,0,0,449,458,12,9,9,15,2,2,9,3,24,25,16,9,22,27,26,19,3,1,2,2,0,0,0,0,38,27,9,6,"111,047m","113,625m",161,177,122,128,12.3%,5.5%,49.7%,50.3%,https://www.football-lab.jp/hiro/report/?year=2021&month=04&date=03
A,横浜FC,W,3,0,1.378,0.037,16,1,7,1,0,0,652,608,12,11,3,8,0,2,4,0,25,19,15,6,24,16,16,23,3,1,2,0,0,0,0,0,48,28,14,3,"123,824m","121,741m",185,161,111,108,14.4%,0.9%,50.1%,49.9%,https://www.football-lab.jp/hiro/report/?year=2021&month=04&date=07
H,湘南,L,0,1,0.81,0.422,13,5,1,1,0,0,703,302,16,2,12,9,4,2,7,2,31,24,12,7,24,34,13,35,0,3,2,4,0,1,0,0,58,24,9,5,"113,644m","117,826m",135,146,142,131,9.2%,3.8%,62.7%,37.3%,https://www.football-lab.jp/hiro/report/?year=2021&month=04&date=10
A,名古屋,L,0,1,0.903,0.438,12,5,2,2,0,0,608,405,7,5,16,11,0,3,3,4,30,24,10,14,25,22,17,24,4,3,3,0,2,2,0,0,46,22,5,4,"115,873m","118,728m",181,165,138,134,8.7%,3.7%,56%,44%,https://www.football-lab.jp/hiro/report/?year=2021&month=04&date=14
