HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,uraw_ゴール期待値,Opponent_ゴール期待値,uraw_シュート,Opponent_シュート,uraw_枠内シュート,Opponent_枠内シュート,uraw_PKによるシュート,Opponent_PKによるシュート,uraw_パス,Opponent_パス,uraw_クロス,Opponent_クロス,uraw_直接ＦＫ,Opponent_直接ＦＫ,uraw_間接ＦＫ,Opponent_間接ＦＫ,uraw_ＣＫ,Opponent_ＣＫ,uraw_スローイン,Opponent_スローイン,uraw_ドリブル,Opponent_ドリブル,uraw_タックル,Opponent_タックル,uraw_クリア,Opponent_クリア,uraw_インターセプト,Opponent_インターセプト,uraw_オフサイド,Opponent_オフサイド,uraw_警告,Opponent_警告,uraw_退場,Opponent_退場,uraw_３０ｍライン進入,Opponent_３０ｍライン進入,uraw_ペナルティエリア進入,Opponent_ペナルティエリア進入,uraw_総移動距離,Opponent_総移動距離,uraw_スプリント,Opponent_スプリント,uraw_攻撃回数,Opponent_攻撃回数,uraw_チャンス構築率,Opponent_チャンス構築率,uraw_ボール保持率,Opponent_ボール保持率,URL
A,徳島,W,1,0,1.079,0.606,9,11,4,2,0,0,328,658,9,18,12,6,3,1,4,8,15,15,8,15,22,15,24,18,2,1,1,3,1,2,0,0,22,62,9,11,"113,287m","111,330m",163,161,102,94,8.8%,11.7%,35.4%,64.6%,https://www.football-lab.jp/uraw/report/?year=2021&month=08&date=21
H,広島,W,1,0,1.494,0.627,15,10,4,0,0,0,339,539,4,18,18,13,0,2,2,4,21,21,6,17,15,12,28,6,4,5,2,0,1,1,0,0,23,51,6,19,"105,535m","108,412m",120,135,114,111,13.2%,9.0%,40.8%,59.2%,https://www.football-lab.jp/uraw/report/?year=2021&month=08&date=25
A,湘南,D,0,0,0.642,1.107,9,13,0,1,0,0,435,384,14,16,9,9,0,1,7,7,22,18,17,11,25,14,20,21,2,4,1,0,0,1,0,0,31,42,18,11,"102,654m","109,052m",148,189,114,114,7.9%,11.4%,53%,47%,https://www.football-lab.jp/uraw/report/?year=2021&month=08&date=29
A,横浜FC,W,2,0,1.307,1.325,14,13,6,4,0,0,463,415,13,14,16,11,0,2,15,3,11,16,14,10,22,16,15,28,2,1,2,0,2,2,0,0,41,33,17,10,"116,368m","117,490m",177,177,103,92,13.6%,14.1%,51.9%,48.1%,https://www.football-lab.jp/uraw/report/?year=2021&month=09&date=11
H,Ｃ大阪,W,2,0,1.295,0.425,13,9,6,1,0,0,499,489,13,13,4,17,1,2,6,5,14,21,10,7,22,19,17,15,3,1,2,1,1,0,0,0,39,43,17,10,"117,306m","114,319m",166,156,111,128,11.7%,7.0%,50.8%,49.2%,https://www.football-lab.jp/uraw/report/?year=2021&month=09&date=18
A,FC東京,W,2,1,0.7,2.346,14,16,5,6,0,0,625,324,17,15,11,10,0,1,3,3,21,20,17,8,17,25,25,24,3,5,1,1,0,1,0,0,63,23,14,9,"109,271m","113,194m",137,178,119,119,11.8%,13.4%,64.3%,35.7%,https://www.football-lab.jp/uraw/report/?year=2021&month=09&date=25
A,神戸,L,1,5,2.016,0.863,18,9,4,7,0,0,487,384,12,12,16,20,2,0,6,2,29,15,20,10,20,29,7,22,1,4,0,2,0,2,0,0,48,19,18,13,"109,865m","113,565m",136,159,123,113,14.6%,8.0%,53.2%,46.8%,https://www.football-lab.jp/uraw/report/?year=2021&month=10&date=02
H,Ｇ大阪,D,1,1,3.525,1.609,25,10,7,3,1,1,625,360,22,6,7,7,2,0,5,2,27,10,12,9,15,15,15,22,0,1,0,2,0,4,0,0,67,27,20,7,"110,396m","113,160m",122,129,105,95,23.8%,10.5%,63.1%,36.9%,https://www.football-lab.jp/uraw/report/?year=2021&month=10&date=16
H,柏,W,5,1,2.128,0.739,14,9,7,3,1,0,481,439,12,19,13,10,0,1,2,5,26,31,6,14,17,17,19,18,2,2,1,0,0,1,0,0,33,43,10,6,"118,001m","111,590m",202,169,134,132,10.4%,6.8%,50.9%,49.1%,https://www.football-lab.jp/uraw/report/?year=2021&month=10&date=22
A,川崎Ｆ,D,1,1,1.573,2.18,15,16,4,3,0,0,422,568,10,17,10,12,4,0,0,5,16,28,10,14,24,16,30,21,1,1,0,4,0,0,0,0,29,48,10,19,"109,224m","105,769m",131,140,117,134,12.8%,11.9%,46%,54%,https://www.football-lab.jp/uraw/report/?year=2021&month=11&date=03
A,鹿島,L,0,1,1.024,1.852,8,19,1,7,0,0,564,414,14,13,11,11,2,2,3,5,25,19,3,15,20,13,28,17,1,3,2,2,1,2,0,0,28,48,5,10,"112,392m","116,397m",200,212,117,121,6.8%,15.7%,56.5%,43.5%,https://www.football-lab.jp/uraw/report/?year=2021&month=11&date=07
H,横浜FM,W,2,1,0.632,1.7,5,18,3,3,0,0,243,763,6,24,10,18,1,4,1,11,14,26,4,7,20,11,46,7,6,3,4,1,2,1,0,0,14,91,7,16,"116,555m","119,270m",185,209,108,129,4.6%,14.0%,32.1%,67.9%,https://www.football-lab.jp/uraw/report/?year=2021&month=11&date=20
H,清水,L,0,1,0.422,0.723,10,7,1,5,0,0,789,316,17,10,10,4,0,0,5,8,23,12,10,7,13,16,18,35,3,7,0,0,0,0,0,0,57,19,13,2,"113,587m","119,075m",163,156,104,95,9.6%,7.4%,68.9%,31.1%,https://www.football-lab.jp/uraw/report/?year=2021&month=11&date=27
A,名古屋,D,0,0,0.996,0.654,8,9,2,3,0,0,597,477,17,8,11,10,2,3,4,3,21,20,13,12,19,14,11,19,0,3,3,2,0,3,0,0,53,33,9,5,"120,174m","117,608m",179,176,106,111,7.5%,8.1%,56.3%,43.7%,https://www.football-lab.jp/uraw/report/?year=2021&month=12&date=04
