HOME/AWAY,Opponent,勝敗,toku_得点,toku_失点,Opponent_ゴール期待値,toku_ゴール期待値,Opponent_シュート,toku_シュート,Opponent_枠内シュート,toku_枠内シュート,Opponent_PKによるシュート,toku_PKによるシュート,Opponent_パス,toku_パス,Opponent_クロス,toku_クロス,Opponent_直接ＦＫ,toku_直接ＦＫ,Opponent_間接ＦＫ,toku_間接ＦＫ,Opponent_ＣＫ,toku_ＣＫ,Opponent_スローイン,toku_スローイン,Opponent_ドリブル,toku_ドリブル,Opponent_タックル,toku_タックル,Opponent_クリア,toku_クリア,Opponent_インターセプト,toku_インターセプト,Opponent_オフサイド,toku_オフサイド,Opponent_警告,toku_警告,Opponent_退場,toku_退場,Opponent_３０ｍライン進入,toku_３０ｍライン進入,Opponent_ペナルティエリア進入,toku_ペナルティエリア進入,Opponent_総移動距離,toku_総移動距離,Opponent_スプリント,toku_スプリント,Opponent_攻撃回数,toku_攻撃回数,Opponent_チャンス構築率,toku_チャンス構築率,Opponent_ボール保持率,toku_ボール保持率,URL
H,浦和,L,0,1,1.079,0.606,9,11,4,2,0,0,328,658,9,18,12,6,3,1,4,8,15,15,8,15,22,15,24,18,2,1,1,3,1,2,0,0,22,62,9,11,"113,287m","111,330m",163,161,102,94,8.8%,11.7%,35.4%,64.6%,https://www.football-lab.jp/toku/report/?year=2021&month=08&date=21
H,柏,L,0,1,0.79,1.189,9,8,6,2,0,0,264,609,7,11,11,19,4,1,3,4,13,23,4,13,22,7,23,9,3,1,1,4,3,1,0,0,21,34,11,10,"111,496m","110,884m",164,167,89,104,10.1%,7.7%,33.7%,66.3%,https://www.football-lab.jp/toku/report/?year=2021&month=08&date=25
A,福岡,L,0,3,0.821,0.588,11,5,5,1,0,0,324,408,10,10,11,13,2,4,7,1,24,15,5,9,11,13,11,31,1,1,4,2,2,2,0,0,22,27,6,10,"110,622m","106,808m",159,120,110,96,10.0%,5.2%,44.1%,55.9%,https://www.football-lab.jp/toku/report/?year=2021&month=08&date=29
A,名古屋,L,0,3,2.567,0.29,16,6,8,1,2,0,564,343,15,5,19,7,1,2,6,1,22,12,15,6,12,18,13,24,1,2,2,1,0,2,0,1,38,28,12,6,"108,355m","102,452m",144,128,108,91,14.8%,6.6%,56.7%,43.3%,https://www.football-lab.jp/toku/report/?year=2021&month=09&date=10
H,川崎Ｆ,L,1,3,2.477,1.693,18,13,9,4,1,0,413,517,11,19,10,6,1,5,5,4,28,22,8,20,13,14,23,23,1,1,5,1,0,0,0,0,37,37,13,12,"106,821m","108,785m",157,122,115,108,15.7%,12.0%,41.3%,58.7%,https://www.football-lab.jp/toku/report/?year=2021&month=09&date=18
A,仙台,W,1,0,0.564,1.147,8,8,1,3,0,0,409,591,18,10,12,17,0,1,4,4,24,21,5,11,17,17,12,27,1,0,1,0,1,0,0,0,33,29,7,5,"119,975m","115,112m",183,155,109,112,7.3%,7.1%,37.8%,62.2%,https://www.football-lab.jp/toku/report/?year=2021&month=09&date=25
H,鳥栖,W,3,0,0.959,0.964,11,12,2,6,0,0,691,255,16,4,14,4,1,1,10,2,24,22,14,9,13,27,9,31,2,1,1,1,1,1,0,0,57,13,13,5,"117,861m","115,680m",157,158,120,103,9.2%,11.7%,66.2%,33.8%,https://www.football-lab.jp/toku/report/?year=2021&month=10&date=03
A,横浜FC,L,3,5,0.8,1.956,12,20,7,6,0,0,225,601,7,15,7,13,2,1,2,6,10,28,12,13,12,17,23,8,5,1,1,2,4,1,0,0,23,54,6,12,"116,479m","112,908m",166,181,91,112,13.2%,17.9%,31.4%,68.6%,https://www.football-lab.jp/toku/report/?year=2021&month=10&date=16
H,大分,D,1,1,1.392,1.758,7,16,3,6,0,0,403,399,10,13,12,7,1,1,5,7,33,22,9,8,14,20,26,18,1,2,1,1,1,3,0,0,21,27,3,4,"112,200m","108,644m",130,137,116,105,6.0%,15.2%,47.9%,52.1%,https://www.football-lab.jp/toku/report/?year=2021&month=10&date=23
H,Ｃ大阪,L,0,1,0.8,0.808,9,6,4,1,0,0,373,479,13,12,22,9,0,0,5,1,24,20,8,13,15,20,24,11,1,4,0,0,0,2,0,0,22,42,5,10,"110,879m","107,687m",174,168,124,103,7.3%,5.8%,41.7%,58.3%,https://www.football-lab.jp/toku/report/?year=2021&month=11&date=03
A,神戸,L,0,1,1.578,1.107,10,7,1,2,0,0,580,458,15,17,8,6,0,1,1,7,18,21,14,13,29,25,21,17,0,0,1,0,0,0,0,0,37,40,9,8,"116,151m","116,930m",164,172,120,125,8.3%,5.6%,54.5%,45.5%,https://www.football-lab.jp/toku/report/?year=2021&month=11&date=06
A,FC東京,W,2,0,1.561,0.915,6,9,1,2,1,0,457,513,7,12,11,10,0,4,2,4,23,22,8,8,19,17,17,21,1,3,4,0,1,1,0,0,26,42,6,12,"117,205m","115,587m",191,172,115,113,5.2%,8.0%,46.2%,53.8%,https://www.football-lab.jp/toku/report/?year=2021&month=11&date=20
A,湘南,W,1,0,0.541,1.122,7,7,1,2,0,0,382,522,15,13,8,11,1,1,4,2,29,27,7,18,28,19,16,24,3,0,1,1,0,1,0,0,31,21,3,5,"116,413m","114,729m",182,168,129,120,5.4%,5.8%,39.4%,60.6%,https://www.football-lab.jp/toku/report/?year=2021&month=11&date=27
H,広島,L,2,4,1.094,0.994,7,8,4,5,0,0,325,698,12,22,9,3,2,1,3,5,13,25,11,10,23,13,31,10,3,2,1,2,0,2,0,0,23,61,10,13,"119,639m","118,170m",151,145,114,117,6.1%,6.8%,34.8%,65.2%,https://www.football-lab.jp/toku/report/?year=2021&month=12&date=04
