HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,ka-f_ゴール期待値,Opponent_ゴール期待値,ka-f_シュート,Opponent_シュート,ka-f_枠内シュート,Opponent_枠内シュート,ka-f_PKによるシュート,Opponent_PKによるシュート,ka-f_パス,Opponent_パス,ka-f_クロス,Opponent_クロス,ka-f_直接ＦＫ,Opponent_直接ＦＫ,ka-f_間接ＦＫ,Opponent_間接ＦＫ,ka-f_ＣＫ,Opponent_ＣＫ,ka-f_スローイン,Opponent_スローイン,ka-f_ドリブル,Opponent_ドリブル,ka-f_タックル,Opponent_タックル,ka-f_クリア,Opponent_クリア,ka-f_インターセプト,Opponent_インターセプト,ka-f_オフサイド,Opponent_オフサイド,ka-f_警告,Opponent_警告,ka-f_退場,Opponent_退場,ka-f_３０ｍライン進入,Opponent_３０ｍライン進入,ka-f_ペナルティエリア進入,Opponent_ペナルティエリア進入,ka-f_総移動距離,Opponent_総移動距離,ka-f_スプリント,Opponent_スプリント,ka-f_攻撃回数,Opponent_攻撃回数,ka-f_チャンス構築率,Opponent_チャンス構築率,ka-f_ボール保持率,Opponent_ボール保持率,URL
H,横浜FM,W,2,0,2.279,0.974,18,11,8,2,0,0,488,592,11,11,9,9,2,3,6,7,26,30,8,15,27,27,26,12,3,0,3,2,0,1,0,0,41,39,16,13,"119,788m","121,347m",211,212,131,134,13.7%,8.2%,46.9%,53.1%,https://www.football-lab.jp/ka-f/report/?year=2021&month=02&date=26
H,Ｃ大阪,W,3,2,1.986,1.023,18,11,8,4,0,0,790,331,16,10,8,16,0,2,9,3,18,14,26,8,9,22,8,27,3,2,2,0,0,0,0,0,78,23,23,8,"119,298m","120,609m",182,158,110,106,16.4%,10.4%,65%,35%,https://www.football-lab.jp/ka-f/report/?year=2021&month=03&date=03
A,仙台,W,5,1,2.948,1.697,17,13,7,3,0,0,658,403,17,10,13,12,1,4,6,3,24,24,12,15,28,18,23,19,5,1,4,1,0,2,0,0,47,31,15,15,"118,610m","118,718m",210,184,145,141,11.7%,9.2%,59.7%,40.3%,https://www.football-lab.jp/ka-f/report/?year=2021&month=03&date=06
H,徳島,W,2,0,1.697,0.08,18,2,6,0,0,0,622,546,10,4,10,9,1,1,4,4,15,13,7,10,17,16,13,12,3,2,1,1,0,0,0,0,57,30,13,5,"116,282m","119,533m",172,152,111,108,16.2%,1.9%,49.2%,50.8%,https://www.football-lab.jp/ka-f/report/?year=2021&month=03&date=10
H,柏,W,1,0,0.859,0.691,14,7,7,0,0,0,615,370,12,18,17,7,2,3,7,7,21,23,12,13,27,24,23,15,3,1,3,2,1,0,0,0,32,42,19,5,"118,271m","115,243m",208,178,137,131,10.2%,5.3%,57.8%,42.2%,https://www.football-lab.jp/ka-f/report/?year=2021&month=03&date=13
A,神戸,D,1,1,1.45,1.151,13,9,3,4,0,0,624,520,11,16,6,6,0,2,6,5,40,28,18,13,21,28,26,29,2,1,2,0,2,0,0,0,53,37,13,14,"120,242m","123,463m",194,230,151,146,8.6%,6.2%,50.5%,49.5%,https://www.football-lab.jp/ka-f/report/?year=2021&month=03&date=17
A,浦和,W,5,0,1.853,0.48,15,6,8,1,0,0,525,604,16,7,10,6,0,0,5,7,14,28,12,8,24,19,19,16,4,1,0,0,0,0,0,0,48,32,14,5,"110,484m","111,012m",143,133,108,117,13.9%,5.1%,44.3%,55.7%,https://www.football-lab.jp/ka-f/report/?year=2021&month=03&date=21
H,大分,W,2,0,2.012,0.394,17,5,6,0,0,0,660,642,16,16,9,6,0,2,7,1,23,29,7,8,18,23,23,26,2,0,2,0,0,0,0,0,59,27,24,4,"117,003m","120,054m",179,146,108,104,15.7%,4.8%,48%,52%,https://www.football-lab.jp/ka-f/report/?year=2021&month=04&date=03
H,鳥栖,W,1,0,1.019,0.553,10,8,5,1,0,0,593,493,19,6,12,10,0,2,5,2,18,23,16,9,20,22,13,21,2,1,2,0,1,0,0,1,70,23,19,5,"118,824m","123,127m",213,182,120,114,8.3%,7.0%,52.7%,47.3%,https://www.football-lab.jp/ka-f/report/?year=2021&month=04&date=07
A,FC東京,W,4,2,1.43,0.392,13,4,6,3,0,0,577,426,9,13,11,11,2,1,9,6,18,20,13,11,24,31,17,20,1,0,1,2,0,1,0,0,48,27,17,11,"112,029m","112,850m",200,201,126,122,10.3%,3.3%,54.7%,45.3%,https://www.football-lab.jp/ka-f/report/?year=2021&month=04&date=11
