HOME/AWAY,Opponent,勝敗,shim_得点,shim_失点,Opponent_ゴール期待値,shim_ゴール期待値,Opponent_シュート,shim_シュート,Opponent_枠内シュート,shim_枠内シュート,Opponent_PKによるシュート,shim_PKによるシュート,Opponent_パス,shim_パス,Opponent_クロス,shim_クロス,Opponent_直接ＦＫ,shim_直接ＦＫ,Opponent_間接ＦＫ,shim_間接ＦＫ,Opponent_ＣＫ,shim_ＣＫ,Opponent_スローイン,shim_スローイン,Opponent_ドリブル,shim_ドリブル,Opponent_タックル,shim_タックル,Opponent_クリア,shim_クリア,Opponent_インターセプト,shim_インターセプト,Opponent_オフサイド,shim_オフサイド,Opponent_警告,shim_警告,Opponent_退場,shim_退場,Opponent_３０ｍライン進入,shim_３０ｍライン進入,Opponent_ペナルティエリア進入,shim_ペナルティエリア進入,Opponent_総移動距離,shim_総移動距離,Opponent_スプリント,shim_スプリント,Opponent_攻撃回数,shim_攻撃回数,Opponent_チャンス構築率,shim_チャンス構築率,Opponent_ボール保持率,shim_ボール保持率,URL
H,Ｇ大阪,L,0,1,0.528,1.886,10,17,2,1,0,0,551,420,13,15,7,8,2,1,5,10,26,22,6,6,14,15,22,16,0,2,1,2,0,1,0,0,62,29,16,9,"106,043m","109,067m",133,138,101,100,9.9%,17.0%,53.9%,46.1%,https://www.football-lab.jp/shim/report/?year=2021&month=08&date=13
A,湘南,D,1,1,1.476,0.667,16,9,5,3,0,0,331,464,19,17,7,12,1,0,12,2,20,16,9,6,17,13,14,27,1,1,0,1,3,1,0,0,33,41,11,12,"107,347m","102,532m",144,140,104,96,15.4%,9.4%,43.2%,56.8%,https://www.football-lab.jp/shim/report/?year=2021&month=08&date=21
H,鹿島,L,0,4,1.42,1.312,17,9,11,3,0,0,410,432,9,23,8,8,0,2,1,10,23,30,5,11,26,23,27,9,0,1,1,0,0,2,0,0,35,37,8,11,"111,943m","112,548m",158,150,106,121,16.0%,7.4%,47.3%,52.7%,https://www.football-lab.jp/shim/report/?year=2021&month=08&date=25
A,名古屋,D,1,1,0.83,0.586,16,7,5,3,0,0,573,446,18,11,14,5,2,1,5,2,20,14,11,11,11,10,12,26,0,1,1,2,0,0,0,0,54,48,18,7,"111,349m","111,178m",129,118,104,92,15.4%,7.6%,53.7%,46.3%,https://www.football-lab.jp/shim/report/?year=2021&month=08&date=29
A,鳥栖,L,1,2,0.477,0.77,9,10,2,3,0,0,596,350,19,11,15,20,2,3,1,2,25,24,10,10,24,16,17,18,2,2,3,2,0,1,0,0,50,20,15,7,"121,812m","119,002m",161,162,108,114,8.3%,8.8%,61.9%,38.1%,https://www.football-lab.jp/shim/report/?year=2021&month=09&date=11
H,仙台,W,2,1,0.943,1.34,13,13,3,6,0,0,394,368,14,9,17,15,2,4,1,3,18,23,8,4,17,13,17,25,1,2,4,2,2,1,0,0,38,24,10,3,"110,428m","112,051m",132,134,103,108,12.6%,12.0%,51.2%,48.8%,https://www.football-lab.jp/shim/report/?year=2021&month=09&date=18
H,神戸,L,0,2,0.326,0.666,6,8,2,2,0,0,586,425,16,21,8,15,0,3,3,3,19,25,7,19,26,16,25,21,0,4,3,0,0,0,0,0,37,42,9,10,"113,044m","113,054m",124,134,102,112,5.9%,7.1%,54.6%,45.4%,https://www.football-lab.jp/shim/report/?year=2021&month=09&date=24
A,福岡,W,2,1,2.981,0.702,17,8,7,5,0,0,515,358,23,10,10,9,2,0,5,1,41,23,16,5,21,23,13,37,2,3,0,2,1,1,0,0,43,31,13,3,"108,265m","111,932m",142,155,142,125,12.0%,6.4%,56.9%,43.1%,https://www.football-lab.jp/shim/report/?year=2021&month=10&date=02
H,柏,L,0,1,0.791,1.624,12,16,4,4,0,0,380,508,8,21,5,13,1,2,6,6,24,24,6,12,14,14,26,15,1,4,2,1,1,0,0,0,29,38,6,9,"110,400m","110,468m",174,162,111,121,10.8%,13.2%,45.6%,54.4%,https://www.football-lab.jp/shim/report/?year=2021&month=10&date=16
A,川崎Ｆ,L,0,1,0.855,0.432,10,5,2,2,0,0,665,345,10,9,10,11,2,4,5,4,24,26,9,7,24,20,20,25,2,1,4,2,2,0,0,0,77,17,13,3,"104,664m","111,646m",136,132,105,108,9.5%,4.6%,61.1%,38.9%,https://www.football-lab.jp/shim/report/?year=2021&month=10&date=24
A,FC東京,L,0,4,1.087,0.962,9,13,4,3,0,0,401,547,1,15,9,8,0,2,4,3,22,18,7,7,21,22,20,16,2,0,2,0,0,1,0,0,31,46,11,11,"116,312m","114,956m",183,152,98,93,9.2%,14.0%,45.5%,54.5%,https://www.football-lab.jp/shim/report/?year=2021&month=11&date=03
H,札幌,D,2,2,1.311,1.847,11,14,3,4,0,0,590,354,12,6,11,12,0,0,5,3,23,13,13,9,17,11,12,25,3,2,0,0,0,1,0,1,48,23,12,11,"113,560m","116,363m",185,168,106,104,10.4%,13.5%,59.9%,40.1%,https://www.football-lab.jp/shim/report/?year=2021&month=11&date=06
H,広島,W,1,0,1.157,0.975,10,15,2,5,0,0,745,420,17,13,8,4,2,1,5,3,31,20,7,7,20,19,14,34,2,1,1,2,0,0,0,0,47,35,9,11,"123,183m","124,733m",188,182,135,121,7.4%,12.4%,59.4%,40.6%,https://www.football-lab.jp/shim/report/?year=2021&month=11&date=20
A,浦和,W,1,0,0.422,0.723,10,7,1,5,0,0,789,316,17,10,10,4,0,0,5,8,23,12,10,7,13,16,18,35,3,7,0,0,0,0,0,0,57,19,13,2,"113,587m","119,075m",163,156,104,95,9.6%,7.4%,68.9%,31.1%,https://www.football-lab.jp/shim/report/?year=2021&month=11&date=27
H,Ｃ大阪,W,2,1,0.652,1.83,6,20,1,5,0,0,620,337,14,14,6,11,0,0,5,5,25,16,4,14,17,13,23,25,0,3,0,0,2,1,0,0,33,41,6,12,"112,789m","117,028m",151,153,99,105,6.1%,19.0%,61.1%,38.9%,https://www.football-lab.jp/shim/report/?year=2021&month=12&date=04
