HOME/AWAY,Opponent,勝敗,kasw_得点,kasw_失点,Opponent_ゴール期待値,kasw_ゴール期待値,Opponent_シュート,kasw_シュート,Opponent_枠内シュート,kasw_枠内シュート,Opponent_PKによるシュート,kasw_PKによるシュート,Opponent_パス,kasw_パス,Opponent_クロス,kasw_クロス,Opponent_直接ＦＫ,kasw_直接ＦＫ,Opponent_間接ＦＫ,kasw_間接ＦＫ,Opponent_ＣＫ,kasw_ＣＫ,Opponent_スローイン,kasw_スローイン,Opponent_ドリブル,kasw_ドリブル,Opponent_タックル,kasw_タックル,Opponent_クリア,kasw_クリア,Opponent_インターセプト,kasw_インターセプト,Opponent_オフサイド,kasw_オフサイド,Opponent_警告,kasw_警告,Opponent_退場,kasw_退場,Opponent_３０ｍライン進入,kasw_３０ｍライン進入,Opponent_ペナルティエリア進入,kasw_ペナルティエリア進入,Opponent_総移動距離,kasw_総移動距離,Opponent_スプリント,kasw_スプリント,Opponent_攻撃回数,kasw_攻撃回数,Opponent_チャンス構築率,kasw_チャンス構築率,Opponent_ボール保持率,kasw_ボール保持率,URL
A,Ｃ大阪,L,0,2,2.464,1.09,20,10,9,3,0,0,530,418,23,12,15,11,2,2,8,3,18,6,11,3,18,23,10,25,2,1,2,2,2,0,0,1,45,41,16,7,"123,211m","113,142m",199,177,118,103,16.9%,9.7%,55.2%,44.8%,https://www.football-lab.jp/kasw/report/?year=2021&month=02&date=27
H,湘南,W,2,1,1.148,0.907,12,8,2,4,0,0,459,397,13,14,12,12,0,2,6,2,35,26,7,11,12,31,19,43,1,0,2,0,0,0,0,0,35,31,10,10,"117,575m","113,424m",177,163,145,127,8.3%,6.3%,50.3%,49.7%,https://www.football-lab.jp/kasw/report/?year=2021&month=03&date=06
H,名古屋,L,0,1,1.168,0.889,10,10,2,3,0,0,418,479,12,8,9,9,2,3,5,3,31,29,14,15,31,20,29,32,4,2,3,2,1,0,0,0,26,38,8,8,"119,746m","116,041m",201,191,147,148,6.8%,6.8%,49.7%,50.3%,https://www.football-lab.jp/kasw/report/?year=2021&month=03&date=10
A,川崎Ｆ,L,0,1,0.859,0.691,14,7,7,0,0,0,615,370,12,18,17,7,2,3,7,7,21,23,12,13,27,24,23,15,3,1,3,2,1,0,0,0,32,42,19,5,"118,271m","115,243m",208,178,137,131,10.2%,5.3%,57.8%,42.2%,https://www.football-lab.jp/kasw/report/?year=2021&month=03&date=13
A,鳥栖,L,0,2,0.651,0.66,8,12,2,2,0,0,432,457,1,27,18,11,0,8,1,7,20,41,3,17,16,23,43,8,0,1,8,0,1,0,0,0,23,30,4,8,"123,970m","117,970m",149,194,118,131,6.8%,9.2%,53.4%,46.6%,https://www.football-lab.jp/kasw/report/?year=2021&month=03&date=17
H,清水,L,1,2,0.457,1.048,3,13,2,2,0,0,220,525,10,25,15,10,0,0,3,11,30,44,6,15,20,18,36,12,1,1,0,0,0,0,0,0,19,40,5,8,"113,003m","110,340m",178,168,129,136,2.3%,9.6%,37.1%,62.9%,https://www.football-lab.jp/kasw/report/?year=2021&month=03&date=21
A,横浜FC,D,1,1,1.213,1.358,6,14,3,4,0,0,332,438,9,18,15,8,2,1,4,6,34,27,8,15,21,19,41,26,1,1,0,1,1,1,0,0,12,47,5,8,"113,204m","112,428m",145,167,126,113,4.8%,12.4%,46.7%,53.3%,https://www.football-lab.jp/kasw/report/?year=2021&month=04&date=03
A,鹿島,L,1,2,1.239,1.058,14,10,6,6,0,0,517,346,13,17,10,17,3,2,3,5,31,34,12,10,14,22,25,20,0,1,2,3,2,2,0,0,45,23,16,11,"123,962m","119,432m",251,239,141,153,9.9%,6.5%,56.3%,43.7%,https://www.football-lab.jp/kasw/report/?year=2021&month=04&date=07
H,Ｇ大阪,W,1,0,1.355,2.141,10,22,1,4,0,0,424,482,12,22,9,6,2,2,4,11,21,21,10,11,32,18,36,27,2,2,2,2,0,0,0,0,33,47,8,18,"112,648m","113,434m",191,226,122,133,8.2%,16.5%,50.9%,49.1%,https://www.football-lab.jp/kasw/report/?year=2021&month=04&date=11
A,大分,W,1,0,1.705,2.296,8,12,2,4,1,1,605,415,14,11,5,9,1,1,5,5,22,12,6,4,11,15,21,33,0,1,1,1,1,2,0,0,35,24,6,9,"120,484m","118,020m",195,203,102,96,7.8%,12.5%,58.2%,41.8%,https://www.football-lab.jp/kasw/report/?year=2021&month=04&date=17
H,徳島,W,5,1,0.505,1.025,10,9,2,5,0,0,660,338,6,5,13,15,2,1,1,3,24,24,10,6,16,16,8,18,0,2,1,2,1,1,0,0,34,24,7,7,"116,425m","114,690m",167,179,118,120,8.5%,7.5%,65.7%,34.3%,https://www.football-lab.jp/kasw/report/?year=2021&month=04&date=24
A,仙台,L,0,1,0.937,1.253,9,10,3,4,0,0,331,533,8,21,14,16,3,0,3,5,26,32,10,10,22,24,36,15,2,2,0,3,2,2,0,0,25,50,4,16,"118,267m","114,621m",208,205,122,124,7.4%,8.1%,41%,59%,https://www.football-lab.jp/kasw/report/?year=2021&month=05&date=01
A,福岡,L,0,1,0.761,1.675,10,12,4,4,0,0,309,436,11,17,7,9,0,1,12,6,38,29,15,11,20,24,27,32,1,3,1,0,3,2,0,0,17,33,11,10,"109,815m","107,435m",178,153,136,128,7.4%,9.4%,48%,52%,https://www.football-lab.jp/kasw/report/?year=2021&month=05&date=09
H,FC東京,L,0,4,1.663,1.243,8,18,6,5,0,0,351,445,6,26,19,9,1,4,4,12,22,34,13,21,22,24,28,10,2,0,3,1,3,0,0,0,18,45,12,16,"109,228m","106,886m",170,156,132,136,6.1%,13.2%,45.9%,54.1%,https://www.football-lab.jp/kasw/report/?year=2021&month=05&date=15
A,横浜FM,D,1,1,0.674,1.754,11,14,3,4,0,0,777,326,20,7,13,13,3,2,3,4,26,18,10,8,15,22,21,21,3,3,2,3,3,1,0,0,58,27,11,8,"123,237m","119,329m",224,169,127,120,8.7%,11.7%,64.6%,35.4%,https://www.football-lab.jp/kasw/report/?year=2021&month=05&date=22
H,神戸,L,1,2,1.266,1.368,10,15,3,5,0,0,413,442,11,17,13,16,1,2,3,8,31,28,7,14,25,21,30,11,8,2,2,1,2,0,0,0,23,35,10,7,"117,142m","114,654m",185,176,140,139,7.1%,10.8%,50.7%,49.3%,https://www.football-lab.jp/kasw/report/?year=2021&month=05&date=26
H,札幌,L,1,2,1.267,2.321,10,12,2,2,0,1,452,364,5,5,15,20,1,2,4,4,25,29,5,7,27,14,19,14,0,0,2,1,3,2,0,0,14,19,6,7,"111,495m","111,314m",175,183,118,123,8.5%,9.8%,53.7%,46.3%,https://www.football-lab.jp/kasw/report/?year=2021&month=05&date=29
A,広島,L,0,1,1.937,0.575,25,6,8,2,0,0,501,362,16,10,17,10,2,3,8,3,30,14,19,7,20,24,10,35,2,3,3,1,1,1,0,0,47,26,27,9,"113,295m","109,731m",193,179,132,112,18.9%,5.4%,56.4%,43.6%,https://www.football-lab.jp/kasw/report/?year=2021&month=06&date=19
H,浦和,L,0,2,1.356,1.334,11,11,3,2,0,0,598,365,12,15,10,10,1,2,8,1,26,22,10,6,16,21,16,23,1,5,2,1,1,0,0,0,37,25,13,5,"113,443m","114,132m",191,162,129,118,8.5%,9.3%,61.1%,38.9%,https://www.football-lab.jp/kasw/report/?year=2021&month=06&date=23
A,湘南,W,4,2,1.447,3.41,14,20,4,7,0,1,355,460,12,15,11,11,3,3,3,3,19,26,9,11,22,19,30,22,0,1,3,3,1,2,0,0,26,37,6,13,"114,331m","109,945m",182,154,119,124,11.8%,16.1%,46.1%,53.9%,https://www.football-lab.jp/kasw/report/?year=2021&month=06&date=27
