HOME/AWAY,Opponent,勝敗,tosu_得点,tosu_失点,Opponent_ゴール期待値,tosu_ゴール期待値,Opponent_シュート,tosu_シュート,Opponent_枠内シュート,tosu_枠内シュート,Opponent_PKによるシュート,tosu_PKによるシュート,Opponent_パス,tosu_パス,Opponent_クロス,tosu_クロス,Opponent_直接ＦＫ,tosu_直接ＦＫ,Opponent_間接ＦＫ,tosu_間接ＦＫ,Opponent_ＣＫ,tosu_ＣＫ,Opponent_スローイン,tosu_スローイン,Opponent_ドリブル,tosu_ドリブル,Opponent_タックル,tosu_タックル,Opponent_クリア,tosu_クリア,Opponent_インターセプト,tosu_インターセプト,Opponent_オフサイド,tosu_オフサイド,Opponent_警告,tosu_警告,Opponent_退場,tosu_退場,Opponent_３０ｍライン進入,tosu_３０ｍライン進入,Opponent_ペナルティエリア進入,tosu_ペナルティエリア進入,Opponent_総移動距離,tosu_総移動距離,Opponent_スプリント,tosu_スプリント,Opponent_攻撃回数,tosu_攻撃回数,Opponent_チャンス構築率,tosu_チャンス構築率,Opponent_ボール保持率,tosu_ボール保持率,URL
A,湘南,W,1,0,1.196,1.735,9,10,1,4,0,1,400,475,18,10,13,9,3,2,2,7,31,25,9,10,25,24,12,29,3,0,2,2,1,2,0,0,47,37,10,9,"115,543m","117,355m",176,148,129,129,7.0%,7.8%,46%,54%,https://www.football-lab.jp/tosu/report/?year=2021&month=02&date=27
H,浦和,W,2,0,0.881,1.707,11,14,1,4,0,0,463,470,12,7,11,8,1,1,4,5,14,13,5,11,21,23,13,25,0,4,1,1,0,2,0,0,25,39,7,10,"119,007m","124,957m",195,214,108,106,10.2%,13.2%,47.9%,52.1%,https://www.football-lab.jp/tosu/report/?year=2021&month=03&date=06
H,仙台,W,5,0,2.066,2.135,13,18,3,9,1,0,569,617,19,11,14,7,1,1,8,2,10,18,12,9,11,12,17,30,0,1,1,1,0,1,0,0,38,45,12,10,"124,986m","133,974m",150,159,119,103,10.9%,17.5%,44.6%,55.4%,https://www.football-lab.jp/tosu/report/?year=2021&month=03&date=10
A,清水,D,0,0,0.37,1.213,4,16,1,7,0,0,378,827,5,8,7,7,0,1,2,8,17,21,3,9,8,16,23,11,1,2,1,0,1,1,0,0,11,57,6,7,"129,908m","126,606m",183,148,82,91,4.9%,17.6%,33.9%,66.1%,https://www.football-lab.jp/tosu/report/?year=2021&month=03&date=14
H,柏,W,2,0,0.66,0.651,12,8,2,2,0,0,457,432,27,1,11,18,8,0,7,1,41,20,17,3,23,16,8,43,1,0,0,8,0,1,0,0,30,23,8,4,"117,970m","123,970m",194,149,131,118,9.2%,6.8%,46.6%,53.4%,https://www.football-lab.jp/tosu/report/?year=2021&month=03&date=17
H,福岡,D,0,0,0.683,1.479,7,16,0,4,0,0,278,703,8,20,12,13,4,1,2,4,16,20,6,22,14,11,28,17,1,1,1,4,1,1,0,0,27,56,8,14,"118,177m","120,176m",180,150,115,123,6.1%,13.0%,32.9%,67.1%,https://www.football-lab.jp/tosu/report/?year=2021&month=03&date=21
A,Ｃ大阪,L,0,1,1.049,0.553,15,8,5,3,0,0,373,566,8,17,19,9,4,2,4,3,19,24,4,6,13,8,22,18,1,0,2,4,0,4,0,1,27,48,4,15,"120,541m","121,725m",162,155,110,110,13.6%,7.3%,42%,58%,https://www.football-lab.jp/tosu/report/?year=2021&month=04&date=02
A,川崎Ｆ,L,0,1,1.019,0.553,10,8,5,1,0,0,593,493,19,6,12,10,0,2,5,2,18,23,16,9,20,22,13,21,2,1,2,0,1,0,0,1,70,23,19,5,"118,824m","123,127m",213,182,120,114,8.3%,7.0%,52.7%,47.3%,https://www.football-lab.jp/tosu/report/?year=2021&month=04&date=07
H,横浜FC,W,3,0,0.682,0.604,8,8,5,4,0,0,543,518,12,9,18,12,0,3,4,5,21,12,5,16,22,19,8,16,1,3,3,0,0,1,0,0,27,34,7,9,"118,507m","126,530m",163,187,119,109,6.7%,7.3%,50.6%,49.4%,https://www.football-lab.jp/tosu/report/?year=2021&month=04&date=11
H,Ｇ大阪,L,0,1,0.199,1.464,5,13,2,3,0,0,540,541,4,23,8,6,3,0,3,4,19,33,5,9,18,27,25,13,1,3,0,3,0,1,0,0,22,53,3,22,"129,362m","132,436m",192,216,113,113,4.4%,11.5%,51.7%,48.3%,https://www.football-lab.jp/tosu/report/?year=2021&month=04&date=14
