HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,c-os_ゴール期待値,Opponent_ゴール期待値,c-os_シュート,Opponent_シュート,c-os_枠内シュート,Opponent_枠内シュート,c-os_PKによるシュート,Opponent_PKによるシュート,c-os_パス,Opponent_パス,c-os_クロス,Opponent_クロス,c-os_直接ＦＫ,Opponent_直接ＦＫ,c-os_間接ＦＫ,Opponent_間接ＦＫ,c-os_ＣＫ,Opponent_ＣＫ,c-os_スローイン,Opponent_スローイン,c-os_ドリブル,Opponent_ドリブル,c-os_タックル,Opponent_タックル,c-os_クリア,Opponent_クリア,c-os_インターセプト,Opponent_インターセプト,c-os_オフサイド,Opponent_オフサイド,c-os_警告,Opponent_警告,c-os_退場,Opponent_退場,c-os_３０ｍライン進入,Opponent_３０ｍライン進入,c-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,c-os_総移動距離,Opponent_総移動距離,c-os_スプリント,Opponent_スプリント,c-os_攻撃回数,Opponent_攻撃回数,c-os_チャンス構築率,Opponent_チャンス構築率,c-os_ボール保持率,Opponent_ボール保持率,URL
H,柏,W,2,0,2.464,1.09,20,10,9,3,0,0,530,418,23,12,15,11,2,2,8,3,18,6,11,3,18,23,10,25,2,1,2,2,2,0,0,1,45,41,16,7,"123,211m","113,142m",199,177,118,103,16.9%,9.7%,55.2%,44.8%,https://www.football-lab.jp/c-os/report/?year=2021&month=02&date=27
A,川崎Ｆ,L,2,3,1.023,1.986,11,18,4,8,0,0,331,790,10,16,16,8,2,0,3,9,14,18,8,26,22,9,27,8,2,3,0,2,0,0,0,0,23,78,8,23,"120,609m","119,298m",158,182,106,110,10.4%,16.4%,35%,65%,https://www.football-lab.jp/c-os/report/?year=2021&month=03&date=03
A,FC東京,L,2,3,0.622,2.362,9,22,4,6,0,0,402,374,11,11,14,18,2,2,4,6,16,20,9,11,22,27,24,13,0,1,2,2,2,2,0,0,33,35,9,6,"111,488m","112,351m",168,197,123,131,7.3%,16.8%,51.9%,48.1%,https://www.football-lab.jp/c-os/report/?year=2021&month=03&date=06
H,清水,W,2,1,2.582,1.844,11,14,3,5,1,0,501,519,21,17,4,10,0,1,11,8,27,21,10,11,17,11,18,33,3,6,1,0,0,0,0,0,37,39,9,8,"122,047m","123,753m",187,188,106,99,10.4%,14.1%,49%,51%,https://www.football-lab.jp/c-os/report/?year=2021&month=03&date=10
A,横浜FC,W,4,1,1.715,1.406,18,11,8,4,0,0,440,373,16,19,12,6,0,4,7,4,28,30,10,7,13,18,31,27,1,2,4,0,0,1,0,0,38,37,11,11,"114,315m","113,114m",167,149,131,126,13.7%,8.7%,50.9%,49.1%,https://www.football-lab.jp/c-os/report/?year=2021&month=03&date=13
H,大分,W,1,0,0.473,0.24,6,5,2,1,0,0,538,573,12,15,13,10,2,2,2,3,25,28,11,6,14,17,15,25,2,0,2,2,0,1,0,0,43,30,10,5,"120,950m","126,052m",146,140,113,122,5.3%,4.1%,50.7%,49.3%,https://www.football-lab.jp/c-os/report/?year=2021&month=03&date=17
A,湘南,D,0,0,0.66,1.622,13,15,1,3,0,0,409,439,19,22,12,5,1,2,8,8,25,19,8,15,21,18,21,35,1,3,2,1,0,1,0,0,45,39,8,15,"113,468m","114,655m",205,201,126,116,10.3%,12.9%,48.2%,51.8%,https://www.football-lab.jp/c-os/report/?year=2021&month=03&date=21
H,鳥栖,W,1,0,1.049,0.553,15,8,5,3,0,0,373,566,8,17,19,9,4,2,4,3,19,24,4,6,13,8,22,18,1,0,2,4,0,4,0,1,27,48,4,15,"120,541m","121,725m",162,155,110,110,13.6%,7.3%,42%,58%,https://www.football-lab.jp/c-os/report/?year=2021&month=04&date=02
A,横浜FM,L,0,1,1.194,2.485,13,20,2,3,0,0,269,674,14,40,21,4,1,3,4,5,20,28,10,16,19,18,29,20,0,2,3,1,1,2,0,0,21,68,9,26,"124,570m","125,629m",221,261,137,139,9.5%,14.4%,33.7%,66.3%,https://www.football-lab.jp/c-os/report/?year=2021&month=04&date=06
H,福岡,D,2,2,1.222,0.259,11,5,4,4,0,0,713,203,32,6,9,9,0,4,7,3,34,10,13,6,10,19,12,53,2,1,4,0,0,2,0,1,98,18,16,6,"116,260m","107,906m",149,153,112,101,9.8%,5.0%,68.8%,31.2%,https://www.football-lab.jp/c-os/report/?year=2021&month=04&date=10
