HOME/AWAY,Opponent,勝敗,send_得点,send_失点,Opponent_ゴール期待値,send_ゴール期待値,Opponent_シュート,send_シュート,Opponent_枠内シュート,send_枠内シュート,Opponent_PKによるシュート,send_PKによるシュート,Opponent_パス,send_パス,Opponent_クロス,send_クロス,Opponent_直接ＦＫ,send_直接ＦＫ,Opponent_間接ＦＫ,send_間接ＦＫ,Opponent_ＣＫ,send_ＣＫ,Opponent_スローイン,send_スローイン,Opponent_ドリブル,send_ドリブル,Opponent_タックル,send_タックル,Opponent_クリア,send_クリア,Opponent_インターセプト,send_インターセプト,Opponent_オフサイド,send_オフサイド,Opponent_警告,send_警告,Opponent_退場,send_退場,Opponent_３０ｍライン進入,send_３０ｍライン進入,Opponent_ペナルティエリア進入,send_ペナルティエリア進入,Opponent_総移動距離,send_総移動距離,Opponent_スプリント,send_スプリント,Opponent_攻撃回数,send_攻撃回数,Opponent_チャンス構築率,send_チャンス構築率,Opponent_ボール保持率,send_ボール保持率,URL
H,Ｇ大阪,L,0,1,0.691,1.537,11,16,5,3,0,0,438,574,14,22,12,7,2,0,6,5,14,19,5,12,15,6,27,20,3,3,0,2,3,1,0,0,32,49,9,16,"114,451m","116,506m",139,156,104,105,10.6%,15.2%,43.9%,56.1%,https://www.football-lab.jp/send/report/?year=2021&month=08&date=03
A,Ｃ大阪,D,0,0,0.918,0.355,14,6,4,2,0,0,497,451,16,12,11,8,2,0,5,4,26,22,8,11,12,19,22,31,2,1,0,2,1,1,0,0,50,35,8,7,"113,334m","114,278m",115,154,112,106,12.5%,5.7%,52.8%,47.2%,https://www.football-lab.jp/send/report/?year=2021&month=08&date=09
H,横浜FC,D,0,0,0.34,1.166,5,9,3,3,0,0,376,620,13,24,13,16,0,1,6,6,14,24,5,12,25,18,24,10,1,1,1,0,2,1,0,0,33,59,5,11,"117,145m","117,433m",157,173,101,105,5.0%,8.6%,40.2%,59.8%,https://www.football-lab.jp/send/report/?year=2021&month=08&date=14
A,横浜FM,L,0,5,2.671,0.725,21,10,9,2,0,0,804,307,15,15,8,8,3,2,3,5,22,25,9,8,21,16,17,19,1,0,2,3,0,1,0,0,68,22,25,7,"131,283m","127,074m",246,213,117,126,17.9%,7.9%,64.9%,35.1%,https://www.football-lab.jp/send/report/?year=2021&month=08&date=21
H,FC東京,L,1,2,4.017,0.719,19,9,7,2,1,0,336,340,14,14,18,12,1,2,6,3,21,17,9,6,11,21,15,28,1,0,2,1,2,2,0,0,31,34,17,5,"103,899m","105,408m",160,162,101,88,18.8%,10.2%,50.7%,49.3%,https://www.football-lab.jp/send/report/?year=2021&month=08&date=25
H,鳥栖,L,0,1,1.349,0.874,13,7,5,3,0,0,712,306,9,10,13,12,1,1,6,0,22,20,11,8,25,14,19,19,0,1,1,1,0,0,0,0,41,26,14,6,"119,275m","114,964m",152,154,106,96,12.3%,7.3%,68.2%,31.8%,https://www.football-lab.jp/send/report/?year=2021&month=08&date=29
A,Ｇ大阪,W,3,2,2.735,1.452,21,13,6,6,1,0,560,416,12,7,9,7,1,0,5,2,19,19,5,12,19,15,11,26,1,2,0,1,0,1,0,0,48,34,16,9,"110,782m","113,424m",118,147,105,105,20.0%,12.4%,55.5%,44.5%,https://www.football-lab.jp/send/report/?year=2021&month=09&date=12
A,清水,L,1,2,1.34,0.943,13,13,6,3,0,0,368,394,9,14,15,17,4,2,3,1,23,18,4,8,13,17,25,17,2,1,2,4,1,2,0,0,24,38,3,10,"112,051m","110,428m",134,132,108,103,12.0%,12.6%,48.8%,51.2%,https://www.football-lab.jp/send/report/?year=2021&month=09&date=18
H,徳島,L,0,1,1.147,0.564,8,8,3,1,0,0,591,409,10,18,17,12,1,0,4,4,21,24,11,5,17,17,27,12,0,1,0,1,0,1,0,0,29,33,5,7,"115,112m","119,975m",155,183,112,109,7.1%,7.3%,62.2%,37.8%,https://www.football-lab.jp/send/report/?year=2021&month=09&date=25
A,柏,D,1,1,1.733,0.762,20,10,3,5,0,0,469,350,28,12,11,10,1,0,13,3,25,27,20,9,10,14,25,25,2,2,0,1,0,0,0,0,53,23,17,13,"113,763m","116,998m",172,180,124,112,16.1%,8.9%,55.6%,44.4%,https://www.football-lab.jp/send/report/?year=2021&month=10&date=02
A,大分,L,0,2,2.275,0.404,12,4,3,0,1,0,584,373,14,10,11,10,1,1,2,1,27,24,7,9,14,25,18,10,4,3,1,1,0,1,0,0,44,25,14,5,"113,944m","110,910m",187,149,122,118,9.8%,3.4%,60.6%,39.4%,https://www.football-lab.jp/send/report/?year=2021&month=10&date=17
H,広島,W,2,0,2.128,0.83,16,11,4,5,0,0,810,334,24,10,8,6,1,0,3,2,18,16,9,10,18,24,14,23,2,1,0,1,1,1,0,0,81,28,19,13,"115,457m","119,798m",152,175,118,117,13.6%,9.4%,65.5%,34.5%,https://www.football-lab.jp/send/report/?year=2021&month=10&date=23
A,神戸,L,2,4,3.513,0.892,18,7,9,3,0,0,672,327,16,13,11,6,1,0,3,4,24,20,15,12,26,22,17,22,0,1,0,1,0,2,0,1,53,24,20,7,"113,257m","109,730m",136,129,107,102,16.8%,6.9%,62.9%,37.1%,https://www.football-lab.jp/send/report/?year=2021&month=11&date=03
H,名古屋,D,1,1,0.858,0.325,11,8,5,3,0,0,595,410,17,9,19,9,1,2,2,2,24,17,14,9,14,19,14,19,2,1,2,1,1,0,0,0,42,30,15,2,"114,390m","119,661m",185,178,119,107,9.2%,7.5%,58.1%,41.9%,https://www.football-lab.jp/send/report/?year=2021&month=11&date=07
H,湘南,L,0,2,1.165,1.598,12,11,3,2,0,0,390,541,10,19,7,15,4,1,4,3,16,27,6,18,20,21,23,15,2,2,0,4,1,1,0,0,42,40,9,9,"118,810m","116,710m",188,192,118,119,10.2%,9.2%,41.9%,58.1%,https://www.football-lab.jp/send/report/?year=2021&month=11&date=20
A,福岡,D,2,2,2.425,1.393,11,16,4,3,0,0,431,437,20,19,9,8,4,0,8,8,20,16,14,9,24,19,25,26,3,1,0,3,1,1,0,0,48,37,10,11,"116,310m","117,438m",227,202,126,115,8.7%,13.9%,51.6%,48.4%,https://www.football-lab.jp/send/report/?year=2021&month=11&date=27
H,鹿島,L,0,1,1.28,0.874,16,11,3,0,0,0,495,351,14,13,9,15,2,2,5,3,26,30,8,10,23,18,24,24,1,2,2,2,3,0,0,0,53,32,17,9,"112,437m","111,686m",202,200,122,122,13.1%,9.0%,56.4%,43.6%,https://www.football-lab.jp/send/report/?year=2021&month=12&date=04
