HOME/AWAY,Opponent,勝敗,y-fc_得点,y-fc_失点,Opponent_ゴール期待値,y-fc_ゴール期待値,Opponent_シュート,y-fc_シュート,Opponent_枠内シュート,y-fc_枠内シュート,Opponent_PKによるシュート,y-fc_PKによるシュート,Opponent_パス,y-fc_パス,Opponent_クロス,y-fc_クロス,Opponent_直接ＦＫ,y-fc_直接ＦＫ,Opponent_間接ＦＫ,y-fc_間接ＦＫ,Opponent_ＣＫ,y-fc_ＣＫ,Opponent_スローイン,y-fc_スローイン,Opponent_ドリブル,y-fc_ドリブル,Opponent_タックル,y-fc_タックル,Opponent_クリア,y-fc_クリア,Opponent_インターセプト,y-fc_インターセプト,Opponent_オフサイド,y-fc_オフサイド,Opponent_警告,y-fc_警告,Opponent_退場,y-fc_退場,Opponent_３０ｍライン進入,y-fc_３０ｍライン進入,Opponent_ペナルティエリア進入,y-fc_ペナルティエリア進入,Opponent_総移動距離,y-fc_総移動距離,Opponent_スプリント,y-fc_スプリント,Opponent_攻撃回数,y-fc_攻撃回数,Opponent_チャンス構築率,y-fc_チャンス構築率,Opponent_ボール保持率,y-fc_ボール保持率,URL
A,札幌,L,1,5,1.922,0.666,23,4,11,2,0,0,585,420,16,9,4,17,0,3,6,2,20,21,14,6,16,14,11,19,1,1,3,0,0,1,0,0,49,21,25,4,"118,121m","117,502m",175,166,110,120,20.9%,3.3%,54.3%,45.7%,https://www.football-lab.jp/y-fc/report/?year=2021&month=02&date=27
H,大分,L,1,2,0.743,2.208,7,21,3,7,0,0,479,461,13,27,10,12,3,0,2,5,21,26,4,8,15,17,33,14,1,2,0,3,0,2,0,0,29,53,11,13,"122,411m","119,843m",148,161,116,120,6.0%,17.5%,49.1%,50.9%,https://www.football-lab.jp/y-fc/report/?year=2021&month=03&date=06
A,浦和,L,0,2,2.584,1.644,9,14,4,4,2,0,556,508,9,14,5,14,1,4,3,5,18,15,11,14,20,23,33,11,0,3,4,1,1,1,0,0,24,48,9,9,"120,207m","117,611m",207,181,100,102,9.0%,13.7%,51.9%,48.1%,https://www.football-lab.jp/y-fc/report/?year=2021&month=03&date=10
H,Ｃ大阪,L,1,4,1.715,1.406,18,11,8,4,0,0,440,373,16,19,12,6,0,4,7,4,28,30,10,7,13,18,31,27,1,2,4,0,0,1,0,0,38,37,11,11,"114,315m","113,114m",167,149,131,126,13.7%,8.7%,50.9%,49.1%,https://www.football-lab.jp/y-fc/report/?year=2021&month=03&date=13
A,名古屋,L,0,3,1.933,0.226,12,6,7,2,0,0,620,469,12,12,13,9,1,2,6,2,12,21,16,12,16,24,16,21,4,3,2,1,0,2,0,0,35,42,9,8,"114,827m","114,109m",189,146,102,103,11.8%,5.8%,55.3%,44.7%,https://www.football-lab.jp/y-fc/report/?year=2021&month=03&date=17
A,徳島,L,1,2,1.211,1.182,13,10,4,3,0,0,430,529,13,14,8,11,0,3,4,4,20,16,11,2,14,17,24,21,0,1,3,0,1,4,0,0,32,36,13,5,"121,443m","118,398m",167,187,104,105,12.5%,9.5%,46.7%,53.3%,https://www.football-lab.jp/y-fc/report/?year=2021&month=03&date=21
H,柏,D,1,1,1.358,1.213,14,6,4,3,0,0,438,332,18,9,8,15,1,2,6,4,27,34,15,8,19,21,26,41,1,1,1,0,1,1,0,0,47,12,8,5,"112,428m","113,204m",167,145,113,126,12.4%,4.8%,53.3%,46.7%,https://www.football-lab.jp/y-fc/report/?year=2021&month=04&date=03
H,広島,L,0,3,1.378,0.037,16,1,7,1,0,0,652,608,12,11,3,8,0,2,4,0,25,19,15,6,24,16,16,23,3,1,2,0,0,0,0,0,48,28,14,3,"123,824m","121,741m",185,161,111,108,14.4%,0.9%,50.1%,49.9%,https://www.football-lab.jp/y-fc/report/?year=2021&month=04&date=07
A,鳥栖,L,0,3,0.604,0.682,8,8,4,5,0,0,518,543,9,12,12,18,3,0,5,4,12,21,16,5,19,22,16,8,3,1,0,3,1,0,0,0,34,27,9,7,"126,530m","118,507m",187,163,109,119,7.3%,6.7%,49.4%,50.6%,https://www.football-lab.jp/y-fc/report/?year=2021&month=04&date=11
H,仙台,D,2,2,2.846,1.127,20,10,6,4,0,0,530,383,23,8,8,8,1,0,7,3,28,24,17,3,18,19,9,24,2,0,0,1,1,1,0,0,53,29,13,6,"113,533m","114,613m",182,228,128,120,15.6%,8.3%,53.2%,46.8%,https://www.football-lab.jp/y-fc/report/?year=2021&month=04&date=17
A,横浜FM,L,0,5,4.49,1.294,24,7,7,4,1,0,725,372,18,13,8,9,4,5,7,8,24,16,7,15,17,16,19,26,4,2,5,4,0,1,0,0,65,21,23,7,"122,639m","119,143m",232,193,124,118,19.4%,5.9%,60.1%,39.9%,https://www.football-lab.jp/y-fc/report/?year=2021&month=04&date=24
