HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,kobe_ゴール期待値,Opponent_ゴール期待値,kobe_シュート,Opponent_シュート,kobe_枠内シュート,Opponent_枠内シュート,kobe_PKによるシュート,Opponent_PKによるシュート,kobe_パス,Opponent_パス,kobe_クロス,Opponent_クロス,kobe_直接ＦＫ,Opponent_直接ＦＫ,kobe_間接ＦＫ,Opponent_間接ＦＫ,kobe_ＣＫ,Opponent_ＣＫ,kobe_スローイン,Opponent_スローイン,kobe_ドリブル,Opponent_ドリブル,kobe_タックル,Opponent_タックル,kobe_クリア,Opponent_クリア,kobe_インターセプト,Opponent_インターセプト,kobe_オフサイド,Opponent_オフサイド,kobe_警告,Opponent_警告,kobe_退場,Opponent_退場,kobe_３０ｍライン進入,Opponent_３０ｍライン進入,kobe_ペナルティエリア進入,Opponent_ペナルティエリア進入,kobe_総移動距離,Opponent_総移動距離,kobe_スプリント,Opponent_スプリント,kobe_攻撃回数,Opponent_攻撃回数,kobe_チャンス構築率,Opponent_チャンス構築率,kobe_ボール保持率,Opponent_ボール保持率,URL
H,Ｇ大阪,W,1,0,0.423,0.565,8,8,2,4,0,0,640,485,8,16,11,8,3,4,2,4,22,29,9,7,15,14,33,21,5,2,3,3,1,0,0,0,25,37,3,9,"120,535m","122,904m",190,149,127,131,6.3%,6.1%,58.2%,41.8%,https://www.football-lab.jp/kobe/report/?year=2021&month=02&date=27
A,徳島,D,1,1,1.711,0.722,12,11,2,3,0,0,615,366,13,13,8,12,1,1,5,1,21,27,17,18,23,22,12,16,2,2,1,0,2,1,0,0,35,32,7,10,"115,570m","120,078m",214,148,123,118,9.8%,9.3%,59.8%,40.2%,https://www.football-lab.jp/kobe/report/?year=2021&month=03&date=06
A,FC東京,W,3,2,1.664,1.459,11,18,6,9,0,0,609,407,13,13,8,9,1,2,0,6,25,32,5,12,29,17,27,14,0,0,1,1,1,1,0,0,35,33,9,12,"121,055m","116,295m",237,191,127,133,8.7%,13.5%,60.2%,39.8%,https://www.football-lab.jp/kobe/report/?year=2021&month=03&date=10
H,名古屋,L,0,1,0.894,0.443,10,7,2,3,0,0,717,376,12,4,8,13,0,0,2,3,24,22,9,5,15,18,16,26,2,6,0,0,1,0,0,0,39,12,9,4,"117,643m","116,784m",171,157,107,119,9.3%,5.9%,63.8%,36.2%,https://www.football-lab.jp/kobe/report/?year=2021&month=03&date=13
H,川崎Ｆ,D,1,1,1.151,1.45,9,13,4,3,0,0,520,624,16,11,6,6,2,0,5,6,28,40,13,18,28,21,29,26,1,2,0,2,0,2,0,0,37,53,14,13,"123,463m","120,242m",230,194,146,151,6.2%,8.6%,49.5%,50.5%,https://www.football-lab.jp/kobe/report/?year=2021&month=03&date=17
A,札幌,W,4,3,2.559,2.701,14,15,8,3,1,2,447,449,13,15,19,7,2,0,4,3,17,16,8,20,20,19,18,18,2,2,0,2,1,0,0,0,22,41,12,16,"119,590m","116,005m",230,167,138,127,10.1%,11.8%,50%,50%,https://www.football-lab.jp/kobe/report/?year=2021&month=03&date=20
A,仙台,W,2,0,1.102,0.601,13,7,3,0,0,0,522,463,14,7,10,7,1,0,8,4,22,32,12,12,18,20,24,17,3,1,0,1,0,1,0,0,41,30,6,10,"120,617m","116,717m",224,153,119,125,10.9%,5.6%,52%,48%,https://www.football-lab.jp/kobe/report/?year=2021&month=04&date=03
H,大分,W,1,0,0.837,0.295,8,5,2,0,0,0,609,642,7,8,7,9,1,1,1,1,29,29,9,5,20,24,15,4,1,1,1,1,0,0,0,0,36,28,6,3,"126,413m","125,141m",189,176,103,104,7.8%,4.8%,49.4%,50.6%,https://www.football-lab.jp/kobe/report/?year=2021&month=04&date=07
H,清水,D,1,1,1.136,0.701,7,13,3,3,0,0,586,470,11,10,8,12,4,2,3,2,31,16,9,7,20,25,15,22,2,3,2,4,0,0,0,0,35,41,8,6,"125,885m","122,105m",227,199,121,113,5.8%,11.5%,53.4%,46.6%,https://www.football-lab.jp/kobe/report/?year=2021&month=04&date=11
A,湘南,D,0,0,0.446,1.7,11,13,2,3,0,0,566,376,16,10,13,11,3,1,4,3,30,27,15,6,21,19,25,27,3,0,1,3,3,1,0,0,36,23,11,10,"119,943m","119,101m",189,182,136,130,8.1%,10.0%,57.7%,42.3%,https://www.football-lab.jp/kobe/report/?year=2021&month=04&date=17
A,鹿島,D,1,1,0.848,0.919,11,13,3,6,0,0,407,546,10,19,12,8,2,2,6,8,28,41,5,13,28,9,34,13,4,3,2,2,0,0,0,0,29,43,6,15,"120,575m","123,148m",227,216,142,145,7.7%,9.0%,46.5%,53.5%,https://www.football-lab.jp/kobe/report/?year=2021&month=04&date=24
