HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,Opponent_ゴール期待値,g-os_ゴール期待値,Opponent_シュート,g-os_シュート,Opponent_枠内シュート,g-os_枠内シュート,Opponent_PKによるシュート,g-os_PKによるシュート,Opponent_パス,g-os_パス,Opponent_クロス,g-os_クロス,Opponent_直接ＦＫ,g-os_直接ＦＫ,Opponent_間接ＦＫ,g-os_間接ＦＫ,Opponent_ＣＫ,g-os_ＣＫ,Opponent_スローイン,g-os_スローイン,Opponent_ドリブル,g-os_ドリブル,Opponent_タックル,g-os_タックル,Opponent_クリア,g-os_クリア,Opponent_インターセプト,g-os_インターセプト,Opponent_オフサイド,g-os_オフサイド,Opponent_警告,g-os_警告,Opponent_退場,g-os_退場,Opponent_３０ｍライン進入,g-os_３０ｍライン進入,Opponent_ペナルティエリア進入,g-os_ペナルティエリア進入,Opponent_総移動距離,g-os_総移動距離,Opponent_スプリント,g-os_スプリント,Opponent_攻撃回数,g-os_攻撃回数,Opponent_チャンス構築率,g-os_チャンス構築率,Opponent_ボール保持率,g-os_ボール保持率,URL
A,神戸,L,0,1,0.423,0.565,8,8,2,4,0,0,640,485,8,16,11,8,3,4,2,4,22,29,9,7,15,14,33,21,5,2,3,3,1,0,0,0,25,37,3,9,"120,535m","122,904m",190,149,127,131,6.3%,6.1%,58.2%,41.8%,https://www.football-lab.jp/g-os/report/?year=2021&month=02&date=27
A,広島,D,0,0,2.102,0.71,15,7,4,2,0,0,449,458,12,9,9,15,2,2,9,3,24,25,16,9,22,27,26,19,3,1,2,2,0,0,0,0,38,27,9,6,"111,047m","113,625m",161,177,122,128,12.3%,5.5%,49.7%,50.3%,https://www.football-lab.jp/g-os/report/?year=2021&month=04&date=03
H,福岡,D,0,0,0.859,0.68,13,10,2,2,0,0,337,656,7,14,6,11,1,1,4,5,18,24,6,12,21,11,27,11,1,2,1,1,1,0,0,0,21,42,10,13,"116,833m","117,361m",186,162,106,119,12.3%,8.4%,38.7%,61.3%,https://www.football-lab.jp/g-os/report/?year=2021&month=04&date=07
A,柏,L,0,1,2.141,1.355,22,10,4,1,0,0,482,424,22,12,6,9,2,2,11,4,21,21,11,10,18,32,27,36,2,2,2,2,0,0,0,0,47,33,18,8,"113,434m","112,648m",226,191,133,122,16.5%,8.2%,49.1%,50.9%,https://www.football-lab.jp/g-os/report/?year=2021&month=04&date=11
A,鳥栖,W,1,0,1.464,0.199,13,5,3,2,0,0,541,540,23,4,6,8,0,3,4,3,33,19,9,5,27,18,13,25,3,1,3,0,1,0,0,0,53,22,22,3,"132,436m","129,362m",216,192,113,113,11.5%,4.4%,48.3%,51.7%,https://www.football-lab.jp/g-os/report/?year=2021&month=04&date=14
H,清水,D,0,0,0.897,0.69,13,13,2,1,0,0,505,599,15,19,9,9,1,0,3,1,21,22,13,13,10,14,32,19,3,2,0,1,1,2,0,0,41,45,20,7,"120,971m","119,319m",174,155,109,111,11.9%,11.7%,46.1%,53.9%,https://www.football-lab.jp/g-os/report/?year=2021&month=04&date=18
A,名古屋,L,0,2,1.048,1.01,11,12,5,0,0,0,377,646,6,16,13,8,0,0,5,4,10,22,11,10,11,16,34,14,0,2,0,0,1,2,0,0,32,51,10,9,"121,511m","116,123m",190,181,105,105,10.5%,11.4%,39.4%,60.6%,https://www.football-lab.jp/g-os/report/?year=2021&month=04&date=22
A,Ｃ大阪,D,1,1,3.138,2.099,18,13,8,3,1,1,433,477,23,13,13,5,3,3,3,6,22,18,16,15,16,17,19,26,0,2,3,3,0,1,0,0,44,40,18,10,"122,101m","122,500m",174,227,130,127,13.8%,10.2%,46.9%,53.1%,https://www.football-lab.jp/g-os/report/?year=2021&month=05&date=02
H,川崎Ｆ,L,0,2,1.874,0.586,17,7,7,2,0,0,741,352,16,11,8,8,1,1,8,4,18,19,16,13,17,24,15,29,1,5,0,1,1,1,0,0,86,25,26,7,"104,934m","107,875m",134,115,111,109,15.3%,6.4%,63.4%,36.6%,https://www.football-lab.jp/g-os/report/?year=2021&month=05&date=08
H,広島,L,1,2,1.395,1.387,11,12,3,3,0,0,381,663,10,10,13,12,3,4,4,10,19,22,5,8,17,23,23,11,2,1,4,3,0,0,0,0,28,38,13,11,"113,320m","114,922m",191,165,123,136,8.9%,8.8%,41.1%,58.9%,https://www.football-lab.jp/g-os/report/?year=2021&month=05&date=12
H,浦和,L,0,3,1.843,1.019,11,14,7,2,0,0,498,696,10,20,10,9,1,2,1,6,13,21,7,12,23,9,23,7,2,2,2,1,1,0,0,0,27,62,8,7,"117,226m","118,419m",163,169,106,111,10.4%,12.6%,43.4%,56.6%,https://www.football-lab.jp/g-os/report/?year=2021&month=05&date=16
A,FC東京,L,0,1,2.134,1.057,13,13,3,3,0,0,455,492,11,16,14,13,1,2,3,4,25,20,7,17,19,20,25,19,1,1,2,1,0,1,0,0,32,46,10,11,"111,563m","113,456m",179,216,128,121,10.2%,10.7%,47.3%,52.7%,https://www.football-lab.jp/g-os/report/?year=2021&month=05&date=22
H,徳島,W,2,1,1.713,0.494,16,5,2,3,1,0,707,311,18,9,10,10,3,2,3,2,16,20,10,8,11,16,13,28,2,2,2,3,1,2,0,0,59,17,14,9,"114,778m","116,803m",160,163,117,115,13.7%,4.3%,67.3%,32.7%,https://www.football-lab.jp/g-os/report/?year=2021&month=05&date=27
H,横浜FC,W,2,0,1.786,1.686,20,10,5,4,0,1,613,508,17,3,10,7,3,1,4,2,28,15,10,5,13,21,8,32,0,0,1,3,1,0,0,0,48,32,16,6,"112,792m","112,803m",128,121,114,103,17.5%,9.7%,53.3%,46.7%,https://www.football-lab.jp/g-os/report/?year=2021&month=05&date=30
A,湘南,D,0,0,1.505,0.383,13,6,3,1,0,0,472,421,16,10,8,13,0,0,6,4,30,23,7,5,11,19,20,28,0,1,0,0,0,1,0,0,47,19,14,7,"114,757m","112,890m",202,182,127,127,10.2%,4.7%,53.6%,46.4%,https://www.football-lab.jp/g-os/report/?year=2021&month=06&date=02
A,福岡,W,1,0,1.715,0.736,19,9,5,4,0,0,379,491,25,17,6,14,2,1,6,3,29,19,11,11,17,14,20,26,1,2,1,2,0,0,0,0,37,52,15,13,"107,857m","108,928m",180,145,119,115,16.0%,7.8%,44.7%,55.3%,https://www.football-lab.jp/g-os/report/?year=2021&month=07&date=17
H,神戸,L,1,2,0.706,1.902,8,13,5,4,0,0,663,517,12,13,8,11,3,2,4,7,10,19,6,14,18,13,27,12,2,1,2,3,0,1,0,0,37,49,8,13,"118,126m","117,598m",86,102,93,94,8.6%,13.8%,55.6%,44.4%,https://www.football-lab.jp/g-os/report/?year=2021&month=07&date=21
H,鹿島,L,0,1,2.029,0.652,22,8,9,1,0,0,464,429,19,13,17,11,0,4,5,2,27,24,6,8,11,13,16,35,2,2,4,0,0,1,0,0,50,23,22,8,"112,072m","108,707m",164,124,110,103,20.0%,7.8%,52.1%,47.9%,https://www.football-lab.jp/g-os/report/?year=2021&month=07&date=24
H,大分,W,2,1,0.758,2.67,6,18,1,8,0,0,481,599,8,26,12,7,0,2,2,7,13,19,3,14,17,7,27,10,1,2,2,0,0,0,0,0,30,65,4,22,"116,042m","111,210m",131,127,101,97,5.9%,18.6%,47.6%,52.4%,https://www.football-lab.jp/g-os/report/?year=2021&month=07&date=27
A,札幌,W,2,0,1.713,1.734,16,7,5,6,0,0,572,309,23,7,11,13,1,1,10,2,24,16,21,9,20,22,13,39,2,0,1,1,3,0,0,0,48,21,18,11,"109,769m","110,624m",173,174,129,122,12.4%,5.7%,57.6%,42.4%,https://www.football-lab.jp/g-os/report/?year=2021&month=07&date=30
A,仙台,W,1,0,1.537,0.691,16,11,3,5,0,0,574,438,22,14,7,12,0,2,5,6,19,14,12,5,6,15,20,27,3,3,2,0,1,3,0,0,49,32,16,9,"116,506m","114,451m",156,139,105,104,15.2%,10.6%,56.1%,43.9%,https://www.football-lab.jp/g-os/report/?year=2021&month=08&date=03
H,横浜FM,L,2,3,1.565,3.012,19,20,7,9,0,1,564,498,21,15,7,11,6,5,4,2,11,19,7,6,14,16,16,12,2,2,5,6,2,1,0,0,55,35,18,19,"117,463m","113,653m",169,158,101,115,18.8%,17.4%,51.1%,48.9%,https://www.football-lab.jp/g-os/report/?year=2021&month=08&date=06
A,徳島,L,1,2,1.886,0.806,21,10,6,4,0,0,440,555,15,11,17,11,0,1,8,5,13,17,12,5,22,12,12,16,2,3,1,0,1,4,0,0,39,50,14,7,"113,289m","111,387m",153,150,103,99,20.4%,10.1%,46.9%,53.1%,https://www.football-lab.jp/g-os/report/?year=2021&month=08&date=09
A,清水,W,1,0,1.886,0.528,17,10,1,2,0,0,420,551,15,13,8,7,1,2,10,5,22,26,6,6,15,14,16,22,2,0,2,1,1,0,0,0,29,62,9,16,"109,067m","106,043m",138,133,100,101,17.0%,9.9%,46.1%,53.9%,https://www.football-lab.jp/g-os/report/?year=2021&month=08&date=13
H,FC東京,D,0,0,1.302,0.89,17,16,3,4,0,0,437,571,12,10,13,14,1,2,8,4,7,15,12,13,11,20,17,18,4,3,2,1,2,1,0,0,43,49,12,11,"106,027m","104,097m",165,123,107,102,15.9%,15.7%,44.9%,55.1%,https://www.football-lab.jp/g-os/report/?year=2021&month=08&date=21
A,横浜FC,L,1,3,1.611,0.611,16,8,7,2,0,0,445,436,15,7,8,14,3,4,2,1,25,22,9,6,13,12,17,20,1,0,2,3,2,1,0,1,36,21,14,6,"116,720m","112,011m",154,158,97,104,16.5%,7.7%,52.6%,47.4%,https://www.football-lab.jp/g-os/report/?year=2021&month=08&date=25
H,Ｃ大阪,L,0,1,1.304,0.732,17,11,4,4,0,0,497,473,16,11,11,11,2,1,2,5,19,15,16,7,8,15,23,18,0,1,1,2,0,0,0,0,55,41,12,12,"108,004m","108,543m",150,131,109,108,15.6%,10.2%,55.8%,44.2%,https://www.football-lab.jp/g-os/report/?year=2021&month=08&date=28
H,仙台,L,2,3,1.452,2.735,13,21,6,6,0,1,416,560,7,12,7,9,0,1,2,5,19,19,12,5,15,19,26,11,2,1,1,0,1,0,0,0,34,48,9,16,"113,424m","110,782m",147,118,105,105,12.4%,20.0%,44.5%,55.5%,https://www.football-lab.jp/g-os/report/?year=2021&month=09&date=12
A,鹿島,L,1,3,2.72,1.008,25,5,9,1,0,1,487,330,12,6,11,5,2,5,3,3,26,21,11,8,13,17,17,18,1,1,4,2,1,2,0,0,41,23,18,3,"112,154m","109,716m",204,184,120,121,20.8%,4.1%,55.2%,44.8%,https://www.football-lab.jp/g-os/report/?year=2021&month=09&date=18
H,柏,W,2,1,1.862,0.77,23,7,4,5,0,0,511,331,33,6,8,10,1,2,9,3,23,22,17,10,21,16,20,39,1,0,2,1,0,0,0,0,65,16,26,5,"109,775m","110,846m",152,146,133,126,17.3%,5.6%,59.7%,40.3%,https://www.football-lab.jp/g-os/report/?year=2021&month=09&date=26
H,札幌,L,1,5,2.232,2.49,20,17,10,2,0,0,492,531,12,9,12,12,0,1,3,3,25,17,9,13,19,14,18,13,4,3,1,0,0,0,0,0,39,32,24,14,"115,873m","115,536m",164,158,134,124,14.9%,13.7%,49.6%,50.4%,https://www.football-lab.jp/g-os/report/?year=2021&month=10&date=02
A,浦和,D,1,1,3.525,1.609,25,10,7,3,1,1,625,360,22,6,7,7,2,0,5,2,27,10,12,9,15,15,15,22,0,1,0,2,0,4,0,0,67,27,20,7,"110,396m","113,160m",122,129,105,95,23.8%,10.5%,63.1%,36.9%,https://www.football-lab.jp/g-os/report/?year=2021&month=10&date=16
H,鳥栖,W,1,0,1.164,1.24,15,11,1,2,0,0,636,331,21,5,7,14,1,1,3,3,26,16,9,10,12,15,12,19,2,2,1,1,0,0,0,0,64,25,18,7,"121,674m","117,949m",155,171,124,111,12.1%,9.9%,62.3%,37.7%,https://www.football-lab.jp/g-os/report/?year=2021&month=10&date=23
A,横浜FM,W,1,0,1.908,0.897,26,7,4,1,0,0,725,226,39,9,10,4,1,0,11,4,32,20,14,7,9,20,14,42,0,3,0,1,0,4,0,0,78,12,27,6,"116,860m","116,665m",182,184,131,112,19.8%,6.3%,67.7%,32.3%,https://www.football-lab.jp/g-os/report/?year=2021&month=11&date=03
