HOME/AWAY,Opponent,勝敗,oita_得点,oita_失点,oita_ゴール期待値,Opponent_ゴール期待値,oita_シュート,Opponent_シュート,oita_枠内シュート,Opponent_枠内シュート,oita_PKによるシュート,Opponent_PKによるシュート,oita_パス,Opponent_パス,oita_クロス,Opponent_クロス,oita_直接ＦＫ,Opponent_直接ＦＫ,oita_間接ＦＫ,Opponent_間接ＦＫ,oita_ＣＫ,Opponent_ＣＫ,oita_スローイン,Opponent_スローイン,oita_ドリブル,Opponent_ドリブル,oita_タックル,Opponent_タックル,oita_クリア,Opponent_クリア,oita_インターセプト,Opponent_インターセプト,oita_オフサイド,Opponent_オフサイド,oita_警告,Opponent_警告,oita_退場,Opponent_退場,oita_３０ｍライン進入,Opponent_３０ｍライン進入,oita_ペナルティエリア進入,Opponent_ペナルティエリア進入,oita_総移動距離,Opponent_総移動距離,oita_スプリント,Opponent_スプリント,oita_攻撃回数,Opponent_攻撃回数,oita_チャンス構築率,Opponent_チャンス構築率,oita_ボール保持率,Opponent_ボール保持率,URL
H,湘南,W,2,0,0.245,0.747,3,9,2,2,0,0,342,488,12,15,10,13,3,3,2,5,16,23,3,7,20,15,28,16,1,2,3,1,3,1,0,0,14,45,6,15,"117,242m","112,524m",173,149,96,109,3.1%,8.3%,42.4%,57.6%,https://www.football-lab.jp/oita/report/?year=2021&month=09&date=11
A,鳥栖,D,0,0,0.359,1.501,4,18,1,5,0,0,457,602,15,14,7,7,1,1,7,6,16,20,5,5,18,17,24,26,0,0,1,1,0,1,0,0,26,47,3,11,"119,608m","120,598m",147,155,103,97,3.9%,18.6%,43.1%,56.9%,https://www.football-lab.jp/oita/report/?year=2021&month=09&date=18
A,名古屋,L,0,1,0.82,2.444,8,18,4,7,0,0,524,525,17,9,2,15,3,1,5,7,23,15,8,14,20,14,15,19,6,2,1,3,0,0,0,0,43,36,12,15,"117,812m","113,463m",163,182,101,104,7.9%,17.3%,48.5%,51.5%,https://www.football-lab.jp/oita/report/?year=2021&month=09&date=26
H,Ｃ大阪,W,1,0,1.581,1.448,11,12,5,4,0,0,355,425,14,12,9,8,2,1,4,5,24,29,8,7,18,14,27,25,0,3,1,2,0,1,0,0,28,44,9,13,"111,028m","104,729m",169,170,112,112,9.8%,10.7%,48.1%,51.9%,https://www.football-lab.jp/oita/report/?year=2021&month=10&date=03
H,仙台,W,2,0,2.275,0.404,12,4,3,0,1,0,584,373,14,10,11,10,1,1,2,1,27,24,7,9,14,25,18,10,4,3,1,1,0,1,0,0,44,25,14,5,"113,944m","110,910m",187,149,122,118,9.8%,3.4%,60.6%,39.4%,https://www.football-lab.jp/oita/report/?year=2021&month=10&date=17
A,徳島,D,1,1,1.392,1.758,7,16,3,6,0,0,403,399,10,13,12,7,1,1,5,7,33,22,9,8,14,20,26,18,1,2,1,1,1,3,0,0,21,27,3,4,"112,200m","108,644m",130,137,116,105,6.0%,15.2%,47.9%,52.1%,https://www.football-lab.jp/oita/report/?year=2021&month=10&date=23
A,福岡,L,0,1,0.833,0.485,8,11,4,3,0,0,665,300,16,6,8,12,0,0,5,3,26,20,6,5,18,26,9,29,1,1,0,0,0,0,0,0,57,22,11,3,"113,385m","110,776m",113,148,117,110,6.8%,10.0%,64.6%,35.4%,https://www.football-lab.jp/oita/report/?year=2021&month=11&date=03
H,Ｇ大阪,L,2,3,1.418,2.468,13,18,5,5,0,1,520,388,30,11,12,6,1,1,7,5,22,22,13,11,17,20,26,36,0,3,1,1,1,1,0,0,50,30,21,12,"116,098m","112,838m",168,161,128,122,10.2%,14.8%,55.4%,44.6%,https://www.football-lab.jp/oita/report/?year=2021&month=11&date=07
A,鹿島,D,0,0,0.191,1.887,2,20,0,5,0,0,367,517,9,26,9,12,2,0,1,12,26,38,7,21,22,14,45,13,2,3,0,2,1,1,0,0,15,58,4,16,"115,032m","114,783m",168,187,119,135,1.7%,14.8%,43.4%,56.6%,https://www.football-lab.jp/oita/report/?year=2021&month=11&date=20
H,横浜FC,W,2,0,1.246,0.993,11,11,2,3,0,0,545,582,11,15,7,16,0,3,5,3,17,19,4,14,21,25,28,23,2,1,3,0,0,0,0,0,32,45,14,11,"125,981m","123,651m",206,166,116,122,9.5%,9.0%,46.1%,53.9%,https://www.football-lab.jp/oita/report/?year=2021&month=11&date=27
A,柏,W,3,2,1.055,0.718,11,15,6,8,0,0,583,446,8,12,10,10,4,3,3,5,25,21,8,10,23,18,21,22,4,3,3,3,0,0,0,0,39,37,11,6,"123,238m","118,242m",194,190,116,111,9.5%,13.5%,54.8%,45.2%,https://www.football-lab.jp/oita/report/?year=2021&month=12&date=04
