HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,Opponent_ゴール期待値,y-fm_ゴール期待値,Opponent_シュート,y-fm_シュート,Opponent_枠内シュート,y-fm_枠内シュート,Opponent_PKによるシュート,y-fm_PKによるシュート,Opponent_パス,y-fm_パス,Opponent_クロス,y-fm_クロス,Opponent_直接ＦＫ,y-fm_直接ＦＫ,Opponent_間接ＦＫ,y-fm_間接ＦＫ,Opponent_ＣＫ,y-fm_ＣＫ,Opponent_スローイン,y-fm_スローイン,Opponent_ドリブル,y-fm_ドリブル,Opponent_タックル,y-fm_タックル,Opponent_クリア,y-fm_クリア,Opponent_インターセプト,y-fm_インターセプト,Opponent_オフサイド,y-fm_オフサイド,Opponent_警告,y-fm_警告,Opponent_退場,y-fm_退場,Opponent_３０ｍライン進入,y-fm_３０ｍライン進入,Opponent_ペナルティエリア進入,y-fm_ペナルティエリア進入,Opponent_総移動距離,y-fm_総移動距離,Opponent_スプリント,y-fm_スプリント,Opponent_攻撃回数,y-fm_攻撃回数,Opponent_チャンス構築率,y-fm_チャンス構築率,Opponent_ボール保持率,y-fm_ボール保持率,URL
A,川崎Ｆ,L,0,2,2.279,0.974,18,11,8,2,0,0,488,592,11,11,9,9,2,3,6,7,26,30,8,15,27,27,26,12,3,0,3,2,0,1,0,0,41,39,16,13,"119,788m","121,347m",211,212,131,134,13.7%,8.2%,46.9%,53.1%,https://www.football-lab.jp/y-fm/report/?year=2021&month=02&date=26
H,広島,D,3,3,2.58,1.886,11,14,7,5,2,0,266,804,11,32,13,11,1,2,6,8,17,18,22,8,19,15,36,17,4,1,2,1,0,3,0,0,24,86,7,20,"127,088m","129,125m",204,217,131,131,8.4%,10.7%,34.6%,65.4%,https://www.football-lab.jp/y-fm/report/?year=2021&month=03&date=07
A,福岡,W,3,1,1.683,1.856,14,13,2,5,0,1,294,600,10,18,6,13,3,4,8,8,33,21,5,12,33,16,17,24,3,1,4,1,2,1,0,0,20,56,8,16,"116,370m","119,014m",189,195,134,130,10.4%,10.0%,37%,63%,https://www.football-lab.jp/y-fm/report/?year=2021&month=03&date=10
H,浦和,W,3,0,0.855,2.573,8,21,2,8,0,0,635,624,13,11,9,12,1,0,2,5,24,13,10,8,23,19,14,18,1,2,0,1,1,0,0,0,28,53,8,13,"120,389m","125,429m",195,225,125,117,6.4%,17.9%,53.7%,46.3%,https://www.football-lab.jp/y-fm/report/?year=2021&month=03&date=14
H,徳島,W,1,0,0.915,1.194,12,9,1,2,0,0,401,538,14,14,11,6,0,4,3,4,29,27,9,8,28,33,21,18,2,3,4,0,0,3,0,0,31,44,9,12,"127,614m","127,516m",234,251,136,144,8.8%,6.3%,46.3%,53.7%,https://www.football-lab.jp/y-fm/report/?year=2021&month=03&date=17
H,湘南,D,1,1,1.255,1.773,11,14,2,4,0,0,310,704,12,24,17,13,1,1,6,9,19,29,6,9,22,17,26,19,4,1,1,1,0,1,0,0,25,66,11,23,"123,486m","123,300m",217,222,118,128,9.3%,10.9%,38.3%,61.7%,https://www.football-lab.jp/y-fm/report/?year=2021&month=04&date=03
H,Ｃ大阪,W,1,0,1.194,2.485,13,20,2,3,0,0,269,674,14,40,21,4,1,3,4,5,20,28,10,16,19,18,29,20,0,2,3,1,1,2,0,0,21,68,9,26,"124,570m","125,629m",221,261,137,139,9.5%,14.4%,33.7%,66.3%,https://www.football-lab.jp/y-fm/report/?year=2021&month=04&date=06
A,仙台,D,0,0,0.175,0.818,4,8,1,1,0,0,235,696,12,28,10,13,2,2,0,7,31,37,10,14,20,14,33,18,5,1,2,2,1,2,0,0,23,58,6,11,"121,135m","120,963m",189,208,129,147,3.1%,5.4%,31.1%,68.9%,https://www.football-lab.jp/y-fm/report/?year=2021&month=04&date=11
A,札幌,W,3,1,1.564,2.153,17,13,8,8,0,0,401,571,13,14,12,17,0,6,9,4,21,25,16,10,27,17,30,22,3,0,6,0,3,1,0,0,32,39,15,16,"122,660m","127,296m",210,242,132,143,12.9%,9.1%,46.4%,53.6%,https://www.football-lab.jp/y-fm/report/?year=2021&month=04&date=16
H,横浜FC,W,5,0,1.294,4.49,7,24,4,7,0,1,372,725,13,18,9,8,5,4,8,7,16,24,15,7,16,17,26,19,2,4,4,5,1,0,0,0,21,65,7,23,"119,143m","122,639m",193,232,118,124,5.9%,19.4%,39.9%,60.1%,https://www.football-lab.jp/y-fm/report/?year=2021&month=04&date=24
