HOME/AWAY,Opponent,勝敗,fuku_得点,fuku_失点,fuku_ゴール期待値,Opponent_ゴール期待値,fuku_シュート,Opponent_シュート,fuku_枠内シュート,Opponent_枠内シュート,fuku_PKによるシュート,Opponent_PKによるシュート,fuku_パス,Opponent_パス,fuku_クロス,Opponent_クロス,fuku_直接ＦＫ,Opponent_直接ＦＫ,fuku_間接ＦＫ,Opponent_間接ＦＫ,fuku_ＣＫ,Opponent_ＣＫ,fuku_スローイン,Opponent_スローイン,fuku_ドリブル,Opponent_ドリブル,fuku_タックル,Opponent_タックル,fuku_クリア,Opponent_クリア,fuku_インターセプト,Opponent_インターセプト,fuku_オフサイド,Opponent_オフサイド,fuku_警告,Opponent_警告,fuku_退場,Opponent_退場,fuku_３０ｍライン進入,Opponent_３０ｍライン進入,fuku_ペナルティエリア進入,Opponent_ペナルティエリア進入,fuku_総移動距離,Opponent_総移動距離,fuku_スプリント,Opponent_スプリント,fuku_攻撃回数,Opponent_攻撃回数,fuku_チャンス構築率,Opponent_チャンス構築率,fuku_ボール保持率,Opponent_ボール保持率,URL
H,FC東京,W,1,0,2.506,0.772,17,8,3,2,0,0,311,397,13,14,14,16,3,1,3,6,18,24,4,7,18,8,40,23,0,1,0,3,1,2,0,0,32,28,11,9,"105,992m","106,355m",168,159,111,124,15.3%,6.5%,48.7%,51.3%,https://www.football-lab.jp/fuku/report/?year=2021&month=04&date=17
A,広島,W,2,1,0.419,1.121,5,12,3,4,0,0,261,590,13,25,16,13,1,2,2,7,31,34,8,12,28,21,47,13,2,0,2,1,1,0,0,0,14,51,2,17,"115,425m","115,922m",188,181,135,144,3.7%,8.3%,38.9%,61.1%,https://www.football-lab.jp/fuku/report/?year=2021&month=04&date=24
H,浦和,W,2,0,0.892,0.773,13,9,4,5,0,0,237,781,11,22,12,15,0,0,2,8,8,16,11,8,21,17,36,13,2,1,0,0,1,1,0,0,24,61,7,17,"115,801m","114,783m",171,159,94,104,13.8%,8.7%,31.5%,68.5%,https://www.football-lab.jp/fuku/report/?year=2021&month=05&date=01
H,柏,W,1,0,0.761,1.675,10,12,4,4,0,0,309,436,11,17,7,9,0,1,12,6,38,29,15,11,20,24,27,32,1,3,1,0,3,2,0,0,17,33,11,10,"109,815m","107,435m",178,153,136,128,7.4%,9.4%,48%,52%,https://www.football-lab.jp/fuku/report/?year=2021&month=05&date=09
A,仙台,W,1,0,0.882,1.257,13,14,4,3,0,0,399,409,25,23,11,7,0,1,5,6,28,25,12,21,19,15,29,32,3,0,1,0,1,3,0,0,41,35,16,12,"113,415m","117,528m",178,183,135,129,9.6%,10.9%,49.8%,50.2%,https://www.football-lab.jp/fuku/report/?year=2021&month=05&date=15
H,湘南,W,2,1,2.565,1.248,10,10,4,3,1,0,392,419,10,16,12,8,2,0,7,3,19,26,6,7,20,17,27,16,1,1,0,2,1,1,0,0,27,29,4,9,"104,371m","107,999m",135,160,115,121,8.7%,8.3%,48%,52%,https://www.football-lab.jp/fuku/report/?year=2021&month=05&date=22
A,横浜FC,D,1,1,1.432,1.303,8,10,2,3,1,0,437,396,17,19,16,8,1,0,6,5,19,30,11,10,22,14,17,25,2,2,0,1,0,0,0,0,34,30,7,9,"112,982m","111,941m",198,177,121,121,6.6%,8.3%,52.4%,47.6%,https://www.football-lab.jp/fuku/report/?year=2021&month=05&date=26
A,大分,L,1,2,1.396,0.66,9,4,2,4,1,0,502,371,19,9,12,9,3,2,1,2,24,30,7,3,16,11,21,36,1,2,2,3,2,2,0,0,35,21,12,6,"114,189m","119,497m",172,159,133,134,6.8%,3.0%,57.8%,42.2%,https://www.football-lab.jp/fuku/report/?year=2021&month=05&date=30
H,神戸,L,1,2,1.333,1.907,9,9,1,2,0,1,296,554,13,17,7,10,1,0,3,5,20,24,10,15,21,16,31,26,1,2,0,0,2,1,0,0,25,39,10,9,"100,654m","105,484m",139,130,108,112,8.3%,8.0%,38.2%,61.8%,https://www.football-lab.jp/fuku/report/?year=2021&month=06&date=19
A,浦和,L,0,2,0.646,2.025,12,16,3,7,0,1,365,500,17,13,9,9,0,1,4,6,19,13,4,20,27,18,17,26,2,3,1,0,1,1,0,0,34,48,8,18,"109,983m","111,413m",177,169,109,111,11.0%,14.4%,43.7%,56.3%,https://www.football-lab.jp/fuku/report/?year=2021&month=06&date=27
A,横浜FM,L,0,2,0.439,2.349,8,19,1,9,0,0,346,591,15,19,18,17,0,3,7,9,19,23,6,12,20,11,23,18,2,1,3,0,1,1,0,0,31,49,6,18,"119,136m","124,970m",213,211,122,132,6.6%,14.4%,43%,57%,https://www.football-lab.jp/fuku/report/?year=2021&month=07&date=10
H,Ｇ大阪,L,0,1,1.715,0.736,19,9,5,4,0,0,379,491,25,17,6,14,2,1,6,3,29,19,11,11,17,14,20,26,1,2,1,2,0,0,0,0,37,52,15,13,"107,857m","108,928m",180,145,119,115,16.0%,7.8%,44.7%,55.3%,https://www.football-lab.jp/fuku/report/?year=2021&month=07&date=17
H,広島,D,1,1,0.637,1.314,9,10,3,1,0,1,318,376,11,7,6,14,4,0,2,3,20,25,10,13,20,13,17,24,0,0,0,4,3,2,1,0,24,33,4,8,"97,596m","99,893m",156,139,110,116,8.2%,8.6%,49.4%,50.6%,https://www.football-lab.jp/fuku/report/?year=2021&month=08&date=09
H,Ｃ大阪,W,2,1,1.226,1.482,15,17,4,3,0,0,297,545,19,16,7,13,2,1,7,3,10,23,15,7,14,10,24,19,3,0,1,2,1,0,0,0,35,50,15,13,"108,724m","106,161m",142,100,100,102,15.0%,16.7%,38%,62%,https://www.football-lab.jp/fuku/report/?year=2021&month=08&date=15
A,名古屋,L,0,1,0.975,0.595,9,10,3,5,0,0,339,521,13,8,13,16,2,0,3,7,28,15,10,16,23,18,16,22,3,0,0,2,2,1,0,0,25,38,4,6,"105,482m","106,850m",133,129,124,121,7.3%,8.3%,40.3%,59.7%,https://www.football-lab.jp/fuku/report/?year=2021&month=08&date=22
H,川崎Ｆ,W,1,0,0.499,1.282,9,16,2,3,0,0,198,616,9,16,11,15,1,1,4,7,17,27,6,10,22,14,28,15,1,0,1,1,1,1,0,0,22,39,7,20,"105,291m","98,750m",133,135,99,118,9.1%,13.6%,31.4%,68.6%,https://www.football-lab.jp/fuku/report/?year=2021&month=08&date=25
H,徳島,W,3,0,0.821,0.588,11,5,5,1,0,0,324,408,10,10,11,13,2,4,7,1,24,15,5,9,11,13,11,31,1,1,4,2,2,2,0,0,22,27,6,10,"110,622m","106,808m",159,120,110,96,10.0%,5.2%,44.1%,55.9%,https://www.football-lab.jp/fuku/report/?year=2021&month=08&date=29
A,鹿島,W,3,0,1.814,1.06,10,17,5,5,1,0,241,500,15,16,10,17,2,2,4,5,22,26,7,6,26,13,37,22,1,1,2,2,2,1,0,0,25,44,11,12,"107,689m","107,429m",152,133,119,131,8.4%,13.0%,39%,61%,https://www.football-lab.jp/fuku/report/?year=2021&month=09&date=11
A,湘南,D,1,1,1.479,1.068,5,13,3,5,1,0,233,502,11,18,12,12,2,2,2,7,21,39,6,15,25,21,52,14,0,2,2,2,2,3,0,0,19,55,8,19,"105,880m","107,195m",139,131,116,132,4.3%,9.8%,38.8%,61.2%,https://www.football-lab.jp/fuku/report/?year=2021&month=09&date=18
H,鳥栖,W,3,0,0.825,0.632,11,9,4,3,0,0,267,613,8,14,18,11,3,2,0,5,13,25,6,10,15,16,32,13,3,2,2,3,2,1,0,0,24,52,7,9,"108,326m","109,620m",170,163,105,120,10.5%,7.5%,34.7%,65.3%,https://www.football-lab.jp/fuku/report/?year=2021&month=09&date=25
H,清水,L,1,2,2.981,0.702,17,8,7,5,0,0,515,358,23,10,10,9,2,0,5,1,41,23,16,5,21,23,13,37,2,3,0,2,1,1,0,0,43,31,13,3,"108,265m","111,932m",142,155,142,125,12.0%,6.4%,56.9%,43.1%,https://www.football-lab.jp/fuku/report/?year=2021&month=10&date=02
A,神戸,L,0,1,0.249,0.815,5,12,2,4,0,0,297,648,16,16,12,14,0,1,2,5,27,22,4,12,14,9,20,19,1,0,1,0,2,2,0,0,23,66,9,8,"107,428m","107,214m",125,113,102,106,4.9%,11.3%,32.4%,67.6%,https://www.football-lab.jp/fuku/report/?year=2021&month=10&date=16
A,札幌,D,0,0,1.107,0.299,12,5,5,0,0,0,293,550,9,15,11,11,1,0,4,3,22,24,6,16,20,16,22,17,1,2,0,1,2,1,0,0,27,36,5,8,"107,215m","105,436m",175,154,115,107,10.4%,4.7%,36%,64%,https://www.football-lab.jp/fuku/report/?year=2021&month=10&date=24
H,大分,W,1,0,0.485,0.833,11,8,3,4,0,0,300,665,6,16,12,8,0,0,3,5,20,26,5,6,26,18,29,9,1,1,0,0,0,0,0,0,22,57,3,11,"110,776m","113,385m",148,113,110,117,10.0%,6.8%,35.4%,64.6%,https://www.football-lab.jp/fuku/report/?year=2021&month=11&date=03
H,横浜FC,D,1,1,0.858,0.585,12,9,3,2,0,0,358,382,15,15,10,15,1,3,3,7,30,23,8,16,26,17,35,23,0,5,3,1,1,0,0,0,29,33,11,5,"106,993m","110,807m",185,163,125,129,9.6%,7.0%,47.2%,52.8%,https://www.football-lab.jp/fuku/report/?year=2021&month=11&date=07
A,柏,D,0,0,1.038,0.694,12,9,4,4,0,0,366,475,24,16,13,9,4,2,9,1,23,20,8,10,15,18,23,28,1,0,1,4,0,0,0,0,41,49,13,8,"112,727m","111,166m",173,188,133,116,9.0%,7.8%,44%,56%,https://www.football-lab.jp/fuku/report/?year=2021&month=11&date=20
H,仙台,D,2,2,2.425,1.393,11,16,4,3,0,0,431,437,20,19,9,8,4,0,8,8,20,16,14,9,24,19,25,26,3,1,0,3,1,1,0,0,48,37,10,11,"116,310m","117,438m",227,202,126,115,8.7%,13.9%,51.6%,48.4%,https://www.football-lab.jp/fuku/report/?year=2021&month=11&date=27
A,FC東京,D,0,0,0.833,0.808,14,9,5,4,0,0,425,516,18,10,15,17,3,1,4,2,23,22,9,5,28,13,23,22,2,1,1,2,0,1,0,0,40,36,6,12,"113,851m","113,911m",170,184,121,118,11.6%,7.6%,47.5%,52.5%,https://www.football-lab.jp/fuku/report/?year=2021&month=12&date=04
