HOME/AWAY,Opponent,勝敗,fuku_得点,fuku_失点,fuku_ゴール期待値,Opponent_ゴール期待値,fuku_シュート,Opponent_シュート,fuku_枠内シュート,Opponent_枠内シュート,fuku_PKによるシュート,Opponent_PKによるシュート,fuku_パス,Opponent_パス,fuku_クロス,Opponent_クロス,fuku_直接ＦＫ,Opponent_直接ＦＫ,fuku_間接ＦＫ,Opponent_間接ＦＫ,fuku_ＣＫ,Opponent_ＣＫ,fuku_スローイン,Opponent_スローイン,fuku_ドリブル,Opponent_ドリブル,fuku_タックル,Opponent_タックル,fuku_クリア,Opponent_クリア,fuku_インターセプト,Opponent_インターセプト,fuku_オフサイド,Opponent_オフサイド,fuku_警告,Opponent_警告,fuku_退場,Opponent_退場,fuku_３０ｍライン進入,Opponent_３０ｍライン進入,fuku_ペナルティエリア進入,Opponent_ペナルティエリア進入,fuku_総移動距離,Opponent_総移動距離,fuku_スプリント,Opponent_スプリント,fuku_攻撃回数,Opponent_攻撃回数,fuku_チャンス構築率,Opponent_チャンス構築率,fuku_ボール保持率,Opponent_ボール保持率,URL
H,名古屋,L,1,2,0.387,1.058,4,10,0,6,0,0,389,406,16,8,10,18,3,1,6,4,25,20,3,9,21,16,14,33,2,1,1,2,3,2,0,0,27,33,9,12,"106,212m","108,906m",186,171,123,124,3.3%,8.1%,50.5%,49.5%,https://www.football-lab.jp/fuku/report/?year=2021&month=02&date=28
A,清水,D,2,2,0.798,0.626,9,8,3,5,0,0,464,391,15,16,10,13,2,1,4,6,36,23,9,9,22,15,29,30,0,0,1,2,1,0,0,0,36,20,9,10,"110,976m","112,762m",159,143,116,111,7.8%,7.2%,52.9%,47.1%,https://www.football-lab.jp/fuku/report/?year=2021&month=03&date=06
H,横浜FM,L,1,3,1.683,1.856,14,13,2,5,0,1,294,600,10,18,6,13,3,4,8,8,33,21,5,12,33,16,17,24,3,1,4,1,2,1,0,0,20,56,8,16,"116,370m","119,014m",189,195,134,130,10.4%,10.0%,37%,63%,https://www.football-lab.jp/fuku/report/?year=2021&month=03&date=10
A,徳島,W,2,1,1.613,0.98,9,11,2,5,1,0,353,520,11,9,10,12,3,0,2,6,18,28,5,13,24,8,26,14,0,1,0,3,1,1,0,0,30,35,8,8,"112,202m","113,020m",163,144,100,111,9.0%,9.9%,38.8%,61.2%,https://www.football-lab.jp/fuku/report/?year=2021&month=03&date=13
H,鹿島,W,1,0,0.604,0.892,6,10,3,4,0,0,386,401,13,14,15,10,2,1,3,10,26,41,4,12,25,14,35,17,1,1,1,2,2,4,0,1,34,29,9,14,"112,941m","109,190m",170,160,120,126,5.0%,7.9%,51%,49%,https://www.football-lab.jp/fuku/report/?year=2021&month=03&date=17
A,鳥栖,D,0,0,0.683,1.479,7,16,0,4,0,0,278,703,8,20,12,13,4,1,2,4,16,20,6,22,14,11,28,17,1,1,1,4,1,1,0,0,27,56,8,14,"118,177m","120,176m",180,150,115,123,6.1%,13.0%,32.9%,67.1%,https://www.football-lab.jp/fuku/report/?year=2021&month=03&date=21
H,札幌,L,1,2,2.143,0.825,18,13,6,4,0,0,428,579,24,15,9,7,0,1,4,3,23,21,9,17,17,26,29,17,2,0,1,0,0,3,0,0,33,56,15,14,"119,044m","117,340m",173,202,144,138,12.5%,9.4%,43.8%,56.2%,https://www.football-lab.jp/fuku/report/?year=2021&month=04&date=03
A,Ｇ大阪,D,0,0,0.859,0.68,13,10,2,2,0,0,337,656,7,14,6,11,1,1,4,5,18,24,6,12,21,11,27,11,1,2,1,1,1,0,0,0,21,42,10,13,"116,833m","117,361m",186,162,106,119,12.3%,8.4%,38.7%,61.3%,https://www.football-lab.jp/fuku/report/?year=2021&month=04&date=07
A,Ｃ大阪,D,2,2,0.259,1.222,5,11,4,4,0,0,203,713,6,32,9,9,4,0,3,7,10,34,6,13,19,10,53,12,1,2,0,4,2,0,1,0,18,98,6,16,"107,906m","116,260m",153,149,101,112,5.0%,9.8%,31.2%,68.8%,https://www.football-lab.jp/fuku/report/?year=2021&month=04&date=10
A,川崎Ｆ,L,1,3,0.971,2.341,9,17,2,7,0,0,365,603,8,23,9,6,2,1,7,10,28,25,14,19,32,27,35,30,4,1,1,2,0,2,0,0,26,66,7,18,"116,663m","114,276m",239,223,146,144,6.2%,11.8%,40.1%,59.9%,https://www.football-lab.jp/fuku/report/?year=2021&month=04&date=14
