HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,kasm_ゴール期待値,Opponent_ゴール期待値,kasm_シュート,Opponent_シュート,kasm_枠内シュート,Opponent_枠内シュート,kasm_PKによるシュート,Opponent_PKによるシュート,kasm_パス,Opponent_パス,kasm_クロス,Opponent_クロス,kasm_直接ＦＫ,Opponent_直接ＦＫ,kasm_間接ＦＫ,Opponent_間接ＦＫ,kasm_ＣＫ,Opponent_ＣＫ,kasm_スローイン,Opponent_スローイン,kasm_ドリブル,Opponent_ドリブル,kasm_タックル,Opponent_タックル,kasm_クリア,Opponent_クリア,kasm_インターセプト,Opponent_インターセプト,kasm_オフサイド,Opponent_オフサイド,kasm_警告,Opponent_警告,kasm_退場,Opponent_退場,kasm_３０ｍライン進入,Opponent_３０ｍライン進入,kasm_ペナルティエリア進入,Opponent_ペナルティエリア進入,kasm_総移動距離,Opponent_総移動距離,kasm_スプリント,Opponent_スプリント,kasm_攻撃回数,Opponent_攻撃回数,kasm_チャンス構築率,Opponent_チャンス構築率,kasm_ボール保持率,Opponent_ボール保持率,URL
H,清水,L,1,3,2.313,0.541,23,9,4,3,0,0,607,399,23,12,9,11,1,3,6,2,26,31,10,9,19,19,14,42,3,3,3,1,0,0,0,0,61,25,15,5,"117,370m","121,481m",183,183,133,137,17.3%,6.6%,56%,44%,https://www.football-lab.jp/kasm/report/?year=2021&month=02&date=27
H,湘南,W,3,1,2.224,1.013,20,6,7,3,0,0,636,378,22,7,8,8,1,1,10,1,29,24,12,6,13,27,14,19,2,1,1,0,1,1,0,0,57,21,22,3,"120,753m","118,113m",214,191,141,129,14.2%,4.7%,60.3%,39.7%,https://www.football-lab.jp/kasm/report/?year=2021&month=03&date=10
H,広島,D,1,1,2.137,0.385,24,6,7,4,0,0,653,376,27,11,15,11,1,1,7,5,22,18,11,13,25,27,22,28,2,3,1,1,2,0,0,0,74,36,20,10,"125,958m","124,897m",158,183,140,129,17.1%,4.7%,59.3%,40.7%,https://www.football-lab.jp/kasm/report/?year=2021&month=03&date=13
A,福岡,L,0,1,0.892,0.604,10,6,4,3,0,0,401,386,14,13,10,15,1,2,10,3,41,26,12,4,14,25,17,35,1,1,2,1,4,2,1,0,29,34,14,9,"109,190m","112,941m",160,170,126,120,7.9%,5.0%,49%,51%,https://www.football-lab.jp/kasm/report/?year=2021&month=03&date=17
H,名古屋,L,0,1,0.536,0.651,8,6,1,2,0,0,477,271,12,8,11,23,1,1,5,2,37,28,9,5,12,19,16,28,0,6,1,1,6,1,1,0,34,17,9,9,"110,411m","112,171m",165,169,129,127,6.2%,4.7%,60.6%,39.4%,https://www.football-lab.jp/kasm/report/?year=2021&month=03&date=21
A,浦和,L,1,2,1.13,1.545,13,8,4,5,0,1,334,465,7,14,8,8,2,0,7,8,19,26,6,12,20,21,28,17,0,0,0,2,3,1,0,0,21,40,6,12,"110,483m","109,737m",187,191,107,125,12.1%,6.4%,45.6%,54.4%,https://www.football-lab.jp/kasm/report/?year=2021&month=04&date=03
H,柏,W,2,1,1.239,1.058,14,10,6,6,0,0,517,346,13,17,10,17,3,2,3,5,31,34,12,10,14,22,25,20,0,1,2,3,2,2,0,0,45,23,16,11,"123,962m","119,432m",251,239,141,153,9.9%,6.5%,56.3%,43.7%,https://www.football-lab.jp/kasm/report/?year=2021&month=04&date=07
A,札幌,D,2,2,2.032,2.839,15,17,6,8,0,1,348,455,13,14,9,6,1,2,3,3,21,27,6,21,25,23,19,9,1,1,2,1,1,0,0,0,34,40,13,17,"113,323m","109,283m",174,161,116,118,12.9%,14.4%,43.6%,56.4%,https://www.football-lab.jp/kasm/report/?year=2021&month=04&date=11
A,徳島,W,1,0,1.675,0.401,14,8,5,1,0,0,366,602,12,9,10,9,0,1,3,4,21,29,13,11,17,9,13,15,3,2,1,0,1,1,0,0,42,27,8,7,"121,349m","117,690m",201,175,111,114,12.6%,7.0%,35.8%,64.2%,https://www.football-lab.jp/kasm/report/?year=2021&month=04&date=17
H,神戸,D,1,1,0.919,0.848,13,11,6,3,0,0,546,407,19,10,8,12,2,2,8,6,41,28,13,5,9,28,13,34,3,4,2,2,0,0,0,0,43,29,15,6,"123,148m","120,575m",216,227,145,142,9.0%,7.7%,53.5%,46.5%,https://www.football-lab.jp/kasm/report/?year=2021&month=04&date=24
