HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,ka-f_ゴール期待値,Opponent_ゴール期待値,ka-f_シュート,Opponent_シュート,ka-f_枠内シュート,Opponent_枠内シュート,ka-f_PKによるシュート,Opponent_PKによるシュート,ka-f_パス,Opponent_パス,ka-f_クロス,Opponent_クロス,ka-f_直接ＦＫ,Opponent_直接ＦＫ,ka-f_間接ＦＫ,Opponent_間接ＦＫ,ka-f_ＣＫ,Opponent_ＣＫ,ka-f_スローイン,Opponent_スローイン,ka-f_ドリブル,Opponent_ドリブル,ka-f_タックル,Opponent_タックル,ka-f_クリア,Opponent_クリア,ka-f_インターセプト,Opponent_インターセプト,ka-f_オフサイド,Opponent_オフサイド,ka-f_警告,Opponent_警告,ka-f_退場,Opponent_退場,ka-f_３０ｍライン進入,Opponent_３０ｍライン進入,ka-f_ペナルティエリア進入,Opponent_ペナルティエリア進入,ka-f_総移動距離,Opponent_総移動距離,ka-f_スプリント,Opponent_スプリント,ka-f_攻撃回数,Opponent_攻撃回数,ka-f_チャンス構築率,Opponent_チャンス構築率,ka-f_ボール保持率,Opponent_ボール保持率,URL
H,名古屋,W,4,0,2.389,0.38,18,8,8,0,0,0,497,374,18,9,17,6,2,2,6,5,18,22,17,8,10,25,16,22,0,2,1,2,1,2,0,0,46,19,23,6,"114,312m","110,815m",129,133,125,113,14.4%,7.1%,56.1%,43.9%,https://www.football-lab.jp/ka-f/report/?year=2025&month=02&date=15
A,柏,D,1,1,1.06,0.769,9,11,2,3,0,0,393,694,14,10,11,9,0,2,4,7,21,12,11,12,13,26,11,23,2,0,2,0,0,1,0,0,20,62,10,14,"114,533m","114,075m",113,144,118,116,7.6%,9.5%,34.9%,65.1%,https://www.football-lab.jp/ka-f/report/?year=2025&month=02&date=22
A,福岡,W,2,1,0.841,1.125,8,12,5,4,0,0,648,391,16,4,8,11,1,4,7,2,22,22,9,10,22,14,16,23,1,1,4,1,3,2,0,0,50,21,13,7,"115,295m","117,283m",119,114,114,114,7.0%,10.5%,60.2%,39.8%,https://www.football-lab.jp/ka-f/report/?year=2025&month=02&date=26
H,京都,L,0,1,1.231,1.013,14,9,3,3,0,0,468,265,9,13,18,11,2,6,6,7,29,12,9,4,13,17,16,32,0,3,6,2,0,3,0,0,41,21,12,6,"106,137m","113,672m",134,143,135,121,10.4%,7.4%,57.8%,42.2%,https://www.football-lab.jp/ka-f/report/?year=2025&month=03&date=01
A,岡山,D,0,0,1.111,1.452,10,19,1,3,0,0,426,376,14,25,8,7,2,2,7,6,23,29,16,13,11,24,34,28,2,8,2,2,2,0,0,0,39,40,16,13,"112,903m","118,316m",120,146,134,134,7.5%,14.2%,52.4%,47.6%,https://www.football-lab.jp/ka-f/report/?year=2025&month=03&date=16
A,FC東京,W,3,0,1.345,0.317,11,7,6,2,0,0,492,653,16,15,9,7,0,2,3,6,19,13,14,11,16,24,14,12,4,2,2,0,0,0,0,0,38,49,13,7,"117,592m","118,486m",139,142,105,105,10.5%,6.7%,44.5%,55.5%,https://www.football-lab.jp/ka-f/report/?year=2025&month=03&date=29
H,湘南,W,2,0,2.645,0.689,16,5,8,0,1,0,456,445,17,11,19,8,3,0,9,3,27,30,14,11,11,25,26,25,6,1,0,2,1,2,0,0,35,41,18,6,"116,902m","115,643m",122,129,123,110,13.0%,4.5%,50.7%,49.3%,https://www.football-lab.jp/ka-f/report/?year=2025&month=04&date=02
A,町田,D,2,2,2.129,1.163,17,9,6,2,0,0,435,395,17,19,12,7,2,2,6,4,27,17,13,8,16,11,20,29,1,0,2,2,0,2,0,0,36,32,17,9,"113,046m","115,449m",110,114,123,112,13.8%,8.0%,50%,50%,https://www.football-lab.jp/ka-f/report/?year=2025&month=04&date=06
H,横浜FM,D,3,3,1.128,1.817,10,16,4,5,0,0,421,577,12,24,9,6,3,2,6,7,20,16,6,7,18,10,36,18,3,0,3,2,1,1,0,0,30,55,10,13,"122,214m","121,354m",127,120,103,102,9.7%,15.7%,42%,58%,https://www.football-lab.jp/ka-f/report/?year=2025&month=04&date=09
A,清水,D,1,1,2.384,1.739,17,11,6,4,0,1,484,463,14,10,12,14,2,3,9,1,20,21,3,8,23,18,17,30,2,3,3,2,2,2,0,1,34,32,16,16,"110,130m","110,989m",116,122,113,112,15.0%,9.8%,51.9%,48.1%,https://www.football-lab.jp/ka-f/report/?year=2025&month=04&date=12
