HOME/AWAY,Opponent,勝敗,niig_得点,niig_失点,Opponent_ゴール期待値,niig_ゴール期待値,Opponent_シュート,niig_シュート,Opponent_枠内シュート,niig_枠内シュート,Opponent_PKによるシュート,niig_PKによるシュート,Opponent_パス,niig_パス,Opponent_クロス,niig_クロス,Opponent_直接ＦＫ,niig_直接ＦＫ,Opponent_間接ＦＫ,niig_間接ＦＫ,Opponent_ＣＫ,niig_ＣＫ,Opponent_スローイン,niig_スローイン,Opponent_ドリブル,niig_ドリブル,Opponent_タックル,niig_タックル,Opponent_クリア,niig_クリア,Opponent_インターセプト,niig_インターセプト,Opponent_オフサイド,niig_オフサイド,Opponent_警告,niig_警告,Opponent_退場,niig_退場,Opponent_３０ｍライン進入,niig_３０ｍライン進入,Opponent_ペナルティエリア進入,niig_ペナルティエリア進入,Opponent_総移動距離,niig_総移動距離,Opponent_スプリント,niig_スプリント,Opponent_攻撃回数,niig_攻撃回数,Opponent_チャンス構築率,niig_チャンス構築率,Opponent_ボール保持率,niig_ボール保持率,URL
H,横浜FM,W,1,0,0.589,1.603,4,17,0,5,0,0,434,562,10,20,13,5,0,1,3,7,15,17,9,17,6,11,22,22,0,0,0,0,1,1,0,0,22,41,8,19,"107,047m","108,741m",84,113,84,84,4.8%,20.2%,41.9%,58.1%,https://www.football-lab.jp/niig/report/?year=2025&month=06&date=15
A,福岡,L,2,3,0.608,0.647,8,11,4,3,0,0,285,656,10,12,14,8,0,0,2,3,15,20,7,14,9,13,18,15,2,1,0,0,1,0,0,0,31,55,15,9,"117,303m","113,161m",89,85,92,86,8.7%,12.8%,33.3%,66.7%,https://www.football-lab.jp/niig/report/?year=2025&month=06&date=21
A,川崎Ｆ,L,1,3,1.239,0.672,9,13,4,6,0,0,337,623,9,20,8,8,3,1,2,5,6,17,9,8,16,9,33,11,0,1,1,3,1,2,0,0,30,50,10,9,"108,674m","111,441m",104,91,83,98,10.8%,13.3%,39.1%,60.9%,https://www.football-lab.jp/niig/report/?year=2025&month=06&date=25
H,町田,L,0,4,3.074,1.356,25,22,7,1,0,0,333,550,17,9,4,6,1,2,9,6,11,18,13,8,17,10,19,20,1,1,2,1,1,0,0,0,39,39,16,21,"115,699m","114,161m",115,98,94,95,26.6%,23.2%,40.6%,59.4%,https://www.football-lab.jp/niig/report/?year=2025&month=06&date=29
A,京都,L,1,2,1.44,0.955,14,9,6,3,0,0,325,474,16,13,8,6,1,0,6,7,22,25,11,15,14,19,22,24,5,0,0,1,0,3,0,0,38,25,12,8,"118,284m","112,443m",134,111,119,131,11.8%,6.9%,42.4%,57.6%,https://www.football-lab.jp/niig/report/?year=2025&month=07&date=05
H,広島,L,0,2,2.356,1.614,18,11,7,1,0,0,433,522,18,8,10,13,1,3,2,5,21,15,8,12,23,12,17,28,4,1,3,1,0,2,0,0,50,32,18,10,"111,778m","115,347m",106,101,107,113,16.8%,9.7%,45.2%,54.8%,https://www.football-lab.jp/niig/report/?year=2025&month=07&date=20
A,Ｃ大阪,L,1,3,2.05,0.922,26,9,5,2,0,0,521,476,16,9,8,2,0,2,12,4,23,19,14,7,19,14,15,30,3,2,2,0,0,1,0,0,57,31,19,8,"112,755m","110,407m",100,75,103,91,25.2%,9.9%,50.9%,49.1%,https://www.football-lab.jp/niig/report/?year=2025&month=08&date=11
H,川崎Ｆ,D,1,1,1,1.2,11,14,2,4,0,0,405,411,17,9,8,13,3,2,6,4,16,13,11,6,6,13,19,28,3,1,2,3,2,2,0,0,44,33,11,7,"110,787m","115,118m",116,113,97,101,11.3%,13.9%,51.6%,48.4%,https://www.football-lab.jp/niig/report/?year=2025&month=08&date=16
H,鹿島,L,1,2,1.609,1.1,14,10,5,4,0,0,390,409,15,25,12,8,0,2,8,4,15,18,8,8,16,14,28,13,1,0,2,0,2,1,0,0,34,33,16,19,"109,054m","111,272m",101,87,101,101,13.9%,9.9%,47.2%,52.8%,https://www.football-lab.jp/niig/report/?year=2025&month=08&date=23
A,浦和,L,0,1,1.109,1.353,14,15,4,4,0,0,478,474,14,18,11,9,0,0,1,9,19,18,6,12,9,16,21,23,2,2,0,0,1,1,0,0,47,44,14,17,"111,648m","115,963m",117,85,89,99,15.7%,15.2%,49.5%,50.5%,https://www.football-lab.jp/niig/report/?year=2025&month=08&date=31
