HOME/AWAY,Opponent,勝敗,fctk_得点,fctk_失点,Opponent_ゴール期待値,fctk_ゴール期待値,Opponent_シュート,fctk_シュート,Opponent_枠内シュート,fctk_枠内シュート,Opponent_PKによるシュート,fctk_PKによるシュート,Opponent_パス,fctk_パス,Opponent_クロス,fctk_クロス,Opponent_直接ＦＫ,fctk_直接ＦＫ,Opponent_間接ＦＫ,fctk_間接ＦＫ,Opponent_ＣＫ,fctk_ＣＫ,Opponent_スローイン,fctk_スローイン,Opponent_ドリブル,fctk_ドリブル,Opponent_タックル,fctk_タックル,Opponent_クリア,fctk_クリア,Opponent_インターセプト,fctk_インターセプト,Opponent_オフサイド,fctk_オフサイド,Opponent_警告,fctk_警告,Opponent_退場,fctk_退場,Opponent_３０ｍライン進入,fctk_３０ｍライン進入,Opponent_ペナルティエリア進入,fctk_ペナルティエリア進入,Opponent_総移動距離,fctk_総移動距離,Opponent_スプリント,fctk_スプリント,Opponent_攻撃回数,fctk_攻撃回数,Opponent_チャンス構築率,fctk_チャンス構築率,Opponent_ボール保持率,fctk_ボール保持率,URL
A,横浜FC,W,1,0,0.862,0.601,14,7,5,1,0,0,491,469,16,1,11,11,0,2,5,1,26,19,14,10,28,24,11,24,1,0,2,0,1,0,0,0,38,33,8,5,"116,004m","118,997m",122,138,128,116,10.9%,6.0%,47.7%,52.3%,https://www.football-lab.jp/fctk/report/?year=2025&month=02&date=15
H,町田,L,0,1,1.085,0.937,8,9,1,1,0,0,463,506,20,10,12,11,3,1,4,5,21,22,16,10,15,19,14,26,1,1,1,3,3,2,0,0,44,25,11,4,"126,059m","126,598m",146,157,122,123,6.6%,7.3%,48.7%,51.3%,https://www.football-lab.jp/fctk/report/?year=2025&month=02&date=22
H,名古屋,W,3,1,1.084,1.898,11,13,7,7,0,0,637,335,12,8,12,13,0,0,2,3,20,15,7,8,18,15,17,26,2,2,0,0,1,1,0,0,52,27,14,11,"119,245m","122,318m",126,142,100,105,11.0%,12.4%,61%,39%,https://www.football-lab.jp/fctk/report/?year=2025&month=02&date=26
A,鹿島,L,0,2,1.844,0.937,14,12,7,1,1,0,301,452,11,6,16,14,2,2,7,5,14,30,9,12,29,16,18,26,3,3,2,2,1,3,0,0,24,28,9,7,"109,794m","107,618m",127,112,105,124,13.3%,9.7%,41.7%,58.3%,https://www.football-lab.jp/fctk/report/?year=2025&month=03&date=01
H,湘南,D,0,0,0.281,1.181,4,12,0,2,0,0,603,546,10,16,14,8,0,1,2,5,19,34,11,16,28,22,22,22,3,4,1,0,0,1,0,0,33,24,10,12,"120,521m","120,124m",139,143,124,130,3.2%,9.2%,54.1%,45.9%,https://www.football-lab.jp/fctk/report/?year=2025&month=03&date=08
A,福岡,L,0,1,2.132,0.653,24,5,5,3,0,0,452,488,18,12,11,13,4,1,3,0,33,25,11,10,23,10,15,22,4,3,1,4,0,1,0,0,52,25,19,13,"123,625m","117,821m",145,125,119,116,20.2%,4.3%,51.8%,48.2%,https://www.football-lab.jp/fctk/report/?year=2025&month=03&date=15
H,川崎Ｆ,L,0,3,1.345,0.317,11,7,6,2,0,0,492,653,16,15,9,7,0,2,3,6,19,13,14,11,16,24,14,12,4,2,2,0,0,0,0,0,38,49,13,7,"117,592m","118,486m",139,142,105,105,10.5%,6.7%,44.5%,55.5%,https://www.football-lab.jp/fctk/report/?year=2025&month=03&date=29
A,東京Ｖ,D,2,2,1.355,1.478,17,11,6,5,0,0,235,557,6,13,10,15,1,4,6,5,21,40,11,11,27,19,28,14,1,3,4,1,2,0,0,0,22,31,7,11,"116,532m","114,196m",163,150,109,132,15.6%,8.3%,34.6%,65.4%,https://www.football-lab.jp/fctk/report/?year=2025&month=04&date=02
A,岡山,L,0,1,0.512,1.458,6,12,2,2,0,0,301,515,14,10,9,9,1,3,6,6,33,34,9,12,15,12,32,20,1,2,3,0,1,1,0,0,22,43,6,13,"114,610m","107,740m",122,130,123,116,4.9%,10.3%,39.4%,60.6%,https://www.football-lab.jp/fctk/report/?year=2025&month=04&date=06
H,柏,D,1,1,1.79,1.195,12,10,4,4,0,0,754,329,22,5,8,12,1,5,8,3,23,17,16,6,15,17,20,24,2,4,5,1,3,1,0,0,66,16,25,4,"123,460m","126,865m",182,167,111,109,10.8%,9.2%,63.3%,36.7%,https://www.football-lab.jp/fctk/report/?year=2025&month=04&date=11
A,Ｃ大阪,D,1,1,1.452,1.223,18,9,6,1,0,1,558,431,28,12,21,4,0,1,7,3,30,20,16,11,20,23,11,24,0,2,1,0,0,4,0,0,44,23,23,12,"118,376m","118,021m",147,140,126,102,14.3%,8.8%,54.6%,45.4%,https://www.football-lab.jp/fctk/report/?year=2025&month=04&date=20
H,Ｇ大阪,W,3,0,0.946,1.056,13,12,1,10,0,0,495,329,15,8,13,13,0,1,4,2,21,17,12,12,14,27,23,34,0,2,1,0,0,1,0,0,39,34,13,13,"113,503m","116,712m",125,165,121,110,10.7%,10.9%,57.2%,42.8%,https://www.football-lab.jp/fctk/report/?year=2025&month=04&date=25
H,清水,L,0,2,1.046,0.771,5,10,2,5,1,0,389,472,12,17,21,10,0,2,1,4,23,22,11,15,8,17,26,17,1,1,2,0,0,1,0,0,26,38,13,19,"112,728m","110,465m",149,134,128,113,3.9%,8.8%,47.3%,52.7%,https://www.football-lab.jp/fctk/report/?year=2025&month=04&date=29
A,新潟,W,3,2,1.69,1.043,14,14,4,4,0,0,561,483,19,12,7,9,2,0,3,2,21,26,16,13,22,15,20,19,0,1,0,2,1,0,0,0,40,43,18,11,"125,697m","125,997m",168,155,97,112,14.4%,12.5%,53.5%,46.5%,https://www.football-lab.jp/fctk/report/?year=2025&month=05&date=03
H,神戸,W,1,0,0.934,2.433,14,17,3,7,0,1,354,316,23,11,11,11,0,6,11,5,36,20,10,13,21,22,19,57,4,0,6,0,3,2,0,0,32,28,9,15,"112,993m","111,799m",148,154,127,111,11.0%,15.3%,48.4%,51.6%,https://www.football-lab.jp/fctk/report/?year=2025&month=05&date=10
A,浦和,L,2,3,2.293,1.9,20,9,7,3,0,1,511,454,24,17,12,6,0,1,8,6,29,14,13,11,9,14,20,31,3,2,1,0,0,3,0,0,45,33,20,14,"121,177m","118,426m",167,134,104,94,19.2%,9.6%,52.1%,47.9%,https://www.football-lab.jp/fctk/report/?year=2025&month=05&date=17
H,広島,L,0,3,1.929,0.295,17,7,6,1,1,0,377,544,14,10,12,11,1,2,7,2,22,31,15,13,23,19,22,13,1,1,2,1,1,1,0,0,28,33,13,7,"115,378m","115,962m",129,125,118,124,14.4%,5.6%,42%,58%,https://www.football-lab.jp/fctk/report/?year=2025&month=05&date=25
A,京都,L,0,3,1.348,0.64,14,8,7,3,0,0,286,504,10,13,11,15,1,0,3,5,33,25,12,12,18,26,20,19,2,3,0,1,0,1,0,0,21,27,9,13,"120,977m","113,863m",133,111,127,130,11.0%,6.2%,44%,56%,https://www.football-lab.jp/fctk/report/?year=2025&month=05&date=31
H,Ｃ大阪,D,2,2,0.955,2.225,11,21,6,4,0,0,581,374,14,9,17,10,3,2,7,4,25,23,14,15,13,25,19,35,2,4,2,3,0,0,0,0,54,32,14,16,"118,075m","116,277m",109,137,125,112,8.8%,18.8%,56.3%,43.7%,https://www.football-lab.jp/fctk/report/?year=2025&month=06&date=14
A,Ｇ大阪,L,0,2,1.135,1.532,17,10,6,4,0,1,326,436,10,10,12,9,1,3,5,1,17,27,9,19,34,13,17,19,0,3,3,1,1,2,0,0,26,28,13,11,"104,132m","105,377m",117,110,106,104,16.0%,9.6%,46.9%,53.1%,https://www.football-lab.jp/fctk/report/?year=2025&month=06&date=22
A,横浜FM,W,3,0,0.561,2.555,8,17,2,7,0,0,518,305,16,12,14,14,2,0,6,9,17,18,9,8,13,14,16,19,0,5,0,2,2,0,0,0,29,34,13,16,"101,092m","106,473m",93,129,104,105,7.7%,16.2%,61.1%,38.9%,https://www.football-lab.jp/fctk/report/?year=2025&month=06&date=25
H,横浜FC,W,2,1,0.806,3.394,7,22,2,6,0,2,248,637,8,23,12,5,1,3,3,4,19,25,8,14,11,15,33,15,2,2,3,1,1,0,0,0,12,68,8,24,"113,105m","115,413m",108,102,118,118,5.9%,18.6%,34.3%,65.7%,https://www.football-lab.jp/fctk/report/?year=2025&month=06&date=28
A,柏,L,0,1,1.022,1.053,15,15,3,4,0,0,577,393,9,9,6,8,1,2,4,7,21,25,13,18,19,15,16,16,3,1,2,1,2,1,0,0,38,33,18,9,"112,741m","112,100m",114,100,106,113,14.2%,13.3%,58.5%,41.5%,https://www.football-lab.jp/fctk/report/?year=2025&month=07&date=05
H,浦和,W,3,2,1.337,2.271,12,19,4,4,0,0,438,425,7,20,13,16,2,1,4,6,16,19,8,15,16,15,32,12,2,3,1,2,1,2,0,0,23,53,10,19,"115,385m","116,180m",114,137,98,102,12.2%,18.6%,49.7%,50.3%,https://www.football-lab.jp/fctk/report/?year=2025&month=07&date=19
H,鹿島,L,0,1,1.057,1.824,11,18,5,3,0,0,416,518,11,17,8,9,2,0,5,9,17,28,7,15,19,14,30,15,3,4,0,0,1,0,0,0,30,37,11,14,"112,026m","112,236m",141,138,98,108,11.2%,16.7%,44.1%,55.9%,https://www.football-lab.jp/fctk/report/?year=2025&month=08&date=10
A,湘南,D,2,2,1.292,1.552,17,10,5,2,0,1,451,355,14,12,7,10,2,1,3,7,21,18,10,13,20,19,27,27,4,5,1,2,3,2,0,0,37,29,12,6,"113,129m","110,684m",121,114,103,112,16.5%,8.9%,54.2%,45.8%,https://www.football-lab.jp/fctk/report/?year=2025&month=08&date=16
H,京都,L,0,4,2.69,2.501,11,21,8,9,2,0,238,556,12,33,4,9,2,0,3,13,23,26,6,11,12,17,42,16,2,1,0,3,2,3,0,0,18,45,9,20,"112,665m","106,747m",124,136,112,125,9.8%,16.8%,33%,67%,https://www.football-lab.jp/fctk/report/?year=2025&month=08&date=24
A,名古屋,D,1,1,2.623,1.374,16,11,2,4,0,0,336,419,17,15,10,8,2,2,6,3,19,25,10,8,16,18,26,20,1,1,2,2,0,3,0,0,28,39,10,8,"110,998m","109,335m",119,140,101,99,15.8%,11.1%,43.6%,56.4%,https://www.football-lab.jp/fctk/report/?year=2025&month=08&date=31
