HOME/AWAY,Opponent,勝敗,kyot_得点,kyot_失点,Opponent_ゴール期待値,kyot_ゴール期待値,Opponent_シュート,kyot_シュート,Opponent_枠内シュート,kyot_枠内シュート,Opponent_PKによるシュート,kyot_PKによるシュート,Opponent_パス,kyot_パス,Opponent_クロス,kyot_クロス,Opponent_直接ＦＫ,kyot_直接ＦＫ,Opponent_間接ＦＫ,kyot_間接ＦＫ,Opponent_ＣＫ,kyot_ＣＫ,Opponent_スローイン,kyot_スローイン,Opponent_ドリブル,kyot_ドリブル,Opponent_タックル,kyot_タックル,Opponent_クリア,kyot_クリア,Opponent_インターセプト,kyot_インターセプト,Opponent_オフサイド,kyot_オフサイド,Opponent_警告,kyot_警告,Opponent_退場,kyot_退場,Opponent_３０ｍライン進入,kyot_３０ｍライン進入,Opponent_ペナルティエリア進入,kyot_ペナルティエリア進入,Opponent_総移動距離,kyot_総移動距離,Opponent_スプリント,kyot_スプリント,Opponent_攻撃回数,kyot_攻撃回数,Opponent_チャンス構築率,kyot_チャンス構築率,Opponent_ボール保持率,kyot_ボール保持率,URL
A,岡山,L,0,2,0.97,1.292,9,18,3,5,0,0,277,526,12,14,6,11,2,4,4,11,17,26,9,7,11,12,43,7,6,1,4,2,1,2,0,0,26,37,8,10,"122,217m","121,177m",162,148,125,147,7.2%,12.2%,37.1%,62.9%,https://www.football-lab.jp/kyot/report/?year=2025&month=02&date=15
H,浦和,D,1,1,0.78,1.255,10,13,5,7,0,0,399,402,16,19,14,9,2,6,3,6,19,24,14,7,14,29,23,24,1,1,6,2,0,0,0,0,28,30,9,13,"115,336m","121,965m",129,158,131,131,7.6%,9.9%,49.9%,50.1%,https://www.football-lab.jp/kyot/report/?year=2025&month=02&date=22
A,神戸,D,1,1,1.571,0.325,17,5,5,4,0,0,471,288,28,6,21,8,1,9,9,0,29,19,13,3,19,14,16,43,2,3,9,1,1,1,0,0,39,17,10,7,"116,776m","121,938m",121,149,150,125,11.3%,4.0%,58.7%,41.3%,https://www.football-lab.jp/kyot/report/?year=2025&month=02&date=26
A,川崎Ｆ,W,1,0,1.231,1.013,14,9,3,3,0,0,468,265,9,13,18,11,2,6,6,7,29,12,9,4,13,17,16,32,0,3,6,2,0,3,0,0,41,21,12,6,"106,137m","113,672m",134,143,135,121,10.4%,7.4%,57.8%,42.2%,https://www.football-lab.jp/kyot/report/?year=2025&month=03&date=01
H,福岡,L,0,1,1.431,0.581,17,8,6,4,0,0,286,390,14,9,9,10,5,4,2,2,14,27,9,3,11,23,31,24,1,1,4,5,0,1,0,0,28,25,10,8,"112,900m","113,166m",136,145,110,124,15.5%,6.5%,43.1%,56.9%,https://www.football-lab.jp/kyot/report/?year=2025&month=03&date=09
A,清水,W,2,1,1.978,2.164,15,11,4,4,1,1,495,364,16,17,19,8,0,4,5,5,27,23,15,5,18,13,21,30,1,3,4,0,0,3,0,0,33,25,16,10,"114,481m","123,814m",180,173,141,120,10.6%,9.2%,53%,47%,https://www.football-lab.jp/kyot/report/?year=2025&month=03&date=16
H,広島,W,1,0,1.093,0.44,15,6,3,2,0,0,569,268,28,2,16,11,2,1,9,1,35,15,13,1,14,26,9,46,0,0,1,2,0,0,0,0,46,11,16,5,"112,713m","120,328m",163,159,139,119,10.8%,5.0%,60.4%,39.6%,https://www.football-lab.jp/kyot/report/?year=2025&month=03&date=29
H,柏,D,1,1,0.36,2.73,7,17,2,2,0,0,395,550,9,19,13,11,1,0,2,9,22,42,6,10,17,20,59,16,2,1,0,1,3,2,0,0,28,53,13,9,"120,949m","125,076m",123,153,115,131,6.1%,13.0%,44.2%,55.8%,https://www.football-lab.jp/kyot/report/?year=2025&month=04&date=02
A,鹿島,W,4,3,1.862,1.349,14,10,4,4,0,0,398,332,16,17,20,12,2,2,4,6,28,20,12,6,15,16,14,26,1,2,2,2,1,5,0,0,30,26,17,6,"113,023m","117,204m",127,142,119,113,11.8%,8.8%,50.8%,49.2%,https://www.football-lab.jp/kyot/report/?year=2025&month=04&date=06
H,湘南,W,2,0,1.135,1.626,12,13,5,5,0,0,473,413,7,22,13,8,1,5,4,4,27,35,9,11,22,19,24,14,3,4,4,1,0,1,0,0,33,40,12,19,"115,910m","121,606m",159,175,134,133,9.0%,9.8%,52.8%,47.2%,https://www.football-lab.jp/kyot/report/?year=2025&month=04&date=12
A,浦和,L,1,2,1.525,0.838,14,8,5,2,0,0,370,471,4,13,12,8,1,0,5,4,22,26,13,7,17,17,22,18,4,2,0,1,0,1,0,0,25,35,6,5,"114,782m","115,961m",152,150,124,115,11.3%,7.0%,46.2%,53.8%,https://www.football-lab.jp/kyot/report/?year=2025&month=04&date=16
A,新潟,W,2,1,2.186,0.781,13,9,3,2,1,0,333,343,9,18,19,8,0,4,3,8,16,29,9,8,19,22,24,20,1,0,4,0,0,2,0,0,27,39,12,19,"115,263m","113,924m",116,145,114,120,11.4%,7.5%,49.4%,50.6%,https://www.football-lab.jp/kyot/report/?year=2025&month=04&date=19
H,横浜FC,W,2,1,1.239,0.665,12,9,3,4,0,0,403,395,16,3,20,6,2,1,3,4,25,17,11,12,16,27,13,32,3,1,1,2,1,2,0,0,31,33,6,7,"112,955m","118,524m",124,148,130,116,9.2%,7.8%,51%,49%,https://www.football-lab.jp/kyot/report/?year=2025&month=04&date=25
A,Ｇ大阪,L,1,2,0.939,1.789,10,13,3,2,0,0,321,479,11,22,17,15,0,1,7,4,19,28,14,10,24,20,37,13,1,2,1,0,3,0,0,0,30,35,12,12,"109,250m","115,992m",116,140,129,134,7.8%,9.7%,43.7%,56.3%,https://www.football-lab.jp/kyot/report/?year=2025&month=04&date=29
H,Ｃ大阪,L,2,3,0.817,2.442,10,21,4,6,0,0,411,434,7,28,17,8,0,2,3,7,17,27,12,12,23,24,28,18,3,0,2,0,1,2,0,0,31,56,6,15,"117,896m","119,430m",125,173,125,122,8.0%,17.2%,47.5%,52.5%,https://www.football-lab.jp/kyot/report/?year=2025&month=05&date=03
A,町田,W,2,1,1.456,0.618,15,11,4,3,0,0,369,397,13,10,13,10,3,0,1,3,26,25,8,11,18,13,12,29,2,2,0,3,1,2,0,0,39,21,14,7,"121,971m","125,842m",126,161,118,123,12.7%,8.9%,47.1%,52.9%,https://www.football-lab.jp/kyot/report/?year=2025&month=05&date=07
H,名古屋,D,1,1,1.663,0.628,15,12,3,2,0,0,356,413,11,10,16,8,2,0,3,6,23,29,15,9,23,17,33,10,2,2,0,2,0,1,0,0,27,30,7,5,"115,514m","118,723m",121,161,118,130,12.7%,9.2%,47.1%,52.9%,https://www.football-lab.jp/kyot/report/?year=2025&month=05&date=11
A,横浜FM,W,3,0,0.753,1.689,11,12,2,6,0,0,453,318,10,9,13,8,3,2,5,2,30,28,13,5,18,19,20,23,1,2,2,3,2,2,0,0,27,32,12,12,"105,051m","111,182m",113,153,122,112,9.0%,10.7%,56.2%,43.8%,https://www.football-lab.jp/kyot/report/?year=2025&month=05&date=17
A,東京Ｖ,L,0,1,0.416,0.807,10,9,2,3,0,0,387,313,17,6,20,11,3,1,4,5,24,14,13,15,14,13,21,20,2,0,1,3,0,2,0,1,31,23,12,8,"113,799m","111,959m",120,137,115,108,8.7%,8.3%,55.9%,44.1%,https://www.football-lab.jp/kyot/report/?year=2025&month=05&date=25
H,FC東京,W,3,0,0.64,1.348,8,14,3,7,0,0,504,286,13,10,15,11,0,1,5,3,25,33,12,12,26,18,19,20,3,2,1,0,1,0,0,0,27,21,13,9,"113,863m","120,977m",111,133,130,127,6.2%,11.0%,56%,44%,https://www.football-lab.jp/kyot/report/?year=2025&month=05&date=31
A,柏,D,3,3,2.157,1.349,20,9,9,5,0,0,597,321,21,4,8,8,1,1,7,3,18,22,12,3,8,16,12,19,0,3,1,1,2,0,0,0,55,23,23,9,"120,583m","124,115m",165,173,113,114,17.7%,7.9%,63.6%,36.4%,https://www.football-lab.jp/kyot/report/?year=2025&month=06&date=21
