HOME/AWAY,Opponent,勝敗,tk-v_得点,tk-v_失点,tk-v_ゴール期待値,Opponent_ゴール期待値,tk-v_シュート,Opponent_シュート,tk-v_枠内シュート,Opponent_枠内シュート,tk-v_PKによるシュート,Opponent_PKによるシュート,tk-v_パス,Opponent_パス,tk-v_クロス,Opponent_クロス,tk-v_直接ＦＫ,Opponent_直接ＦＫ,tk-v_間接ＦＫ,Opponent_間接ＦＫ,tk-v_ＣＫ,Opponent_ＣＫ,tk-v_スローイン,Opponent_スローイン,tk-v_ドリブル,Opponent_ドリブル,tk-v_タックル,Opponent_タックル,tk-v_クリア,Opponent_クリア,tk-v_インターセプト,Opponent_インターセプト,tk-v_オフサイド,Opponent_オフサイド,tk-v_警告,Opponent_警告,tk-v_退場,Opponent_退場,tk-v_３０ｍライン進入,Opponent_３０ｍライン進入,tk-v_ペナルティエリア進入,Opponent_ペナルティエリア進入,tk-v_総移動距離,Opponent_総移動距離,tk-v_スプリント,Opponent_スプリント,tk-v_攻撃回数,Opponent_攻撃回数,tk-v_チャンス構築率,Opponent_チャンス構築率,tk-v_ボール保持率,Opponent_ボール保持率,URL
A,広島,L,1,2,0.951,1.421,4,14,2,4,1,0,367,584,8,21,7,14,2,0,2,8,21,32,8,10,21,16,28,12,3,3,0,2,1,0,0,0,22,41,5,16,"113,048m","107,272m",96,87,113,130,3.5%,10.8%,42.4%,57.6%,https://www.football-lab.jp/tk-v/report/?year=2025&month=05&date=17
H,京都,W,1,0,0.416,0.807,10,9,2,3,0,0,387,313,17,6,20,11,3,1,4,5,24,14,13,15,14,13,21,20,2,0,1,3,0,2,0,1,31,23,12,8,"113,799m","111,959m",120,137,115,108,8.7%,8.3%,55.9%,44.1%,https://www.football-lab.jp/tk-v/report/?year=2025&month=05&date=25
A,福岡,D,0,0,0.762,0.812,12,8,0,3,0,0,443,424,18,8,9,16,4,1,3,3,26,26,9,11,26,14,25,21,0,1,1,3,0,3,0,0,33,30,10,6,"116,129m","116,650m",100,113,117,131,10.3%,6.1%,51.1%,48.9%,https://www.football-lab.jp/tk-v/report/?year=2025&month=05&date=31
H,柏,L,0,3,0.649,1.548,7,11,0,5,0,0,519,647,6,9,8,7,0,1,3,5,17,18,5,7,16,6,15,12,1,1,1,0,0,0,0,0,30,51,9,17,"117,283m","119,186m",92,125,84,81,8.3%,13.6%,44.1%,55.9%,https://www.football-lab.jp/tk-v/report/?year=2025&month=06&date=15
A,Ｃ大阪,L,1,2,0.827,0.995,10,9,1,4,0,0,514,453,11,8,12,11,4,5,5,5,13,27,7,9,24,17,20,14,3,1,5,4,0,1,0,0,35,42,7,12,"116,867m","114,250m",86,86,96,101,10.4%,8.9%,52.8%,47.2%,https://www.football-lab.jp/tk-v/report/?year=2025&month=06&date=21
H,川崎Ｆ,W,1,0,1.307,0.67,8,11,2,5,0,0,403,592,9,12,13,19,1,1,7,3,14,17,4,7,9,15,29,7,1,1,1,1,3,1,0,0,30,44,10,16,"117,184m","107,833m",115,92,104,102,7.7%,10.8%,42.5%,57.5%,https://www.football-lab.jp/tk-v/report/?year=2025&month=06&date=29
A,名古屋,D,0,0,0.674,0.562,8,6,3,1,0,0,453,484,4,11,7,16,1,1,4,4,11,24,4,5,19,11,27,14,3,3,1,1,2,0,0,0,34,28,4,8,"115,655m","112,488m",76,89,88,106,9.1%,5.7%,47.8%,52.2%,https://www.football-lab.jp/tk-v/report/?year=2025&month=07&date=05
H,町田,L,0,1,1.641,0.536,15,6,4,2,0,0,673,297,17,6,13,7,1,1,4,1,22,15,7,3,11,21,10,22,2,5,1,1,0,0,0,0,54,22,13,5,"116,293m","115,853m",88,68,110,100,13.6%,6.0%,64%,36%,https://www.football-lab.jp/tk-v/report/?year=2025&month=07&date=20
H,横浜FM,W,1,0,0.464,0.616,10,8,3,5,0,0,389,400,18,10,15,18,0,4,15,4,21,22,12,3,15,14,17,24,2,0,4,0,1,3,0,0,27,28,8,7,"117,925m","109,203m",146,110,110,101,9.1%,7.9%,52.7%,47.3%,https://www.football-lab.jp/tk-v/report/?year=2025&month=08&date=09
A,京都,L,0,1,1.237,1.187,9,10,3,5,0,0,454,343,9,14,12,13,1,0,1,3,22,27,10,5,16,16,30,16,5,2,0,1,2,2,0,0,34,35,9,6,"111,275m","116,602m",93,117,117,119,7.7%,8.4%,55.6%,44.4%,https://www.football-lab.jp/tk-v/report/?year=2025&month=08&date=16
H,広島,L,0,3,2.13,1.553,19,13,6,4,0,0,504,355,19,14,9,12,3,1,10,5,25,22,20,3,12,25,23,30,4,1,1,3,3,0,0,0,39,29,20,14,"115,714m","111,262m",94,95,131,125,14.5%,10.4%,57.3%,42.7%,https://www.football-lab.jp/tk-v/report/?year=2025&month=08&date=23
A,横浜FC,D,0,0,0.189,0.596,4,10,0,3,0,0,461,339,9,12,11,13,0,1,4,4,17,34,9,5,15,14,24,17,1,1,1,0,3,2,0,1,24,25,6,12,"115,256m","110,760m",130,107,107,113,3.7%,8.8%,58.3%,41.7%,https://www.football-lab.jp/tk-v/report/?year=2025&month=08&date=30
