HOME/AWAY,Opponent,勝敗,mcd_得点,mcd_失点,mcd_ゴール期待値,Opponent_ゴール期待値,mcd_シュート,Opponent_シュート,mcd_枠内シュート,Opponent_枠内シュート,mcd_PKによるシュート,Opponent_PKによるシュート,mcd_パス,Opponent_パス,mcd_クロス,Opponent_クロス,mcd_直接ＦＫ,Opponent_直接ＦＫ,mcd_間接ＦＫ,Opponent_間接ＦＫ,mcd_ＣＫ,Opponent_ＣＫ,mcd_スローイン,Opponent_スローイン,mcd_ドリブル,Opponent_ドリブル,mcd_タックル,Opponent_タックル,mcd_クリア,Opponent_クリア,mcd_インターセプト,Opponent_インターセプト,mcd_オフサイド,Opponent_オフサイド,mcd_警告,Opponent_警告,mcd_退場,Opponent_退場,mcd_３０ｍライン進入,Opponent_３０ｍライン進入,mcd_ペナルティエリア進入,Opponent_ペナルティエリア進入,mcd_総移動距離,Opponent_総移動距離,mcd_スプリント,Opponent_スプリント,mcd_攻撃回数,Opponent_攻撃回数,mcd_チャンス構築率,Opponent_チャンス構築率,mcd_ボール保持率,Opponent_ボール保持率,URL
H,広島,L,1,2,0.622,0.977,8,14,1,5,0,0,241,410,10,16,10,21,1,2,3,7,19,35,5,10,13,14,33,19,1,1,2,1,2,1,0,0,23,31,6,8,"112,578m","107,948m",131,125,104,119,7.7%,11.8%,44.1%,55.9%,https://www.football-lab.jp/mcd/report/?year=2025&month=02&date=16
A,FC東京,W,1,0,1.085,0.937,8,9,1,1,0,0,463,506,20,10,12,11,3,1,4,5,21,22,16,10,15,19,14,26,1,1,1,3,3,2,0,0,44,25,11,4,"126,059m","126,598m",146,157,122,123,6.6%,7.3%,48.7%,51.3%,https://www.football-lab.jp/mcd/report/?year=2025&month=02&date=22
H,東京Ｖ,L,0,1,0.751,0.801,10,6,3,4,0,0,424,404,11,9,14,9,3,3,5,1,31,32,6,6,15,13,14,31,1,3,3,3,3,2,0,0,23,22,8,5,"122,041m","122,170m",110,149,141,126,7.1%,4.8%,49.4%,50.6%,https://www.football-lab.jp/mcd/report/?year=2025&month=02&date=26
A,名古屋,W,2,1,0.814,0.69,7,5,3,2,0,0,388,368,18,8,13,16,0,0,2,3,27,22,9,3,2,8,23,23,1,0,0,0,2,0,0,0,35,14,6,5,"109,934m","110,723m",101,107,110,106,6.4%,4.7%,50.8%,49.2%,https://www.football-lab.jp/mcd/report/?year=2025&month=03&date=02
A,横浜FC,W,2,0,1.057,0.428,11,5,4,0,0,0,419,489,8,13,8,10,0,1,4,1,27,30,8,6,21,16,15,27,1,4,1,0,2,1,0,0,32,22,8,5,"120,917m","118,310m",125,125,133,135,8.3%,3.7%,48.4%,51.6%,https://www.football-lab.jp/mcd/report/?year=2025&month=03&date=08
H,新潟,W,1,0,1.587,0.294,13,5,4,1,0,0,434,561,23,8,7,10,1,2,6,2,17,21,15,7,19,22,15,18,5,0,2,1,1,0,0,0,49,27,13,7,"119,561m","122,499m",121,116,118,121,11.0%,4.1%,45.6%,54.4%,https://www.football-lab.jp/mcd/report/?year=2025&month=03&date=15
A,福岡,D,2,2,1.282,1.2,12,13,4,4,0,0,480,315,11,12,15,14,1,2,4,5,29,18,7,6,16,16,18,32,2,0,2,1,1,1,0,0,38,31,12,7,"114,227m","113,545m",111,106,124,112,9.7%,11.6%,57.7%,42.3%,https://www.football-lab.jp/mcd/report/?year=2025&month=03&date=29
A,Ｇ大阪,W,1,0,1.156,0.676,11,9,2,1,0,0,350,598,11,16,18,9,0,2,7,3,15,23,9,11,22,19,29,21,2,1,2,0,1,0,0,0,28,51,12,11,"119,665m","114,436m",118,102,129,129,8.5%,7.0%,40%,60%,https://www.football-lab.jp/mcd/report/?year=2025&month=04&date=02
H,川崎Ｆ,D,2,2,1.163,2.129,9,17,2,6,0,0,395,435,19,17,7,12,2,2,4,6,17,27,8,13,11,16,29,20,0,1,2,2,2,0,0,0,32,36,9,17,"115,449m","113,046m",114,110,112,123,8.0%,13.8%,50%,50%,https://www.football-lab.jp/mcd/report/?year=2025&month=04&date=06
H,浦和,L,0,2,0.993,0.723,15,10,2,5,0,0,518,415,20,4,6,8,1,3,2,5,29,15,14,7,4,9,11,29,2,1,3,1,2,0,0,0,43,24,10,10,"118,265m","122,138m",130,174,104,101,14.4%,9.9%,53.4%,46.6%,https://www.football-lab.jp/mcd/report/?year=2025&month=04&date=13
A,神戸,L,0,1,1.8,0.97,14,9,1,3,0,0,259,480,9,21,7,16,3,4,3,5,20,24,12,6,17,14,36,26,0,0,2,3,2,0,0,0,24,36,7,12,"110,756m","114,255m",104,119,109,118,12.8%,7.6%,39.3%,60.7%,https://www.football-lab.jp/mcd/report/?year=2025&month=04&date=20
H,湘南,L,0,1,0.915,0.985,10,10,4,2,0,0,326,494,18,10,7,9,4,1,4,1,27,22,10,7,18,18,14,30,2,2,1,4,2,1,0,0,41,36,16,14,"118,444m","119,934m",122,163,129,129,7.8%,7.8%,40.6%,59.4%,https://www.football-lab.jp/mcd/report/?year=2025&month=04&date=25
A,Ｃ大阪,W,2,1,1.939,0.49,17,5,5,1,0,0,340,619,17,15,7,14,2,3,5,2,19,21,9,9,20,15,24,15,3,2,3,2,3,1,0,0,39,54,16,9,"120,506m","123,864m",181,153,118,126,14.4%,4.0%,38.7%,61.3%,https://www.football-lab.jp/mcd/report/?year=2025&month=04&date=29
