HOME/AWAY,Opponent,勝敗,shim_得点,shim_失点,Opponent_ゴール期待値,shim_ゴール期待値,Opponent_シュート,shim_シュート,Opponent_枠内シュート,shim_枠内シュート,Opponent_PKによるシュート,shim_PKによるシュート,Opponent_パス,shim_パス,Opponent_クロス,shim_クロス,Opponent_直接ＦＫ,shim_直接ＦＫ,Opponent_間接ＦＫ,shim_間接ＦＫ,Opponent_ＣＫ,shim_ＣＫ,Opponent_スローイン,shim_スローイン,Opponent_ドリブル,shim_ドリブル,Opponent_タックル,shim_タックル,Opponent_クリア,shim_クリア,Opponent_インターセプト,shim_インターセプト,Opponent_オフサイド,shim_オフサイド,Opponent_警告,shim_警告,Opponent_退場,shim_退場,Opponent_３０ｍライン進入,shim_３０ｍライン進入,Opponent_ペナルティエリア進入,shim_ペナルティエリア進入,Opponent_総移動距離,shim_総移動距離,Opponent_スプリント,shim_スプリント,Opponent_攻撃回数,shim_攻撃回数,Opponent_チャンス構築率,shim_チャンス構築率,Opponent_ボール保持率,shim_ボール保持率,URL
A,東京Ｖ,W,1,0,0.725,0.592,6,8,2,2,0,0,521,435,15,7,11,13,1,0,6,5,23,27,9,13,25,15,19,27,0,2,0,1,1,1,0,0,28,26,8,7,"118,025m","114,656m",116,80,113,116,5.3%,6.9%,53.8%,46.2%,https://www.football-lab.jp/shim/report/?year=2025&month=02&date=16
H,新潟,W,2,0,0.389,1.212,6,12,4,3,0,0,395,616,7,17,9,11,1,0,6,7,22,14,10,16,22,18,27,14,3,2,0,1,2,0,1,0,26,42,7,9,"112,975m","119,982m",92,112,118,113,5.1%,10.6%,42.9%,57.1%,https://www.football-lab.jp/shim/report/?year=2025&month=02&date=22
H,広島,D,1,1,0.657,1.434,13,15,2,2,0,0,583,403,11,16,12,7,0,0,6,5,27,18,8,13,22,20,20,37,4,6,0,0,3,1,0,0,44,35,8,15,"113,550m","119,627m",125,137,140,131,9.3%,11.5%,58%,42%,https://www.football-lab.jp/shim/report/?year=2025&month=02&date=26
A,岡山,D,1,1,1.744,1.851,15,14,6,4,0,1,328,550,16,14,5,14,2,1,7,8,19,28,6,14,21,23,41,29,0,0,1,2,1,1,0,0,25,43,10,9,"112,531m","108,537m",143,125,110,134,13.6%,10.4%,41.4%,58.6%,https://www.football-lab.jp/shim/report/?year=2025&month=03&date=02
A,Ｇ大阪,L,0,1,1.799,0.484,15,10,4,1,0,0,477,578,14,13,6,16,1,0,4,2,21,19,11,14,34,14,31,25,3,6,0,0,4,1,0,0,46,41,18,9,"115,751m","118,781m",113,139,132,133,11.4%,7.5%,47.8%,52.2%,https://www.football-lab.jp/shim/report/?year=2025&month=03&date=08
H,京都,L,1,2,2.164,1.978,11,15,4,4,1,1,364,495,17,16,8,19,4,0,5,5,23,27,5,15,13,18,30,21,3,1,0,4,3,0,0,0,25,33,10,16,"123,814m","114,481m",173,180,120,141,9.2%,10.6%,47%,53%,https://www.football-lab.jp/shim/report/?year=2025&month=03&date=16
H,湘南,W,3,0,0.494,1.549,6,10,0,5,0,1,567,339,9,10,10,23,0,3,5,5,24,29,8,8,23,21,23,19,2,2,3,0,2,1,0,0,30,28,11,6,"109,454m","113,683m",140,129,107,123,5.6%,8.1%,60.3%,39.7%,https://www.football-lab.jp/shim/report/?year=2025&month=03&date=29
A,浦和,L,1,2,0.39,1.213,7,18,2,5,0,0,456,578,7,28,8,12,0,2,1,14,24,25,7,16,18,19,44,12,4,2,2,0,1,1,0,0,20,53,7,16,"121,998m","119,444m",127,135,102,118,6.9%,15.3%,48.7%,51.3%,https://www.football-lab.jp/shim/report/?year=2025&month=04&date=02
A,横浜FC,L,0,2,0.964,0.614,6,11,3,0,0,0,330,653,21,14,7,8,1,2,1,8,13,30,9,19,33,21,27,17,1,3,2,1,1,0,0,0,32,42,16,9,"119,486m","116,561m",154,158,114,137,5.3%,8.0%,38%,62%,https://www.football-lab.jp/shim/report/?year=2025&month=04&date=06
H,川崎Ｆ,D,1,1,2.384,1.739,17,11,6,4,0,1,484,463,14,10,12,14,2,3,9,1,20,21,3,8,23,18,17,30,2,3,3,2,2,2,0,1,34,32,16,16,"110,130m","110,989m",116,122,113,112,15.0%,9.8%,51.9%,48.1%,https://www.football-lab.jp/shim/report/?year=2025&month=04&date=12
