HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,g-os_ゴール期待値,Opponent_ゴール期待値,g-os_シュート,Opponent_シュート,g-os_枠内シュート,Opponent_枠内シュート,g-os_PKによるシュート,Opponent_PKによるシュート,g-os_パス,Opponent_パス,g-os_クロス,Opponent_クロス,g-os_直接ＦＫ,Opponent_直接ＦＫ,g-os_間接ＦＫ,Opponent_間接ＦＫ,g-os_ＣＫ,Opponent_ＣＫ,g-os_スローイン,Opponent_スローイン,g-os_ドリブル,Opponent_ドリブル,g-os_タックル,Opponent_タックル,g-os_クリア,Opponent_クリア,g-os_インターセプト,Opponent_インターセプト,g-os_オフサイド,Opponent_オフサイド,g-os_警告,Opponent_警告,g-os_退場,Opponent_退場,g-os_３０ｍライン進入,Opponent_３０ｍライン進入,g-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,g-os_総移動距離,Opponent_総移動距離,g-os_スプリント,Opponent_スプリント,g-os_攻撃回数,Opponent_攻撃回数,g-os_チャンス構築率,Opponent_チャンス構築率,g-os_ボール保持率,Opponent_ボール保持率,URL
H,Ｃ大阪,L,2,5,1.484,1.322,18,12,5,7,0,0,448,574,20,12,7,2,0,4,6,3,26,18,12,12,18,21,20,34,3,1,4,0,0,0,0,0,38,37,15,10,"117,384m","124,714m",131,105,128,119,14.1%,10.1%,46.4%,53.6%,https://www.football-lab.jp/g-os/report/?year=2025&month=02&date=14
H,福岡,W,2,1,0.709,1.184,7,15,2,5,0,0,417,509,10,27,13,14,4,0,3,8,15,26,10,16,26,23,40,11,0,0,0,3,0,2,0,0,18,53,6,25,"116,179m","119,941m",88,112,111,117,6.3%,12.8%,49.3%,50.7%,https://www.football-lab.jp/g-os/report/?year=2025&month=02&date=22
A,岡山,L,0,2,0.378,1.551,6,14,0,4,0,0,561,392,10,20,5,6,4,0,3,3,31,36,10,12,24,21,18,25,0,1,0,4,1,0,0,0,32,35,9,14,"113,956m","120,172m",112,149,122,129,4.9%,10.9%,58.1%,41.9%,https://www.football-lab.jp/g-os/report/?year=2025&month=02&date=26
A,東京Ｖ,W,1,0,1.967,0.822,20,12,4,4,0,0,424,417,15,14,8,7,0,0,14,6,15,30,6,7,23,17,28,27,1,0,0,0,1,2,0,0,35,33,12,13,"111,056m","115,007m",97,122,122,115,16.4%,10.4%,52.1%,47.9%,https://www.football-lab.jp/g-os/report/?year=2025&month=03&date=02
H,清水,W,1,0,1.799,0.484,15,10,4,1,0,0,477,578,14,13,6,16,1,0,4,2,21,19,11,14,34,14,31,25,3,6,0,0,4,1,0,0,46,41,18,9,"115,751m","118,781m",113,139,132,133,11.4%,7.5%,47.8%,52.2%,https://www.football-lab.jp/g-os/report/?year=2025&month=03&date=08
A,横浜FM,L,0,2,2.05,0.779,24,7,10,6,0,0,620,489,32,12,4,8,0,1,10,2,25,23,9,9,23,20,15,37,1,3,1,0,1,2,0,0,68,22,19,15,"117,055m","121,202m",100,101,130,134,18.5%,5.2%,53.3%,46.7%,https://www.football-lab.jp/g-os/report/?year=2025&month=03&date=16
A,新潟,D,3,3,2.075,1.076,15,12,6,5,1,0,473,720,13,19,5,12,0,1,5,3,19,15,5,13,21,14,20,18,1,2,1,0,0,0,0,0,40,37,15,16,"122,689m","128,291m",110,115,108,99,13.9%,12.1%,42.7%,57.3%,https://www.football-lab.jp/g-os/report/?year=2025&month=03&date=29
H,町田,L,0,1,0.676,1.156,9,11,1,2,0,0,598,350,16,11,9,18,2,0,3,7,23,15,11,9,19,22,21,29,1,2,0,2,0,1,0,0,51,28,11,12,"114,436m","119,665m",102,118,129,129,7.0%,8.5%,60%,40%,https://www.football-lab.jp/g-os/report/?year=2025&month=04&date=02
A,柏,L,0,1,0.944,0.697,7,11,1,1,0,0,425,722,9,20,9,8,0,3,2,8,19,19,8,14,24,17,36,23,2,1,3,0,2,0,0,0,29,77,9,31,"120,315m","123,856m",127,139,105,107,6.7%,10.3%,38.4%,61.6%,https://www.football-lab.jp/g-os/report/?year=2025&month=04&date=06
H,名古屋,W,2,0,2.045,0.121,15,2,6,0,0,0,647,344,15,5,9,12,1,2,3,3,26,22,12,5,22,25,15,18,2,1,2,2,0,2,0,0,73,22,16,1,"111,695m","114,213m",97,101,112,107,13.4%,1.9%,63.3%,36.7%,https://www.football-lab.jp/g-os/report/?year=2025&month=04&date=12
