HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,y-fm_ゴール期待値,Opponent_ゴール期待値,y-fm_シュート,Opponent_シュート,y-fm_枠内シュート,Opponent_枠内シュート,y-fm_PKによるシュート,Opponent_PKによるシュート,y-fm_パス,Opponent_パス,y-fm_クロス,Opponent_クロス,y-fm_直接ＦＫ,Opponent_直接ＦＫ,y-fm_間接ＦＫ,Opponent_間接ＦＫ,y-fm_ＣＫ,Opponent_ＣＫ,y-fm_スローイン,Opponent_スローイン,y-fm_ドリブル,Opponent_ドリブル,y-fm_タックル,Opponent_タックル,y-fm_クリア,Opponent_クリア,y-fm_インターセプト,Opponent_インターセプト,y-fm_オフサイド,Opponent_オフサイド,y-fm_警告,Opponent_警告,y-fm_退場,Opponent_退場,y-fm_３０ｍライン進入,Opponent_３０ｍライン進入,y-fm_ペナルティエリア進入,Opponent_ペナルティエリア進入,y-fm_総移動距離,Opponent_総移動距離,y-fm_スプリント,Opponent_スプリント,y-fm_攻撃回数,Opponent_攻撃回数,y-fm_チャンス構築率,Opponent_チャンス構築率,y-fm_ボール保持率,Opponent_ボール保持率,URL
H,新潟,D,1,1,1.378,1.272,6,15,2,5,1,0,523,433,12,7,13,14,1,1,3,3,28,18,10,11,10,14,18,23,1,2,1,1,0,1,0,0,37,27,7,10,"120,452m","123,322m",105,106,110,103,5.5%,14.6%,52.4%,47.6%,https://www.football-lab.jp/y-fm/report/?year=2025&month=02&date=15
A,広島,L,0,1,0.874,1.266,7,7,1,3,0,1,602,441,7,19,20,14,0,2,1,3,11,20,15,8,12,16,24,15,2,3,2,0,2,1,0,0,26,33,5,5,"124,981m","121,462m",120,133,121,125,5.8%,5.6%,56.9%,43.1%,https://www.football-lab.jp/y-fm/report/?year=2025&month=02&date=23
H,横浜FC,D,0,0,1.339,0.97,13,7,3,2,0,0,688,404,17,14,11,7,0,0,2,4,21,26,13,16,15,18,26,27,1,0,0,0,2,2,0,0,77,26,12,11,"117,768m","117,273m",99,104,102,110,12.7%,6.4%,58.9%,41.1%,https://www.football-lab.jp/y-fm/report/?year=2025&month=02&date=26
H,湘南,D,1,1,0.567,0.893,10,8,2,6,0,0,535,441,20,17,14,8,4,1,3,6,21,22,8,9,21,24,28,17,1,1,1,4,0,2,0,0,41,36,8,10,"115,383m","115,333m",126,120,102,108,9.8%,7.4%,54.1%,45.9%,https://www.football-lab.jp/y-fm/report/?year=2025&month=03&date=01
H,Ｇ大阪,W,2,0,0.779,2.05,7,24,6,10,0,0,489,620,12,32,8,4,1,0,2,10,23,25,9,9,20,23,37,15,3,1,0,1,2,1,0,0,22,68,15,19,"121,202m","117,055m",101,100,134,130,5.2%,18.5%,46.7%,53.3%,https://www.football-lab.jp/y-fm/report/?year=2025&month=03&date=16
A,岡山,L,0,1,0.892,1.426,12,10,5,3,0,0,561,251,16,16,15,10,2,3,2,8,36,21,14,12,19,18,37,32,1,1,3,2,2,0,0,0,34,26,14,8,"110,344m","117,026m",121,157,118,108,10.2%,9.3%,64.4%,35.6%,https://www.football-lab.jp/y-fm/report/?year=2025&month=03&date=29
A,名古屋,L,0,2,0.868,2.018,9,24,2,9,0,0,465,365,11,8,7,11,3,2,7,9,28,20,7,9,15,20,20,24,1,3,2,3,0,0,0,0,28,44,7,10,"112,127m","116,053m",121,139,117,123,7.7%,19.5%,57.8%,42.2%,https://www.football-lab.jp/y-fm/report/?year=2025&month=04&date=02
H,東京Ｖ,D,0,0,0.252,0.832,6,11,1,0,0,0,505,462,13,19,18,13,2,1,2,3,30,26,18,14,25,25,21,22,2,1,1,2,2,3,0,0,40,31,6,12,"121,265m","122,330m",110,119,128,130,4.7%,8.5%,51.1%,48.9%,https://www.football-lab.jp/y-fm/report/?year=2025&month=04&date=05
A,川崎Ｆ,D,3,3,1.817,1.128,16,10,5,4,0,0,577,421,24,12,6,9,2,3,7,6,16,20,7,6,10,18,18,36,0,3,2,3,1,1,0,0,55,30,13,10,"121,354m","122,214m",120,127,102,103,15.7%,9.7%,58%,42%,https://www.football-lab.jp/y-fm/report/?year=2025&month=04&date=09
A,福岡,L,1,2,0.538,1.91,6,14,2,4,0,0,558,386,10,18,16,8,4,2,4,4,22,22,8,8,23,14,21,30,1,1,3,4,1,1,0,0,36,41,3,15,"113,135m","116,214m",111,125,107,97,5.6%,14.4%,56.2%,43.8%,https://www.football-lab.jp/y-fm/report/?year=2025&month=04&date=12
H,清水,L,2,3,1.189,0.921,16,14,8,5,0,0,582,434,12,15,12,15,0,1,6,3,25,19,10,11,19,23,15,22,4,5,1,0,2,2,0,0,48,34,8,16,"126,260m","126,384m",132,128,131,120,12.2%,11.7%,55.3%,44.7%,https://www.football-lab.jp/y-fm/report/?year=2025&month=04&date=16
A,浦和,L,1,3,1.463,1.478,11,11,2,3,0,0,604,374,16,13,5,8,0,2,3,10,16,18,9,10,16,14,23,16,2,1,2,0,0,0,0,0,32,32,11,9,"116,988m","118,805m",114,153,95,104,11.6%,10.6%,59.6%,40.4%,https://www.football-lab.jp/y-fm/report/?year=2025&month=04&date=20
