HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,Opponent_ゴール期待値,nago_ゴール期待値,Opponent_シュート,nago_シュート,Opponent_枠内シュート,nago_枠内シュート,Opponent_PKによるシュート,nago_PKによるシュート,Opponent_パス,nago_パス,Opponent_クロス,nago_クロス,Opponent_直接ＦＫ,nago_直接ＦＫ,Opponent_間接ＦＫ,nago_間接ＦＫ,Opponent_ＣＫ,nago_ＣＫ,Opponent_スローイン,nago_スローイン,Opponent_ドリブル,nago_ドリブル,Opponent_タックル,nago_タックル,Opponent_クリア,nago_クリア,Opponent_インターセプト,nago_インターセプト,Opponent_オフサイド,nago_オフサイド,Opponent_警告,nago_警告,Opponent_退場,nago_退場,Opponent_３０ｍライン進入,nago_３０ｍライン進入,Opponent_ペナルティエリア進入,nago_ペナルティエリア進入,Opponent_総移動距離,nago_総移動距離,Opponent_スプリント,nago_スプリント,Opponent_攻撃回数,nago_攻撃回数,Opponent_チャンス構築率,nago_チャンス構築率,Opponent_ボール保持率,nago_ボール保持率,URL
A,川崎Ｆ,L,0,4,2.389,0.38,18,8,8,0,0,0,497,374,18,9,17,6,2,2,6,5,18,22,17,8,10,25,16,22,0,2,1,2,1,2,0,0,46,19,23,6,"114,312m","110,815m",129,133,125,113,14.4%,7.1%,56.1%,43.9%,https://www.football-lab.jp/nago/report/?year=2025&month=02&date=15
H,神戸,D,2,2,1.556,1.461,13,9,7,5,0,1,410,371,18,15,12,9,1,1,6,3,25,16,10,10,8,20,27,45,4,2,1,1,0,1,0,0,31,28,13,11,"117,664m","114,875m",117,145,114,102,11.4%,8.8%,53.1%,46.9%,https://www.football-lab.jp/nago/report/?year=2025&month=02&date=22
A,FC東京,L,1,3,1.898,1.084,13,11,7,7,0,0,335,637,8,12,13,12,0,0,3,2,15,20,8,7,15,18,26,17,2,2,0,0,1,1,0,0,27,52,11,14,"122,318m","119,245m",142,126,105,100,12.4%,11.0%,39%,61%,https://www.football-lab.jp/nago/report/?year=2025&month=02&date=26
H,町田,L,1,2,0.814,0.69,7,5,3,2,0,0,388,368,18,8,13,16,0,0,2,3,27,22,9,3,2,8,23,23,1,0,0,0,2,0,0,0,35,14,6,5,"109,934m","110,723m",101,107,110,106,6.4%,4.7%,50.8%,49.2%,https://www.football-lab.jp/nago/report/?year=2025&month=03&date=02
A,Ｃ大阪,D,1,1,2.112,1.54,24,12,6,6,0,0,581,422,18,25,9,9,3,0,9,6,17,18,13,12,7,13,31,23,1,3,0,3,2,2,0,0,53,36,24,13,"126,101m","124,500m",151,156,119,113,20.2%,10.6%,55.8%,44.2%,https://www.football-lab.jp/nago/report/?year=2025&month=03&date=08
A,東京Ｖ,L,1,2,0.724,0.752,9,10,3,4,0,0,412,450,14,16,13,12,0,0,5,6,30,34,13,5,19,15,37,24,1,4,0,0,1,1,0,0,37,21,6,9,"118,918m","117,511m",149,122,123,135,7.3%,7.4%,51.5%,48.5%,https://www.football-lab.jp/nago/report/?year=2025&month=03&date=15
H,横浜FC,W,2,1,1.232,1.151,10,7,3,4,0,1,541,421,9,5,16,9,2,1,5,2,12,25,10,9,22,20,15,25,3,1,1,2,1,4,0,0,32,33,8,5,"116,600m","119,009m",100,102,122,125,8.2%,5.6%,54.1%,45.9%,https://www.football-lab.jp/nago/report/?year=2025&month=03&date=29
H,横浜FM,W,2,0,0.868,2.018,9,24,2,9,0,0,465,365,11,8,7,11,3,2,7,9,28,20,7,9,15,20,20,24,1,3,2,3,0,0,0,0,28,44,7,10,"112,127m","116,053m",121,139,117,123,7.7%,19.5%,57.8%,42.2%,https://www.football-lab.jp/nago/report/?year=2025&month=04&date=02
A,湘南,L,1,2,0.432,0.737,9,10,6,3,0,0,417,520,10,9,14,15,0,3,2,2,21,30,7,6,13,14,19,17,1,5,3,0,2,2,0,0,32,37,9,4,"119,774m","118,192m",153,137,119,122,7.6%,8.2%,47.3%,52.7%,https://www.football-lab.jp/nago/report/?year=2025&month=04&date=06
A,Ｇ大阪,L,0,2,2.045,0.121,15,2,6,0,0,0,647,344,15,5,9,12,1,2,3,3,26,22,12,5,22,25,15,18,2,1,2,2,0,2,0,0,73,22,16,1,"111,695m","114,213m",97,101,112,107,13.4%,1.9%,63.3%,36.7%,https://www.football-lab.jp/nago/report/?year=2025&month=04&date=12
