HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,kobe_ゴール期待値,Opponent_ゴール期待値,kobe_シュート,Opponent_シュート,kobe_枠内シュート,Opponent_枠内シュート,kobe_PKによるシュート,Opponent_PKによるシュート,kobe_パス,Opponent_パス,kobe_クロス,Opponent_クロス,kobe_直接ＦＫ,Opponent_直接ＦＫ,kobe_間接ＦＫ,Opponent_間接ＦＫ,kobe_ＣＫ,Opponent_ＣＫ,kobe_スローイン,Opponent_スローイン,kobe_ドリブル,Opponent_ドリブル,kobe_タックル,Opponent_タックル,kobe_クリア,Opponent_クリア,kobe_インターセプト,Opponent_インターセプト,kobe_オフサイド,Opponent_オフサイド,kobe_警告,Opponent_警告,kobe_退場,Opponent_退場,kobe_３０ｍライン進入,Opponent_３０ｍライン進入,kobe_ペナルティエリア進入,Opponent_ペナルティエリア進入,kobe_総移動距離,Opponent_総移動距離,kobe_スプリント,Opponent_スプリント,kobe_攻撃回数,Opponent_攻撃回数,kobe_チャンス構築率,Opponent_チャンス構築率,kobe_ボール保持率,Opponent_ボール保持率,URL
H,浦和,D,0,0,1.981,1.13,8,18,2,4,0,0,300,343,15,25,15,9,2,2,3,9,21,25,8,21,16,16,39,23,2,1,2,1,0,2,0,0,15,27,4,7,"106,637m","107,215m",89,108,108,121,7.4%,14.9%,46.6%,53.4%,https://www.football-lab.jp/kobe/report/?year=2025&month=02&date=15
A,名古屋,D,2,2,1.556,1.461,13,9,7,5,0,1,410,371,18,15,12,9,1,1,6,3,25,16,10,10,8,20,27,45,4,2,1,1,0,1,0,0,31,28,13,11,"117,664m","114,875m",117,145,114,102,11.4%,8.8%,53.1%,46.9%,https://www.football-lab.jp/kobe/report/?year=2025&month=02&date=22
H,京都,D,1,1,1.571,0.325,17,5,5,4,0,0,471,288,28,6,21,8,1,9,9,0,29,19,13,3,19,14,16,43,2,3,9,1,1,1,0,0,39,17,10,7,"116,776m","121,938m",121,149,150,125,11.3%,4.0%,58.7%,41.3%,https://www.football-lab.jp/kobe/report/?year=2025&month=02&date=26
H,福岡,L,0,1,0.61,1.035,10,10,1,1,0,0,456,367,11,13,22,11,1,5,2,3,26,22,4,18,18,11,21,35,1,1,5,1,1,2,0,1,31,32,10,10,"110,151m","111,465m",85,98,117,117,8.5%,8.5%,52.8%,47.2%,https://www.football-lab.jp/kobe/report/?year=2025&month=03&date=01
A,湘南,W,2,1,0.64,0.745,7,7,4,2,0,0,442,550,7,20,15,7,5,1,0,1,34,32,13,11,18,26,17,10,4,3,1,5,1,0,0,0,33,43,9,7,"119,720m","118,857m",139,146,135,133,5.2%,5.3%,46.2%,53.8%,https://www.football-lab.jp/kobe/report/?year=2025&month=03&date=16
A,鹿島,L,0,1,0.822,1.293,6,10,1,4,0,0,427,314,18,12,16,13,1,7,7,6,32,22,12,6,18,8,20,36,3,1,7,1,4,2,0,0,30,27,5,7,"108,277m","108,047m",105,95,130,114,4.6%,8.8%,57.3%,42.7%,https://www.football-lab.jp/kobe/report/?year=2025&month=03&date=29
A,横浜FC,W,1,0,0.655,0.831,8,9,1,1,0,0,478,319,12,12,16,10,1,2,3,5,29,31,9,9,29,28,32,17,1,3,2,1,0,1,0,0,40,24,3,6,"120,939m","119,235m",135,143,124,130,6.5%,6.9%,56.8%,43.2%,https://www.football-lab.jp/kobe/report/?year=2025&month=04&date=02
H,新潟,L,0,1,1.329,0.468,15,6,3,2,0,0,647,402,33,8,8,2,4,0,3,4,28,21,17,8,17,10,15,48,3,1,0,4,0,0,0,0,68,19,14,6,"120,895m","126,277m",127,121,119,112,12.6%,5.4%,59.9%,40.1%,https://www.football-lab.jp/kobe/report/?year=2025&month=04&date=06
A,東京Ｖ,W,1,0,0.995,0.605,9,11,2,3,0,0,473,334,17,10,11,6,0,1,8,4,45,33,10,10,23,23,17,41,4,3,1,0,1,2,0,1,38,21,9,4,"115,591m","114,793m",103,114,143,127,6.3%,8.7%,52.6%,47.4%,https://www.football-lab.jp/kobe/report/?year=2025&month=04&date=12
H,川崎Ｆ,W,2,1,0.911,0.355,9,6,4,1,0,0,454,474,24,12,13,9,0,5,8,1,29,24,11,13,20,32,20,34,4,2,5,0,0,2,0,0,41,17,17,11,"118,653m","113,594m",133,124,132,121,6.8%,5.0%,48.3%,51.7%,https://www.football-lab.jp/kobe/report/?year=2025&month=04&date=16
H,町田,W,1,0,0.97,1.8,9,14,3,1,0,0,480,259,21,9,16,7,4,3,5,3,24,20,6,12,14,17,26,36,0,0,3,2,0,2,0,0,36,24,12,7,"114,255m","110,756m",119,104,118,109,7.6%,12.8%,60.7%,39.3%,https://www.football-lab.jp/kobe/report/?year=2025&month=04&date=20
H,岡山,W,2,0,1.642,0.391,21,5,6,1,0,0,384,320,17,9,16,10,4,4,6,5,31,34,10,6,13,25,28,27,3,2,4,4,0,0,0,0,26,15,15,5,"112,317m","113,713m",126,155,147,146,14.3%,3.4%,51.3%,48.7%,https://www.football-lab.jp/kobe/report/?year=2025&month=05&date=03
H,Ｃ大阪,L,1,3,1.648,0.962,17,11,4,5,0,0,534,515,22,4,11,10,0,4,6,1,31,21,9,6,19,14,12,27,2,3,4,0,0,4,0,0,56,28,11,6,"120,700m","119,975m",130,123,122,114,13.9%,9.6%,51.8%,48.2%,https://www.football-lab.jp/kobe/report/?year=2025&month=05&date=06
A,FC東京,L,0,1,0.934,2.433,14,17,3,7,0,1,354,316,23,11,11,11,0,6,11,5,36,20,10,13,21,22,19,57,4,0,6,0,3,2,0,0,32,28,9,15,"112,993m","111,799m",148,154,127,111,11.0%,15.3%,48.4%,51.6%,https://www.football-lab.jp/kobe/report/?year=2025&month=05&date=10
H,Ｇ大阪,W,3,2,1.8,0.686,14,11,8,5,0,0,473,393,19,7,10,4,1,2,8,1,21,30,11,8,22,20,18,37,5,2,2,1,1,0,0,0,43,41,18,11,"115,398m","108,191m",112,93,141,125,9.9%,8.8%,53.3%,46.7%,https://www.football-lab.jp/kobe/report/?year=2025&month=05&date=17
A,横浜FM,W,2,1,0.704,0.87,9,14,2,4,0,0,342,382,12,11,13,12,1,0,8,5,29,32,6,14,20,22,26,21,2,1,0,1,0,1,0,0,27,25,7,14,"113,678m","113,008m",119,112,127,124,7.1%,11.3%,47.1%,52.9%,https://www.football-lab.jp/kobe/report/?year=2025&month=05&date=21
A,清水,L,2,3,2.282,1.721,18,12,5,6,0,0,401,320,23,14,10,8,3,2,4,9,39,19,10,10,20,14,27,31,4,1,2,3,2,2,0,0,38,32,13,10,"108,756m","109,642m",96,106,128,125,14.1%,9.6%,53.8%,46.2%,https://www.football-lab.jp/kobe/report/?year=2025&month=05&date=25
A,柏,W,3,1,0.951,0.528,15,8,5,2,0,0,293,550,12,19,10,9,1,1,5,5,33,49,11,18,23,23,29,22,3,1,1,1,3,1,0,0,23,48,9,13,"114,694m","110,488m",108,90,137,142,10.9%,5.6%,38%,62%,https://www.football-lab.jp/kobe/report/?year=2025&month=05&date=31
H,名古屋,W,2,1,1.833,0.611,17,11,3,4,0,0,348,380,17,11,10,8,2,1,9,3,31,28,11,6,23,17,22,37,2,1,1,2,1,2,0,0,43,25,14,4,"105,534m","102,927m",83,94,122,111,13.9%,9.9%,47.5%,52.5%,https://www.football-lab.jp/kobe/report/?year=2025&month=06&date=15
A,川崎Ｆ,W,2,1,0.779,1.18,9,9,4,4,0,0,331,510,11,14,13,8,2,1,6,4,20,30,8,10,31,13,19,26,1,0,1,2,2,1,0,0,20,38,9,10,"114,028m","107,000m",133,98,126,128,7.1%,7.0%,41.8%,58.2%,https://www.football-lab.jp/kobe/report/?year=2025&month=06&date=21
A,福岡,D,0,0,0.575,0.234,11,3,2,1,0,0,284,282,18,9,11,12,4,1,5,8,27,20,5,6,11,6,24,28,2,2,1,4,0,1,0,0,32,20,9,5,"106,039m","107,281m",109,98,109,101,10.1%,3.0%,50.7%,49.3%,https://www.football-lab.jp/kobe/report/?year=2025&month=06&date=28
H,広島,W,1,0,1.364,1.149,9,14,6,3,0,0,395,387,12,19,10,8,4,1,3,3,24,36,9,9,16,14,29,23,1,2,1,4,0,1,0,0,41,39,11,17,"109,988m","103,357m",92,90,132,131,6.8%,10.7%,52.2%,47.8%,https://www.football-lab.jp/kobe/report/?year=2025&month=07&date=02
H,湘南,W,4,0,1.011,0.645,15,7,8,2,0,0,388,416,23,10,13,12,1,1,6,3,38,26,18,9,19,20,13,30,5,3,1,1,0,1,0,0,38,21,11,4,"113,314m","108,862m",101,113,126,122,11.9%,5.7%,46.6%,53.4%,https://www.football-lab.jp/kobe/report/?year=2025&month=07&date=05
A,岡山,W,2,1,1.963,0.543,19,5,9,2,0,0,395,381,14,9,14,3,1,3,4,6,36,24,14,18,18,18,32,31,3,1,2,1,0,1,0,0,29,24,16,9,"111,485m","111,939m",101,108,132,129,14.4%,3.9%,48.5%,51.5%,https://www.football-lab.jp/kobe/report/?year=2025&month=07&date=20
A,町田,L,0,2,0.82,1.303,12,10,4,4,0,0,477,269,17,5,16,9,4,3,4,6,29,17,13,5,14,19,18,32,1,3,3,4,0,2,0,0,35,21,10,3,"113,888m","115,252m",92,110,124,110,9.7%,9.1%,59%,41%,https://www.football-lab.jp/kobe/report/?year=2025&month=08&date=10
H,横浜FC,L,0,1,0.972,0.335,14,5,3,1,0,0,464,296,33,12,14,9,4,0,5,3,21,19,20,6,19,20,22,51,2,0,0,4,1,2,0,0,42,25,16,5,"110,492m","107,711m",99,108,124,113,11.3%,4.4%,55.3%,44.7%,https://www.football-lab.jp/kobe/report/?year=2025&month=08&date=16
A,広島,W,1,0,1.822,1.377,18,14,5,2,0,0,384,330,16,16,13,4,1,6,7,3,31,32,10,8,11,18,28,33,2,1,6,1,0,0,0,1,34,24,12,16,"110,264m","99,061m",100,93,145,127,12.4%,11.0%,51.3%,48.7%,https://www.football-lab.jp/kobe/report/?year=2025&month=08&date=20
A,Ｃ大阪,D,1,1,1.365,2.092,15,17,4,2,0,0,284,470,19,14,13,13,1,3,5,6,26,15,11,14,19,18,23,38,1,1,3,1,3,1,0,0,28,41,10,18,"111,722m","110,813m",115,113,118,121,12.7%,14.0%,43%,57%,https://www.football-lab.jp/kobe/report/?year=2025&month=08&date=23
H,横浜FM,W,1,0,0.983,0.609,10,11,2,3,0,0,419,381,16,17,19,14,2,4,2,3,9,22,8,16,20,10,22,15,3,3,4,2,1,3,0,0,33,31,8,7,"113,426m","111,067m",135,107,110,123,9.1%,8.9%,51.4%,48.6%,https://www.football-lab.jp/kobe/report/?year=2025&month=08&date=30
