HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,Opponent_ゴール期待値,c-os_ゴール期待値,Opponent_シュート,c-os_シュート,Opponent_枠内シュート,c-os_枠内シュート,Opponent_PKによるシュート,c-os_PKによるシュート,Opponent_パス,c-os_パス,Opponent_クロス,c-os_クロス,Opponent_直接ＦＫ,c-os_直接ＦＫ,Opponent_間接ＦＫ,c-os_間接ＦＫ,Opponent_ＣＫ,c-os_ＣＫ,Opponent_スローイン,c-os_スローイン,Opponent_ドリブル,c-os_ドリブル,Opponent_タックル,c-os_タックル,Opponent_クリア,c-os_クリア,Opponent_インターセプト,c-os_インターセプト,Opponent_オフサイド,c-os_オフサイド,Opponent_警告,c-os_警告,Opponent_退場,c-os_退場,Opponent_３０ｍライン進入,c-os_３０ｍライン進入,Opponent_ペナルティエリア進入,c-os_ペナルティエリア進入,Opponent_総移動距離,c-os_総移動距離,Opponent_スプリント,c-os_スプリント,Opponent_攻撃回数,c-os_攻撃回数,Opponent_チャンス構築率,c-os_チャンス構築率,Opponent_ボール保持率,c-os_ボール保持率,URL
A,Ｇ大阪,W,5,2,1.484,1.322,18,12,5,7,0,0,448,574,20,12,7,2,0,4,6,3,26,18,12,12,18,21,20,34,3,1,4,0,0,0,0,0,38,37,15,10,"117,384m","124,714m",131,105,128,119,14.1%,10.1%,46.4%,53.6%,https://www.football-lab.jp/c-os/report/?year=2025&month=02&date=14
H,湘南,L,1,2,1.789,1.332,14,13,5,5,0,0,383,572,16,13,7,9,1,3,7,7,29,25,14,12,30,21,31,19,2,4,3,1,1,1,0,0,42,42,15,11,"118,487m","118,506m",135,116,128,123,10.9%,10.6%,45.3%,54.7%,https://www.football-lab.jp/c-os/report/?year=2025&month=02&date=22
A,柏,L,1,2,1.307,1.043,12,11,5,3,0,0,609,444,20,10,9,12,1,0,4,5,30,20,11,12,16,26,29,17,4,4,0,1,2,1,0,0,57,36,20,14,"126,253m","130,119m",131,124,116,107,10.3%,10.3%,58.5%,41.5%,https://www.football-lab.jp/c-os/report/?year=2025&month=02&date=26
A,新潟,D,2,2,1.178,1.499,16,10,5,4,0,0,439,559,12,12,10,4,1,4,9,5,25,28,9,16,35,21,24,21,1,0,4,1,0,3,0,0,34,43,17,11,"123,831m","121,974m",146,129,129,120,12.4%,8.3%,48.1%,51.9%,https://www.football-lab.jp/c-os/report/?year=2025&month=03&date=02
H,名古屋,D,1,1,1.54,2.112,12,24,6,6,0,0,422,581,25,18,9,9,0,3,6,9,18,17,12,13,13,7,23,31,3,1,3,0,2,2,0,0,36,53,13,24,"124,500m","126,101m",156,151,113,119,10.6%,20.2%,44.2%,55.8%,https://www.football-lab.jp/c-os/report/?year=2025&month=03&date=08
A,横浜FC,L,0,2,1.008,0.712,11,7,3,2,0,0,347,707,16,5,7,8,2,3,5,3,19,35,14,9,18,29,24,23,4,1,3,2,0,0,0,0,29,74,10,11,"124,783m","122,609m",125,119,120,126,9.2%,5.6%,38.2%,61.8%,https://www.football-lab.jp/c-os/report/?year=2025&month=03&date=15
H,浦和,D,1,1,1.28,0.987,16,11,3,3,0,0,547,500,27,18,3,10,4,1,6,8,27,15,16,13,23,21,22,31,4,0,1,4,1,1,0,0,51,32,12,14,"124,071m","127,720m",175,158,103,98,15.5%,11.2%,54.2%,45.8%,https://www.football-lab.jp/c-os/report/?year=2025&month=03&date=28
H,岡山,W,2,1,1.306,1.146,18,13,6,5,0,0,433,393,19,7,12,12,0,1,6,5,29,25,12,11,24,14,22,34,0,0,1,0,1,0,0,0,37,22,11,9,"128,973m","126,505m",143,159,111,113,16.2%,11.5%,51.5%,48.5%,https://www.football-lab.jp/c-os/report/?year=2025&month=04&date=02
A,広島,L,1,2,1.325,1.329,10,14,4,2,0,0,458,501,10,11,9,10,4,0,3,3,35,21,9,9,20,24,14,20,2,3,0,4,3,1,0,0,36,30,10,11,"115,299m","121,133m",129,140,126,120,7.9%,11.7%,51.6%,48.4%,https://www.football-lab.jp/c-os/report/?year=2025&month=04&date=06
H,鹿島,W,1,0,0.373,2.377,6,19,2,8,0,1,328,619,12,23,8,16,6,0,4,8,20,19,10,23,22,12,30,15,1,2,0,6,2,1,0,0,24,42,4,17,"118,103m","122,819m",113,119,111,128,5.4%,14.8%,37.5%,62.5%,https://www.football-lab.jp/c-os/report/?year=2025&month=04&date=12
