HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,Opponent_ゴール期待値,kasm_ゴール期待値,Opponent_シュート,kasm_シュート,Opponent_枠内シュート,kasm_枠内シュート,Opponent_PKによるシュート,kasm_PKによるシュート,Opponent_パス,kasm_パス,Opponent_クロス,kasm_クロス,Opponent_直接ＦＫ,kasm_直接ＦＫ,Opponent_間接ＦＫ,kasm_間接ＦＫ,Opponent_ＣＫ,kasm_ＣＫ,Opponent_スローイン,kasm_スローイン,Opponent_ドリブル,kasm_ドリブル,Opponent_タックル,kasm_タックル,Opponent_クリア,kasm_クリア,Opponent_インターセプト,kasm_インターセプト,Opponent_オフサイド,kasm_オフサイド,Opponent_警告,kasm_警告,Opponent_退場,kasm_退場,Opponent_３０ｍライン進入,kasm_３０ｍライン進入,Opponent_ペナルティエリア進入,kasm_ペナルティエリア進入,Opponent_総移動距離,kasm_総移動距離,Opponent_スプリント,kasm_スプリント,Opponent_攻撃回数,kasm_攻撃回数,Opponent_チャンス構築率,kasm_チャンス構築率,Opponent_ボール保持率,kasm_ボール保持率,URL
A,湘南,L,0,1,1.482,0.654,14,10,6,6,0,0,390,526,17,17,8,14,1,4,9,10,14,23,11,12,20,10,33,23,2,2,4,1,1,2,0,0,36,46,15,9,"118,300m","115,241m",144,125,106,120,13.2%,8.3%,44.8%,55.2%,https://www.football-lab.jp/kasm/report/?year=2025&month=02&date=15
H,東京Ｖ,W,4,0,0.497,2.037,5,15,2,9,0,1,480,463,10,12,10,11,1,0,2,6,24,37,12,9,32,21,22,14,2,1,0,1,2,0,0,0,30,26,5,12,"118,862m","120,502m",142,134,131,147,3.8%,10.2%,52.3%,47.7%,https://www.football-lab.jp/kasm/report/?year=2025&month=02&date=22
H,新潟,W,2,1,1.403,0.971,12,13,5,4,0,0,631,403,12,13,4,12,1,1,3,5,26,27,8,10,27,27,17,11,0,2,1,1,1,0,0,0,31,35,6,10,"120,578m","120,094m",121,123,110,119,10.9%,10.9%,60.7%,39.3%,https://www.football-lab.jp/kasm/report/?year=2025&month=02&date=26
H,FC東京,W,2,0,0.937,1.844,12,14,1,7,0,1,452,301,6,11,14,16,2,2,5,7,30,14,12,9,16,29,26,18,3,3,2,2,3,1,0,0,28,24,7,9,"107,618m","109,794m",112,127,124,105,9.7%,13.3%,58.3%,41.7%,https://www.football-lab.jp/kasm/report/?year=2025&month=03&date=01
A,柏,W,3,1,1.141,1.504,11,12,4,4,0,0,635,323,15,15,11,12,1,2,8,5,28,28,8,10,21,27,17,32,0,1,2,1,1,1,0,0,46,33,12,11,"120,993m","121,036m",127,145,135,129,8.1%,9.3%,62.5%,37.5%,https://www.football-lab.jp/kasm/report/?year=2025&month=03&date=08
H,浦和,D,1,1,1.549,0.852,14,10,7,3,0,0,358,510,17,20,7,11,2,0,4,9,27,26,9,14,11,21,32,29,3,1,0,2,0,2,0,0,37,35,12,11,"117,461m","117,267m",173,156,110,120,12.7%,8.3%,44.6%,55.4%,https://www.football-lab.jp/kasm/report/?year=2025&month=03&date=16
H,神戸,W,1,0,0.822,1.293,6,10,1,4,0,0,427,314,18,12,16,13,1,7,7,6,32,22,12,6,18,8,20,36,3,1,7,1,4,2,0,0,30,27,5,7,"108,277m","108,047m",105,95,130,114,4.6%,8.8%,57.3%,42.7%,https://www.football-lab.jp/kasm/report/?year=2025&month=03&date=29
A,広島,L,0,1,2.017,1.009,12,14,4,1,0,0,352,582,27,19,10,14,1,1,5,8,19,27,10,14,18,16,38,15,2,1,1,1,1,1,0,0,25,51,17,10,"117,012m","118,990m",135,130,119,127,10.1%,11.0%,41.9%,58.1%,https://www.football-lab.jp/kasm/report/?year=2025&month=04&date=02
H,京都,L,3,4,1.349,1.862,10,14,4,4,0,0,332,398,17,16,12,20,2,2,6,4,20,28,6,12,16,15,26,14,2,1,2,2,5,1,0,0,26,30,6,17,"117,204m","113,023m",142,127,113,119,8.8%,11.8%,49.2%,50.8%,https://www.football-lab.jp/kasm/report/?year=2025&month=04&date=06
A,Ｃ大阪,L,0,1,2.377,0.373,19,6,8,2,1,0,619,328,23,12,16,8,0,6,8,4,19,20,23,10,12,22,15,30,2,1,6,0,1,2,0,0,42,24,17,4,"122,819m","118,103m",119,113,128,111,14.8%,5.4%,62.5%,37.5%,https://www.football-lab.jp/kasm/report/?year=2025&month=04&date=12
A,岡山,W,2,1,1.257,1.656,11,10,4,4,0,1,300,439,12,18,9,14,5,1,5,2,20,30,7,13,14,12,26,28,3,2,1,4,4,1,0,0,18,28,12,10,"112,107m","105,065m",102,96,101,118,10.9%,8.5%,42.9%,57.1%,https://www.football-lab.jp/kasm/report/?year=2025&month=04&date=20
H,名古屋,W,1,0,0.815,1.114,8,10,2,6,0,0,447,402,13,8,7,14,0,2,1,4,19,27,11,6,22,20,19,13,3,0,2,0,0,1,0,0,38,34,11,6,"107,509m","108,383m",116,111,108,122,7.4%,8.2%,54.3%,45.7%,https://www.football-lab.jp/kasm/report/?year=2025&month=04&date=25
A,横浜FC,W,3,0,0.97,1.878,10,10,2,7,0,1,349,342,22,4,10,13,1,1,6,2,29,19,13,7,17,24,17,38,2,1,1,1,0,0,0,0,35,20,14,11,"103,312m","103,465m",131,121,116,112,8.6%,8.9%,50.3%,49.7%,https://www.football-lab.jp/kasm/report/?year=2025&month=04&date=29
H,町田,W,1,0,0.623,1.271,10,11,4,3,0,0,302,419,16,9,11,8,1,1,2,5,29,26,16,8,14,21,16,27,0,1,1,1,0,2,0,0,31,27,9,7,"107,268m","106,952m",98,117,116,120,8.6%,9.2%,42.4%,57.6%,https://www.football-lab.jp/kasm/report/?year=2025&month=05&date=03
A,福岡,W,1,0,0.625,1.918,11,13,4,4,0,1,354,468,9,9,15,19,1,2,3,4,22,20,9,7,22,19,8,20,1,1,2,1,3,2,0,0,23,22,7,8,"112,977m","107,662m",86,99,111,111,9.9%,11.7%,45.8%,54.2%,https://www.football-lab.jp/kasm/report/?year=2025&month=05&date=06
