HOME/AWAY,Opponent,勝敗,shon_得点,shon_失点,shon_ゴール期待値,Opponent_ゴール期待値,shon_シュート,Opponent_シュート,shon_枠内シュート,Opponent_枠内シュート,shon_PKによるシュート,Opponent_PKによるシュート,shon_パス,Opponent_パス,shon_クロス,Opponent_クロス,shon_直接ＦＫ,Opponent_直接ＦＫ,shon_間接ＦＫ,Opponent_間接ＦＫ,shon_ＣＫ,Opponent_ＣＫ,shon_スローイン,Opponent_スローイン,shon_ドリブル,Opponent_ドリブル,shon_タックル,Opponent_タックル,shon_クリア,Opponent_クリア,shon_インターセプト,Opponent_インターセプト,shon_オフサイド,Opponent_オフサイド,shon_警告,Opponent_警告,shon_退場,Opponent_退場,shon_３０ｍライン進入,Opponent_３０ｍライン進入,shon_ペナルティエリア進入,Opponent_ペナルティエリア進入,shon_総移動距離,Opponent_総移動距離,shon_スプリント,Opponent_スプリント,shon_攻撃回数,Opponent_攻撃回数,shon_チャンス構築率,Opponent_チャンス構築率,shon_ボール保持率,Opponent_ボール保持率,URL
H,鹿島,W,1,0,1.482,0.654,14,10,6,6,0,0,390,526,17,17,8,14,1,4,9,10,14,23,11,12,20,10,33,23,2,2,4,1,1,2,0,0,36,46,15,9,"118,300m","115,241m",144,125,106,120,13.2%,8.3%,44.8%,55.2%,https://www.football-lab.jp/shon/report/?year=2025&month=02&date=15
A,Ｃ大阪,W,2,1,1.789,1.332,14,13,5,5,0,0,383,572,16,13,7,9,1,3,7,7,29,25,14,12,30,21,31,19,2,4,3,1,1,1,0,0,42,42,15,11,"118,487m","118,506m",135,116,128,123,10.9%,10.6%,45.3%,54.7%,https://www.football-lab.jp/shon/report/?year=2025&month=02&date=22
H,浦和,W,2,1,2.917,0.579,16,8,6,3,0,0,485,508,15,18,4,8,0,2,10,4,22,22,13,9,25,13,19,27,3,2,2,0,0,0,0,0,39,43,13,12,"122,262m","120,256m",152,167,111,104,14.4%,7.7%,50.6%,49.4%,https://www.football-lab.jp/shon/report/?year=2025&month=02&date=26
A,横浜FM,D,1,1,0.893,0.567,8,10,6,2,0,0,441,535,17,20,8,14,1,4,6,3,22,21,9,8,24,21,17,28,1,1,4,1,2,0,0,0,36,41,10,8,"115,333m","115,383m",120,126,108,102,7.4%,9.8%,45.9%,54.1%,https://www.football-lab.jp/shon/report/?year=2025&month=03&date=01
A,FC東京,D,0,0,0.281,1.181,4,12,0,2,0,0,603,546,10,16,14,8,0,1,2,5,19,34,11,16,28,22,22,22,3,4,1,0,0,1,0,0,33,24,10,12,"120,521m","120,124m",139,143,124,130,3.2%,9.2%,54.1%,45.9%,https://www.football-lab.jp/shon/report/?year=2025&month=03&date=08
H,神戸,L,1,2,0.745,0.64,7,7,2,4,0,0,550,442,20,7,7,15,1,5,1,0,32,34,11,13,26,18,10,17,3,4,5,1,0,1,0,0,43,33,7,9,"118,857m","119,720m",146,139,133,135,5.3%,5.2%,53.8%,46.2%,https://www.football-lab.jp/shon/report/?year=2025&month=03&date=16
A,清水,L,0,3,0.494,1.549,6,10,0,5,0,1,567,339,9,10,10,23,0,3,5,5,24,29,8,8,23,21,23,19,2,2,3,0,2,1,0,0,30,28,11,6,"109,454m","113,683m",140,129,107,123,5.6%,8.1%,60.3%,39.7%,https://www.football-lab.jp/shon/report/?year=2025&month=03&date=29
A,川崎Ｆ,L,0,2,0.689,2.645,5,16,0,8,0,1,445,456,11,17,8,19,0,3,3,9,30,27,11,14,25,11,25,26,1,6,2,0,2,1,0,0,41,35,6,18,"115,643m","116,902m",129,122,110,123,4.5%,13.0%,49.3%,50.7%,https://www.football-lab.jp/shon/report/?year=2025&month=04&date=02
H,名古屋,W,2,1,0.432,0.737,9,10,6,3,0,0,417,520,10,9,14,15,0,3,2,2,21,30,7,6,13,14,19,17,1,5,3,0,2,2,0,0,32,37,9,4,"119,774m","118,192m",153,137,119,122,7.6%,8.2%,47.3%,52.7%,https://www.football-lab.jp/shon/report/?year=2025&month=04&date=06
A,京都,L,0,2,1.135,1.626,12,13,5,5,0,0,473,413,7,22,13,8,1,5,4,4,27,35,9,11,22,19,24,14,3,4,4,1,0,1,0,0,33,40,12,19,"115,910m","121,606m",159,175,134,133,9.0%,9.8%,52.8%,47.2%,https://www.football-lab.jp/shon/report/?year=2025&month=04&date=12
H,柏,L,0,1,0.917,1.102,18,13,4,4,0,0,470,468,14,12,12,6,1,2,13,5,23,23,15,12,30,18,15,25,1,2,2,1,1,1,0,0,35,38,5,16,"122,811m","121,888m",161,169,112,102,16.1%,12.7%,51.7%,48.3%,https://www.football-lab.jp/shon/report/?year=2025&month=04&date=20
A,町田,W,1,0,0.985,0.915,10,10,2,4,0,0,494,326,10,18,9,7,1,4,1,4,22,27,7,10,18,18,30,14,2,2,4,1,1,2,0,0,36,41,14,16,"119,934m","118,444m",163,122,129,129,7.8%,7.8%,59.4%,40.6%,https://www.football-lab.jp/shon/report/?year=2025&month=04&date=25
H,福岡,D,0,0,0.616,1.28,8,20,2,3,0,0,496,485,13,15,9,6,0,3,1,4,24,18,11,7,15,15,21,19,3,0,3,0,0,0,0,0,45,32,15,10,"119,409m","117,110m",118,99,113,108,7.1%,18.5%,50.1%,49.9%,https://www.football-lab.jp/shon/report/?year=2025&month=04&date=29
A,Ｇ大阪,L,0,4,1.957,1.951,17,14,5,6,0,0,665,344,19,7,11,10,1,1,5,2,22,12,14,9,18,21,11,29,2,3,1,1,1,2,0,0,56,25,15,14,"117,692m","118,709m",127,117,119,99,14.3%,14.1%,61.7%,38.3%,https://www.football-lab.jp/shon/report/?year=2025&month=05&date=03
