HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,ka-f_ゴール期待値,Opponent_ゴール期待値,ka-f_シュート,Opponent_シュート,ka-f_枠内シュート,Opponent_枠内シュート,ka-f_PKによるシュート,Opponent_PKによるシュート,ka-f_パス,Opponent_パス,ka-f_クロス,Opponent_クロス,ka-f_直接ＦＫ,Opponent_直接ＦＫ,ka-f_間接ＦＫ,Opponent_間接ＦＫ,ka-f_ＣＫ,Opponent_ＣＫ,ka-f_スローイン,Opponent_スローイン,ka-f_ドリブル,Opponent_ドリブル,ka-f_タックル,Opponent_タックル,ka-f_クリア,Opponent_クリア,ka-f_インターセプト,Opponent_インターセプト,ka-f_オフサイド,Opponent_オフサイド,ka-f_警告,Opponent_警告,ka-f_退場,Opponent_退場,ka-f_３０ｍライン進入,Opponent_３０ｍライン進入,ka-f_ペナルティエリア進入,Opponent_ペナルティエリア進入,ka-f_総移動距離,Opponent_総移動距離,ka-f_スプリント,Opponent_スプリント,ka-f_攻撃回数,Opponent_攻撃回数,ka-f_チャンス構築率,Opponent_チャンス構築率,ka-f_ボール保持率,Opponent_ボール保持率,URL
H,FC東京,W,1,0,0.592,1.219,10,15,4,7,0,0,360,484,12,13,12,14,2,4,5,12,23,20,8,13,23,14,24,19,1,2,4,2,2,3,0,0,32,35,7,11,"105,280m","110,439m",173,193,119,132,8.4%,11.4%,43.8%,56.2%,https://www.football-lab.jp/ka-f/report/?year=2022&month=02&date=18
A,横浜FM,L,2,4,1.123,1.307,12,14,5,6,0,0,520,618,16,21,11,17,0,3,6,1,20,22,9,4,16,15,15,17,5,1,3,0,3,2,0,0,41,44,17,11,"116,699m","122,306m",225,224,115,111,10.4%,12.6%,45.9%,54.1%,https://www.football-lab.jp/ka-f/report/?year=2022&month=02&date=23
A,鹿島,W,2,0,1.37,0.688,13,9,4,3,0,0,495,599,6,17,16,11,2,3,2,7,34,30,6,11,20,28,31,21,4,4,2,2,0,0,0,0,38,38,17,8,"117,078m","120,159m",195,182,152,154,8.6%,5.8%,46.4%,53.6%,https://www.football-lab.jp/ka-f/report/?year=2022&month=02&date=26
H,浦和,W,2,1,0.771,1.748,9,11,3,3,0,0,517,452,12,18,8,15,0,2,2,9,28,26,7,7,14,30,24,22,2,3,2,0,4,1,0,0,41,32,12,6,"108,091m","108,894m",150,159,104,118,8.7%,9.3%,50.4%,49.6%,https://www.football-lab.jp/ka-f/report/?year=2022&month=03&date=02
A,Ｇ大阪,D,2,2,1.303,0.529,17,6,5,3,0,0,730,361,15,14,11,16,0,0,5,0,30,15,15,12,22,29,12,38,4,4,0,0,1,1,0,0,73,27,24,8,"112,417m","118,900m",123,144,132,121,12.9%,5.0%,60.4%,39.6%,https://www.football-lab.jp/ka-f/report/?year=2022&month=03&date=06
H,名古屋,W,1,0,0.684,1.27,9,12,1,2,0,0,630,394,4,12,13,17,1,1,3,11,24,29,9,13,23,26,33,8,6,3,1,1,1,1,0,0,45,23,12,8,"113,540m","116,719m",201,196,125,139,7.2%,8.6%,57.4%,42.6%,https://www.football-lab.jp/ka-f/report/?year=2022&month=03&date=12
A,広島,W,2,0,1.113,1.156,8,14,3,3,0,0,548,512,6,20,13,10,2,2,6,4,26,33,10,21,32,23,30,17,3,1,2,2,1,0,0,0,35,59,10,8,"118,281m","118,105m",194,236,130,133,6.2%,10.5%,51.4%,48.6%,https://www.football-lab.jp/ka-f/report/?year=2022&month=03&date=19
H,Ｃ大阪,L,1,4,1.176,2.376,17,21,3,8,0,0,769,312,18,16,4,6,1,1,6,4,32,31,10,4,30,21,19,23,0,4,1,1,0,0,0,0,65,36,24,13,"116,172m","120,653m",190,204,143,141,11.9%,14.9%,64.5%,35.5%,https://www.football-lab.jp/ka-f/report/?year=2022&month=04&date=02
A,磐田,D,1,1,2.267,0.963,22,8,8,4,0,0,609,405,18,11,13,6,1,3,6,2,26,29,11,5,24,17,19,27,3,3,3,1,0,2,0,0,56,23,19,9,"114,056m","117,326m",194,172,124,123,17.7%,6.5%,56.3%,43.7%,https://www.football-lab.jp/ka-f/report/?year=2022&month=04&date=06
H,柏,W,1,0,0.655,0.348,8,4,4,0,0,0,519,376,6,4,12,13,1,6,10,1,30,32,6,8,15,22,12,27,5,4,6,1,5,2,0,0,33,23,10,2,"112,004m","112,215m",193,175,133,123,6.0%,3.3%,54.6%,45.4%,https://www.football-lab.jp/ka-f/report/?year=2022&month=04&date=09
A,清水,W,2,0,0.757,1.165,10,9,3,1,0,0,691,411,5,12,10,8,1,1,3,6,21,26,9,10,23,17,15,15,1,2,1,1,1,0,0,0,53,35,13,14,"110,453m","114,905m",167,130,107,110,9.3%,8.2%,59.2%,40.8%,https://www.football-lab.jp/ka-f/report/?year=2022&month=05&date=07
H,福岡,W,2,0,0.712,0.701,8,5,4,1,0,0,785,289,10,16,10,9,0,1,3,4,23,14,6,11,18,19,22,12,3,1,1,0,0,0,0,0,46,32,10,6,"103,552m","104,810m",136,163,109,100,7.3%,5.0%,68.7%,31.3%,https://www.football-lab.jp/ka-f/report/?year=2022&month=05&date=14
A,神戸,W,1,0,1.115,0.964,14,11,5,2,0,0,756,434,11,7,5,9,0,3,4,5,21,15,4,7,14,16,17,14,1,4,3,0,0,0,0,0,87,30,11,9,"107,293m","112,248m",138,130,95,100,14.7%,11.0%,60.1%,39.9%,https://www.football-lab.jp/ka-f/report/?year=2022&month=05&date=18
A,鳥栖,D,0,0,1.161,0.857,15,10,4,0,0,0,423,530,15,17,16,10,3,2,5,2,14,14,9,10,24,26,16,17,1,1,2,3,0,2,1,0,39,36,18,10,"110,391m","120,795m",185,229,117,108,12.8%,9.3%,46.9%,53.1%,https://www.football-lab.jp/ka-f/report/?year=2022&month=05&date=21
H,湘南,L,0,4,0.747,1.695,14,17,4,8,0,0,496,443,8,13,9,5,2,3,4,7,23,30,5,4,19,15,19,11,6,2,3,2,2,3,0,0,30,45,9,10,"109,667m","117,295m",168,192,115,118,12.2%,14.4%,54.1%,45.9%,https://www.football-lab.jp/ka-f/report/?year=2022&month=05&date=25
A,京都,L,0,1,0.993,0.712,11,7,1,0,0,0,495,307,17,9,12,8,1,6,1,6,26,16,13,7,22,19,16,16,5,1,6,1,1,3,0,0,41,15,22,5,"101,962m","110,701m",127,173,110,102,10.0%,6.9%,56.7%,43.3%,https://www.football-lab.jp/ka-f/report/?year=2022&month=05&date=29
H,札幌,W,5,2,2.353,1.102,17,9,9,3,0,0,606,382,8,9,12,9,4,2,6,4,26,24,14,7,10,16,18,19,5,0,2,4,0,4,0,0,44,20,12,3,"106,613m","108,587m",160,149,113,107,15.0%,8.4%,61.4%,38.6%,https://www.football-lab.jp/ka-f/report/?year=2022&month=06&date=18
H,磐田,D,1,1,0.747,0.543,10,8,3,2,0,0,776,460,12,15,9,6,1,0,5,2,13,15,13,6,19,14,16,22,4,1,0,1,2,2,0,0,67,46,12,7,"105,440m","110,149m",136,134,99,99,10.1%,8.1%,61.1%,38.9%,https://www.football-lab.jp/ka-f/report/?year=2022&month=06&date=25
A,Ｃ大阪,L,1,2,1.601,1.341,12,12,7,4,0,0,609,317,11,14,8,9,2,1,4,6,24,20,10,8,15,17,29,21,2,3,1,2,1,1,0,0,51,23,14,8,"102,115m","107,281m",139,138,108,107,11.1%,11.2%,59.4%,40.6%,https://www.football-lab.jp/ka-f/report/?year=2022&month=07&date=02
H,Ｇ大阪,W,4,0,2.801,0.067,24,2,10,0,0,0,750,252,27,5,5,8,0,3,10,1,17,21,6,5,15,14,13,16,3,2,3,0,1,3,0,1,80,8,25,4,"102,824m","98,410m",157,131,104,107,23.1%,1.9%,69.7%,30.3%,https://www.football-lab.jp/ka-f/report/?year=2022&month=07&date=09
A,浦和,L,1,3,2.231,1.052,15,8,5,7,1,0,659,345,19,8,10,5,0,2,5,5,16,25,10,13,17,9,18,15,0,1,2,0,1,2,0,0,66,23,18,11,"99,786m","106,894m",112,132,99,110,15.2%,7.3%,61.2%,38.8%,https://www.football-lab.jp/ka-f/report/?year=2022&month=07&date=30
H,横浜FM,W,2,1,1.622,0.94,13,10,4,2,0,0,409,414,13,17,16,11,3,1,4,3,27,33,6,6,20,9,16,14,4,0,1,3,1,1,0,0,32,37,6,8,"105,118m","109,332m",141,129,112,106,11.6%,9.4%,51.6%,48.4%,https://www.football-lab.jp/ka-f/report/?year=2022&month=08&date=07
