HOME/AWAY,Opponent,勝敗,shim_得点,shim_失点,shim_ゴール期待値,Opponent_ゴール期待値,shim_シュート,Opponent_シュート,shim_枠内シュート,Opponent_枠内シュート,shim_PKによるシュート,Opponent_PKによるシュート,shim_パス,Opponent_パス,shim_クロス,Opponent_クロス,shim_直接ＦＫ,Opponent_直接ＦＫ,shim_間接ＦＫ,Opponent_間接ＦＫ,shim_ＣＫ,Opponent_ＣＫ,shim_スローイン,Opponent_スローイン,shim_ドリブル,Opponent_ドリブル,shim_タックル,Opponent_タックル,shim_クリア,Opponent_クリア,shim_インターセプト,Opponent_インターセプト,shim_オフサイド,Opponent_オフサイド,shim_警告,Opponent_警告,shim_退場,Opponent_退場,shim_３０ｍライン進入,Opponent_３０ｍライン進入,shim_ペナルティエリア進入,Opponent_ペナルティエリア進入,shim_総移動距離,Opponent_総移動距離,shim_スプリント,Opponent_スプリント,shim_攻撃回数,Opponent_攻撃回数,shim_チャンス構築率,Opponent_チャンス構築率,shim_ボール保持率,Opponent_ボール保持率,URL
H,札幌,D,1,1,0.882,2.203,8,17,4,3,0,1,402,594,10,19,13,7,2,1,3,5,18,26,8,15,20,18,23,16,6,8,1,2,0,0,0,0,30,51,14,21,"118,149m","113,995m",217,174,116,122,6.9%,13.9%,42.5%,57.5%,https://www.football-lab.jp/shim/report/?year=2022&month=02&date=19
A,磐田,W,2,1,1.37,0.412,21,8,7,4,0,0,477,566,6,11,9,10,0,0,4,0,11,31,14,9,23,19,19,11,5,1,0,0,0,3,0,2,47,41,13,10,"118,420m","112,307m",207,174,114,130,18.4%,6.2%,48%,52%,https://www.football-lab.jp/shim/report/?year=2022&month=02&date=26
A,横浜FM,L,0,2,0.61,1.298,6,17,1,8,0,0,404,654,9,14,8,11,2,2,3,9,25,23,11,11,20,31,13,15,1,3,2,2,0,0,0,0,25,51,6,14,"122,318m","126,209m",221,223,122,128,4.9%,13.3%,43.4%,56.6%,https://www.football-lab.jp/shim/report/?year=2022&month=03&date=06
H,Ｃ大阪,L,1,3,0.95,0.986,12,10,6,2,0,0,480,457,6,11,8,14,2,2,3,3,21,27,14,5,16,19,19,11,2,3,2,2,1,1,0,0,32,47,12,9,"117,002m","117,515m",202,151,119,122,10.1%,8.2%,50%,50%,https://www.football-lab.jp/shim/report/?year=2022&month=03&date=12
H,神戸,D,0,0,0.982,1.464,12,19,3,5,0,0,283,661,9,17,5,12,3,0,5,9,22,25,8,7,15,17,25,11,1,0,0,3,0,0,0,0,21,40,5,13,"116,727m","115,185m",199,155,114,114,10.5%,16.7%,34.9%,65.1%,https://www.football-lab.jp/shim/report/?year=2022&month=03&date=19
A,鹿島,L,1,2,0.585,1.45,9,21,2,7,0,0,291,450,7,30,13,12,1,0,3,9,18,42,4,16,24,24,40,15,1,1,0,1,1,2,0,1,26,59,6,19,"116,685m","121,647m",178,219,116,145,7.8%,14.5%,45%,55%,https://www.football-lab.jp/shim/report/?year=2022&month=04&date=02
A,浦和,D,1,1,1.36,2.101,17,14,4,3,0,1,456,493,25,11,10,10,0,0,8,3,25,17,12,6,15,30,19,22,2,0,0,0,1,2,0,1,65,23,16,13,"111,629m","105,247m",179,153,108,104,15.7%,13.5%,46.1%,53.9%,https://www.football-lab.jp/shim/report/?year=2022&month=04&date=06
H,Ｇ大阪,D,1,1,1.623,1.32,19,17,4,6,0,0,475,478,20,16,9,14,1,1,5,1,16,26,13,8,10,19,16,17,0,0,1,1,0,0,0,0,38,40,17,14,"117,384m","115,593m",179,156,109,115,17.4%,14.8%,51.9%,48.1%,https://www.football-lab.jp/shim/report/?year=2022&month=04&date=10
A,鳥栖,D,0,0,0.723,0.844,7,13,3,2,0,0,391,537,4,14,6,7,2,1,2,5,27,22,7,13,14,24,26,11,3,1,1,2,0,0,0,0,22,42,7,10,"116,302m","123,071m",201,239,115,115,6.1%,11.3%,43.5%,56.5%,https://www.football-lab.jp/shim/report/?year=2022&month=04&date=17
H,広島,D,2,2,1.55,2.917,14,23,5,6,0,0,414,667,10,27,7,10,2,1,2,7,17,36,9,16,21,20,27,11,4,3,1,2,2,0,0,0,38,61,5,22,"125,891m","120,371m",215,222,125,150,11.2%,15.3%,42.9%,57.1%,https://www.football-lab.jp/shim/report/?year=2022&month=04&date=29
