HOME/AWAY,Opponent,勝敗,kasw_得点,kasw_失点,Opponent_ゴール期待値,kasw_ゴール期待値,Opponent_シュート,kasw_シュート,Opponent_枠内シュート,kasw_枠内シュート,Opponent_PKによるシュート,kasw_PKによるシュート,Opponent_パス,kasw_パス,Opponent_クロス,kasw_クロス,Opponent_直接ＦＫ,kasw_直接ＦＫ,Opponent_間接ＦＫ,kasw_間接ＦＫ,Opponent_ＣＫ,kasw_ＣＫ,Opponent_スローイン,kasw_スローイン,Opponent_ドリブル,kasw_ドリブル,Opponent_タックル,kasw_タックル,Opponent_クリア,kasw_クリア,Opponent_インターセプト,kasw_インターセプト,Opponent_オフサイド,kasw_オフサイド,Opponent_警告,kasw_警告,Opponent_退場,kasw_退場,Opponent_３０ｍライン進入,kasw_３０ｍライン進入,Opponent_ペナルティエリア進入,kasw_ペナルティエリア進入,Opponent_総移動距離,kasw_総移動距離,Opponent_スプリント,kasw_スプリント,Opponent_攻撃回数,kasw_攻撃回数,Opponent_チャンス構築率,kasw_チャンス構築率,Opponent_ボール保持率,kasw_ボール保持率,URL
A,湘南,W,2,0,0.691,2.371,10,15,1,8,0,1,400,572,11,14,9,10,1,2,2,0,32,22,10,13,21,29,23,21,1,0,2,1,3,1,1,0,28,53,6,11,"114,260m","114,039m",169,204,131,117,7.6%,12.8%,42.8%,57.2%,https://www.football-lab.jp/kasw/report/?year=2022&month=02&date=19
H,横浜FM,W,3,1,0.942,1.838,6,16,2,8,0,0,560,370,10,13,13,11,4,3,2,5,18,20,9,10,16,24,20,12,0,4,3,4,2,0,2,0,25,33,6,18,"113,647m","117,747m",208,209,121,125,5.0%,12.8%,54.8%,45.2%,https://www.football-lab.jp/kasw/report/?year=2022&month=02&date=27
A,鹿島,L,0,1,0.887,0.886,12,10,2,4,0,0,420,418,21,15,13,9,1,1,7,4,32,30,17,12,17,27,27,25,1,1,1,1,2,3,0,0,32,34,9,11,"120,363m","115,436m",221,199,151,142,7.9%,7.0%,50%,50%,https://www.football-lab.jp/kasw/report/?year=2022&month=03&date=06
H,福岡,W,1,0,2.428,0.491,19,6,3,5,0,0,571,449,33,13,9,13,1,1,3,1,39,17,10,4,21,20,14,47,3,2,1,1,0,0,0,0,52,29,24,9,"119,086m","117,576m",234,204,143,127,13.3%,4.7%,53.5%,46.5%,https://www.football-lab.jp/kasw/report/?year=2022&month=03&date=12
A,名古屋,D,1,1,1.248,1.479,12,14,5,6,0,0,439,451,15,10,12,8,1,2,6,8,31,31,16,12,27,17,18,26,1,4,2,1,2,3,0,0,28,36,7,12,"121,170m","116,902m",224,213,124,124,9.7%,11.3%,48.3%,51.7%,https://www.football-lab.jp/kasw/report/?year=2022&month=03&date=20
H,磐田,W,2,0,0.488,1.391,7,15,2,5,0,0,594,584,13,17,7,8,0,1,2,8,19,18,9,18,32,25,28,17,3,5,1,0,1,2,0,0,27,51,13,15,"119,828m","120,071m",187,215,127,129,5.5%,11.6%,47.5%,52.5%,https://www.football-lab.jp/kasw/report/?year=2022&month=04&date=02
A,Ｃ大阪,W,1,0,0.809,1.712,10,11,1,4,0,0,535,452,14,10,12,13,0,4,8,1,33,9,7,10,13,13,10,36,0,2,4,0,3,1,0,0,37,30,11,7,"120,076m","120,307m",238,225,135,111,7.4%,9.9%,52.1%,47.9%,https://www.football-lab.jp/kasw/report/?year=2022&month=04&date=05
A,川崎Ｆ,L,0,1,0.655,0.348,8,4,4,0,0,0,519,376,6,4,12,13,1,6,10,1,30,32,6,8,15,22,12,27,5,4,6,1,5,2,0,0,33,23,10,2,"112,004m","112,215m",193,175,133,123,6.0%,3.3%,54.6%,45.4%,https://www.football-lab.jp/kasw/report/?year=2022&month=04&date=09
H,京都,L,0,2,1.454,0.785,10,12,3,1,0,0,323,583,8,14,11,9,5,1,6,3,20,39,12,15,27,18,32,13,2,2,1,5,2,1,0,0,30,50,11,9,"123,719m","118,938m",239,203,120,135,8.3%,8.9%,40.6%,59.4%,https://www.football-lab.jp/kasw/report/?year=2022&month=04&date=17
H,鳥栖,L,1,4,1.704,1.357,14,15,5,5,0,0,448,429,12,12,15,14,0,0,7,4,36,35,9,17,18,19,28,24,1,1,0,0,2,0,0,0,30,29,8,8,"128,020m","118,333m",262,211,140,136,10.0%,11.0%,49.8%,50.2%,https://www.football-lab.jp/kasw/report/?year=2022&month=04&date=29
A,広島,W,2,1,0.894,1.618,11,14,7,5,0,0,497,354,19,14,12,7,0,4,8,5,23,23,17,11,25,10,15,36,0,0,4,0,0,1,0,0,47,30,17,9,"109,389m","111,240m",213,213,122,111,9.0%,12.6%,53.8%,46.2%,https://www.football-lab.jp/kasw/report/?year=2022&month=05&date=03
H,浦和,D,0,0,0.669,0.627,10,9,2,3,0,0,663,327,10,12,18,5,0,4,1,1,24,21,12,10,22,22,10,19,5,1,4,0,1,4,0,0,25,39,8,11,"107,654m","111,747m",164,167,126,103,7.9%,8.7%,64.4%,35.6%,https://www.football-lab.jp/kasw/report/?year=2022&month=05&date=08
H,Ｇ大阪,L,0,1,0.829,1.796,7,20,3,2,0,0,469,503,10,18,9,7,3,2,3,6,16,30,10,8,8,7,32,15,0,1,2,3,1,0,0,0,22,47,3,17,"118,775m","116,190m",195,207,111,107,6.3%,18.7%,52.7%,47.3%,https://www.football-lab.jp/kasw/report/?year=2022&month=05&date=14
A,FC東京,D,0,0,0.515,1.191,8,8,2,1,0,0,582,363,9,22,16,7,0,3,5,6,33,13,8,9,15,18,12,29,1,2,3,0,0,2,0,0,29,38,4,12,"113,246m","115,781m",202,195,118,98,6.8%,8.2%,58.5%,41.5%,https://www.football-lab.jp/kasw/report/?year=2022&month=05&date=21
A,札幌,W,6,1,0.775,3.194,14,21,4,10,0,1,620,446,9,13,13,8,2,1,4,3,22,3,20,6,13,18,12,30,3,1,1,2,2,2,1,0,41,57,13,23,"116,539m","124,517m",202,215,118,99,11.9%,21.2%,57.1%,42.9%,https://www.football-lab.jp/kasw/report/?year=2022&month=05&date=25
H,清水,W,3,1,1.347,1.337,16,13,6,5,0,0,491,499,12,12,6,7,1,2,4,3,26,24,8,14,11,13,15,19,1,1,2,1,1,0,0,0,30,40,12,20,"120,842m","120,501m",166,181,104,110,15.4%,11.8%,48.7%,51.3%,https://www.football-lab.jp/kasw/report/?year=2022&month=05&date=29
H,神戸,W,3,1,1.119,1.408,10,11,3,4,0,1,623,389,9,15,9,7,1,4,5,6,15,22,10,10,11,18,15,13,3,3,4,1,1,2,0,0,39,43,7,12,"115,008m","115,886m",150,170,114,113,8.8%,9.7%,59.4%,40.6%,https://www.football-lab.jp/kasw/report/?year=2022&month=06&date=18
A,横浜FM,L,0,4,1.415,0.302,12,4,6,2,0,0,633,294,10,7,17,14,3,3,5,6,23,17,10,7,12,17,11,14,3,2,3,2,1,3,0,0,32,13,12,5,"108,648m","104,631m",160,151,121,117,9.9%,3.4%,62.4%,37.6%,https://www.football-lab.jp/kasw/report/?year=2022&month=06&date=25
H,鹿島,L,1,2,1.48,1.609,8,16,3,4,1,0,371,385,10,18,12,9,1,4,1,6,18,37,5,11,23,11,36,12,2,1,4,1,1,1,0,0,22,34,7,15,"110,200m","107,455m",181,152,109,123,7.3%,13.0%,50.9%,49.1%,https://www.football-lab.jp/kasw/report/?year=2022&month=07&date=02
H,名古屋,L,0,1,0.746,1.118,9,17,3,4,0,0,417,464,6,12,17,13,2,0,3,6,23,28,18,9,22,19,19,15,2,1,0,1,3,1,0,0,16,41,8,13,"116,392m","113,389m",199,194,122,122,7.4%,13.9%,49.2%,50.8%,https://www.football-lab.jp/kasw/report/?year=2022&month=07&date=06
