HOME/AWAY,Opponent,勝敗,shon_得点,shon_失点,shon_ゴール期待値,Opponent_ゴール期待値,shon_シュート,Opponent_シュート,shon_枠内シュート,Opponent_枠内シュート,shon_PKによるシュート,Opponent_PKによるシュート,shon_パス,Opponent_パス,shon_クロス,Opponent_クロス,shon_直接ＦＫ,Opponent_直接ＦＫ,shon_間接ＦＫ,Opponent_間接ＦＫ,shon_ＣＫ,Opponent_ＣＫ,shon_スローイン,Opponent_スローイン,shon_ドリブル,Opponent_ドリブル,shon_タックル,Opponent_タックル,shon_クリア,Opponent_クリア,shon_インターセプト,Opponent_インターセプト,shon_オフサイド,Opponent_オフサイド,shon_警告,Opponent_警告,shon_退場,Opponent_退場,shon_３０ｍライン進入,Opponent_３０ｍライン進入,shon_ペナルティエリア進入,Opponent_ペナルティエリア進入,shon_総移動距離,Opponent_総移動距離,shon_スプリント,Opponent_スプリント,shon_攻撃回数,Opponent_攻撃回数,shon_チャンス構築率,Opponent_チャンス構築率,shon_ボール保持率,Opponent_ボール保持率,URL
H,柏,L,0,2,0.691,2.371,10,15,1,8,0,1,400,572,11,14,9,10,1,2,2,0,32,22,10,13,21,29,23,21,1,0,2,1,3,1,1,0,28,53,6,11,"114,260m","114,039m",169,204,131,117,7.6%,12.8%,42.8%,57.2%,https://www.football-lab.jp/shon/report/?year=2022&month=02&date=19
A,鳥栖,D,1,1,0.822,1.183,10,10,2,1,0,0,438,579,16,13,16,12,0,1,5,4,24,18,6,4,25,13,14,25,7,2,1,0,1,0,0,0,34,39,13,7,"125,221m","126,584m",207,207,129,125,7.8%,8.0%,44.5%,55.5%,https://www.football-lab.jp/shon/report/?year=2022&month=02&date=26
A,浦和,L,0,2,0.458,0.981,7,13,0,4,0,0,561,471,8,17,3,18,2,0,1,6,31,22,6,14,21,18,14,8,3,3,0,2,1,0,0,0,43,27,8,17,"117,513m","112,904m",145,192,118,128,5.9%,10.2%,52.4%,47.6%,https://www.football-lab.jp/shon/report/?year=2022&month=03&date=06
H,京都,D,1,1,2.332,0.524,21,7,7,2,0,0,375,399,25,9,19,12,4,3,9,0,21,21,10,5,16,24,11,39,2,0,3,4,1,2,0,1,38,33,14,9,"118,458m","110,638m",235,187,129,109,16.3%,6.4%,49%,51%,https://www.football-lab.jp/shon/report/?year=2022&month=03&date=12
A,鹿島,L,1,2,0.582,1.308,8,13,1,5,0,0,293,455,11,24,12,16,3,3,7,4,31,32,10,20,26,37,24,25,2,2,3,3,1,1,0,0,30,52,11,4,"118,609m","119,817m",216,241,149,152,5.4%,8.6%,42%,58%,https://www.football-lab.jp/shon/report/?year=2022&month=03&date=19
H,広島,L,0,1,0.778,0.872,9,15,1,7,0,0,447,536,9,10,12,15,2,0,3,1,17,28,6,12,27,28,6,18,1,4,0,2,0,0,0,0,33,46,8,8,"117,507m","110,105m",213,207,132,140,6.8%,10.7%,44%,56%,https://www.football-lab.jp/shon/report/?year=2022&month=04&date=02
A,名古屋,L,1,2,0.794,2.12,9,15,3,5,0,1,338,500,10,18,10,15,2,1,7,7,22,31,10,11,18,17,25,30,3,5,1,2,0,3,1,0,29,39,3,12,"120,411m","119,373m",227,216,115,130,7.8%,11.5%,42.3%,57.7%,https://www.football-lab.jp/shon/report/?year=2022&month=04&date=06
H,磐田,D,0,0,0.656,0.762,13,10,4,0,0,0,431,445,19,13,10,17,2,2,4,1,25,24,9,9,13,14,12,26,0,2,2,2,3,1,0,0,41,25,12,8,"119,405m","115,124m",164,137,118,124,11.0%,8.1%,46.7%,53.3%,https://www.football-lab.jp/shon/report/?year=2022&month=04&date=10
A,Ｇ大阪,W,1,0,0.78,0.699,11,9,4,2,0,0,465,502,18,11,11,12,3,1,6,2,22,21,12,4,11,17,18,21,0,0,1,3,1,0,0,0,39,44,14,11,"119,095m","118,255m",157,144,116,116,9.5%,7.8%,47.1%,52.9%,https://www.football-lab.jp/shon/report/?year=2022&month=04&date=17
A,札幌,L,0,1,0.855,1.3,11,14,4,4,0,0,469,476,17,11,10,11,1,2,7,7,29,16,12,14,24,18,14,35,0,4,2,1,0,2,0,0,32,39,12,11,"116,247m","110,913m",175,151,135,124,8.1%,11.3%,47.9%,52.1%,https://www.football-lab.jp/shon/report/?year=2022&month=04&date=29
H,清水,L,1,4,2.045,2.585,20,16,7,10,0,0,525,369,23,7,15,10,3,2,6,5,31,18,10,13,18,19,7,25,0,3,2,3,1,1,0,0,49,31,20,8,"117,736m","118,521m",182,204,142,131,14.1%,12.2%,52.5%,47.5%,https://www.football-lab.jp/shon/report/?year=2022&month=05&date=03
A,福岡,D,0,0,0.35,0.949,5,7,2,1,0,0,351,413,11,20,17,19,2,5,3,5,24,21,10,12,15,25,20,16,1,5,5,2,4,2,1,0,29,34,4,11,"105,613m","106,744m",185,201,120,123,4.2%,5.7%,47.3%,52.7%,https://www.football-lab.jp/shon/report/?year=2022&month=05&date=07
H,横浜FM,L,1,4,1.614,2.214,22,16,8,9,0,0,423,698,29,11,8,10,3,4,6,4,15,11,15,11,22,13,17,23,5,2,4,2,0,2,0,0,44,32,26,15,"128,391m","123,479m",249,206,120,110,18.3%,14.5%,40.2%,59.8%,https://www.football-lab.jp/shon/report/?year=2022&month=05&date=14
H,神戸,W,2,1,1.034,1.066,12,11,4,3,0,0,355,614,11,6,8,15,1,1,4,3,21,35,11,9,15,5,21,21,1,3,1,1,0,1,0,0,33,29,14,11,"118,783m","114,025m",161,145,106,120,11.3%,9.2%,36.4%,63.6%,https://www.football-lab.jp/shon/report/?year=2022&month=05&date=21
A,川崎Ｆ,W,4,0,1.695,0.747,17,14,8,4,0,0,443,496,13,8,5,9,3,2,7,4,30,23,4,5,15,19,11,19,2,6,2,3,3,2,0,0,45,30,10,9,"117,295m","109,667m",192,168,118,115,14.4%,12.2%,45.9%,54.1%,https://www.football-lab.jp/shon/report/?year=2022&month=05&date=25
H,Ｃ大阪,L,0,2,1.413,0.931,18,9,3,3,0,0,468,414,25,5,8,7,1,3,10,1,25,14,18,8,15,17,11,37,0,3,3,1,0,1,0,0,51,20,17,6,"120,562m","115,027m",178,149,128,115,14.1%,7.8%,48.8%,51.2%,https://www.football-lab.jp/shon/report/?year=2022&month=05&date=29
