HOME/AWAY,Opponent,勝敗,shon_得点,shon_失点,shon_ゴール期待値,Opponent_ゴール期待値,shon_シュート,Opponent_シュート,shon_枠内シュート,Opponent_枠内シュート,shon_PKによるシュート,Opponent_PKによるシュート,shon_パス,Opponent_パス,shon_クロス,Opponent_クロス,shon_直接ＦＫ,Opponent_直接ＦＫ,shon_間接ＦＫ,Opponent_間接ＦＫ,shon_ＣＫ,Opponent_ＣＫ,shon_スローイン,Opponent_スローイン,shon_ドリブル,Opponent_ドリブル,shon_タックル,Opponent_タックル,shon_クリア,Opponent_クリア,shon_インターセプト,Opponent_インターセプト,shon_オフサイド,Opponent_オフサイド,shon_警告,Opponent_警告,shon_退場,Opponent_退場,shon_３０ｍライン進入,Opponent_３０ｍライン進入,shon_ペナルティエリア進入,Opponent_ペナルティエリア進入,shon_総移動距離,Opponent_総移動距離,shon_スプリント,Opponent_スプリント,shon_攻撃回数,Opponent_攻撃回数,shon_チャンス構築率,Opponent_チャンス構築率,shon_ボール保持率,Opponent_ボール保持率,URL
H,FC東京,W,2,0,0.837,1.13,13,8,8,3,0,0,314,588,12,17,11,14,1,3,2,3,13,30,10,26,33,20,20,16,2,0,3,1,2,0,0,0,34,44,15,13,"116,593m","107,318m",229,186,121,137,10.7%,5.8%,39.3%,60.7%,https://www.football-lab.jp/shon/report/?year=2022&month=06&date=18
A,京都,W,1,0,1.345,0.535,13,7,4,3,0,0,281,321,12,8,14,15,2,2,4,3,23,24,8,7,17,20,17,19,2,0,1,2,1,3,0,0,37,26,12,7,"104,833m","105,341m",162,178,114,117,11.4%,6.0%,47.4%,52.6%,https://www.football-lab.jp/shon/report/?year=2022&month=06&date=26
H,名古屋,D,0,0,1.005,0.48,12,10,3,3,0,0,460,421,15,8,8,8,1,3,7,2,24,17,8,10,14,17,14,38,3,0,3,1,0,0,0,0,41,22,10,6,"111,904m","110,616m",208,172,108,103,11.1%,9.7%,50.2%,49.8%,https://www.football-lab.jp/shon/report/?year=2022&month=07&date=02
H,Ｇ大阪,W,1,0,0.979,0.716,15,10,4,2,0,0,289,535,12,7,10,12,2,1,1,3,15,25,8,8,18,14,22,11,3,1,0,2,3,0,1,0,33,33,12,9,"111,755m","111,818m",206,160,99,121,15.2%,8.3%,37.7%,62.3%,https://www.football-lab.jp/shon/report/?year=2022&month=07&date=06
A,広島,D,1,1,0.729,2.053,10,15,6,5,0,0,274,514,4,18,11,12,3,1,5,5,22,26,5,18,19,10,17,23,3,2,1,3,0,1,0,0,21,40,7,12,"108,212m","105,457m",189,164,111,107,9.0%,14.0%,41.8%,58.2%,https://www.football-lab.jp/shon/report/?year=2022&month=07&date=10
H,福岡,D,0,0,0.407,0.571,6,7,0,0,0,0,365,306,14,12,13,16,2,1,4,4,25,19,6,10,20,22,12,22,3,2,1,2,2,1,0,0,24,29,6,5,"98,211m","93,852m",149,141,105,102,5.7%,6.9%,52.8%,47.2%,https://www.football-lab.jp/shon/report/?year=2022&month=07&date=16
A,磐田,L,0,1,1.259,1.793,10,11,2,3,0,0,397,421,15,10,15,10,3,2,3,6,27,23,7,10,22,13,17,26,2,3,2,3,1,2,0,0,32,35,9,11,"108,502m","107,005m",172,168,120,120,8.3%,9.2%,44.9%,55.1%,https://www.football-lab.jp/shon/report/?year=2022&month=07&date=30
H,札幌,L,1,5,0.928,1.082,14,8,4,6,0,0,439,521,11,8,10,16,2,0,2,1,22,14,8,6,10,19,7,24,3,2,0,2,1,0,0,0,37,28,10,7,"109,171m","105,452m",151,153,117,119,12.0%,6.7%,46.1%,53.9%,https://www.football-lab.jp/shon/report/?year=2022&month=08&date=07
H,鹿島,D,1,1,1.56,0.399,16,7,5,4,0,0,394,348,18,11,14,16,3,1,9,4,27,16,13,8,21,20,10,29,0,4,1,3,1,0,0,0,40,24,15,8,"112,461m","107,862m",171,150,139,128,11.5%,5.5%,51.2%,48.8%,https://www.football-lab.jp/shon/report/?year=2022&month=08&date=21
H,川崎Ｆ,W,2,1,1.747,1.322,12,12,2,3,1,0,352,703,17,11,7,5,1,2,1,4,16,24,6,13,24,16,25,17,1,3,2,1,0,0,0,0,40,43,13,11,"116,778m","104,348m",182,163,111,114,10.8%,10.5%,37.7%,62.3%,https://www.football-lab.jp/shon/report/?year=2022&month=09&date=03
A,横浜FM,L,0,3,1.058,2.682,13,20,2,6,0,1,311,555,12,27,8,14,3,2,3,9,20,21,5,14,15,8,32,19,1,1,2,3,0,1,0,0,22,52,10,20,"112,847m","115,092m",160,173,106,122,12.3%,16.4%,43.7%,56.3%,https://www.football-lab.jp/shon/report/?year=2022&month=09&date=07
A,清水,D,1,1,1.601,0.11,17,3,6,1,0,0,561,298,16,2,14,16,2,1,9,0,26,13,8,5,11,18,2,22,2,1,1,2,0,2,0,0,51,11,17,4,"116,304m","113,691m",158,153,121,104,14.0%,2.9%,60.4%,39.6%,https://www.football-lab.jp/shon/report/?year=2022&month=09&date=10
H,浦和,D,0,0,1.294,1.254,18,13,1,3,0,0,426,544,14,16,6,13,2,1,4,3,21,6,16,10,17,20,19,23,1,0,1,2,2,0,0,0,51,38,11,10,"119,844m","111,201m",190,181,106,98,17.0%,13.3%,42.9%,57.1%,https://www.football-lab.jp/shon/report/?year=2022&month=09&date=17
A,Ｃ大阪,D,1,1,0.318,1.555,7,11,3,3,0,1,416,478,8,25,9,12,3,0,5,5,24,25,5,17,18,10,20,13,1,5,0,3,0,1,0,0,25,39,3,11,"112,384m","107,305m",141,156,110,119,6.4%,9.2%,44.6%,55.4%,https://www.football-lab.jp/shon/report/?year=2022&month=10&date=01
A,FC東京,W,2,0,0.977,0.833,15,9,4,1,0,0,368,554,17,14,14,11,3,5,7,5,10,23,9,9,15,11,26,18,0,1,5,3,1,3,0,0,40,31,10,12,"119,928m","112,482m",205,205,107,121,14.0%,7.4%,42.3%,57.7%,https://www.football-lab.jp/shon/report/?year=2022&month=10&date=08
A,神戸,L,0,1,1.27,1.568,12,14,2,5,0,0,495,426,16,21,6,12,0,4,1,7,39,16,5,17,18,15,25,24,0,6,4,0,1,0,0,0,47,37,8,16,"115,681m","113,505m",173,206,129,122,9.3%,11.5%,53.1%,46.9%,https://www.football-lab.jp/shon/report/?year=2022&month=10&date=12
H,鳥栖,W,3,0,1.337,1.286,14,10,5,6,0,1,264,663,13,15,6,11,4,1,10,5,16,22,7,9,21,11,15,10,1,2,1,4,0,1,0,0,25,45,8,10,"119,284m","116,057m",213,194,102,107,13.7%,9.3%,32.4%,67.6%,https://www.football-lab.jp/shon/report/?year=2022&month=10&date=29
A,柏,W,2,1,0.643,1.295,9,13,4,6,0,0,366,519,8,16,14,10,2,3,11,1,26,24,11,4,12,16,12,24,1,2,3,2,1,2,0,0,30,44,7,10,"118,438m","111,580m",234,168,128,111,7.0%,11.7%,44.3%,55.7%,https://www.football-lab.jp/shon/report/?year=2022&month=11&date=05
