HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,y-fm_ゴール期待値,Opponent_ゴール期待値,y-fm_シュート,Opponent_シュート,y-fm_枠内シュート,Opponent_枠内シュート,y-fm_PKによるシュート,Opponent_PKによるシュート,y-fm_パス,Opponent_パス,y-fm_クロス,Opponent_クロス,y-fm_直接ＦＫ,Opponent_直接ＦＫ,y-fm_間接ＦＫ,Opponent_間接ＦＫ,y-fm_ＣＫ,Opponent_ＣＫ,y-fm_スローイン,Opponent_スローイン,y-fm_ドリブル,Opponent_ドリブル,y-fm_タックル,Opponent_タックル,y-fm_クリア,Opponent_クリア,y-fm_インターセプト,Opponent_インターセプト,y-fm_オフサイド,Opponent_オフサイド,y-fm_警告,Opponent_警告,y-fm_退場,Opponent_退場,y-fm_３０ｍライン進入,Opponent_３０ｍライン進入,y-fm_ペナルティエリア進入,Opponent_ペナルティエリア進入,y-fm_総移動距離,Opponent_総移動距離,y-fm_スプリント,Opponent_スプリント,y-fm_攻撃回数,Opponent_攻撃回数,y-fm_チャンス構築率,Opponent_チャンス構築率,y-fm_ボール保持率,Opponent_ボール保持率,URL
H,Ｃ大阪,D,2,2,3.204,0.892,26,11,9,2,1,0,748,301,22,8,14,10,4,0,6,6,23,18,14,9,27,30,17,25,4,3,1,4,0,3,0,0,71,24,31,5,"121,754m","120,379m",200,196,126,119,20.6%,9.2%,64.8%,35.2%,https://www.football-lab.jp/y-fm/report/?year=2022&month=02&date=19
H,川崎Ｆ,W,4,2,1.307,1.123,14,12,6,5,0,0,618,520,21,16,17,11,3,0,1,6,22,20,4,9,15,16,17,15,1,5,0,3,2,3,0,0,44,41,11,17,"122,306m","116,699m",224,225,111,115,12.6%,10.4%,54.1%,45.9%,https://www.football-lab.jp/y-fm/report/?year=2022&month=02&date=23
A,柏,L,1,3,0.942,1.838,6,16,2,8,0,0,560,370,10,13,13,11,4,3,2,5,18,20,9,10,16,24,20,12,0,4,3,4,2,0,2,0,25,33,6,18,"113,647m","117,747m",208,209,121,125,5.0%,12.8%,54.8%,45.2%,https://www.football-lab.jp/y-fm/report/?year=2022&month=02&date=27
H,神戸,W,2,0,2.412,2.595,22,25,8,5,0,0,465,526,20,19,13,12,2,0,7,10,24,34,13,12,18,21,31,10,3,0,0,2,1,0,0,0,40,41,22,18,"125,969m","121,233m",235,225,130,141,16.9%,17.7%,46.9%,53.1%,https://www.football-lab.jp/y-fm/report/?year=2022&month=03&date=02
H,清水,W,2,0,1.298,0.61,17,6,8,1,0,0,654,404,14,9,11,8,2,2,9,3,23,25,11,11,31,20,15,13,3,1,2,2,0,0,0,0,51,25,14,6,"126,209m","122,318m",223,221,128,122,13.3%,4.9%,56.6%,43.4%,https://www.football-lab.jp/y-fm/report/?year=2022&month=03&date=06
A,札幌,D,1,1,1.306,0.916,14,11,5,5,0,0,566,417,23,9,20,16,2,2,9,3,20,20,11,15,16,18,18,18,1,4,2,2,4,1,0,0,50,28,13,18,"116,272m","113,497m",199,218,114,110,12.3%,10.0%,53.3%,46.7%,https://www.football-lab.jp/y-fm/report/?year=2022&month=03&date=12
H,鳥栖,D,0,0,1.102,0.783,13,9,3,2,0,0,394,349,5,17,17,14,2,2,2,5,41,43,6,7,33,25,22,16,1,3,2,2,0,1,0,0,18,22,4,9,"123,591m","126,273m",181,184,170,167,7.6%,5.4%,51%,49%,https://www.football-lab.jp/y-fm/report/?year=2022&month=03&date=18
H,FC東京,W,2,1,1.83,0.728,14,8,6,2,0,0,718,363,20,12,17,12,4,0,7,3,22,23,7,7,18,28,10,20,3,4,0,4,0,3,0,1,57,27,17,11,"122,398m","115,310m",233,229,122,114,11.5%,7.0%,62.4%,37.6%,https://www.football-lab.jp/y-fm/report/?year=2022&month=04&date=02
A,広島,L,0,2,0.154,2.158,4,20,0,4,0,0,692,401,9,23,14,11,4,2,6,4,24,31,11,16,16,16,22,19,1,4,2,4,1,2,0,0,34,42,4,16,"119,650m","120,743m",176,226,135,131,3.0%,15.3%,60.4%,39.6%,https://www.football-lab.jp/y-fm/report/?year=2022&month=04&date=06
A,鹿島,W,3,0,2.727,1.053,25,12,3,5,0,0,663,263,34,13,13,10,5,1,7,4,40,24,22,10,17,31,22,36,1,6,1,5,0,0,0,0,63,21,23,4,"116,487m","116,820m",209,216,157,135,15.9%,8.9%,64.2%,35.8%,https://www.football-lab.jp/y-fm/report/?year=2022&month=04&date=10
