HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,Opponent_ゴール期待値,uraw_ゴール期待値,Opponent_シュート,uraw_シュート,Opponent_枠内シュート,uraw_枠内シュート,Opponent_PKによるシュート,uraw_PKによるシュート,Opponent_パス,uraw_パス,Opponent_クロス,uraw_クロス,Opponent_直接ＦＫ,uraw_直接ＦＫ,Opponent_間接ＦＫ,uraw_間接ＦＫ,Opponent_ＣＫ,uraw_ＣＫ,Opponent_スローイン,uraw_スローイン,Opponent_ドリブル,uraw_ドリブル,Opponent_タックル,uraw_タックル,Opponent_クリア,uraw_クリア,Opponent_インターセプト,uraw_インターセプト,Opponent_オフサイド,uraw_オフサイド,Opponent_警告,uraw_警告,Opponent_退場,uraw_退場,Opponent_３０ｍライン進入,uraw_３０ｍライン進入,Opponent_ペナルティエリア進入,uraw_ペナルティエリア進入,Opponent_総移動距離,uraw_総移動距離,Opponent_スプリント,uraw_スプリント,Opponent_攻撃回数,uraw_攻撃回数,Opponent_チャンス構築率,uraw_チャンス構築率,Opponent_ボール保持率,uraw_ボール保持率,URL
A,京都,L,0,1,0.876,1.629,9,15,2,6,0,0,408,507,13,20,8,12,0,0,3,4,22,34,10,16,33,30,30,14,2,1,0,0,0,0,0,0,32,45,11,16,"120,897m","113,405m",209,208,124,141,7.3%,10.6%,45%,55%,https://www.football-lab.jp/uraw/report/?year=2022&month=02&date=19
H,神戸,D,2,2,3.978,0.798,20,9,5,5,1,0,568,274,36,12,7,6,1,2,7,9,18,16,13,12,17,19,24,50,1,4,2,1,1,2,0,1,65,22,24,11,"116,116m","109,659m",157,175,110,112,18.2%,8.0%,60.1%,39.9%,https://www.football-lab.jp/uraw/report/?year=2022&month=02&date=23
H,Ｇ大阪,L,0,1,0.966,1.463,9,13,3,3,0,0,313,685,14,18,18,16,0,0,2,4,18,14,9,3,20,10,21,15,2,1,0,0,0,3,0,1,25,48,6,7,"118,800m","113,638m",163,186,122,125,7.4%,10.4%,33.6%,66.4%,https://www.football-lab.jp/uraw/report/?year=2022&month=02&date=26
A,川崎Ｆ,L,1,2,0.771,1.748,9,11,3,3,0,0,517,452,12,18,8,15,0,2,2,9,28,26,7,7,14,30,24,22,2,3,2,0,4,1,0,0,41,32,12,6,"108,091m","108,894m",150,159,104,118,8.7%,9.3%,50.4%,49.6%,https://www.football-lab.jp/uraw/report/?year=2022&month=03&date=02
H,湘南,W,2,0,0.458,0.981,7,13,0,4,0,0,561,471,8,17,3,18,2,0,1,6,31,22,6,14,21,18,14,8,3,3,0,2,1,0,0,0,43,27,8,17,"117,513m","112,904m",145,192,118,128,5.9%,10.2%,52.4%,47.6%,https://www.football-lab.jp/uraw/report/?year=2022&month=03&date=06
A,鳥栖,L,0,1,1.117,1.003,14,13,2,2,0,0,478,505,18,22,4,15,0,2,6,4,29,26,11,12,29,16,29,18,2,1,2,0,1,0,0,0,44,33,15,7,"126,039m","117,194m",235,193,134,131,10.4%,9.9%,47.9%,52.1%,https://www.football-lab.jp/uraw/report/?year=2022&month=03&date=13
H,磐田,W,4,1,1.065,3.076,11,20,3,13,0,1,537,598,12,14,6,7,1,1,4,3,25,23,10,9,33,32,20,23,2,1,1,1,1,0,0,0,38,38,9,18,"113,840m","115,631m",159,187,112,111,9.8%,18.0%,46.4%,53.6%,https://www.football-lab.jp/uraw/report/?year=2022&month=03&date=19
A,札幌,D,1,1,1.281,2.489,9,13,2,5,0,1,523,433,13,18,6,14,2,2,1,3,14,22,15,14,18,17,15,10,2,3,2,2,1,0,1,0,41,42,14,15,"113,857m","116,320m",194,213,98,114,9.2%,11.4%,53.5%,46.5%,https://www.football-lab.jp/uraw/report/?year=2022&month=04&date=02
H,清水,D,1,1,1.36,2.101,17,14,4,3,0,1,456,493,25,11,10,10,0,0,8,3,25,17,12,6,15,30,19,22,2,0,0,0,1,2,0,1,65,23,16,13,"111,629m","105,247m",179,153,108,104,15.7%,13.5%,46.1%,53.9%,https://www.football-lab.jp/uraw/report/?year=2022&month=04&date=06
A,FC東京,D,0,0,1.03,1.701,8,18,3,3,0,0,366,559,7,13,9,7,2,2,2,4,14,26,10,10,17,24,23,11,1,4,2,2,1,0,0,0,33,47,4,20,"109,151m","104,601m",168,158,107,118,7.5%,15.3%,39.5%,60.5%,https://www.football-lab.jp/uraw/report/?year=2022&month=04&date=10
A,柏,D,0,0,0.627,0.669,9,10,3,2,0,0,327,663,12,10,5,18,4,0,1,1,21,24,10,12,22,22,19,10,1,5,0,4,4,1,0,0,39,25,11,8,"111,747m","107,654m",167,164,103,126,8.7%,7.9%,35.6%,64.4%,https://www.football-lab.jp/uraw/report/?year=2022&month=05&date=08
H,広島,D,0,0,1.335,0.729,18,15,3,7,0,0,526,531,20,8,9,13,3,2,7,4,13,13,14,11,19,13,10,23,0,4,2,3,2,2,0,0,51,48,15,11,"115,470m","114,115m",174,172,104,100,17.3%,15.0%,48.2%,51.8%,https://www.football-lab.jp/uraw/report/?year=2022&month=05&date=13
H,横浜FM,D,3,3,1.423,1.218,13,11,7,3,0,0,716,450,18,9,17,12,2,1,3,3,13,17,13,14,18,11,13,19,4,2,1,2,2,0,0,0,60,32,17,13,"126,918m","122,090m",220,187,112,113,11.6%,9.7%,56.5%,43.5%,https://www.football-lab.jp/uraw/report/?year=2022&month=05&date=18
H,鹿島,D,1,1,0.937,1.606,15,10,6,3,0,1,340,469,22,11,10,14,0,0,9,4,29,29,16,18,18,15,19,24,1,0,0,0,0,0,0,0,35,42,10,12,"113,105m","108,141m",219,175,124,121,12.1%,8.3%,41.4%,58.6%,https://www.football-lab.jp/uraw/report/?year=2022&month=05&date=21
A,Ｃ大阪,L,0,2,1.342,1.166,10,11,4,2,1,0,306,504,8,24,7,7,2,1,6,9,26,28,7,17,15,16,24,14,1,1,1,2,1,0,0,0,29,53,8,13,"109,809m","107,840m",160,158,109,109,9.2%,10.1%,40.3%,59.7%,https://www.football-lab.jp/uraw/report/?year=2022&month=05&date=25
A,福岡,D,0,0,0.165,1.053,3,13,2,5,0,0,220,571,7,19,7,16,3,1,1,8,15,31,7,14,21,8,44,5,3,1,1,2,3,0,0,0,15,57,6,12,"106,934m","108,882m",163,186,100,129,3.0%,10.1%,32.7%,67.3%,https://www.football-lab.jp/uraw/report/?year=2022&month=05&date=28
H,名古屋,W,3,0,0.582,2.193,9,16,1,5,0,0,442,407,16,10,8,13,0,3,7,10,10,19,14,15,16,20,19,16,1,2,3,0,2,1,0,0,37,45,9,13,"111,499m","115,664m",196,228,104,109,8.7%,14.7%,49%,51%,https://www.football-lab.jp/uraw/report/?year=2022&month=06&date=18
A,神戸,W,1,0,0.475,1.158,7,14,0,3,0,0,422,414,5,14,11,14,1,4,1,6,24,28,9,13,14,15,26,12,0,0,4,1,2,1,0,0,31,36,6,7,"108,423m","108,036m",125,155,99,114,7.1%,12.3%,48.6%,51.4%,https://www.football-lab.jp/uraw/report/?year=2022&month=06&date=26
A,Ｇ大阪,D,1,1,0.874,2.308,15,16,4,4,0,1,422,393,11,16,9,11,0,2,5,9,19,11,15,18,15,21,18,18,4,2,2,0,3,2,0,0,43,34,16,11,"114,323m","108,099m",184,175,102,104,14.7%,15.4%,50.7%,49.3%,https://www.football-lab.jp/uraw/report/?year=2022&month=07&date=02
H,京都,D,2,2,0.56,3.447,8,20,2,5,0,2,470,378,16,21,8,8,0,0,4,6,9,24,10,18,16,8,21,15,3,3,0,0,2,0,0,0,43,34,7,18,"110,835m","107,497m",190,187,97,107,8.2%,18.7%,54.4%,45.6%,https://www.football-lab.jp/uraw/report/?year=2022&month=07&date=06
H,FC東京,W,3,0,0.577,1.516,9,18,5,5,0,0,456,437,10,22,4,7,2,1,6,8,15,25,18,22,16,15,22,11,0,5,1,2,0,1,0,0,24,39,6,20,"104,858m","106,721m",185,198,99,108,9.1%,16.7%,49.9%,50.1%,https://www.football-lab.jp/uraw/report/?year=2022&month=07&date=10
A,清水,W,2,1,1.041,1.372,14,10,6,6,0,0,522,406,19,21,5,7,2,0,6,6,22,18,7,10,7,13,23,28,0,1,0,2,1,0,0,0,37,47,7,11,"113,619m","109,491m",153,180,94,88,14.9%,11.4%,54%,46%,https://www.football-lab.jp/uraw/report/?year=2022&month=07&date=16
H,川崎Ｆ,W,3,1,2.231,1.052,15,8,5,7,1,0,659,345,19,8,10,5,0,2,5,5,16,25,10,13,17,9,18,15,0,1,2,0,1,2,0,0,66,23,18,11,"99,786m","106,894m",112,132,99,110,15.2%,7.3%,61.2%,38.8%,https://www.football-lab.jp/uraw/report/?year=2022&month=07&date=30
A,名古屋,L,0,3,2.18,0.512,9,10,4,0,0,0,307,571,12,17,10,11,1,3,0,4,21,17,14,19,17,22,22,9,2,3,3,1,2,0,0,0,24,60,12,11,"112,323m","104,876m",183,154,109,114,8.3%,8.8%,38.1%,61.9%,https://www.football-lab.jp/uraw/report/?year=2022&month=08&date=06
A,磐田,W,6,0,1.489,2.337,13,18,5,11,0,0,478,549,22,18,3,12,0,1,7,2,8,17,8,10,9,11,17,15,2,3,1,0,2,1,0,0,41,35,12,21,"108,827m","105,651m",133,149,86,88,15.1%,20.5%,44.6%,55.4%,https://www.football-lab.jp/uraw/report/?year=2022&month=08&date=13
A,鹿島,D,2,2,0.655,0.897,12,13,2,4,0,0,478,542,23,17,13,7,2,2,1,4,15,14,14,11,15,13,15,21,4,1,2,2,2,2,0,0,41,47,7,18,"117,792m","111,950m",187,158,106,99,11.3%,13.1%,46.1%,53.9%,https://www.football-lab.jp/uraw/report/?year=2022&month=09&date=03
