HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,Opponent_ゴール期待値,c-os_ゴール期待値,Opponent_シュート,c-os_シュート,Opponent_枠内シュート,c-os_枠内シュート,Opponent_PKによるシュート,c-os_PKによるシュート,Opponent_パス,c-os_パス,Opponent_クロス,c-os_クロス,Opponent_直接ＦＫ,c-os_直接ＦＫ,Opponent_間接ＦＫ,c-os_間接ＦＫ,Opponent_ＣＫ,c-os_ＣＫ,Opponent_スローイン,c-os_スローイン,Opponent_ドリブル,c-os_ドリブル,Opponent_タックル,c-os_タックル,Opponent_クリア,c-os_クリア,Opponent_インターセプト,c-os_インターセプト,Opponent_オフサイド,c-os_オフサイド,Opponent_警告,c-os_警告,Opponent_退場,c-os_退場,Opponent_３０ｍライン進入,c-os_３０ｍライン進入,Opponent_ペナルティエリア進入,c-os_ペナルティエリア進入,Opponent_総移動距離,c-os_総移動距離,Opponent_スプリント,c-os_スプリント,Opponent_攻撃回数,c-os_攻撃回数,Opponent_チャンス構築率,c-os_チャンス構築率,Opponent_ボール保持率,c-os_ボール保持率,URL
A,Ｇ大阪,W,2,1,1.076,1.442,13,18,3,8,0,0,347,437,9,25,8,11,3,1,5,9,21,21,15,10,9,12,35,25,1,1,1,3,1,1,0,0,24,38,13,12,"112,594m","110,879m",152,161,111,111,11.7%,16.2%,45.4%,54.6%,https://www.football-lab.jp/c-os/report/?year=2022&month=07&date=16
H,福岡,W,2,0,0.306,1.101,4,14,0,5,0,0,396,385,11,14,11,16,3,0,6,3,25,32,6,6,12,13,14,21,0,1,0,3,3,1,0,0,27,31,3,8,"105,739m","107,808m",150,136,117,118,3.4%,11.9%,47.8%,52.2%,https://www.football-lab.jp/c-os/report/?year=2022&month=07&date=30
H,神戸,W,3,0,1.679,2.05,15,21,6,8,0,0,502,395,13,18,8,8,1,0,4,6,21,17,7,7,10,11,15,25,1,2,0,1,1,0,0,0,39,31,14,16,"106,374m","110,874m",146,175,103,98,14.6%,21.4%,51.6%,48.4%,https://www.football-lab.jp/c-os/report/?year=2022&month=08&date=06
H,広島,L,0,3,1.306,1.174,14,15,6,4,0,0,342,436,12,17,13,12,0,3,6,4,19,24,8,11,21,9,23,23,1,2,3,0,1,1,0,0,23,32,8,12,"114,000m","110,342m",169,160,117,124,12.0%,12.1%,44.7%,55.3%,https://www.football-lab.jp/c-os/report/?year=2022&month=08&date=27
A,札幌,L,1,2,0.775,2.347,13,16,5,6,0,0,553,408,8,18,5,9,1,1,3,8,18,18,15,7,21,18,23,15,1,3,1,1,3,0,0,0,34,37,12,15,"117,241m","117,666m",201,213,107,117,12.1%,13.7%,55.7%,44.3%,https://www.football-lab.jp/c-os/report/?year=2022&month=09&date=02
H,鳥栖,W,2,1,0.544,1.399,6,16,2,7,0,0,536,478,11,13,3,15,2,5,3,4,17,18,8,8,12,26,28,15,0,5,5,2,0,1,0,0,28,33,6,10,"118,705m","117,308m",187,207,93,104,6.5%,15.4%,48.2%,51.8%,https://www.football-lab.jp/c-os/report/?year=2022&month=09&date=10
A,浦和,W,1,0,0.356,0.66,7,8,2,2,0,0,563,338,19,7,12,15,0,1,10,2,18,21,19,6,11,18,14,28,1,5,1,0,1,0,0,0,61,20,11,6,"109,773m","112,034m",145,164,110,103,6.4%,7.8%,58.9%,41.1%,https://www.football-lab.jp/c-os/report/?year=2022&month=09&date=14
A,磐田,D,2,2,0.46,1.253,7,13,2,7,0,0,428,589,19,17,1,7,4,1,1,6,26,17,7,7,20,11,23,21,3,1,1,4,1,0,1,0,36,42,10,12,"114,977m","112,348m",144,125,110,113,6.4%,11.5%,42.9%,57.1%,https://www.football-lab.jp/c-os/report/?year=2022&month=09&date=17
H,湘南,D,1,1,0.318,1.555,7,11,3,3,0,1,416,478,8,25,9,12,3,0,5,5,24,25,5,17,18,10,20,13,1,5,0,3,0,1,0,0,25,39,3,11,"112,384m","107,305m",141,156,110,119,6.4%,9.2%,44.6%,55.4%,https://www.football-lab.jp/c-os/report/?year=2022&month=10&date=01
A,柏,D,0,0,0.618,1.063,10,15,1,2,0,0,348,684,5,22,7,10,2,1,2,4,16,25,7,9,10,12,33,11,1,3,1,2,1,1,0,0,21,46,4,12,"114,544m","114,229m",172,208,97,107,10.3%,14.0%,34%,66%,https://www.football-lab.jp/c-os/report/?year=2022&month=10&date=08
A,FC東京,L,0,4,2.147,0.462,18,7,7,0,0,0,562,491,13,12,9,12,0,1,1,1,22,25,9,4,15,14,14,10,4,1,1,0,1,1,0,0,42,22,17,7,"117,457m","119,863m",219,184,121,118,14.9%,5.9%,53.5%,46.5%,https://www.football-lab.jp/c-os/report/?year=2022&month=10&date=12
A,京都,D,0,0,1.839,0.99,19,13,1,6,0,0,439,386,30,11,9,10,1,0,8,6,14,19,14,12,16,21,15,28,3,4,0,1,0,0,0,0,47,27,16,4,"114,347m","112,485m",194,197,107,115,17.8%,11.3%,50.8%,49.2%,https://www.football-lab.jp/c-os/report/?year=2022&month=10&date=29
H,名古屋,L,0,1,1.834,1.032,16,16,5,4,0,0,426,480,21,13,9,12,2,1,7,7,15,23,19,11,13,11,22,23,1,0,1,2,1,2,0,1,37,36,10,14,"116,964m","113,465m",216,193,106,105,15.1%,15.2%,48.7%,51.3%,https://www.football-lab.jp/c-os/report/?year=2022&month=11&date=05
