HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,Opponent_ゴール期待値,kasm_ゴール期待値,Opponent_シュート,kasm_シュート,Opponent_枠内シュート,kasm_枠内シュート,Opponent_PKによるシュート,kasm_PKによるシュート,Opponent_パス,kasm_パス,Opponent_クロス,kasm_クロス,Opponent_直接ＦＫ,kasm_直接ＦＫ,Opponent_間接ＦＫ,kasm_間接ＦＫ,Opponent_ＣＫ,kasm_ＣＫ,Opponent_スローイン,kasm_スローイン,Opponent_ドリブル,kasm_ドリブル,Opponent_タックル,kasm_タックル,Opponent_クリア,kasm_クリア,Opponent_インターセプト,kasm_インターセプト,Opponent_オフサイド,kasm_オフサイド,Opponent_警告,kasm_警告,Opponent_退場,kasm_退場,Opponent_３０ｍライン進入,kasm_３０ｍライン進入,Opponent_ペナルティエリア進入,kasm_ペナルティエリア進入,Opponent_総移動距離,kasm_総移動距離,Opponent_スプリント,kasm_スプリント,Opponent_攻撃回数,kasm_攻撃回数,Opponent_チャンス構築率,kasm_チャンス構築率,Opponent_ボール保持率,kasm_ボール保持率,URL
A,横浜FM,L,0,2,2.144,0.515,20,6,3,1,0,0,483,295,19,15,19,10,5,2,5,4,21,20,14,6,15,20,15,24,2,0,2,4,1,1,0,0,58,24,24,4,"109,202m","106,433m",175,167,123,113,16.3%,5.3%,58.8%,41.2%,https://www.football-lab.jp/kasm/report/?year=2022&month=07&date=30
H,広島,L,0,2,1.335,0.419,12,7,3,2,0,0,486,402,22,13,11,10,4,1,6,2,18,26,13,12,23,15,20,26,3,1,1,4,3,1,0,0,49,30,19,11,"111,943m","112,033m",169,169,121,123,9.9%,5.7%,53.9%,46.1%,https://www.football-lab.jp/kasm/report/?year=2022&month=08&date=06
H,福岡,W,2,0,0.99,1.039,10,12,2,4,0,0,327,382,20,10,12,14,3,0,6,0,15,16,15,4,14,18,13,27,0,1,0,3,2,3,0,0,25,32,12,8,"99,554m","103,754m",149,163,102,89,9.8%,13.5%,50.1%,49.9%,https://www.football-lab.jp/kasm/report/?year=2022&month=08&date=14
A,湘南,D,1,1,1.56,0.399,16,7,5,4,0,0,394,348,18,11,14,16,3,1,9,4,27,16,13,8,21,20,10,29,0,4,1,3,1,0,0,0,40,24,15,8,"112,461m","107,862m",171,150,139,128,11.5%,5.5%,51.2%,48.8%,https://www.football-lab.jp/kasm/report/?year=2022&month=08&date=21
A,川崎Ｆ,L,1,2,1.486,0.436,9,8,6,2,1,0,330,603,2,20,10,6,2,1,4,6,14,25,6,12,13,8,36,13,1,1,1,2,2,3,0,0,29,52,7,14,"105,703m","109,570m",127,151,100,108,9.0%,7.4%,37.4%,62.6%,https://www.football-lab.jp/kasm/report/?year=2022&month=08&date=27
H,浦和,D,2,2,0.897,0.655,13,12,4,2,0,0,542,478,17,23,7,13,2,2,4,1,14,15,11,14,13,15,21,15,1,4,2,2,2,2,0,0,47,41,18,7,"111,950m","117,792m",158,187,99,106,13.1%,11.3%,53.9%,46.1%,https://www.football-lab.jp/kasm/report/?year=2022&month=09&date=03
A,京都,D,1,1,1.173,1.11,9,13,3,6,0,0,232,567,8,20,10,18,5,3,3,4,13,22,12,14,12,28,35,16,3,0,3,5,2,1,0,0,19,62,15,15,"113,404m","112,216m",177,165,107,118,8.4%,11.0%,37.5%,62.5%,https://www.football-lab.jp/kasm/report/?year=2022&month=09&date=10
A,鳥栖,D,1,1,1.065,0.929,16,14,6,4,0,0,410,397,17,10,8,11,4,2,2,3,24,30,14,13,30,20,18,27,1,1,1,3,3,1,0,0,31,35,17,10,"121,139m","115,676m",230,186,112,121,14.3%,11.6%,50.3%,49.7%,https://www.football-lab.jp/kasm/report/?year=2022&month=09&date=16
H,FC東京,L,0,1,1.105,2.444,18,20,5,3,0,0,416,408,12,20,10,9,0,0,7,6,30,15,8,7,19,20,25,21,3,0,0,0,2,1,0,0,31,33,13,12,"104,998m","106,421m",175,169,118,108,15.3%,18.5%,50.1%,49.9%,https://www.football-lab.jp/kasm/report/?year=2022&month=10&date=01
A,磐田,D,3,3,2.363,1.349,16,15,4,6,1,0,313,539,22,27,12,6,2,2,7,8,12,22,7,20,19,13,29,25,3,1,2,2,0,2,0,0,27,41,20,21,"114,556m","114,360m",153,144,118,117,13.6%,12.8%,42.5%,57.5%,https://www.football-lab.jp/kasm/report/?year=2022&month=10&date=08
A,清水,W,1,0,1.204,0.764,17,10,5,4,0,0,469,456,19,18,9,6,1,0,5,10,19,32,19,12,15,18,30,18,1,3,0,1,1,0,0,0,42,44,11,10,"118,420m","121,091m",181,184,102,122,16.7%,8.2%,52.4%,47.6%,https://www.football-lab.jp/kasm/report/?year=2022&month=10&date=29
H,Ｇ大阪,D,0,0,0.231,0.833,2,14,0,2,0,0,336,636,12,20,9,9,2,1,2,4,19,25,8,6,22,21,20,17,2,0,1,2,3,1,0,0,35,67,3,21,"113,076m","115,121m",135,145,114,119,1.8%,11.8%,38.5%,61.5%,https://www.football-lab.jp/kasm/report/?year=2022&month=11&date=05
