HOME/AWAY,Opponent,勝敗,fuku_得点,fuku_失点,fuku_ゴール期待値,Opponent_ゴール期待値,fuku_シュート,Opponent_シュート,fuku_枠内シュート,Opponent_枠内シュート,fuku_PKによるシュート,Opponent_PKによるシュート,fuku_パス,Opponent_パス,fuku_クロス,Opponent_クロス,fuku_直接ＦＫ,Opponent_直接ＦＫ,fuku_間接ＦＫ,Opponent_間接ＦＫ,fuku_ＣＫ,Opponent_ＣＫ,fuku_スローイン,Opponent_スローイン,fuku_ドリブル,Opponent_ドリブル,fuku_タックル,Opponent_タックル,fuku_クリア,Opponent_クリア,fuku_インターセプト,Opponent_インターセプト,fuku_オフサイド,Opponent_オフサイド,fuku_警告,Opponent_警告,fuku_退場,Opponent_退場,fuku_３０ｍライン進入,Opponent_３０ｍライン進入,fuku_ペナルティエリア進入,Opponent_ペナルティエリア進入,fuku_総移動距離,Opponent_総移動距離,fuku_スプリント,Opponent_スプリント,fuku_攻撃回数,Opponent_攻撃回数,fuku_チャンス構築率,Opponent_チャンス構築率,fuku_ボール保持率,Opponent_ボール保持率,URL
H,磐田,D,1,1,1.173,0.602,12,8,5,3,0,0,418,630,27,8,8,17,0,0,6,1,18,23,18,4,28,19,25,23,1,0,0,0,0,1,0,0,46,29,13,10,"114,747m","114,746m",221,159,118,138,10.2%,5.8%,44.1%,55.9%,https://www.football-lab.jp/fuku/report/?year=2022&month=02&date=19
A,神戸,D,0,0,1.098,0.844,11,10,3,2,0,0,279,573,14,9,13,14,1,2,5,5,22,26,8,15,26,17,21,19,2,2,2,1,1,3,0,0,27,33,8,7,"109,128m","109,717m",176,146,128,132,8.6%,7.6%,35.1%,64.9%,https://www.football-lab.jp/fuku/report/?year=2022&month=02&date=26
H,札幌,D,0,0,2.488,0.804,16,7,5,2,1,0,285,528,18,8,17,19,1,0,5,4,20,23,13,11,29,25,21,17,5,1,0,1,1,2,0,0,25,29,10,6,"109,241m","107,258m",215,180,123,132,13.0%,5.3%,36.5%,63.5%,https://www.football-lab.jp/fuku/report/?year=2022&month=03&date=06
A,柏,L,0,1,2.428,0.491,19,6,3,5,0,0,571,449,33,13,9,13,1,1,3,1,39,17,10,4,21,20,14,47,3,2,1,1,0,0,0,0,52,29,24,9,"119,086m","117,576m",234,204,143,127,13.3%,4.7%,53.5%,46.5%,https://www.football-lab.jp/fuku/report/?year=2022&month=03&date=12
A,Ｇ大阪,W,3,2,1.371,1.162,12,11,4,2,0,0,348,569,24,15,16,16,4,1,3,4,18,27,9,4,11,13,34,19,0,0,1,4,2,3,0,0,37,34,16,11,"113,423m","112,823m",194,139,110,118,10.9%,9.3%,41.3%,58.7%,https://www.football-lab.jp/fuku/report/?year=2022&month=03&date=19
H,鳥栖,D,0,0,1.138,0.495,11,6,2,1,0,0,306,618,15,15,13,13,4,1,6,3,22,20,15,7,21,18,25,26,3,4,1,2,2,2,0,0,29,62,6,10,"115,921m","121,158m",217,240,115,108,9.6%,5.6%,38.7%,61.3%,https://www.football-lab.jp/fuku/report/?year=2022&month=04&date=01
H,鹿島,L,0,1,0.83,1.694,8,14,5,4,0,0,338,357,17,20,12,17,2,0,5,6,31,31,18,15,15,21,31,16,1,2,0,2,1,2,0,0,34,35,9,12,"107,876m","112,637m",194,235,123,138,6.5%,10.1%,51.1%,48.9%,https://www.football-lab.jp/fuku/report/?year=2022&month=04&date=06
A,広島,L,0,1,0.331,1.902,3,12,1,4,0,1,292,524,10,16,14,15,2,2,2,9,22,28,10,15,20,15,23,17,1,2,2,2,0,2,0,0,30,39,3,17,"105,073m","104,536m",191,172,116,123,2.6%,9.8%,39.6%,60.4%,https://www.football-lab.jp/fuku/report/?year=2022&month=04&date=10
H,Ｃ大阪,D,0,0,1.442,1.243,11,17,2,4,0,0,330,442,17,22,9,14,4,1,2,4,15,21,11,9,18,17,30,10,0,3,1,3,1,1,0,0,40,40,10,15,"113,898m","112,628m",226,196,114,122,9.6%,13.9%,44.9%,55.1%,https://www.football-lab.jp/fuku/report/?year=2022&month=04&date=17
A,京都,W,1,0,0.992,0.693,9,7,2,0,0,0,324,350,25,12,15,13,1,6,4,1,20,29,14,18,34,16,29,22,5,3,5,1,1,2,0,0,32,29,12,9,"107,929m","112,255m",175,173,135,131,6.7%,5.3%,48.8%,51.2%,https://www.football-lab.jp/fuku/report/?year=2022&month=04&date=29
H,FC東京,W,5,1,2.029,1.347,14,13,5,4,0,0,246,512,16,12,11,20,1,0,6,4,22,26,8,6,22,8,24,24,2,0,0,1,2,1,0,0,32,34,8,11,"110,516m","105,374m",211,185,111,127,12.6%,10.2%,36.2%,63.8%,https://www.football-lab.jp/fuku/report/?year=2022&month=05&date=03
H,湘南,D,0,0,0.949,0.35,7,5,1,2,0,0,413,351,20,11,19,17,5,2,5,3,21,24,12,10,25,15,16,20,5,1,2,5,2,4,0,1,34,29,11,4,"106,744m","105,613m",201,185,123,120,5.7%,4.2%,52.7%,47.3%,https://www.football-lab.jp/fuku/report/?year=2022&month=05&date=07
A,川崎Ｆ,L,0,2,0.701,0.712,5,8,1,4,0,0,289,785,16,10,9,10,1,0,4,3,14,23,11,6,19,18,12,22,1,3,0,1,0,0,0,0,32,46,6,10,"104,810m","103,552m",163,136,100,109,5.0%,7.3%,31.3%,68.7%,https://www.football-lab.jp/fuku/report/?year=2022&month=05&date=14
H,横浜FM,W,1,0,0.857,1.695,9,15,1,1,0,0,238,715,16,21,15,13,0,1,2,7,16,32,9,8,18,7,37,17,3,0,2,0,2,0,0,1,20,52,9,11,"115,972m","113,587m",197,170,104,117,8.7%,12.8%,33.7%,66.3%,https://www.football-lab.jp/fuku/report/?year=2022&month=05&date=21
A,名古屋,L,0,1,0.473,1.023,9,7,0,1,0,0,556,229,32,5,8,16,0,1,4,3,32,23,21,5,13,12,6,43,1,1,1,0,3,0,0,1,63,10,11,3,"109,386m","109,735m",157,158,121,120,7.4%,5.8%,63%,37%,https://www.football-lab.jp/fuku/report/?year=2022&month=05&date=25
H,浦和,D,0,0,0.165,1.053,3,13,2,5,0,0,220,571,7,19,7,16,3,1,1,8,15,31,7,14,21,8,44,5,3,1,1,2,3,0,0,0,15,57,6,12,"106,934m","108,882m",163,186,100,129,3.0%,10.1%,32.7%,67.3%,https://www.football-lab.jp/fuku/report/?year=2022&month=05&date=28
A,清水,L,1,3,1.183,0.601,15,8,6,4,0,0,472,334,28,16,10,13,1,2,7,5,30,18,12,12,14,10,12,45,1,3,2,1,2,2,0,0,50,26,12,9,"108,664m","110,683m",166,120,107,101,14.0%,7.9%,55.2%,44.8%,https://www.football-lab.jp/fuku/report/?year=2022&month=06&date=18
H,広島,L,1,3,1.321,1.65,12,12,3,5,0,1,331,486,11,19,11,14,1,4,2,4,17,25,8,5,20,19,27,26,2,0,3,1,1,2,0,0,18,42,7,14,"100,463m","100,301m",156,148,116,121,10.3%,9.9%,44%,56%,https://www.football-lab.jp/fuku/report/?year=2022&month=06&date=25
A,FC東京,D,2,2,2.421,0.898,15,10,6,6,1,0,312,558,14,13,9,13,3,0,4,3,29,27,13,7,13,18,26,18,2,1,0,3,1,1,0,0,29,33,15,11,"110,948m","109,335m",144,154,131,137,11.5%,7.3%,38.2%,61.8%,https://www.football-lab.jp/fuku/report/?year=2022&month=07&date=02
A,磐田,W,1,0,0.567,0.99,4,8,1,2,0,0,269,556,16,13,12,11,1,3,4,5,25,21,11,5,17,16,15,19,4,2,3,1,1,0,0,0,32,30,9,6,"100,140m","100,983m",131,122,103,100,3.9%,8.0%,36.6%,63.4%,https://www.football-lab.jp/fuku/report/?year=2022&month=07&date=06
H,京都,W,1,0,0.967,1.02,9,11,2,2,0,0,291,518,18,14,7,8,2,1,8,6,24,21,11,8,17,23,38,23,1,2,1,2,0,0,0,0,31,37,11,6,"105,015m","106,985m",143,145,102,98,8.8%,11.2%,40.1%,59.9%,https://www.football-lab.jp/fuku/report/?year=2022&month=07&date=10
