HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,Opponent_ゴール期待値,kobe_ゴール期待値,Opponent_シュート,kobe_シュート,Opponent_枠内シュート,kobe_枠内シュート,Opponent_PKによるシュート,kobe_PKによるシュート,Opponent_パス,kobe_パス,Opponent_クロス,kobe_クロス,Opponent_直接ＦＫ,kobe_直接ＦＫ,Opponent_間接ＦＫ,kobe_間接ＦＫ,Opponent_ＣＫ,kobe_ＣＫ,Opponent_スローイン,kobe_スローイン,Opponent_ドリブル,kobe_ドリブル,Opponent_タックル,kobe_タックル,Opponent_クリア,kobe_クリア,Opponent_インターセプト,kobe_インターセプト,Opponent_オフサイド,kobe_オフサイド,Opponent_警告,kobe_警告,Opponent_退場,kobe_退場,Opponent_３０ｍライン進入,kobe_３０ｍライン進入,Opponent_ペナルティエリア進入,kobe_ペナルティエリア進入,Opponent_総移動距離,kobe_総移動距離,Opponent_スプリント,kobe_スプリント,Opponent_攻撃回数,kobe_攻撃回数,Opponent_チャンス構築率,kobe_チャンス構築率,Opponent_ボール保持率,kobe_ボール保持率,URL
A,柏,L,1,3,1.408,1.119,11,10,4,3,1,0,389,623,15,9,7,9,4,1,6,5,22,15,10,10,18,11,13,15,3,3,1,4,2,1,0,0,43,39,12,7,"115,886m","115,008m",170,150,113,114,9.7%,8.8%,40.6%,59.4%,https://www.football-lab.jp/kobe/report/?year=2022&month=06&date=18
H,浦和,L,0,1,1.158,0.475,14,7,3,0,0,0,414,422,14,5,14,11,4,1,6,1,28,24,13,9,15,14,12,26,0,0,1,4,1,2,0,0,36,31,7,6,"108,036m","108,423m",155,125,114,99,12.3%,7.1%,51.4%,48.6%,https://www.football-lab.jp/kobe/report/?year=2022&month=06&date=26
A,鳥栖,W,2,0,0.766,0.738,6,9,4,6,0,0,575,495,8,15,5,11,1,2,4,8,18,26,7,12,15,13,22,12,0,2,2,1,1,0,0,0,45,36,2,9,"120,702m","115,711m",178,179,97,105,6.2%,8.6%,51.4%,48.6%,https://www.football-lab.jp/kobe/report/?year=2022&month=07&date=02
H,清水,W,2,1,0.83,0.799,9,12,1,5,0,0,500,547,9,18,11,9,2,2,1,2,16,26,10,18,5,10,21,12,2,1,2,2,0,0,0,0,28,37,7,10,"113,393m","112,513m",150,185,92,93,9.8%,12.9%,47.5%,52.5%,https://www.football-lab.jp/kobe/report/?year=2022&month=07&date=06
A,磐田,W,1,0,0.478,2.33,4,14,2,2,0,1,439,547,14,19,8,11,2,1,1,7,14,13,7,15,14,12,20,17,4,1,2,2,1,1,0,0,35,38,5,9,"104,490m","102,933m",138,157,88,94,4.5%,14.9%,45%,55%,https://www.football-lab.jp/kobe/report/?year=2022&month=07&date=09
A,鹿島,D,1,1,0.82,1.077,14,9,5,4,0,0,431,449,11,6,12,12,2,0,2,4,26,29,9,16,25,17,17,30,3,1,0,2,3,2,1,0,34,32,10,10,"106,175m","109,681m",155,171,110,116,12.7%,7.8%,48%,52%,https://www.football-lab.jp/kobe/report/?year=2022&month=07&date=16
H,柏,L,0,1,0.675,0.891,9,11,2,2,0,0,288,782,5,22,3,13,7,0,2,5,20,27,4,16,22,14,37,9,1,1,0,7,2,0,0,0,12,41,7,9,"113,346m","112,714m",144,143,106,119,8.5%,9.2%,32.1%,67.9%,https://www.football-lab.jp/kobe/report/?year=2022&month=07&date=30
A,Ｃ大阪,L,0,3,2.05,1.679,21,15,8,6,0,0,395,502,18,13,8,8,0,1,6,4,17,21,7,7,11,10,25,15,2,1,1,0,0,1,0,0,31,39,16,14,"110,874m","106,374m",175,146,98,103,21.4%,14.6%,48.4%,51.6%,https://www.football-lab.jp/kobe/report/?year=2022&month=08&date=06
A,札幌,W,2,0,1.114,0.822,17,10,3,4,0,0,656,346,18,13,8,13,0,1,6,7,27,16,6,7,11,27,17,28,4,4,1,0,2,0,0,0,45,36,14,7,"113,862m","121,224m",137,195,127,121,13.4%,8.3%,59%,41%,https://www.football-lab.jp/kobe/report/?year=2022&month=08&date=13
A,京都,L,0,2,0.947,1.463,14,15,4,1,0,0,264,488,7,30,10,6,3,0,1,11,25,31,10,17,12,22,39,16,0,1,0,3,0,1,0,1,22,47,9,19,"109,557m","105,156m",162,152,113,128,12.4%,11.7%,37.6%,62.4%,https://www.football-lab.jp/kobe/report/?year=2022&month=09&date=03
H,名古屋,D,0,0,1.677,1.27,16,13,4,3,0,0,373,492,10,14,12,7,1,1,3,8,29,19,9,9,11,16,17,13,3,3,2,1,0,2,0,0,30,38,11,10,"110,805m","113,412m",180,208,127,124,12.6%,10.5%,41.9%,58.1%,https://www.football-lab.jp/kobe/report/?year=2022&month=09&date=10
H,FC東京,W,2,1,0.698,0.864,10,11,2,3,0,0,651,396,16,12,10,10,1,0,3,5,23,18,12,6,19,17,15,13,0,3,0,1,2,0,0,0,34,21,14,6,"110,148m","114,744m",142,174,112,113,8.9%,9.7%,58.6%,41.4%,https://www.football-lab.jp/kobe/report/?year=2022&month=09&date=14
H,Ｇ大阪,W,2,1,0.878,2.19,8,14,2,7,0,1,318,494,11,20,7,12,1,3,3,7,24,22,2,15,11,14,41,16,0,2,3,0,1,1,0,0,24,54,5,14,"103,103m","104,643m",114,142,108,118,7.4%,11.9%,42%,58%,https://www.football-lab.jp/kobe/report/?year=2022&month=09&date=18
A,福岡,W,1,0,1.07,0.892,11,6,2,2,0,0,351,408,20,11,14,12,2,1,6,3,26,17,11,12,19,16,14,22,1,1,1,2,0,0,0,0,33,34,8,8,"103,653m","104,119m",113,124,127,118,8.7%,5.1%,46.2%,53.8%,https://www.football-lab.jp/kobe/report/?year=2022&month=10&date=01
H,広島,W,4,0,0.497,3.285,5,21,2,8,0,0,298,760,5,22,9,12,3,1,4,3,14,16,15,10,19,18,31,14,3,1,1,3,0,0,1,0,18,63,4,21,"96,838m","107,587m",124,156,106,106,4.7%,19.8%,34.3%,65.7%,https://www.football-lab.jp/kobe/report/?year=2022&month=10&date=08
H,湘南,W,1,0,1.27,1.568,12,14,2,5,0,0,495,426,16,21,6,12,0,4,1,7,39,16,5,17,18,15,25,24,0,6,4,0,1,0,0,0,47,37,8,16,"115,681m","113,505m",173,206,129,122,9.3%,11.5%,53.1%,46.9%,https://www.football-lab.jp/kobe/report/?year=2022&month=10&date=12
A,川崎Ｆ,L,1,2,2.171,0.866,13,8,7,4,1,0,530,472,16,11,11,8,3,1,7,4,33,22,12,15,24,17,21,27,1,0,1,3,1,1,0,0,45,39,18,7,"104,478m","106,984m",155,160,129,116,10.1%,6.9%,53.4%,46.6%,https://www.football-lab.jp/kobe/report/?year=2022&month=10&date=29
H,横浜FM,L,1,3,2.308,0.946,19,10,6,2,0,0,545,465,16,10,9,16,4,0,8,2,18,24,8,8,18,19,16,26,3,1,0,4,1,0,0,0,49,29,17,10,"119,000m","118,392m",156,160,125,124,15.2%,8.1%,52.1%,47.9%,https://www.football-lab.jp/kobe/report/?year=2022&month=11&date=05
