HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,nago_ゴール期待値,Opponent_ゴール期待値,nago_シュート,Opponent_シュート,nago_枠内シュート,Opponent_枠内シュート,nago_PKによるシュート,Opponent_PKによるシュート,nago_パス,Opponent_パス,nago_クロス,Opponent_クロス,nago_直接ＦＫ,Opponent_直接ＦＫ,nago_間接ＦＫ,Opponent_間接ＦＫ,nago_ＣＫ,Opponent_ＣＫ,nago_スローイン,Opponent_スローイン,nago_ドリブル,Opponent_ドリブル,nago_タックル,Opponent_タックル,nago_クリア,Opponent_クリア,nago_インターセプト,Opponent_インターセプト,nago_オフサイド,Opponent_オフサイド,nago_警告,Opponent_警告,nago_退場,Opponent_退場,nago_３０ｍライン進入,Opponent_３０ｍライン進入,nago_ペナルティエリア進入,Opponent_ペナルティエリア進入,nago_総移動距離,Opponent_総移動距離,nago_スプリント,Opponent_スプリント,nago_攻撃回数,Opponent_攻撃回数,nago_チャンス構築率,Opponent_チャンス構築率,nago_ボール保持率,Opponent_ボール保持率,URL
A,鳥栖,D,0,0,1.044,1.104,12,15,2,3,0,0,339,561,12,12,17,10,1,3,0,2,22,25,9,18,17,10,13,11,6,2,3,1,1,1,0,0,25,65,5,9,"108,934m","107,050m",183,152,101,102,11.9%,14.7%,40.4%,59.6%,https://www.football-lab.jp/nago/report/?year=2022&month=08&date=14
H,磐田,W,1,0,1.465,0.671,14,9,4,2,0,0,425,604,6,16,13,7,2,2,2,1,17,16,11,11,16,20,20,10,3,4,2,2,0,2,0,0,33,50,7,8,"113,678m","112,510m",175,138,117,115,12.0%,7.8%,45%,55%,https://www.football-lab.jp/nago/report/?year=2022&month=08&date=19
H,Ｇ大阪,L,0,2,0.564,0.772,11,7,3,3,0,0,445,340,24,4,13,6,3,2,4,4,27,15,9,8,11,17,16,35,4,2,2,2,1,3,0,0,64,24,17,6,"106,364m","106,198m",151,137,111,99,9.9%,7.1%,53.8%,46.2%,https://www.football-lab.jp/nago/report/?year=2022&month=08&date=27
A,福岡,W,3,2,1.116,1.244,8,11,3,4,0,0,424,410,11,16,15,12,0,5,3,2,21,27,13,13,20,23,17,12,1,1,5,0,0,1,0,1,26,39,9,12,"114,669m","108,999m",185,170,132,128,6.1%,8.6%,51.4%,48.6%,https://www.football-lab.jp/nago/report/?year=2022&month=09&date=03
A,神戸,D,0,0,1.677,1.27,16,13,4,3,0,0,373,492,10,14,12,7,1,1,3,8,29,19,9,9,11,16,17,13,3,3,2,1,0,2,0,0,30,38,11,10,"110,805m","113,412m",180,208,127,124,12.6%,10.5%,41.9%,58.1%,https://www.football-lab.jp/nago/report/?year=2022&month=09&date=10
H,川崎Ｆ,D,1,1,0.822,0.884,12,6,3,2,0,0,412,581,20,3,15,8,2,1,6,4,24,13,8,7,14,9,13,29,2,6,1,2,1,4,0,0,36,41,15,6,"107,863m","102,373m",154,120,103,95,11.7%,6.3%,42.1%,57.9%,https://www.football-lab.jp/nago/report/?year=2022&month=09&date=14
H,広島,D,0,0,0.994,0.728,13,12,6,3,0,0,362,539,16,14,16,12,1,3,3,5,17,24,11,10,18,22,37,18,1,1,3,1,3,0,0,0,26,46,9,10,"106,915m","104,084m",185,151,120,120,10.8%,10.0%,45.4%,54.6%,https://www.football-lab.jp/nago/report/?year=2022&month=09&date=17
H,横浜FM,L,0,4,1.085,2.569,12,17,3,8,0,0,419,706,14,15,15,11,2,5,2,5,24,14,11,11,14,21,25,21,1,1,5,2,2,1,0,0,32,56,11,24,"118,225m","121,006m",232,188,130,127,9.2%,13.4%,42.1%,57.9%,https://www.football-lab.jp/nago/report/?year=2022&month=10&date=01
A,京都,D,1,1,0.463,2.411,7,16,2,6,0,1,284,493,7,21,17,5,0,5,3,5,20,26,4,10,18,16,24,6,1,1,4,0,0,1,0,0,16,57,3,15,"106,771m","110,410m",193,177,122,120,5.7%,13.3%,40.2%,59.8%,https://www.football-lab.jp/nago/report/?year=2022&month=10&date=08
H,FC東京,W,2,1,1.482,0.827,10,12,3,4,0,0,246,682,13,18,14,8,2,1,4,6,13,19,7,21,15,15,40,11,4,0,1,1,0,2,0,0,23,57,9,9,"112,746m","111,554m",194,177,106,109,9.4%,11.0%,33.5%,66.5%,https://www.football-lab.jp/nago/report/?year=2022&month=10&date=29
A,Ｃ大阪,W,1,0,1.834,1.032,16,16,5,4,0,0,426,480,21,13,9,12,2,1,7,7,15,23,19,11,13,11,22,23,1,0,1,2,1,2,0,1,37,36,10,14,"116,964m","113,465m",216,193,106,105,15.1%,15.2%,48.7%,51.3%,https://www.football-lab.jp/nago/report/?year=2022&month=11&date=05
