HOME/AWAY,Opponent,勝敗,fctk_得点,fctk_失点,Opponent_ゴール期待値,fctk_ゴール期待値,Opponent_シュート,fctk_シュート,Opponent_枠内シュート,fctk_枠内シュート,Opponent_PKによるシュート,fctk_PKによるシュート,Opponent_パス,fctk_パス,Opponent_クロス,fctk_クロス,Opponent_直接ＦＫ,fctk_直接ＦＫ,Opponent_間接ＦＫ,fctk_間接ＦＫ,Opponent_ＣＫ,fctk_ＣＫ,Opponent_スローイン,fctk_スローイン,Opponent_ドリブル,fctk_ドリブル,Opponent_タックル,fctk_タックル,Opponent_クリア,fctk_クリア,Opponent_インターセプト,fctk_インターセプト,Opponent_オフサイド,fctk_オフサイド,Opponent_警告,fctk_警告,Opponent_退場,fctk_退場,Opponent_３０ｍライン進入,fctk_３０ｍライン進入,Opponent_ペナルティエリア進入,fctk_ペナルティエリア進入,Opponent_総移動距離,fctk_総移動距離,Opponent_スプリント,fctk_スプリント,Opponent_攻撃回数,fctk_攻撃回数,Opponent_チャンス構築率,fctk_チャンス構築率,Opponent_ボール保持率,fctk_ボール保持率,URL
A,川崎Ｆ,L,0,1,0.592,1.219,10,15,4,7,0,0,360,484,12,13,12,14,2,4,5,12,23,20,8,13,23,14,24,19,1,2,4,2,2,3,0,0,32,35,7,11,"105,280m","110,439m",173,193,119,132,8.4%,11.4%,43.8%,56.2%,https://www.football-lab.jp/fctk/report/?year=2022&month=02&date=18
A,Ｃ大阪,W,1,0,1.227,1.44,14,9,3,4,0,0,467,383,29,11,16,10,2,2,8,5,26,18,7,14,14,19,13,36,0,3,2,1,0,3,0,1,42,31,13,10,"119,619m","114,398m",222,182,144,127,9.7%,7.1%,53.1%,46.9%,https://www.football-lab.jp/fctk/report/?year=2022&month=03&date=06
H,広島,W,2,1,0.649,1.168,14,11,5,3,0,0,444,384,21,6,7,16,2,5,6,5,28,31,14,7,22,17,16,24,2,1,5,2,1,1,0,0,51,22,11,8,"114,381m","112,897m",215,173,119,132,11.8%,8.3%,50.1%,49.9%,https://www.football-lab.jp/fctk/report/?year=2022&month=03&date=12
A,京都,W,1,0,1.15,1.008,10,6,3,2,0,0,329,513,19,19,12,15,0,2,7,11,19,30,12,14,24,15,26,18,2,3,2,0,2,2,0,0,32,53,12,8,"115,592m","112,574m",221,197,116,133,8.6%,4.5%,44%,56%,https://www.football-lab.jp/fctk/report/?year=2022&month=03&date=19
A,横浜FM,L,1,2,1.83,0.728,14,8,6,2,0,0,718,363,20,12,17,12,4,0,7,3,22,23,7,7,18,28,10,20,3,4,0,4,0,3,0,1,57,27,17,11,"122,398m","115,310m",233,229,122,114,11.5%,7.0%,62.4%,37.6%,https://www.football-lab.jp/fctk/report/?year=2022&month=04&date=02
H,神戸,W,3,1,1.096,1.566,10,16,2,6,0,0,468,491,15,17,9,10,1,1,7,5,17,32,12,14,30,17,27,21,1,2,1,1,0,0,0,0,34,42,9,16,"118,469m","117,995m",171,206,113,127,8.8%,12.6%,49.5%,50.5%,https://www.football-lab.jp/fctk/report/?year=2022&month=04&date=06
H,浦和,D,0,0,1.701,1.03,18,8,3,3,0,0,559,366,13,7,7,9,2,2,4,2,26,14,10,10,24,17,11,23,4,1,2,2,0,1,0,0,47,33,20,4,"104,601m","109,151m",158,168,118,107,15.3%,7.5%,60.5%,39.5%,https://www.football-lab.jp/fctk/report/?year=2022&month=04&date=10
A,札幌,D,0,0,1.266,0.427,14,7,6,1,0,0,440,464,12,11,13,19,1,1,2,3,21,30,9,13,18,20,21,15,0,2,1,1,3,1,0,0,33,33,11,13,"116,566m","114,351m",167,186,118,129,11.9%,5.4%,48.1%,51.9%,https://www.football-lab.jp/fctk/report/?year=2022&month=04&date=16
H,名古屋,D,0,0,1.499,0.95,14,10,5,4,0,0,375,514,15,12,8,10,3,1,4,8,21,38,16,9,20,17,32,23,6,1,1,3,0,0,0,0,36,38,12,7,"113,007m","110,851m",193,185,115,136,12.2%,7.4%,44.9%,55.1%,https://www.football-lab.jp/fctk/report/?year=2022&month=04&date=20
H,Ｇ大阪,W,2,0,0.896,1.111,12,10,1,3,0,0,407,421,22,10,13,13,1,3,7,4,27,35,7,11,19,16,20,23,4,2,3,1,0,2,0,0,30,28,12,13,"117,126m","113,747m",201,207,126,125,9.5%,8.0%,49.5%,50.5%,https://www.football-lab.jp/fctk/report/?year=2022&month=04&date=29
