HOME/AWAY,Opponent,勝敗,sapp_得点,sapp_失点,Opponent_ゴール期待値,sapp_ゴール期待値,Opponent_シュート,sapp_シュート,Opponent_枠内シュート,sapp_枠内シュート,Opponent_PKによるシュート,sapp_PKによるシュート,Opponent_パス,sapp_パス,Opponent_クロス,sapp_クロス,Opponent_直接ＦＫ,sapp_直接ＦＫ,Opponent_間接ＦＫ,sapp_間接ＦＫ,Opponent_ＣＫ,sapp_ＣＫ,Opponent_スローイン,sapp_スローイン,Opponent_ドリブル,sapp_ドリブル,Opponent_タックル,sapp_タックル,Opponent_クリア,sapp_クリア,Opponent_インターセプト,sapp_インターセプト,Opponent_オフサイド,sapp_オフサイド,Opponent_警告,sapp_警告,Opponent_退場,sapp_退場,Opponent_３０ｍライン進入,sapp_３０ｍライン進入,Opponent_ペナルティエリア進入,sapp_ペナルティエリア進入,Opponent_総移動距離,sapp_総移動距離,Opponent_スプリント,sapp_スプリント,Opponent_攻撃回数,sapp_攻撃回数,Opponent_チャンス構築率,sapp_チャンス構築率,Opponent_ボール保持率,sapp_ボール保持率,URL
A,清水,D,1,1,0.882,2.203,8,17,4,3,0,1,402,594,10,19,13,7,2,1,3,5,18,26,8,15,20,18,23,16,6,8,1,2,0,0,0,0,30,51,14,21,"118,149m","113,995m",217,174,116,122,6.9%,13.9%,42.5%,57.5%,https://www.football-lab.jp/sapp/report/?year=2022&month=02&date=19
H,広島,D,1,1,1.345,1.165,17,19,1,4,0,0,417,500,15,8,12,11,3,0,2,3,22,22,11,18,34,26,26,23,2,3,0,3,2,1,0,0,43,41,16,21,"117,803m","114,065m",221,228,129,141,13.2%,13.5%,45.6%,54.4%,https://www.football-lab.jp/sapp/report/?year=2022&month=02&date=26
A,福岡,D,0,0,2.488,0.804,16,7,5,2,1,0,285,528,18,8,17,19,1,0,5,4,20,23,13,11,29,25,21,17,5,1,0,1,1,2,0,0,25,29,10,6,"109,241m","107,258m",215,180,123,132,13.0%,5.3%,36.5%,63.5%,https://www.football-lab.jp/sapp/report/?year=2022&month=03&date=06
H,横浜FM,D,1,1,1.306,0.916,14,11,5,5,0,0,566,417,23,9,20,16,2,2,9,3,20,20,11,15,16,18,18,18,1,4,2,2,4,1,0,0,50,28,13,18,"116,272m","113,497m",199,218,114,110,12.3%,10.0%,53.3%,46.7%,https://www.football-lab.jp/sapp/report/?year=2022&month=03&date=12
A,Ｃ大阪,D,2,2,0.993,2.48,9,16,3,7,0,0,354,460,6,20,15,9,3,4,2,7,27,26,5,19,23,32,17,13,1,4,4,3,0,0,0,0,17,41,6,11,"112,973m","112,392m",192,196,133,132,6.8%,12.1%,45%,55%,https://www.football-lab.jp/sapp/report/?year=2022&month=03&date=19
H,浦和,D,1,1,2.489,1.281,13,9,5,2,1,0,433,523,18,13,14,6,2,2,3,1,22,14,14,15,17,18,10,15,3,2,2,2,0,1,0,1,42,41,15,14,"116,320m","113,857m",213,194,114,98,11.4%,9.2%,46.5%,53.5%,https://www.football-lab.jp/sapp/report/?year=2022&month=04&date=02
A,鳥栖,L,0,5,1.659,0.605,15,8,7,1,0,0,536,623,18,10,10,17,1,1,2,1,20,19,6,13,12,12,17,20,5,3,1,1,1,0,0,0,47,40,11,9,"130,071m","121,101m",280,162,107,114,14.0%,7.0%,46.1%,53.9%,https://www.football-lab.jp/sapp/report/?year=2022&month=04&date=06
A,名古屋,W,2,0,2.148,0.79,12,5,5,2,0,0,364,569,11,9,15,13,3,2,7,7,18,20,9,12,23,15,22,10,0,4,2,3,2,1,0,0,33,43,8,11,"112,260m","113,121m",176,177,121,119,9.9%,4.2%,41.8%,58.2%,https://www.football-lab.jp/sapp/report/?year=2022&month=04&date=10
H,FC東京,D,0,0,0.427,1.266,7,14,1,6,0,0,464,440,11,12,19,13,1,1,3,2,30,21,13,9,20,18,15,21,2,0,1,1,1,3,0,0,33,33,13,11,"114,351m","116,566m",186,167,129,118,5.4%,11.9%,51.9%,48.1%,https://www.football-lab.jp/sapp/report/?year=2022&month=04&date=16
H,湘南,W,1,0,0.855,1.3,11,14,4,4,0,0,469,476,17,11,10,11,1,2,7,7,29,16,12,14,24,18,14,35,0,4,2,1,0,2,0,0,32,39,12,11,"116,247m","110,913m",175,151,135,124,8.1%,11.3%,47.9%,52.1%,https://www.football-lab.jp/sapp/report/?year=2022&month=04&date=29
