HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,Opponent_ゴール期待値,kobe_ゴール期待値,Opponent_シュート,kobe_シュート,Opponent_枠内シュート,kobe_枠内シュート,Opponent_PKによるシュート,kobe_PKによるシュート,Opponent_パス,kobe_パス,Opponent_クロス,kobe_クロス,Opponent_直接ＦＫ,kobe_直接ＦＫ,Opponent_間接ＦＫ,kobe_間接ＦＫ,Opponent_ＣＫ,kobe_ＣＫ,Opponent_スローイン,kobe_スローイン,Opponent_ドリブル,kobe_ドリブル,Opponent_タックル,kobe_タックル,Opponent_クリア,kobe_クリア,Opponent_インターセプト,kobe_インターセプト,Opponent_オフサイド,kobe_オフサイド,Opponent_警告,kobe_警告,Opponent_退場,kobe_退場,Opponent_３０ｍライン進入,kobe_３０ｍライン進入,Opponent_ペナルティエリア進入,kobe_ペナルティエリア進入,Opponent_総移動距離,kobe_総移動距離,Opponent_スプリント,kobe_スプリント,Opponent_攻撃回数,kobe_攻撃回数,Opponent_チャンス構築率,kobe_チャンス構築率,Opponent_ボール保持率,kobe_ボール保持率,URL
A,Ｃ大阪,L,0,1,1.208,1.299,11,15,4,5,0,0,454,749,4,11,14,12,2,2,4,4,8,15,9,7,13,12,17,5,5,3,2,2,2,0,0,0,29,76,8,19,"115,319m","106,386m",143,132,99,100,11.1%,15.0%,38.8%,61.2%,https://www.football-lab.jp/kobe/report/?year=2019&month=02&date=22
H,鳥栖,W,1,0,0.342,1.224,6,16,0,5,0,0,337,690,14,5,11,15,3,1,2,4,25,25,7,11,20,17,14,15,6,4,1,3,0,1,0,0,29,35,6,15,"115,643m","107,146m",162,166,106,108,5.7%,14.8%,35.3%,64.7%,https://www.football-lab.jp/kobe/report/?year=2019&month=03&date=02
A,仙台,W,3,1,2.181,2.283,20,17,6,9,0,0,442,710,11,18,12,15,3,1,5,10,11,15,2,11,24,23,10,25,1,5,1,3,0,2,0,0,43,39,14,17,"112,432m","109,364m",171,167,105,119,19.0%,14.3%,40.3%,59.7%,https://www.football-lab.jp/kobe/report/?year=2019&month=03&date=10
H,清水,D,1,1,1.77,1.224,20,13,7,8,0,0,451,693,24,13,3,10,3,0,8,9,12,12,12,17,13,17,20,22,4,5,0,3,1,1,0,0,57,40,15,19,"114,541m","109,770m",181,141,109,117,18.3%,11.1%,40%,60%,https://www.football-lab.jp/kobe/report/?year=2019&month=03&date=17
A,Ｇ大阪,W,4,3,3.194,2.194,20,13,8,6,0,0,547,577,22,11,9,13,3,2,12,1,16,34,14,11,20,20,20,25,0,6,2,3,1,2,0,0,60,56,18,18,"116,947m","110,119m",170,157,117,119,17.1%,10.9%,46.7%,53.3%,https://www.football-lab.jp/kobe/report/?year=2019&month=03&date=30
A,松本,L,1,2,1.567,2.167,13,13,4,7,0,0,224,637,11,38,13,13,2,1,7,7,18,28,14,26,40,30,26,19,5,5,1,2,1,2,0,0,22,73,11,21,"120,763m","111,051m",176,151,123,129,10.6%,10.1%,32.7%,67.3%,https://www.football-lab.jp/kobe/report/?year=2019&month=04&date=06
H,広島,L,2,4,2.636,1.367,12,13,5,4,0,0,451,701,14,9,17,13,1,4,1,7,19,14,4,17,21,17,23,14,1,6,4,1,1,0,0,0,42,41,12,11,"121,106m","110,513m",173,159,112,112,10.7%,11.6%,38.8%,61.2%,https://www.football-lab.jp/kobe/report/?year=2019&month=04&date=14
A,浦和,L,0,1,1.464,1.694,6,14,3,6,1,0,232,725,9,16,13,11,1,0,5,8,23,32,9,14,29,25,37,12,3,2,0,1,1,2,0,0,16,72,7,20,"107,997m","106,624m",161,160,123,128,4.9%,10.9%,29.3%,70.7%,https://www.football-lab.jp/kobe/report/?year=2019&month=04&date=20
H,川崎Ｆ,L,1,2,1.596,1.223,13,13,7,2,0,0,393,609,11,15,12,15,1,2,5,3,19,24,17,18,27,29,27,18,5,4,2,1,0,1,0,0,34,55,11,13,"109,842m","106,700m",123,139,129,129,10.1%,10.1%,38.7%,61.3%,https://www.football-lab.jp/kobe/report/?year=2019&month=04&date=28
A,札幌,L,1,2,1.975,1.602,17,13,6,7,0,1,404,515,27,13,10,13,0,3,8,3,13,12,17,11,15,13,21,21,3,2,3,0,2,6,0,0,45,40,23,10,"113,547m","108,419m",140,175,106,107,16.0%,12.1%,43.2%,56.8%,https://www.football-lab.jp/kobe/report/?year=2019&month=05&date=04
