HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,g-os_ゴール期待値,Opponent_ゴール期待値,g-os_シュート,Opponent_シュート,g-os_枠内シュート,Opponent_枠内シュート,g-os_PKによるシュート,Opponent_PKによるシュート,g-os_パス,Opponent_パス,g-os_クロス,Opponent_クロス,g-os_直接ＦＫ,Opponent_直接ＦＫ,g-os_間接ＦＫ,Opponent_間接ＦＫ,g-os_ＣＫ,Opponent_ＣＫ,g-os_スローイン,Opponent_スローイン,g-os_ドリブル,Opponent_ドリブル,g-os_タックル,Opponent_タックル,g-os_クリア,Opponent_クリア,g-os_インターセプト,Opponent_インターセプト,g-os_オフサイド,Opponent_オフサイド,g-os_警告,Opponent_警告,g-os_退場,Opponent_退場,g-os_３０ｍライン進入,Opponent_３０ｍライン進入,g-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,g-os_総移動距離,Opponent_総移動距離,g-os_スプリント,Opponent_スプリント,g-os_攻撃回数,Opponent_攻撃回数,g-os_チャンス構築率,Opponent_チャンス構築率,g-os_ボール保持率,Opponent_ボール保持率,URL
H,横浜FM,L,2,3,0.812,3.643,10,25,4,10,0,0,418,546,17,17,15,12,1,11,7,5,26,15,8,16,25,23,21,44,2,1,11,1,0,0,0,0,28,55,12,18,"120,178m","121,420m",219,228,133,124,7.5%,20.2%,42.8%,57.2%,https://www.football-lab.jp/g-os/report/?year=2019&month=02&date=23
A,清水,W,4,2,1.986,1.84,20,17,12,9,0,0,799,394,19,15,13,9,2,0,10,3,17,17,16,18,25,21,14,27,4,2,0,2,0,0,0,0,65,37,18,13,"120,030m","115,622m",193,185,122,104,16.4%,16.3%,61.3%,38.7%,https://www.football-lab.jp/g-os/report/?year=2019&month=03&date=02
H,名古屋,L,2,3,1.576,1.462,10,17,6,9,1,0,479,514,8,8,15,16,1,7,3,7,21,20,7,5,23,18,23,19,3,1,7,1,1,0,0,0,41,47,16,22,"111,424m","112,815m",197,174,124,133,8.1%,12.8%,50.3%,49.7%,https://www.football-lab.jp/g-os/report/?year=2019&month=03&date=09
A,川崎Ｆ,W,1,0,1.013,1.374,9,19,5,4,0,0,470,602,10,17,12,16,2,3,6,7,14,37,14,20,35,27,27,23,3,2,3,2,1,1,0,0,31,53,9,12,"114,036m","109,061m",181,157,122,134,7.4%,14.2%,45.9%,54.1%,https://www.football-lab.jp/g-os/report/?year=2019&month=03&date=17
H,神戸,L,3,4,3.194,2.194,20,13,8,6,0,0,547,577,22,11,9,13,3,2,12,1,16,34,14,11,20,20,20,25,0,6,2,3,1,2,0,0,60,56,18,18,"116,947m","110,119m",170,157,117,119,17.1%,10.9%,46.7%,53.3%,https://www.football-lab.jp/g-os/report/?year=2019&month=03&date=30
A,広島,L,0,3,0.93,0.709,10,7,4,6,0,0,828,331,8,14,15,7,2,0,4,3,22,23,13,7,21,28,19,21,1,0,0,1,1,1,0,0,67,35,12,7,"111,122m","111,878m",117,130,117,113,8.5%,6.2%,65.6%,34.4%,https://www.football-lab.jp/g-os/report/?year=2019&month=04&date=06
H,浦和,L,0,1,0.685,0.502,13,13,3,3,0,0,544,369,16,11,9,14,3,4,8,2,33,23,16,13,20,32,24,26,4,5,4,3,2,1,0,0,39,34,11,11,"109,733m","106,802m",152,125,119,111,10.9%,11.7%,55.5%,44.5%,https://www.football-lab.jp/g-os/report/?year=2019&month=04&date=14
H,大分,D,1,1,1.492,0.845,20,8,5,1,0,0,517,673,16,8,9,12,1,1,6,0,16,16,10,4,15,18,10,23,3,5,1,1,2,2,0,0,44,36,14,4,"112,639m","112,760m",158,195,92,95,21.7%,8.4%,41%,59%,https://www.football-lab.jp/g-os/report/?year=2019&month=04&date=20
A,仙台,L,1,2,0.965,1.324,10,18,2,11,0,0,435,478,20,20,11,9,2,2,6,6,32,20,16,19,30,17,39,31,1,3,2,1,2,0,0,0,33,44,19,13,"113,400m","112,426m",181,153,131,126,7.6%,14.3%,49.5%,50.5%,https://www.football-lab.jp/g-os/report/?year=2019&month=04&date=28
H,FC東京,D,0,0,1.512,1.249,18,14,4,2,0,0,603,352,17,12,11,18,0,0,7,2,22,20,13,15,25,20,12,22,2,1,0,0,4,2,0,0,51,32,12,9,"109,143m","106,894m",147,133,113,110,15.9%,12.7%,62.6%,37.4%,https://www.football-lab.jp/g-os/report/?year=2019&month=05&date=04
A,鳥栖,L,1,3,0.543,3.191,6,13,3,5,0,1,476,375,6,14,14,15,1,1,3,4,31,19,11,12,17,25,22,19,1,1,1,0,3,0,0,0,32,28,9,11,"105,425m","109,381m",144,172,120,113,5.0%,11.5%,52.1%,47.9%,https://www.football-lab.jp/g-os/report/?year=2019&month=05&date=11
H,Ｃ大阪,W,1,0,0.833,1.402,11,13,4,6,0,0,547,525,8,22,11,12,1,4,2,2,19,29,21,12,25,26,31,16,2,3,4,0,0,1,0,0,49,58,8,16,"120,299m","120,438m",176,122,119,120,9.2%,10.8%,51%,49%,https://www.football-lab.jp/g-os/report/?year=2019&month=05&date=18
A,札幌,D,0,0,0.309,1.149,7,16,1,5,0,0,567,587,6,14,6,13,0,0,5,7,15,26,14,19,23,18,22,20,5,3,0,0,1,2,0,0,37,57,8,17,"111,420m","112,241m",183,159,101,114,6.9%,14.0%,47.2%,52.8%,https://www.football-lab.jp/g-os/report/?year=2019&month=05&date=25
H,鹿島,D,1,1,0.436,0.95,8,8,2,2,0,0,586,524,10,14,13,12,3,2,3,5,23,14,18,11,21,21,18,20,3,3,2,3,0,2,0,0,37,53,12,15,"120,734m","119,800m",203,183,107,103,7.5%,7.8%,53.5%,46.5%,https://www.football-lab.jp/g-os/report/?year=2019&month=06&date=01
A,磐田,D,0,0,1.774,0.511,15,12,4,3,0,0,580,467,11,15,14,10,1,7,4,2,25,25,13,10,12,10,30,22,3,2,7,1,1,2,0,0,41,50,13,15,"111,374m","111,782m",166,147,121,118,12.4%,10.2%,55.2%,44.8%,https://www.football-lab.jp/g-os/report/?year=2019&month=06&date=15
H,湘南,W,1,0,1.143,0.939,18,12,4,4,0,0,739,297,16,13,15,10,2,0,5,4,23,22,16,9,14,21,19,25,3,1,0,2,2,0,0,0,61,39,17,9,"114,110m","116,220m",156,154,111,98,16.2%,12.2%,66.4%,33.6%,https://www.football-lab.jp/g-os/report/?year=2019&month=06&date=22
A,松本,W,3,1,1.96,1.747,17,18,7,9,0,0,635,289,15,12,15,5,3,1,4,4,24,27,15,12,15,26,26,26,1,2,0,3,0,3,0,0,53,32,10,11,"110,810m","115,107m",159,205,128,120,13.3%,15.0%,62.4%,37.6%,https://www.football-lab.jp/g-os/report/?year=2019&month=06&date=29
A,FC東京,L,1,3,1.494,1.262,11,9,2,5,0,0,575,408,22,18,14,9,0,2,5,8,26,28,23,7,11,25,31,32,2,2,2,0,1,0,0,0,71,34,21,13,"110,580m","109,166m",171,158,116,116,9.5%,7.8%,55.7%,44.3%,https://www.football-lab.jp/g-os/report/?year=2019&month=07&date=07
