HOME/AWAY,Opponent,勝敗,shim_得点,shim_失点,Opponent_ゴール期待値,shim_ゴール期待値,Opponent_シュート,shim_シュート,Opponent_枠内シュート,shim_枠内シュート,Opponent_PKによるシュート,shim_PKによるシュート,Opponent_パス,shim_パス,Opponent_クロス,shim_クロス,Opponent_直接ＦＫ,shim_直接ＦＫ,Opponent_間接ＦＫ,shim_間接ＦＫ,Opponent_ＣＫ,shim_ＣＫ,Opponent_スローイン,shim_スローイン,Opponent_ドリブル,shim_ドリブル,Opponent_タックル,shim_タックル,Opponent_クリア,shim_クリア,Opponent_インターセプト,shim_インターセプト,Opponent_オフサイド,shim_オフサイド,Opponent_警告,shim_警告,Opponent_退場,shim_退場,Opponent_３０ｍライン進入,shim_３０ｍライン進入,Opponent_ペナルティエリア進入,shim_ペナルティエリア進入,Opponent_総移動距離,shim_総移動距離,Opponent_スプリント,shim_スプリント,Opponent_攻撃回数,shim_攻撃回数,Opponent_チャンス構築率,shim_チャンス構築率,Opponent_ボール保持率,shim_ボール保持率,URL
A,広島,D,1,1,1.486,1.042,14,7,4,1,0,0,549,495,18,14,13,15,1,2,3,3,20,22,9,14,26,21,17,15,4,5,2,1,0,1,0,0,51,31,14,11,"116,700m","113,209m",203,178,124,130,11.3%,5.4%,50.6%,49.4%,https://www.football-lab.jp/shim/report/?year=2019&month=02&date=23
H,Ｇ大阪,L,2,4,1.986,1.84,20,17,12,9,0,0,799,394,19,15,13,9,2,0,10,3,17,17,16,18,25,21,14,27,4,2,0,2,0,0,0,0,65,37,18,13,"120,030m","115,622m",193,185,122,104,16.4%,16.3%,61.3%,38.7%,https://www.football-lab.jp/shim/report/?year=2019&month=03&date=02
A,札幌,L,2,5,4.732,2.135,24,18,5,5,1,0,520,488,22,14,2,9,0,2,9,7,17,11,15,13,20,19,30,12,4,2,2,0,0,0,0,0,42,41,24,7,"119,374m","115,892m",155,169,111,112,21.6%,16.1%,50.4%,49.6%,https://www.football-lab.jp/shim/report/?year=2019&month=03&date=09
A,神戸,D,1,1,1.224,1.77,13,20,8,7,0,0,693,451,13,24,10,3,0,3,9,8,12,12,17,12,17,13,22,20,5,4,3,0,1,1,0,0,40,57,19,15,"109,770m","114,541m",141,181,117,109,11.1%,18.3%,60%,40%,https://www.football-lab.jp/shim/report/?year=2019&month=03&date=17
H,湘南,L,1,3,2.758,0.802,17,10,3,2,0,0,338,486,10,14,13,16,1,0,8,3,15,33,13,15,23,18,41,17,1,3,0,1,2,2,0,0,26,45,10,13,"112,568m","106,534m",150,132,116,126,14.7%,7.9%,44.2%,55.8%,https://www.football-lab.jp/shim/report/?year=2019&month=03&date=31
A,FC東京,L,1,2,1.294,1.177,12,16,7,6,0,0,517,441,19,20,10,9,2,4,7,3,25,20,13,11,13,27,32,34,2,3,4,2,1,1,0,0,51,39,19,15,"115,906m","114,830m",213,196,135,131,8.9%,12.2%,52.1%,47.9%,https://www.football-lab.jp/shim/report/?year=2019&month=04&date=06
A,磐田,W,2,1,1.059,1.276,9,14,2,6,0,0,535,360,14,10,8,15,1,0,4,3,21,20,12,7,12,22,24,49,0,2,0,1,1,1,0,0,41,29,12,7,"115,425m","112,611m",172,148,118,122,7.6%,11.5%,56.3%,43.7%,https://www.football-lab.jp/shim/report/?year=2019&month=04&date=14
H,Ｃ大阪,W,1,0,1.841,1.027,15,13,3,3,0,0,591,303,21,17,12,9,1,1,6,7,23,23,5,9,15,13,32,23,2,3,1,1,0,1,0,0,44,20,13,14,"109,826m","111,093m",128,146,117,113,12.8%,11.5%,62.2%,37.8%,https://www.football-lab.jp/shim/report/?year=2019&month=04&date=20
H,浦和,L,0,2,0.903,0.504,10,7,4,3,0,0,705,566,14,8,5,6,2,2,4,1,11,24,7,14,20,15,18,12,5,1,2,2,0,0,0,0,40,37,8,8,"119,390m","120,694m",159,178,109,107,9.2%,6.5%,53.3%,46.7%,https://www.football-lab.jp/shim/report/?year=2019&month=04&date=28
A,鹿島,L,0,3,2.044,0.797,15,11,6,2,0,0,603,319,18,7,11,9,0,1,4,3,17,28,15,15,28,16,19,30,3,1,1,0,1,3,0,0,77,32,11,7,"112,308m","109,889m",200,167,112,111,13.4%,9.9%,58.5%,41.5%,https://www.football-lab.jp/shim/report/?year=2019&month=05&date=03
