HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,hiro_ゴール期待値,Opponent_ゴール期待値,hiro_シュート,Opponent_シュート,hiro_枠内シュート,Opponent_枠内シュート,hiro_PKによるシュート,Opponent_PKによるシュート,hiro_パス,Opponent_パス,hiro_クロス,Opponent_クロス,hiro_直接ＦＫ,Opponent_直接ＦＫ,hiro_間接ＦＫ,Opponent_間接ＦＫ,hiro_ＣＫ,Opponent_ＣＫ,hiro_スローイン,Opponent_スローイン,hiro_ドリブル,Opponent_ドリブル,hiro_タックル,Opponent_タックル,hiro_クリア,Opponent_クリア,hiro_インターセプト,Opponent_インターセプト,hiro_オフサイド,Opponent_オフサイド,hiro_警告,Opponent_警告,hiro_退場,Opponent_退場,hiro_３０ｍライン進入,Opponent_３０ｍライン進入,hiro_ペナルティエリア進入,Opponent_ペナルティエリア進入,hiro_総移動距離,Opponent_総移動距離,hiro_スプリント,Opponent_スプリント,hiro_攻撃回数,Opponent_攻撃回数,hiro_チャンス構築率,Opponent_チャンス構築率,hiro_ボール保持率,Opponent_ボール保持率,URL
H,清水,D,1,1,1.486,1.042,14,7,4,1,0,0,549,495,18,14,13,15,1,2,3,3,20,22,9,14,26,21,17,15,4,5,2,1,0,1,0,0,51,31,14,11,"116,700m","113,209m",203,178,124,130,11.3%,5.4%,50.6%,49.4%,https://www.football-lab.jp/hiro/report/?year=2019&month=02&date=23
H,磐田,D,0,0,1.175,0.975,11,11,0,4,0,0,407,527,14,11,14,18,1,0,7,6,19,33,5,19,25,19,24,24,0,5,0,1,2,0,0,0,36,34,6,9,"119,899m","121,087m",181,204,132,143,8.3%,7.7%,43.5%,56.5%,https://www.football-lab.jp/hiro/report/?year=2019&month=03&date=01
A,Ｃ大阪,W,1,0,0.688,0.711,10,12,2,2,0,0,350,842,13,23,10,12,1,0,1,3,15,24,8,9,23,16,22,14,6,2,0,1,1,3,0,0,30,69,10,15,"122,417m","119,411m",130,133,116,120,8.6%,10.0%,33%,67%,https://www.football-lab.jp/hiro/report/?year=2019&month=03&date=09
H,松本,W,1,0,0.932,0.253,12,4,5,0,0,0,656,392,22,6,14,14,3,2,3,2,20,23,17,4,23,18,20,23,1,3,2,3,0,1,0,0,55,17,13,3,"114,642m","115,898m",177,198,123,118,9.8%,3.4%,59.6%,40.4%,https://www.football-lab.jp/hiro/report/?year=2019&month=03&date=17
A,大分,W,1,0,0.494,0.706,5,7,2,0,0,0,438,801,12,13,8,5,0,0,2,2,21,20,8,6,15,12,18,18,1,3,0,0,0,1,0,0,25,51,7,8,"122,650m","118,113m",174,184,92,96,5.4%,7.3%,35.3%,64.7%,https://www.football-lab.jp/hiro/report/?year=2019&month=03&date=30
H,Ｇ大阪,W,3,0,0.709,0.93,7,10,6,4,0,0,331,828,14,8,7,15,0,2,3,4,23,22,7,13,28,21,21,19,0,1,1,0,1,1,0,0,35,67,7,12,"111,878m","111,122m",130,117,113,117,6.2%,8.5%,34.4%,65.6%,https://www.football-lab.jp/hiro/report/?year=2019&month=04&date=06
A,神戸,W,4,2,2.636,1.367,12,13,5,4,0,0,451,701,14,9,17,13,1,4,1,7,19,14,4,17,21,17,23,14,1,6,4,1,1,0,0,0,42,41,12,11,"121,106m","110,513m",173,159,112,112,10.7%,11.6%,38.8%,61.2%,https://www.football-lab.jp/hiro/report/?year=2019&month=04&date=14
H,FC東京,L,0,1,0.271,0.637,5,5,1,2,0,0,552,470,18,11,12,12,1,3,5,3,26,30,10,7,20,9,19,27,1,2,3,1,1,0,0,0,54,38,5,13,"111,275m","111,385m",143,159,103,102,4.9%,4.9%,55.1%,44.9%,https://www.football-lab.jp/hiro/report/?year=2019&month=04&date=19
A,名古屋,L,0,1,1.127,2.016,10,16,1,5,0,0,551,708,16,15,15,13,1,2,2,4,16,12,10,12,13,16,16,22,4,3,2,0,0,0,0,0,42,64,12,18,"117,897m","119,744m",160,187,125,119,8.0%,13.4%,46.4%,53.6%,https://www.football-lab.jp/hiro/report/?year=2019&month=04&date=28
H,横浜FM,L,0,1,2.478,0.291,18,4,3,1,0,0,433,710,29,8,13,15,8,9,9,3,26,14,17,14,23,18,14,34,3,3,9,8,1,1,0,0,38,46,22,7,"121,135m","123,023m",220,239,121,117,14.9%,3.4%,40.9%,59.1%,https://www.football-lab.jp/hiro/report/?year=2019&month=05&date=03
