HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,Opponent_ゴール期待値,nago_ゴール期待値,Opponent_シュート,nago_シュート,Opponent_枠内シュート,nago_枠内シュート,Opponent_PKによるシュート,nago_PKによるシュート,Opponent_パス,nago_パス,Opponent_クロス,nago_クロス,Opponent_直接ＦＫ,nago_直接ＦＫ,Opponent_間接ＦＫ,nago_間接ＦＫ,Opponent_ＣＫ,nago_ＣＫ,Opponent_スローイン,nago_スローイン,Opponent_ドリブル,nago_ドリブル,Opponent_タックル,nago_タックル,Opponent_クリア,nago_クリア,Opponent_インターセプト,nago_インターセプト,Opponent_オフサイド,nago_オフサイド,Opponent_警告,nago_警告,Opponent_退場,nago_退場,Opponent_３０ｍライン進入,nago_３０ｍライン進入,Opponent_ペナルティエリア進入,nago_ペナルティエリア進入,Opponent_総移動距離,nago_総移動距離,Opponent_スプリント,nago_スプリント,Opponent_攻撃回数,nago_攻撃回数,Opponent_チャンス構築率,nago_チャンス構築率,Opponent_ボール保持率,nago_ボール保持率,URL
A,鳥栖,W,4,0,0.845,1.777,9,15,5,7,0,0,360,672,12,13,11,23,3,2,3,6,16,17,9,12,24,20,25,20,4,2,2,2,2,2,0,0,27,63,8,13,"113,949m","114,265m",144,159,123,134,7.3%,11.2%,42.6%,57.4%,https://www.football-lab.jp/nago/report/?year=2019&month=02&date=23
H,Ｃ大阪,W,2,0,0.423,1.17,4,15,2,4,0,0,403,651,6,17,16,8,1,4,0,8,8,21,10,15,29,23,24,15,0,2,4,0,1,1,0,0,27,79,3,16,"109,929m","113,858m",130,136,102,107,3.9%,14.0%,42.4%,57.6%,https://www.football-lab.jp/nago/report/?year=2019&month=03&date=02
A,Ｇ大阪,W,3,2,1.576,1.462,10,17,6,9,1,0,479,514,8,8,15,16,1,7,3,7,21,20,7,5,23,18,23,19,3,1,7,1,1,0,0,0,41,47,16,22,"111,424m","112,815m",197,174,124,133,8.1%,12.8%,50.3%,49.7%,https://www.football-lab.jp/nago/report/?year=2019&month=03&date=09
A,FC東京,L,0,1,0.899,1.411,13,14,4,6,0,0,283,606,8,18,13,10,3,1,3,6,24,28,11,16,33,22,48,27,0,1,1,3,0,2,0,0,26,60,9,18,"110,369m","109,667m",197,157,125,133,10.4%,10.5%,38.7%,61.3%,https://www.football-lab.jp/nago/report/?year=2019&month=03&date=17
H,札幌,W,4,0,1.447,2.24,13,21,3,7,0,0,428,652,17,14,10,13,2,4,5,1,24,24,13,18,19,29,19,22,3,6,5,2,1,0,0,0,40,68,11,23,"117,562m","115,659m",186,196,139,140,9.4%,15.0%,45.8%,54.2%,https://www.football-lab.jp/nago/report/?year=2019&month=03&date=30
A,鹿島,L,1,2,1.373,1.429,14,11,5,2,0,0,302,574,9,11,21,12,1,2,2,5,19,27,9,15,26,24,26,13,4,1,2,1,0,3,0,0,30,60,12,11,"108,541m","108,838m",183,165,142,137,9.9%,8.0%,42.1%,57.9%,https://www.football-lab.jp/nago/report/?year=2019&month=04&date=05
A,横浜FM,D,1,1,0.744,2.29,12,18,4,5,0,1,543,403,13,13,22,14,4,2,4,9,12,22,14,11,17,17,20,22,2,6,2,4,2,2,0,0,33,49,15,15,"120,654m","115,143m",234,207,119,128,10.1%,14.1%,57.4%,42.6%,https://www.football-lab.jp/nago/report/?year=2019&month=04&date=13
H,磐田,W,1,0,2.005,0.708,13,5,4,1,0,0,297,642,10,8,16,14,2,6,3,5,28,17,9,13,20,27,29,20,5,1,6,2,4,1,1,0,22,40,10,12,"110,208m","109,970m",164,153,131,131,9.9%,3.8%,37.4%,62.6%,https://www.football-lab.jp/nago/report/?year=2019&month=04&date=20
H,広島,W,1,0,1.127,2.016,10,16,1,5,0,0,551,708,16,15,15,13,1,2,2,4,16,12,10,12,13,16,16,22,4,3,2,0,0,0,0,0,42,64,12,18,"117,897m","119,744m",160,187,125,119,8.0%,13.4%,46.4%,53.6%,https://www.football-lab.jp/nago/report/?year=2019&month=04&date=28
A,湘南,D,1,1,1.872,2.744,13,21,2,4,1,0,302,579,12,11,11,17,3,1,3,7,20,18,15,13,22,20,28,22,1,3,1,3,3,1,0,0,31,61,10,20,"116,424m","113,194m",178,178,135,136,9.6%,15.4%,43.3%,56.7%,https://www.football-lab.jp/nago/report/?year=2019&month=05&date=04
H,浦和,W,2,0,0.547,2.149,5,17,1,9,0,0,327,752,8,12,11,18,3,0,4,7,13,25,7,17,27,18,21,17,2,4,0,3,3,0,0,0,23,64,5,22,"108,478m","113,546m",149,186,102,119,4.9%,14.3%,36.2%,63.8%,https://www.football-lab.jp/nago/report/?year=2019&month=05&date=12
