HOME/AWAY,Opponent,勝敗,iwat_得点,iwat_失点,iwat_ゴール期待値,Opponent_ゴール期待値,iwat_シュート,Opponent_シュート,iwat_枠内シュート,Opponent_枠内シュート,iwat_PKによるシュート,Opponent_PKによるシュート,iwat_パス,Opponent_パス,iwat_クロス,Opponent_クロス,iwat_直接ＦＫ,Opponent_直接ＦＫ,iwat_間接ＦＫ,Opponent_間接ＦＫ,iwat_ＣＫ,Opponent_ＣＫ,iwat_スローイン,Opponent_スローイン,iwat_ドリブル,Opponent_ドリブル,iwat_タックル,Opponent_タックル,iwat_クリア,Opponent_クリア,iwat_インターセプト,Opponent_インターセプト,iwat_オフサイド,Opponent_オフサイド,iwat_警告,Opponent_警告,iwat_退場,Opponent_退場,iwat_３０ｍライン進入,Opponent_３０ｍライン進入,iwat_ペナルティエリア進入,Opponent_ペナルティエリア進入,iwat_総移動距離,Opponent_総移動距離,iwat_スプリント,Opponent_スプリント,iwat_攻撃回数,Opponent_攻撃回数,iwat_チャンス構築率,Opponent_チャンス構築率,iwat_ボール保持率,Opponent_ボール保持率,URL
H,松本,D,1,1,1.251,1.083,17,14,5,3,0,0,513,290,23,13,12,16,0,2,7,5,27,27,22,15,24,24,30,30,1,5,2,1,0,0,0,0,38,26,9,8,"115,630m","117,797m",167,185,138,142,12.3%,9.9%,59.3%,40.7%,https://www.football-lab.jp/iwat/report/?year=2019&month=02&date=23
A,広島,D,0,0,0.975,1.175,11,11,4,0,0,0,527,407,11,14,18,14,0,1,6,7,33,19,19,5,19,25,24,24,5,0,1,0,0,2,0,0,34,36,9,6,"121,087m","119,899m",204,181,143,132,7.7%,8.3%,56.5%,43.5%,https://www.football-lab.jp/iwat/report/?year=2019&month=03&date=01
H,大分,L,1,2,0.832,1.469,7,14,2,6,0,0,430,723,12,19,10,11,2,0,3,7,26,20,10,7,12,31,19,25,2,3,0,2,1,1,1,0,30,41,3,12,"115,597m","122,569m",163,193,106,121,6.6%,11.6%,38.4%,61.6%,https://www.football-lab.jp/iwat/report/?year=2019&month=03&date=09
A,鳥栖,L,0,1,1.11,1.278,13,11,2,2,0,0,429,362,15,25,18,14,1,2,3,7,26,15,12,20,16,19,24,23,1,0,2,1,1,2,0,1,42,29,9,14,"114,354m","111,959m",153,176,118,119,11.0%,9.2%,50%,50%,https://www.football-lab.jp/iwat/report/?year=2019&month=03&date=17
H,鹿島,D,1,1,0.543,1.02,8,15,2,4,0,0,355,510,10,18,11,8,5,3,3,8,15,25,7,23,17,21,41,17,2,2,3,5,2,1,0,0,19,61,2,16,"113,980m","107,489m",186,166,117,126,6.8%,11.9%,41.7%,58.3%,https://www.football-lab.jp/iwat/report/?year=2019&month=03&date=30
A,湘南,W,2,0,2.272,0.644,18,8,1,4,0,0,370,325,6,10,19,13,3,1,8,2,17,19,2,9,21,18,17,21,3,1,1,3,3,3,0,0,31,34,7,12,"109,393m","110,667m",210,195,124,111,14.5%,7.2%,55.3%,44.7%,https://www.football-lab.jp/iwat/report/?year=2019&month=04&date=06
H,清水,L,1,2,1.059,1.276,9,14,2,6,0,0,535,360,14,10,8,15,1,0,4,3,21,20,12,7,12,22,24,49,0,2,0,1,1,1,0,0,41,29,12,7,"115,425m","112,611m",172,148,118,122,7.6%,11.5%,56.3%,43.7%,https://www.football-lab.jp/iwat/report/?year=2019&month=04&date=14
A,名古屋,L,0,1,2.005,0.708,13,5,4,1,0,0,297,642,10,8,16,14,2,6,3,5,28,17,9,13,20,27,29,20,5,1,6,2,4,1,1,0,22,40,10,12,"110,208m","109,970m",164,153,131,131,9.9%,3.8%,37.4%,62.6%,https://www.football-lab.jp/iwat/report/?year=2019&month=04&date=20
H,札幌,L,1,2,1.568,0.904,11,9,6,2,0,0,511,507,18,14,23,12,2,1,6,1,23,23,16,12,24,20,19,29,1,1,1,2,0,1,0,0,31,34,12,12,"119,759m","118,891m",191,172,130,119,8.5%,7.6%,48.7%,51.3%,https://www.football-lab.jp/iwat/report/?year=2019&month=04&date=28
A,浦和,W,1,0,1.468,0.63,19,10,8,1,0,0,397,622,15,15,18,9,3,0,6,5,20,13,11,7,22,17,29,20,0,1,0,3,0,0,0,0,37,48,20,11,"114,975m","112,132m",166,171,117,106,16.2%,9.4%,42.7%,57.3%,https://www.football-lab.jp/iwat/report/?year=2019&month=05&date=03
A,FC東京,L,0,1,1.27,1.162,11,15,3,5,0,0,511,463,10,16,12,13,7,0,0,9,21,25,5,14,21,27,29,18,1,3,0,7,1,0,0,0,37,53,11,16,"109,181m","109,017m",182,210,122,125,9.0%,12.0%,52.9%,47.1%,https://www.football-lab.jp/iwat/report/?year=2019&month=05&date=12
H,仙台,W,2,0,1.106,1.399,16,14,11,3,0,0,420,522,14,24,9,15,2,2,5,8,11,22,13,11,23,16,27,10,4,2,2,2,1,1,0,0,31,46,16,12,"110,964m","110,095m",150,166,114,125,14.0%,11.2%,47.2%,52.8%,https://www.football-lab.jp/iwat/report/?year=2019&month=05&date=18
A,横浜FM,L,0,4,1.207,3.571,14,22,1,10,0,1,312,613,11,17,14,16,4,5,5,4,20,14,12,15,15,17,25,17,4,0,5,4,1,1,0,0,29,49,9,24,"109,084m","113,518m",193,176,116,117,12.1%,18.8%,38.4%,61.6%,https://www.football-lab.jp/iwat/report/?year=2019&month=05&date=26
H,神戸,D,1,1,2.161,1.497,17,9,5,4,1,1,473,444,12,8,16,11,1,1,4,3,24,18,19,8,17,21,12,37,4,2,1,1,1,3,0,1,51,33,12,9,"113,221m","109,030m",182,178,111,110,15.3%,8.2%,49.5%,50.5%,https://www.football-lab.jp/iwat/report/?year=2019&month=06&date=01
H,Ｇ大阪,D,0,0,0.511,1.774,12,15,3,4,0,0,467,580,15,11,10,14,7,1,2,4,25,25,10,13,10,12,22,30,2,3,1,7,2,1,0,0,50,41,15,13,"111,782m","111,374m",147,166,118,121,10.2%,12.4%,44.8%,55.2%,https://www.football-lab.jp/iwat/report/?year=2019&month=06&date=15
A,Ｃ大阪,L,0,2,1.448,1.807,18,14,5,7,0,0,386,415,23,9,6,14,7,0,8,6,17,17,17,12,18,21,13,41,2,2,0,7,0,1,0,0,47,33,13,17,"109,338m","111,444m",159,147,105,111,17.1%,12.6%,46.3%,53.7%,https://www.football-lab.jp/iwat/report/?year=2019&month=06&date=22
H,川崎Ｆ,L,1,3,1.958,0.555,16,7,6,4,0,0,414,618,9,8,12,15,3,1,3,2,27,19,20,12,20,15,12,33,2,1,1,3,1,2,0,0,48,64,7,9,"106,629m","103,645m",139,128,120,109,13.3%,6.4%,43.6%,56.4%,https://www.football-lab.jp/iwat/report/?year=2019&month=06&date=30
A,鹿島,L,0,2,1.203,0.801,15,3,4,1,0,0,544,281,12,7,10,18,4,2,3,0,31,26,15,8,18,12,17,22,4,1,2,4,1,2,0,0,63,14,14,6,"108,340m","108,013m",167,166,110,110,13.6%,2.7%,60.7%,39.3%,https://www.football-lab.jp/iwat/report/?year=2019&month=07&date=06
A,松本,W,1,0,1.655,1.042,16,11,3,2,0,0,407,310,13,7,15,9,3,2,4,8,13,32,10,12,19,18,27,23,3,2,1,3,0,2,0,0,44,27,15,6,"103,098m","106,304m",156,183,115,123,13.9%,8.9%,54.7%,45.3%,https://www.football-lab.jp/iwat/report/?year=2019&month=07&date=13
H,浦和,L,1,3,0.798,0.965,13,12,6,4,0,0,434,564,14,12,15,9,3,2,6,1,19,10,7,16,17,21,13,31,4,1,2,3,0,2,0,1,32,38,8,12,"111,416m","109,200m",141,141,108,94,12.0%,12.8%,45.2%,54.8%,https://www.football-lab.jp/iwat/report/?year=2019&month=07&date=20
A,仙台,L,1,2,1.535,1.528,10,11,1,4,0,0,579,334,35,21,10,10,0,0,3,3,25,17,14,16,15,21,18,52,0,2,0,0,1,1,0,0,52,29,19,7,"110,021m","107,021m",158,157,108,96,9.3%,11.5%,56.8%,43.2%,https://www.football-lab.jp/iwat/report/?year=2019&month=08&date=03
H,湘南,L,2,3,2.388,1.606,17,18,5,5,0,0,411,343,21,13,15,12,1,1,9,6,19,18,16,14,17,23,28,32,3,1,1,1,0,0,0,0,38,27,21,13,"106,324m","108,128m",138,139,128,122,13.3%,14.8%,54.4%,45.6%,https://www.football-lab.jp/iwat/report/?year=2019&month=08&date=11
